atom,level,width,BE,intensity
Ar,3p1/2,0.001,15.9,0.3333333333333333
Ar,3p3/2,0.001,15.7,0.6666666666666666
K,1s,0.6796,3608.4,1.0
K,2s,3.8748,378.6,1.0
K,2p1/2,0.1876,297.3,0.3333333333333333
K,2p3/2,0.1583,294.6,0.6666666666666666
K,3s,0.6953,34.8,1.0
K,3p1/2,0.001,18.3,0.3333333333333333
K,3p3/2,0.001,18.3,0.6666666666666666
Ca,1s,0.75,4038.5,1.0
Ca,2s,3.8497,438.4,1.0
Ca,2p1/2,0.2345,349.7,0.3333333333333333
Ca,2p3/2,0.1818,346.2,0.6666666666666666
Ca,3s,1.0,44.3,1.0
Ca,3p1/2,0.001,25.4,0.3333333333333333
Ca,3p3/2,0.001,25.4,0.6666666666666666
Sc,1s,0.8229,4492.0,1.0
Sc,2s,3.8248,498.0,1.0
Sc,2p1/2,0.2932,403.6,0.3333333333333333
Sc,2p3/2,0.2087,398.7,0.6666666666666666
Sc,3s,1.1424,51.1,1.0
Sc,3p1/2,0.0224,28.3,0.3333333333333333
Sc,3p3/2,0.0224,28.3,0.6666666666666666
Ti,1s,0.903,4966.0,1.0
Ti,2s,3.8,560.9,1.0
Ti,2p1/2,0.3666,460.2,0.3333333333333333
Ti,2p3/2,0.2397,453.8,0.6666666666666666
Ti,3s,1.305,58.7,1.0
Ti,3p1/2,0.5,32.6,0.3333333333333333
Ti,3p3/2,0.5,32.6,0.6666666666666666
Ti,3d3/2,0.0121,2.0,0.4
Ti,3d5/2,0.0121,2.0,0.6
V,1s,0.9908,5465.0,1.0
V,2s,3.9828,626.7,1.0
V,2p1/2,0.4583,519.8,0.3333333333333333
V,2p3/2,0.2753,512.1,0.6666666666666666
V,3s,1.4907,66.3,1.0
V,3p1/2,0.5946,37.2,0.3333333333333333
V,3p3/2,0.5946,37.2,0.6666666666666666
V,3d3/2,0.014,2.0,0.4
V,3d5/2,0.014,2.0,0.6
Cr,1s,1.0872,5989.0,1.0
Cr,2s,4.1745,696.0,1.0
Cr,2p1/2,0.573,583.8,0.3333333333333333
Cr,2p3/2,0.3162,574.1,0.6666666666666666
Cr,3s,1.7029,74.1,1.0
Cr,3p1/2,0.7071,42.2,0.3333333333333333
Cr,3p3/2,0.7071,42.2,0.6666666666666666
Cr,3d3/2,0.0162,2.0,0.4
Cr,3d5/2,0.0162,2.0,0.6
Mn,1s,1.1929,6539.0,1.0
Mn,2s,4.3753,769.1,1.0
Mn,2p1/2,0.7164,649.9,0.3333333333333333
Mn,2p3/2,0.3631,638.7,0.6666666666666666
Mn,3s,1.9454,82.3,1.0
Mn,3p1/2,0.8409,47.2,0.3333333333333333
Mn,3p3/2,0.8409,47.2,0.6666666666666666
Mn,3d3/2,0.0186,2.0,0.4
Mn,3d5/2,0.0186,2.0,0.6
Fe,1s,1.3089,7112.0,1.0
Fe,2s,4.5858,844.6,1.0
Fe,2p1/2,0.8956,719.9,0.3333333333333333
Fe,2p3/2,0.417,706.8,0.6666666666666666
Fe,3s,2.2223,91.3,1.0
Fe,3p1/2,1.0,52.7,0.3333333333333333
Fe,3p3/2,1.0,52.7,0.6666666666666666
Fe,3d3/2,0.0215,2.0,0.4
Fe,3d5/2,0.0215,2.0,0.6
Co,1s,1.4362,7709.0,1.0
Co,2s,4.8065,925.1,1.0
Co,2p1/2,1.1198,793.2,0.3333333333333333
Co,2p3/2,0.4789,778.1,0.6666666666666666
Co,3s,2.5386,101.0,1.0
Co,3p1/2,1.1892,58.9,0.3333333333333333
Co,3p3/2,1.1892,59.9,0.6666666666666666
Co,3d3/2,0.0248,3.0,0.4
Co,3d5/2,0.0248,3.0,0.6
Ni,1s,1.5759,8333.0,1.0
Ni,2s,5.0377,1008.6,1.0
Ni,2p1/2,1.4,870.0,0.3333333333333333
Ni,2p3/2,0.55,852.7,0.6666666666666666
Ni,3s,2.9,110.8,1.0
Ni,3p1/2,1.4142,68.0,0.3333333333333333
Ni,3p3/2,1.4142,66.2,0.6666666666666666
Ni,3d3/2,0.0286,4.0,0.4
Ni,3d5/2,0.0286,4.0,0.6
Cu,1s,1.7292,8979.0,1.0
Cu,2s,5.2801,1096.7,1.0
Cu,2p1/2,1.1618,952.3,0.3333333333333333
Cu,2p3/2,0.596,932.7,0.6666666666666666
Cu,3s,2.5259,122.5,1.0
Cu,3p1/2,1.6818,77.3,0.3333333333333333
Cu,3p3/2,1.6818,75.1,0.6666666666666666
Cu,3d3/2,0.033,5.0,0.4
Cu,3d5/2,0.033,5.0,0.6
Zn,1s,1.8974,9659.0,1.0
Zn,2s,5.5342,1196.2,1.0
Zn,2p1/2,0.9641,1044.9,0.3333333333333333
Zn,2p3/2,0.6459,1021.8,0.6666666666666666
Zn,3s,2.2,139.8,1.0
Zn,3p1/2,2.0,91.4,0.3333333333333333
Zn,3p3/2,2.0,88.6,0.6666666666666666
Zn,3d3/2,0.0381,10.2,0.4
Zn,3d5/2,0.0381,10.1,0.6
Zn,4p1/2,0.001,1.0,0.3333333333333333
Zn,4p3/2,0.001,1.0,0.6666666666666666
Ga,1s,2.0819,10367.0,1.0
Ga,2s,5.8005,1299.0,1.0
Ga,2p1/2,0.8,1143.2,0.3333333333333333
Ga,2p3/2,0.7,1116.4,0.6666666666666666
Ga,3s,2.563,159.51,1.0
Ga,3p1/2,2.0532,103.5,0.3333333333333333
Ga,3p3/2,2.0532,100.0,0.6666666666666666
Ga,3d3/2,0.044,18.7,0.4
Ga,3d5/2,0.044,18.7,0.6
Ga,4s,0.0024,1.0,1.0
Ga,4p1/2,0.001,2.0,0.3333333333333333
Ga,4p3/2,0.001,2.0,0.6666666666666666
Ge,1s,2.2844,11103.0,1.0
Ge,2s,6.0796,1414.6,1.0
Ge,2p1/2,0.8703,1248.1,0.3333333333333333
Ge,2p3/2,0.7571,1217.0,0.6666666666666666
Ge,3s,2.9859,180.1,1.0
Ge,3p1/2,2.1077,124.9,0.3333333333333333
Ge,3p3/2,2.1077,120.8,0.6666666666666666
Ge,3d3/2,0.0508,29.8,0.4
Ge,3d5/2,0.0508,29.2,0.6
Ge,4s,0.0057,5.0,1.0
Ge,4p1/2,0.001,3.0,0.3333333333333333
Ge,4p3/2,0.001,3.0,0.6666666666666666
As,1s,2.5066,11867.0,1.0
As,2s,6.3721,1527.0,1.0
As,2p1/2,0.9467,1359.1,0.3333333333333333
As,2p3/2,0.819,1323.6,0.6666666666666666
As,3s,3.4785,204.7,1.0
As,3p1/2,2.1638,146.2,0.3333333333333333
As,3p3/2,2.1638,141.2,0.6666666666666666
As,3d3/2,0.0586,41.7,0.4
As,3d5/2,0.0586,41.7,0.6
As,4s,0.0137,8.0,1.0
As,4p1/2,0.001,3.0,0.3333333333333333
As,4p3/2,0.001,3.0,0.6666666666666666
Se,1s,2.7503,12658.0,1.0
Se,2s,6.6787,1652.0,1.0
Se,2p1/2,1.0299,1474.3,0.3333333333333333
Se,2p3/2,0.8858,1433.9,0.6666666666666666
Se,3s,4.0524,229.6,1.0
Se,3p1/2,2.2213,166.5,0.3333333333333333
Se,3p3/2,2.2213,160.7,0.6666666666666666
Se,3d3/2,0.0676,55.5,0.4
Se,3d5/2,0.0676,54.6,0.6
Se,4s,0.0329,12.0,1.0
Se,4p1/2,0.001,3.0,0.3333333333333333
Se,4p3/2,0.001,3.0,0.6666666666666666
Br,1s,3.0178,13474.0,1.0
Br,2s,7.0,1782.0,1.0
Br,2p1/2,1.1203,1596.0,0.3333333333333333
Br,2p3/2,0.9581,1550.0,0.6666666666666666
Br,3s,4.7211,257.0,1.0
Br,3p1/2,2.2804,189.0,0.3333333333333333
Br,3p3/2,2.2804,182.0,0.6666666666666666
Br,3d3/2,0.078,70.0,0.4
Br,3d5/2,0.078,69.0,0.6
Br,4s,0.0787,27.0,1.0
Br,4p1/2,0.001,3.0,0.3333333333333333
Br,4p3/2,0.001,3.0,0.6666666666666666
Kr,1s,3.3114,14326.0,1.0
Kr,2s,6.9284,1921.0,1.0
Kr,2p1/2,1.2187,1730.9,0.3333333333333333
Kr,2p3/2,1.0363,1678.4,0.6666666666666666
Kr,3s,5.5,292.8,1.0
Kr,3p1/2,2.341,222.2,0.3333333333333333
Kr,3p3/2,2.341,214.4,0.6666666666666666
Kr,3d3/2,0.09,95.0,0.4
Kr,3d5/2,0.09,93.8,0.6
Kr,4s,0.1886,27.5,1.0
Kr,4p1/2,0.001,14.1,0.3333333333333333
Kr,4p3/2,0.001,14.1,0.6666666666666666
Rb,1s,3.6334,15200.0,1.0
Rb,2s,6.8576,2065.0,1.0
Rb,2p1/2,1.3258,1864.0,0.3333333333333333
Rb,2p3/2,1.1209,1804.0,0.6666666666666666
Rb,3s,5.6969,326.7,1.0
Rb,3p1/2,2.4032,248.7,0.3333333333333333
Rb,3p3/2,2.4032,239.1,0.6666666666666666
Rb,3d3/2,0.0845,113.0,0.4
Rb,3d5/2,0.0845,112.0,0.6
Rb,4s,0.4515,30.5,1.0
Rb,4p1/2,0.001,16.3,0.3333333333333333
Rb,4p3/2,0.001,15.3,0.6666666666666666
Sr,1s,3.9868,16105.0,1.0
Sr,2s,6.7875,2216.0,1.0
Sr,2p1/2,1.4422,2007.0,0.3333333333333333
Sr,2p3/2,1.2124,1940.0,0.6666666666666666
Sr,3s,5.9008,358.7,1.0
Sr,3p1/2,2.4671,280.3,0.3333333333333333
Sr,3p3/2,2.4671,270.0,0.6666666666666666
Sr,3d3/2,0.0794,136.0,0.4
Sr,3d5/2,0.0794,134.2,0.6
Sr,4s,1.0812,38.9,1.0
Sr,4p1/2,0.001,21.6,0.3333333333333333
Sr,4p3/2,0.001,20.1,0.6666666666666666
Y,1s,4.3745,17038.0,1.0
Y,2s,6.7181,2373.0,1.0
Y,2p1/2,1.5689,2156.0,0.3333333333333333
Y,2p3/2,1.3114,2080.0,0.6666666666666666
Y,3s,6.112,392.0,1.0
Y,3p1/2,2.5327,310.6,0.3333333333333333
Y,3p3/2,2.5327,298.8,0.6666666666666666
Y,3d3/2,0.0745,157.7,0.4
Y,3d5/2,0.0745,155.8,0.6
Y,4s,2.5891,43.8,1.0
Y,4p1/2,0.001,24.4,0.3333333333333333
Y,4p3/2,0.001,23.1,0.6666666666666666
Zr,1s,4.8,17998.0,1.0
Zr,2s,6.6494,2532.0,1.0
Zr,2p1/2,1.7067,2307.0,0.3333333333333333
Zr,2p3/2,1.4185,2223.0,0.6666666666666666
Zr,3s,6.3307,430.3,1.0
Zr,3p1/2,2.6,343.5,0.3333333333333333
Zr,3p3/2,2.6,329.8,0.6666666666666666
Zr,3d3/2,0.07,181.1,0.4
Zr,3d5/2,0.07,178.8,0.6
Zr,4s,6.2,50.6,1.0
Zr,4p1/2,0.001,28.5,0.3333333333333333
Zr,4p3/2,0.001,27.1,0.6666666666666666
Nb,1s,5.1908,18986.0,1.0
Nb,2s,6.5814,2698.0,1.0
Nb,2p1/2,1.8566,2465.0,0.3333333333333333
Nb,2p3/2,1.5343,2371.0,0.6666666666666666
Nb,3s,6.5573,466.6,1.0
Nb,3p1/2,2.7374,376.1,0.3333333333333333
Nb,3p3/2,2.7374,360.6,0.6666666666666666
Nb,3d3/2,0.089,205.0,0.4
Nb,3d5/2,0.089,202.3,0.6
Nb,4s,6.3084,56.4,1.0
Nb,4p1/2,0.0436,32.6,0.3333333333333333
Nb,4p3/2,0.0436,30.8,0.6666666666666666
Mo,1s,5.6135,20000.0,1.0
Mo,2s,6.5141,2866.0,1.0
Mo,2p1/2,2.0197,2625.0,0.3333333333333333
Mo,2p3/2,1.6595,2520.0,0.6666666666666666
Mo,3s,6.792,506.3,1.0
Mo,3p1/2,2.8822,411.6,0.3333333333333333
Mo,3p3/2,2.8822,394.0,0.6666666666666666
Mo,3d3/2,0.1133,231.1,0.4
Mo,3d5/2,0.1133,227.9,0.6
Mo,4s,6.4188,63.2,1.0
Mo,4p1/2,1.9,37.6,0.3333333333333333
Mo,4p3/2,1.9,35.5,0.6666666666666666
Tc,1s,6.0705,21044.0,1.0
Tc,2s,6.4475,3043.0,1.0
Tc,2p1/2,2.1971,2793.0,0.3333333333333333
Tc,2p3/2,1.795,2677.0,0.6666666666666666
Tc,3s,7.0351,544.0,1.0
Tc,3p1/2,3.0345,447.6,0.3333333333333333
Tc,3p3/2,3.0345,417.7,0.6666666666666666
Tc,3d3/2,0.1441,257.6,0.4
Tc,3d5/2,0.1441,253.9,0.6
Tc,4s,6.531,69.5,1.0
Tc,4p1/2,2.576,42.3,0.3333333333333333
Tc,4p3/2,2.576,39.9,0.6666666666666666
Ru,1s,6.5648,22117.0,1.0
Ru,2s,6.3816,3224.0,1.0
Ru,2p1/2,2.3901,2967.0,0.3333333333333333
Ru,2p3/2,1.9415,2838.0,0.6666666666666666
Ru,3s,7.2869,586.1,1.0
Ru,3p1/2,3.1949,483.3,0.3333333333333333
Ru,3p3/2,3.1949,461.5,0.6666666666666666
Ru,3d3/2,0.1833,284.2,0.4
Ru,3d5/2,0.1833,280.0,0.6
Ru,4s,6.6452,75.0,1.0
Ru,4p1/2,3.4926,46.3,0.3333333333333333
Ru,4p3/2,3.4926,43.2,0.6666666666666666
Rh,1s,7.0993,23220.0,1.0
Rh,2s,6.3164,3412.0,1.0
Rh,2p1/2,2.6,3146.0,0.3333333333333333
Rh,2p3/2,2.1,3004.0,0.6666666666666666
Rh,3s,7.5478,628.1,1.0
Rh,3p1/2,3.3638,521.3,0.3333333333333333
Rh,3p3/2,3.3638,496.5,0.6666666666666666
Rh,3d3/2,0.2332,311.9,0.4
Rh,3d5/2,0.2332,307.2,0.6
Rh,4s,6.7614,81.4,1.0
Rh,4p1/2,4.7352,50.5,0.3333333333333333
Rh,4p3/2,4.7352,47.3,0.6666666666666666
Rh,4d3/2,0.0122,2.0,0.4
Rh,4d5/2,0.0122,2.0,0.6
Pd,1s,7.6773,24350.0,1.0
Pd,2s,6.2518,3604.0,1.0
Pd,2p1/2,2.6802,3330.0,0.3333333333333333
Pd,2p3/2,2.1727,3173.0,0.6666666666666666
Pd,3s,7.8179,671.6,1.0
Pd,3p1/2,3.5417,559.9,0.3333333333333333
Pd,3p3/2,3.5417,532.3,0.6666666666666666
Pd,3d3/2,0.2966,340.5,0.4
Pd,3d5/2,0.2966,335.2,0.6
Pd,4s,6.8797,87.1,1.0
Pd,4p1/2,6.42,55.7,0.3333333333333333
Pd,4p3/2,6.42,50.9,0.6666666666666666
Pd,4d3/2,0.0202,2.0,0.4
Pd,4d5/2,0.0202,2.0,0.6
Ag,1s,8.3024,25514.0,1.0
Ag,2s,6.1879,3806.0,1.0
Ag,2p1/2,2.7628,3524.0,0.3333333333333333
Ag,2p3/2,2.248,3351.0,0.6666666666666666
Ag,3s,8.0977,719.0,1.0
Ag,3p1/2,3.7289,603.8,0.3333333333333333
Ag,3p3/2,3.7289,573.0,0.6666666666666666
Ag,3d3/2,0.3773,374.0,0.4
Ag,3d5/2,0.3773,368.3,0.6
Ag,4s,7.0,97.0,1.0
Ag,4p1/2,8.7042,63.7,0.3333333333333333
Ag,4p3/2,8.7042,58.3,0.6666666666666666
Ag,4d3/2,0.0334,4.0,0.4
Ag,4d5/2,0.0334,4.0,0.6
Cd,1s,8.9784,26711.0,1.0
Cd,2s,6.1246,4018.0,1.0
Cd,2p1/2,2.848,3727.0,0.3333333333333333
Cd,2p3/2,2.3259,3538.0,0.6666666666666666
Cd,3s,8.3876,772.0,1.0
Cd,3p1/2,3.926,652.6,0.3333333333333333
Cd,3p3/2,3.926,618.4,0.6666666666666666
Cd,3d3/2,0.48,411.9,0.4
Cd,3d5/2,0.48,405.2,0.6
Cd,4s,5.3924,109.8,1.0
Cd,4p1/2,11.8012,63.9,0.3333333333333333
Cd,4p3/2,11.8012,63.9,0.6666666666666666
Cd,4d3/2,0.0551,11.7,0.4
Cd,4d5/2,0.0551,10.7,0.6
In,1s,9.7094,27940.0,1.0
In,2s,6.062,4238.0,1.0
In,2p1/2,2.9358,3938.0,0.3333333333333333
In,2p3/2,2.4065,3730.0,0.6666666666666666
In,3s,8.6878,827.2,1.0
In,3p1/2,4.1335,703.2,0.3333333333333333
In,3p3/2,4.1335,665.3,0.6666666666666666
In,3d3/2,0.5166,451.4,0.4
In,3d5/2,0.5094,443.9,0.6
In,4s,4.154,122.9,1.0
In,4p1/2,16.0,73.5,0.3333333333333333
In,4p3/2,16.0,73.5,0.6666666666666666
In,4d3/2,0.0909,17.7,0.4
In,4d5/2,0.0909,16.9,0.6
Sn,1s,10.5,29200.0,1.0
Sn,2s,6.0,4465.0,1.0
Sn,2p1/2,3.0263,4156.0,0.3333333333333333
Sn,2p3/2,2.4898,3929.0,0.6666666666666666
Sn,3s,8.9987,884.7,1.0
Sn,3p1/2,4.3521,756.5,0.3333333333333333
Sn,3p3/2,4.3521,714.6,0.6666666666666666
Sn,3d3/2,0.5559,493.2,0.4
Sn,3d5/2,0.5406,484.9,0.6
Sn,4s,3.2,137.1,1.0
Sn,4p1/2,11.209,83.6,0.3333333333333333
Sn,4p3/2,11.209,83.6,0.6666666666666666
Sn,4d3/2,0.15,24.9,0.4
Sn,4d5/2,0.15,23.9,0.6
Sb,1s,11.2536,30491.0,1.0
Sb,2s,4.7117,4698.0,1.0
Sb,2p1/2,3.1196,4380.0,0.3333333333333333
Sb,2p3/2,2.5761,4132.0,0.6666666666666666
Sb,3s,9.3208,940.0,1.0
Sb,3p1/2,4.5821,812.7,0.3333333333333333
Sb,3p3/2,4.5821,766.4,0.6666666666666666
Sb,3d3/2,0.5982,537.5,0.4
Sb,3d5/2,0.5738,528.2,0.6
Sb,4s,3.5425,153.2,1.0
Sb,4p1/2,7.8527,95.6,0.3333333333333333
Sb,4p3/2,7.8527,95.6,0.6666666666666666
Sb,4d3/2,0.1383,33.3,0.4
Sb,4d5/2,0.1383,32.1,0.6
Sb,5s,0.1,7.0,1.0
Sb,5p1/2,0.1,2.0,0.3333333333333333
Sb,5p3/2,0.1,2.0,0.6666666666666666
Te,1s,12.0613,31814.0,1.0
Te,2s,3.7,4939.0,1.0
Te,2p1/2,3.2158,4612.0,0.3333333333333333
Te,2p3/2,2.6653,4341.0,0.6666666666666666
Te,3s,9.6544,1006.0,1.0
Te,3p1/2,4.8243,870.8,0.3333333333333333
Te,3p3/2,4.8243,820.8,0.6666666666666666
Te,3d3/2,0.6438,583.4,0.4
Te,3d5/2,0.6089,573.0,0.6
Te,4s,3.9216,169.4,1.0
Te,4p1/2,5.5013,103.3,0.3333333333333333
Te,4p3/2,5.5013,103.3,0.6666666666666666
Te,4d3/2,0.1275,41.9,0.4
Te,4d5/2,0.1275,40.4,0.6
Te,5s,0.1,12.0,1.0
Te,5p1/2,0.1,2.0,0.3333333333333333
Te,5p3/2,0.1,2.0,0.6666666666666666
I,1s,12.927,33169.0,1.0
I,2s,3.8262,5188.0,1.0
I,2p1/2,3.3149,4852.0,0.3333333333333333
I,2p3/2,2.7576,4557.0,0.6666666666666666
I,3s,10.0,1072.0,1.0
I,3p1/2,5.0794,931.0,0.3333333333333333
I,3p3/2,5.0794,875.0,0.6666666666666666
I,3d3/2,0.6928,630.8,0.4
I,3d5/2,0.6462,619.3,0.6
I,4s,4.3413,186.0,1.0
I,4p1/2,3.854,123.0,0.3333333333333333
I,4p3/2,3.854,123.0,0.6666666666666666
I,4d3/2,0.1176,50.6,0.4
I,4d5/2,0.1176,48.9,0.6
I,5s,0.1,14.0,1.0
I,5p1/2,0.1,3.0,0.3333333333333333
I,5p3/2,0.1,3.0,0.6666666666666666
Xe,1s,13.8548,34561.0,1.0
Xe,2s,3.9566,5453.0,1.0
Xe,2p1/2,3.4171,5107.0,0.3333333333333333
Xe,2p3/2,2.8532,4786.0,0.6666666666666666
Xe,3s,10.2963,1148.7,1.0
Xe,3p1/2,5.3479,1002.1,0.3333333333333333
Xe,3p3/2,5.3479,940.6,0.6666666666666666
Xe,3d3/2,0.7456,689.0,0.4
Xe,3d5/2,0.6858,676.4,0.6
Xe,4s,4.8059,213.2,1.0
Xe,4p1/2,2.7,146.7,0.3333333333333333
Xe,4p3/2,2.7,145.5,0.6666666666666666
Xe,4d3/2,0.1084,69.5,0.4
Xe,4d5/2,0.1084,67.5,0.6
Xe,5s,0.1,23.3,1.0
Xe,5p1/2,0.1,13.4,0.3333333333333333
Xe,5p3/2,0.1,12.1,0.6666666666666666
Cs,1s,14.8492,35985.0,1.0
Cs,2s,4.0915,5714.0,1.0
Cs,2p1/2,3.5225,5359.0,0.3333333333333333
Cs,2p3/2,2.952,5012.0,0.6666666666666666
Cs,3s,10.6014,1211.0,1.0
Cs,3p1/2,5.6306,1071.0,0.3333333333333333
Cs,3p3/2,5.6306,1003.0,0.6666666666666666
Cs,3d3/2,0.8024,740.5,0.4
Cs,3d5/2,0.7278,726.6,0.6
Cs,4s,5.3202,232.3,1.0
Cs,4p1/2,2.9787,172.4,0.3333333333333333
Cs,4p3/2,2.9787,161.3,0.6666666666666666
Cs,4d3/2,0.1,79.8,0.4
Cs,4d5/2,0.1,77.5,0.6
Cs,5s,0.1,22.7,1.0
Cs,5p1/2,0.1,14.2,0.3333333333333333
Cs,5p3/2,0.1,12.1,0.6666666666666666
Ba,1s,15.915,37441.0,1.0
Ba,2s,4.231,5989.0,1.0
Ba,2p1/2,3.6311,5624.0,0.3333333333333333
Ba,2p3/2,3.0543,5247.0,0.6666666666666666
Ba,3s,10.9156,1293.0,1.0
Ba,3p1/2,5.9283,1137.0,0.3333333333333333
Ba,3p3/2,5.9283,1063.0,0.6666666666666666
Ba,3d3/2,0.8635,795.7,0.4
Ba,3d5/2,0.7724,780.5,0.6
Ba,4s,5.8896,253.5,1.0
Ba,4p1/2,3.2861,192.0,0.3333333333333333
Ba,4p3/2,3.2861,178.6,0.6666666666666666
Ba,4d3/2,0.1516,92.6,0.4
Ba,4d5/2,0.1516,89.9,0.6
Ba,5s,0.1,30.3,1.0
Ba,5p1/2,0.1,17.0,0.3333333333333333
Ba,5p3/2,0.1,14.8,0.6666666666666666
La,1s,17.0573,38925.0,1.0
La,2s,4.3753,6266.0,1.0
La,2p1/2,3.743,5891.0,0.3333333333333333
La,2p3/2,3.1601,5483.0,0.6666666666666666
La,3s,11.239,1362.0,1.0
La,3p1/2,6.2416,1209.0,0.3333333333333333
La,3p3/2,6.2416,1128.0,0.6666666666666666
La,3d3/2,0.9292,853.0,0.4
La,3d5/2,0.8198,836.0,0.6
La,4s,6.5199,274.7,1.0
La,4p1/2,3.6253,205.8,0.3333333333333333
La,4p3/2,3.6253,196.0,0.6666666666666666
La,4d3/2,0.2297,105.3,0.4
La,4d5/2,0.2297,102.5,0.6
La,5s,0.1,34.3,1.0
La,5p1/2,0.1,19.3,0.3333333333333333
La,5p3/2,0.1,16.8,0.6666666666666666
Ce,1s,18.2816,40443.0,1.0
Ce,2s,4.5244,6548.0,1.0
Ce,2p1/2,3.8584,6164.0,0.3333333333333333
Ce,2p3/2,3.2696,5723.0,0.6666666666666666
Ce,3s,11.5721,1436.0,1.0
Ce,3p1/2,6.5716,1274.0,0.3333333333333333
Ce,3p3/2,6.5716,1187.0,0.6666666666666666
Ce,3d3/2,1.0,902.4,0.4
Ce,3d5/2,0.87,883.8,0.6
Ce,4s,7.2177,291.0,1.0
Ce,4p1/2,3.9995,223.2,0.3333333333333333
Ce,4p3/2,3.9995,206.5,0.6666666666666666
Ce,4d3/2,0.3482,109.0,0.4
Ce,4d5/2,0.3482,109.0,0.6
Ce,4f5/2,0.001,0.1,0.42857142857142855
Ce,4f7/2,0.001,0.1,0.5714285714285714
Ce,5s,0.1,37.8,1.0
Ce,5p1/2,0.1,19.8,0.3333333333333333
Ce,5p3/2,0.1,17.0,0.6666666666666666
Pr,1s,19.5937,41991.0,1.0
Pr,2s,4.6787,6835.0,1.0
Pr,2p1/2,3.9774,6440.0,0.3333333333333333
Pr,2p3/2,3.3828,5964.0,0.6666666666666666
Pr,3s,11.915,1511.0,1.0
Pr,3p1/2,6.919,1337.0,0.3333333333333333
Pr,3p3/2,6.919,1242.0,0.6666666666666666
