atom,level,width,BE,intensity
H,1s,0.0201,13.6,1.0
He,1s,0.0269,24.6,1.0
Li,1s,0.036,54.7,1.0
Li,2s,0.1126,5.3,1.0
Be,1s,0.0483,111.5,1.0
Be,2s,0.1426,8.0,1.0
Be,2p1/2,0.0025,3.0,0.3333333333333333
Be,2p3/2,0.0025,3.0,0.6666666666666666
B,1s,0.0647,188.0,1.0
B,2s,0.1806,12.6,1.0
B,2p1/2,0.0033,4.7,0.3333333333333333
B,2p3/2,0.0033,4.7,0.6666666666666666
C,1s,0.0868,284.2,1.0
C,2s,0.2287,18.0,1.0
C,2p1/2,0.0045,7.2,0.3333333333333333
C,2p3/2,0.0045,7.2,0.6666666666666666
N,1s,0.1163,409.9,1.0
N,2s,0.2897,37.3,1.0
N,2p1/2,0.006,17.5,0.3333333333333333
N,2p3/2,0.006,17.5,0.6666666666666666
O,1s,0.1559,543.1,1.0
O,2s,0.367,41.6,1.0
O,2p1/2,0.0081,18.2,0.3333333333333333
O,2p3/2,0.0081,18.2,0.6666666666666666
F,1s,0.2089,696.7,1.0
F,2s,0.4648,45.0,1.0
F,2p1/2,0.011,19.9,0.3333333333333333
F,2p3/2,0.011,19.9,0.6666666666666666
Ne,1s,0.28,870.2,1.0
Ne,2s,0.5887,48.5,1.0
Ne,2p1/2,0.0148,21.7,0.3333333333333333
Ne,2p3/2,0.0148,21.6,0.6666666666666666
Na,1s,0.309,1070.8,1.0
Na,2s,0.7457,63.5,1.0
Na,2p1/2,0.02,30.4,0.3333333333333333
Na,2p3/2,0.02,30.5,0.6666666666666666
Mg,1s,0.341,1303.0,1.0
Mg,2s,0.9445,88.6,1.0
Mg,2p1/2,0.0269,49.6,0.3333333333333333
Mg,2p3/2,0.0269,49.21,0.6666666666666666
Mg,3s,0.0546,2.0,1.0
Mg,3p1/2,0.001,1.0,0.3333333333333333
Mg,3p3/2,0.001,1.0,0.6666666666666666
Al,1s,0.3763,1559.0,1.0
Al,2s,1.1963,117.8,1.0
Al,2p1/2,0.0363,72.9,0.3333333333333333
Al,2p3/2,0.0363,72.5,0.6666666666666666
Al,3s,0.0786,4.0,1.0
Al,3p1/2,0.001,2.0,0.3333333333333333
Al,3p3/2,0.001,2.0,0.6666666666666666
Si,1s,0.4153,1839.0,1.0
Si,2s,1.5153,149.7,1.0
Si,2p1/2,0.0489,99.8,0.3333333333333333
Si,2p3/2,0.0489,99.2,0.6666666666666666
Si,3s,0.113,8.0,1.0
Si,3p1/2,0.001,2.0,0.3333333333333333
Si,3p3/2,0.001,2.0,0.6666666666666666
P,1s,0.4583,2145.5,1.0
P,2s,1.9193,189.0,1.0
P,2p1/2,0.066,136.0,0.3333333333333333
P,2p3/2,0.066,135.0,0.6666666666666666
P,3s,0.1625,12.0,1.0
P,3p1/2,0.001,7.0,0.3333333333333333
P,3p3/2,0.001,6.0,0.6666666666666666
S,1s,0.5057,2472.0,1.0
S,2s,2.431,230.9,1.0
S,2p1/2,0.089,163.6,0.3333333333333333
S,2p3/2,0.089,162.5,0.6666666666666666
S,3s,0.2338,14.0,1.0
S,3p1/2,0.001,8.0,0.3333333333333333
S,3p3/2,0.001,7.0,0.6666666666666666
Cl,1s,0.5581,2822.0,1.0
Cl,2s,3.0791,270.0,1.0
Cl,2p1/2,0.12,202.0,0.3333333333333333
Cl,2p3/2,0.12,200.0,0.6666666666666666
Cl,3s,0.3362,18.0,1.0
Cl,3p1/2,0.001,10.0,0.3333333333333333
Cl,3p3/2,0.001,10.0,0.6666666666666666
Ar,1s,0.6159,3205.9,1.0
Ar,2s,3.9,326.3,1.0
Ar,2p1/2,0.15,250.6,0.3333333333333333
Ar,2p3/2,0.1378,248.4,0.6666666666666666
Ar,3s,0.4835,29.3,1.0
