,1s,2s,2p,3s,3p,3d,4s,4p,4d,5s,5p,4f,5d,6s,6p
Zr,17998.0,2532.0,2223.0,430.3,329.8,178.8,50.6,27.1,,,,,,,
Nb,18986.0,2698.0,2371.0,466.6,360.6,202.3,56.4,30.8,,,,,,,
Mo,20000.0,2866.0,2520.0,506.3,394.0,227.9,63.2,35.5,,,,,,,
Tc,21044.0,3043.0,2677.0,544.0,417.7,253.9,69.5,39.9,,,,,,,
Ru,22117.0,3224.0,2838.0,586.1,461.4,280.0,75.0,43.2,,,,,,,
Rh,23220.0,3412.0,3004.0,628.1,496.5,307.2,81.4,47.3,,,,,,,
Pd,24350.0,3604.0,3173.0,671.6,532.3,335.2,87.1,50.9,,,,,,,
Ag,25514.0,3806.0,3351.0,719.0,573.0,368.3,97.0,58.3,,,,,,,
Cd,26711.0,4018.0,3538.0,772.0,618.4,405.2,109.8,63.9,0.7,,,,,,
In,27940.0,4238.0,3730.0,827.2,665.3,443.9,122.9,73.5,16.9,,,,,,
Sn,29200.0,4465.0,3929.0,884.7,714.6,484.9,137.1,83.6,23.9,,,,,,
Sb,30491.0,4698.0,4132.0,946.0,766.4,528.2,153.2,95.6,32.1,,,,,,
Te,31814.0,4939.0,4341.0,1006.0,820.0,573.0,169.4,103.3,40.4,,,,,,
I,33169.0,5188.0,4557.0,1072.0,875.0,619.3,186.0,123.0,48.9,,,,,,
Xe,34561.0,5453.0,4786.0,1148.7,940.6,676.4,213.2,145.5,67.5,23.3,12.1,,,,
Cs,35985.0,5714.0,5012.0,1211.0,1003.0,726.6,232.3,161.3,77.5,22.7,12.1,,,,
Ba,37441.0,5989.0,5247.0,1293.0,1063.0,780.5,253.5,178.6,89.9,30.3,14.8,,,,
La,38925.0,6266.0,5483.0,1362.0,1128.0,836.0,274.7,196.0,102.5,34.3,16.8,,,,
Ce,40443.0,6549.0,5723.0,1436.0,1187.0,883.8,291.0,206.5,,37.8,17.0,0.1,,,
Pr,41991.0,6835.0,5964.0,1511.0,1242.0,928.8,304.5,217.6,115.1,37.4,22.3,2.0,,,
Nd,43569.0,7126.0,6208.0,1575.0,1297.0,980.4,319.2,224.6,120.5,37.5,21.1,1.5,,,
Pm,45184.0,7428.0,6459.0,,1357.0,1027.0,,242.0,120.0,,,,,,
Sm,46834.0,7737.0,6716.0,1723.0,1420.0,1083.4,347.2,247.4,129.0,37.4,21.3,5.2,,,
Eu,48519.0,8052.0,6977.0,1800.0,1481.0,1127.5,360.0,257.0,127.7,32.0,22.0,0.0,,,
Gd,50239.0,8376.0,7243.0,1881.0,1544.0,1189.6,378.6,271.0,142.6,36.0,21.0,8.6,,,
Tb,51996.0,8708.0,7514.0,1968.0,1611.0,1241.1,396.0,284.1,150.5,45.6,22.6,2.4,,,
Dy,53789.0,9046.0,7790.0,2047.0,1676.0,1292.6,414.2,293.2,153.6,49.9,26.3,4.3,,,
Ho,55618.0,9394.0,8071.0,2128.0,1741.0,1351.0,432.4,308.2,160.0,49.3,24.1,5.2,,,
Er,57486.0,9751.0,8358.0,2207.0,1812.0,1409.0,449.8,320.2,167.6,50.6,24.7,4.7,,,
Tm,59390.0,10116.0,8648.0,2307.0,1885.0,1468.0,470.9,332.6,175.5,54.7,25.0,4.6,,,
Yb,61332.0,10486.0,8944.0,2398.0,1950.0,1528.0,480.5,339.7,182.4,52.0,24.1,1.3,,,
Lu,63314.0,10870.0,9244.0,2491.0,2024.0,1589.0,506.8,359.2,196.3,57.3,26.7,7.5,,,
Hf,65351.0,11271.0,9561.0,2601.0,2108.0,1662.0,538.0,380.7,211.5,64.2,29.9,14.2,,,
Ta,67416.0,11682.0,9881.0,2708.0,2194.0,1735.0,563.4,400.9,226.4,69.7,32.7,21.6,,,
W,69525.0,12100.0,10207.0,2820.0,2281.0,1809.0,594.1,423.6,243.5,75.6,36.8,31.4,,,
Re,71676.0,12527.0,10535.0,2932.0,2367.0,1883.0,625.4,446.8,260.5,83.0,34.6,40.5,,,
Os,73871.0,12968.0,10871.0,3049.0,2457.0,1960.0,658.2,470.7,278.5,84.0,44.5,50.7,,,
Ir,76111.0,13419.0,11215.0,3174.0,2551.0,2040.0,691.1,495.8,296.3,95.2,48.0,60.8,,,
Pt,78395.0,13880.0,11564.0,3296.0,2645.0,2122.0,725.4,519.4,314.6,101.7,51.7,71.2,,,
Au,80725.0,14353.0,11919.0,3425.0,2743.0,2206.0,762.1,546.3,335.1,107.2,57.2,84.0,,,
Hg,83102.0,14839.0,12284.0,3562.0,2847.0,2295.0,802.2,576.6,358.8,127.0,64.5,99.9,7.8,,
Tl,85530.0,15347.0,12658.0,3704.0,2957.0,2389.0,846.2,609.5,385.0,136.0,73.5,117.8,12.5,,
Pb,88005.0,15861.0,13035.0,3851.0,3066.0,2484.0,891.8,643.5,412.2,147.0,83.3,136.9,18.1,,
Bi,90524.0,16388.0,13419.0,3999.0,3177.0,2580.0,939.0,678.8,440.1,159.3,92.6,157.0,23.8,,
Po,93105.0,16939.0,13814.0,4149.0,3302.0,2683.0,995.0,705.0,473.0,177.0,104.0,184.0,31.0,,
At,95730.0,17493.0,14214.0,4317.0,3426.0,2787.0,1042.0,740.0,507.0,195.0,115.0,210.0,40.0,,
Rn,98404.0,18049.0,14619.0,4482.0,3538.0,2892.0,1097.0,768.0,541.0,214.0,127.0,238.0,48.0,26.0,
Fr,101137.0,18639.0,15031.0,4652.0,3663.0,3000.0,1153.0,810.0,577.0,234.0,140.0,268.0,58.0,34.0,15.0
Ra,103922.0,19237.0,15444.0,4822.0,3792.0,3105.0,1208.0,879.0,603.0,254.0,153.0,299.0,68.0,44.0,19.0
Ac,106755.0,19840.0,15871.0,5002.0,3909.0,3219.0,1269.0,890.0,639.0,272.0,167.0,319.0,80.0,,
Th,109651.0,20472.0,16300.0,5182.0,4046.0,3332.0,1330.0,966.4,675.2,290.0,182.0,333.1,85.4,41.4,16.6
Pa,112601.0,21105.0,16733.0,5367.0,4174.0,3442.0,1387.0,1007.0,708.0,310.0,232.0,360.0,94.0,,
U,115606.0,21757.0,17166.0,5548.0,4303.0,3552.0,1439.0,1043.0,736.2,321.0,192.0,377.4,94.2,43.9,16.8
