,1s,2s,2p,3s,3p,3d,4s,4p,4d,5s,5p,4f,5d,6s,6p
H,13.6,,,,,,,,,,,,,,
He,24.6,,,,,,,,,,,,,,
Li,54.7,,,,,,,,,,,,,,
Be,111.5,,,,,,,,,,,,,,
B,188.0,,,,,,,,,,,,,,
C,284.2,,,,,,,,,,,,,,
N,409.9,37.3,,,,,,,,,,,,,
O,543.1,41.6,,,,,,,,,,,,,
F,696.7,,,,,,,,,,,,,,
Ne,870.2,48.5,21.6,,,,,,,,,,,,
Na,1070.8,63.5,30.81,,,,,,,,,,,,
Mg,1303.0,88.7,49.5,,,,,,,,,,,,
Al,1559.6,117.8,72.55,,,,,,,,,,,,
Si,1839.0,149.7,99.42,,,,,,,,,,,,
P,2145.5,189.0,135.0,,,,,,,,,,,,
S,2472.0,230.9,162.5,,,,,,,,,,,,
Cl,2822.4,270.0,200.0,,,,,,,,,,,,
Ar,3205.9,326.3,248.4,29.3,15.7,,,,,,,,,,
K,3608.4,378.6,294.6,34.8,18.3,,,,,,,,,,
Ca,4038.5,438.4,346.2,44.3,25.4,,,,,,,,,,
Sc,4492.0,498.0,398.7,51.1,28.3,,,,,,,,,,
Ti,4966.0,560.9,453.8,58.7,32.6,,,,,,,,,,
V,5465.0,626.7,512.1,66.3,37.2,,,,,,,,,,
Cr,5989.0,696.0,574.1,74.1,42.2,,,,,,,,,,
Mn,6539.0,769.1,638.7,82.3,47.2,,,,,,,,,,
Fe,7112.0,844.6,706.8,91.3,52.7,,,,,,,,,,
Co,7709.0,925.1,778.1,101.0,59.9,,,,,,,,,,
Ni,8333.0,1008.6,852.7,110.8,66.2,,,,,,,,,,
Cu,8979.0,1096.7,932.7,122.5,75.1,,,,,,,,,,
Zn,9659.0,1196.2,1021.8,139.8,88.6,10.1,,,,,,,,,
Ga,10367.0,1299.0,1116.4,159.5,100.0,18.7,,,,,,,,,
Ge,11103.0,1414.6,1217.0,180.1,120.8,29.2,,,,,,,,,
As,11867.0,1527.0,1323.6,204.7,141.2,41.7,,,,,,,,,
Se,12658.0,1652.0,1433.9,229.6,160.7,54.6,,,,,,,,,
Br,13474.0,1782.0,1550.0,257.0,182.0,69.0,,,,,,,,,
Kr,14326.0,1921.0,1678.4,292.8,214.4,93.8,27.5,14.1,,,,,,,
Rb,15200.0,2065.0,1804.0,326.7,239.1,112.0,30.5,15.3,,,,,,,
Sr,16105.0,2216.0,1940.0,358.7,270.0,134.2,38.9,20.1,,,,,,,
Y,17038.0,2373.0,2080.0,392.0,298.8,155.8,43.8,23.1,,,,,,,
