,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,22.706,22.615,21.326,,,,,,,0.039568,0.039791,0.026803
27.21,,,,,,,,,,,,,,,,9.7429,9.7085,9.0706,,,,,,,0.041666,0.041039,0.035161
40.81,,,,,,,,,,,,,,,,2.49,2.4786,2.2066,0.55403,0.55363,0.55564,,,,0.03506,0.034555,0.031445
54.42,,,,,,,,,,,,,,,,0.55199,0.54805,0.42698,0.45476,0.45357,0.38689,,,,0.028819,0.028419,0.026563
68.02,,,,,,,,,,,,,,,,0.12205,0.12104,0.064977,0.42077,0.41933,0.33365,0.22036,0.21957,0.21103,0.023233,0.023209,0.02202
81.63,,,,,,,,,,,,,,,,0.072258,0.072706,0.046453,0.40395,0.40254,0.31606,0.2005,0.19988,0.19318,0.018796,0.019012,0.018226
95.23,,,,,,,,,,,,,,,,0.10411,0.10539,0.093829,0.38996,0.38869,0.30817,0.18246,0.18198,0.17666,0.015952,0.015761,0.015217
108.84,,,,,,,,,,,,,,,,0.14274,0.14439,0.14037,0.37523,0.37416,0.30158,0.16655,0.16619,0.16192,0.013308,0.013273,0.012871
122.44,,,,,,,,,,,,,,,,0.17067,0.17265,0.17259,0.35957,0.35871,0.29411,0.15249,0.15224,0.14876,0.011234,0.011322,0.011033
136.05,,,,,,,,,,,,,,,,0.18711,0.18912,0.19113,0.34337,0.34273,0.28547,0.13994,0.13977,0.13692,0.0099526,0.0097996,0.0095753
149.65,,,,,,,,,,,,,,,,0.19432,0.19645,0.19952,0.32696,0.32651,0.27581,0.12864,0.12855,0.12621,0.0084381,0.0085718,0.0084026
163.26,,,,,,,,,,,,,,,,0.19519,0.19729,0.20086,0.3106,0.31033,0.26541,0.1185,0.11847,0.11653,0.0077225,0.007583,0.0074487
176.86,,,,,,,,,,,,,,,,0.19155,0.19365,0.19738,0.29454,0.29444,0.25458,0.10942,0.10945,0.10783,0.0066502,0.0067687,0.0066646
190.47,,,,,,,,,,,,,,,,0.18498,0.187,0.19069,0.27906,0.2791,0.24365,0.10134,0.10141,0.10006,0.0062019,0.0060984,0.006013
204.07,,,,,,,,,,,,,,,,0.17653,0.17854,0.18207,0.26434,0.26451,0.23289,0.094125,0.094239,0.093102,0.0054509,0.0055297,0.005464
217.68,,,,,,,2.8747,2.911,2.9508,,,,,,,0.16729,0.16916,0.17248,0.25047,0.25077,0.22245,0.087673,0.087822,0.086863,0.0050858,0.0050513,0.0049945
231.28,,,,,,,2.7102,2.7455,2.7825,,,,,,,0.15756,0.15947,0.16255,0.23747,0.23787,0.21243,0.081862,0.082042,0.081233,0.0046312,0.0046288,0.0045865
244.89,,,,,,,2.5558,2.59,2.6243,,,,,,,0.14815,0.14986,0.1527,0.22529,0.22577,0.20284,0.076599,0.076806,0.07612,0.0042036,0.004265,0.0042271
258.49,,,,,,,2.4108,2.4439,2.4757,,,,,,,0.13877,0.14052,0.14313,0.21384,0.21441,0.19367,0.071808,0.072039,0.071458,0.0040126,0.0039361,0.0039072
272.1,,,,,,,2.2743,2.3064,2.3358,,,,,,,0.12997,0.13157,0.13395,0.20308,0.20372,0.18492,0.067437,0.067689,0.067196,0.0035528,0.0036441,0.0036204
285.7,,,,,,,2.1457,2.1767,2.2038,,,,,,,0.12153,0.12306,0.12523,0.19297,0.19368,0.17658,0.063444,0.063714,0.063295,0.0034159,0.0033833,0.0033623
299.31,,,,,,,2.0246,2.0546,2.0795,,,,,,,0.11351,0.11504,0.11701,0.18348,0.18425,0.16867,0.059794,0.060082,0.059726,0.0031492,0.0031442,0.0031296
312.91,,,,,,,1.9109,1.9398,1.9627,,,,,,,0.10617,0.10753,0.10932,0.17461,0.17543,0.16118,0.056457,0.056759,0.056457,0.0028565,0.0029333,0.0029195
326.52,,,,,,,1.8045,1.8324,1.8533,,,,,,,0.099156,0.10053,0.10215,0.16631,0.16718,0.15412,0.053399,0.053714,0.053458,0.0027943,0.0027406,0.0027296
