,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5s,5s,5s
353.73,,,,,,,1.6269,1.6535,1.6696,,,,,,,0.12869,0.13054,0.13242,0.16353,0.16466,0.15279,0.051327,0.051751,0.051452,0.0025381,0.0025795,0.0025651
367.33,,,,,,,1.5432,1.5688,1.5834,,,,,,,0.12079,0.12259,0.12428,0.15633,0.15749,0.14652,0.048817,0.049249,0.048985,0.0024595,0.0024267,0.002415
380.94,,,,,,,1.4647,1.4894,1.5027,,,,,,,0.11348,0.1152,0.11673,0.14957,0.15075,0.14059,0.046489,0.046926,0.046694,0.0022482,0.0022871,0.0022778
394.54,,,,,,,1.3912,1.415,1.427,0.35616,0.36322,0.34501,,,,0.10671,0.10834,0.10971,0.14321,0.14441,0.13498,0.044325,0.044768,0.044563,0.0021217,0.0021613,0.0021521
408.15,,,,,,,1.3222,1.3452,1.356,0.34758,0.35465,0.33718,,,,0.10038,0.10196,0.1032,0.13722,0.13845,0.12967,0.04231,0.042757,0.042576,0.0020704,0.0020443,0.002037
421.75,,,,,,,1.2573,1.2795,1.2892,0.33919,0.34628,0.32951,,,,0.09451,0.096017,0.097129,0.13156,0.1328,0.12463,0.040423,0.040875,0.040715,0.0019064,0.0019366,0.001931
435.36,,,,,,,1.1962,1.2176,1.2262,0.33104,0.33813,0.32202,,,,0.089057,0.090483,0.091482,0.12622,0.12747,0.11984,0.03866,0.039115,0.038973,0.0017922,0.0018392,0.0018335
448.96,,,,,,,1.1387,1.1593,1.167,0.32309,0.33019,0.3147,,,,0.083941,0.085326,0.086221,0.12117,0.12243,0.1153,0.03701,0.037467,0.037341,0.0017654,0.0017484,0.0017436
462.57,,,,,,,1.0845,1.1043,1.1111,0.31535,0.32244,0.30754,,,,0.079189,0.080515,0.081315,0.11638,0.11766,0.11097,0.03546,0.035919,0.035807,0.0016524,0.0016639,0.0016606
476.17,,,,,,,1.0334,1.0525,1.0585,0.30783,0.31491,0.30057,0.065453,0.067547,0.067039,0.074781,0.076031,0.076746,0.11186,0.11314,0.10687,0.034008,0.034469,0.034368,0.0015345,0.0015872,0.0015838
489.78,,,,,,,0.98535,1.0037,1.0089,0.30052,0.3076,0.29378,0.064021,0.066115,0.065623,0.070643,0.071851,0.072488,0.10758,0.10886,0.10297,0.032645,0.033107,0.033017,0.0015136,0.001516,0.0015128
503.38,,,,,,,0.94008,0.95778,0.96227,0.29344,0.3005,0.28718,0.062635,0.064729,0.064251,0.066789,0.067956,0.06852,0.10353,0.10481,0.099271,0.031364,0.031827,0.031746,0.0014579,0.0014488,0.0014467
516.99,,,,,,,0.89747,0.9145,0.91833,0.28658,0.29362,0.28077,0.061297,0.06339,0.062925,0.063222,0.064324,0.064823,0.099693,0.10098,0.095756,0.03016,0.030623,0.03055,0.0013433,0.0013871,0.0013853
530.59,,,,,,,0.85731,0.87371,0.87691,0.27993,0.28695,0.27454,0.060001,0.062093,0.06164,0.059882,0.060936,0.061375,0.096059,0.097347,0.092416,0.029025,0.029488,0.029422,0.0012988,0.0013302,0.001328
544.2,,,,,,,0.81944,0.83522,0.83785,0.27348,0.28047,0.26848,0.058746,0.060836,0.060394,0.056747,0.057771,0.058157,0.092613,0.0939,0.089239,0.027954,0.028418,0.028357,0.0012887,0.001276,0.0012743
557.8,,,,,,,0.78369,0.79887,0.80097,0.26723,0.27419,0.2626,0.057529,0.059617,0.059185,0.053836,0.054814,0.055149,0.089341,0.090626,0.086214,0.026942,0.027406,0.027351,0.0012097,0.0012249,0.001224
571.41,,,,,,,0.7499,0.76451,0.76611,0.26116,0.26809,0.25687,0.056348,0.058434,0.058011,0.051121,0.052046,0.052336,0.08623,0.087512,0.083331,0.025985,0.026448,0.026397,0.0011305,0.0011778,0.0011766
585.01,,,,,,,0.71791,0.73197,0.73311,0.25525,0.26215,0.25129,0.0552,0.057282,0.056868,0.048557,0.049452,0.049701,0.083269,0.084546,0.080579,0.025078,0.02554,0.025493,0.0011208,0.0011333,0.0011319
598.62,,,,,,,0.68763,0.70115,0.70186,0.24951,0.25637,0.24586,0.054084,0.056163,0.055755,0.046151,0.04702,0.047231,0.080447,0.08172,0.077951,0.024217,0.024679,0.024635,0.0011,0.0010904,0.0010896
612.22,,,,,,,0.65893,0.67193,0.67225,0.24393,0.25075,0.24056,0.053,0.055074,0.054673,0.043914,0.044738,0.044914,0.077757,0.079025,0.075439,0.0234,0.023861,0.023819,0.0010225,0.0010501,0.0010496
625.83,,,,,,,0.63174,0.64424,0.64419,0.2385,0.24528,0.2354,0.051947,0.054016,0.053621,0.041812,0.042595,0.04274,0.075193,0.076454,0.07304,0.022624,0.023083,0.023044,0.00097097,0.0010126,0.0010118
639.43,,,,,,,0.60594,0.61795,0.61757,0.23322,0.23995,0.23036,0.050921,0.052985,0.052596,0.039819,0.040581,0.040697,0.072742,0.073996,0.070741,0.021885,0.022343,0.022306,0.00097181,0.00097675,0.00097579
653.04,,,,,,,0.58148,0.59302,0.59232,0.22809,0.23478,0.22547,0.049925,0.051984,0.0516,0.037952,0.038689,0.038778,0.070404,0.07165,0.068544,0.021182,0.021639,0.021603,0.00094697,0.00094212,0.00094167
666.64,,,,,,,0.55828,0.56937,0.56838,0.22311,0.22975,0.2207,0.048959,0.051011,0.050633,0.036212,0.03691,0.036975,0.068172,0.069411,0.066443,0.020514,0.020969,0.020935,0.00087918,0.00090959,0.00090928
680.25,,,,,,,0.53626,0.54691,0.54566,0.21827,0.22486,0.21607,0.04802,0.050066,0.049691,0.034569,0.035235,0.035277,0.06604,0.067269,0.064431,0.019877,0.020331,0.020297,0.00084108,0.00087922,0.00087849
693.85,,,,,,,0.51537,0.52559,0.5241,0.21357,0.22011,0.21156,0.047109,0.049149,0.048778,0.03301,0.033658,0.033681,0.064004,0.065224,0.062507,0.019271,0.019723,0.01969,0.00084506,0.00085007,0.00084926
707.46,,,,,,,0.49552,0.50533,0.50361,0.20901,0.2155,0.20718,0.046224,0.048257,0.047889,0.031546,0.032173,0.032177,0.062056,0.063268,0.060663,0.018692,0.019143,0.01911,0.00082518,0.00082187,0.00082145
721.06,,,,,,,0.47665,0.48606,0.48413,0.20459,0.21102,0.20292,0.045364,0.04739,0.047025,0.030178,0.030771,0.030758,0.060194,0.061395,0.058896,0.01814,0.018589,0.018557,0.00076779,0.00079532,0.000795
734.67,,,,,,,0.45868,0.46772,0.46559,0.20028,0.20666,0.19877,0.044527,0.046546,0.046183,0.02888,0.029446,0.029418,0.05841,0.059601,0.057201,0.017613,0.01806,0.018027,0.00073292,0.0007705,0.00076981
748.27,,,,,,,0.44159,0.45026,0.44795,0.1961,0.20243,0.19474,0.043713,0.045725,0.045364,0.027643,0.028195,0.028152,0.056701,0.057882,0.055576,0.017109,0.017553,0.017521,0.00073708,0.00074669,0.00074583
761.88,,,,,,,0.4253,0.4336,0.43114,0.19204,0.19831,0.1908,0.042921,0.044925,0.044566,0.026476,0.02701,0.026955,0.055062,0.056232,0.054014,0.016626,0.017069,0.017036,0.00072768,0.00072355,0.00072298
775.48,,,,,,,0.40976,0.41772,0.41511,0.18808,0.19429,0.18697,0.042149,0.044145,0.043788,0.025382,0.025889,0.025821,0.053488,0.054648,0.052512,0.016163,0.016604,0.016571,0.00068143,0.00070161,0.00070119
789.09,,,,,,,0.39494,0.40256,0.39981,0.18422,0.19038,0.18323,0.041397,0.043384,0.043029,0.024343,0.024825,0.024747,0.051977,0.053126,0.051067,0.01572,0.016158,0.016125,0.00064387,0.00068111,0.0006804
802.69,,,,,,,0.38079,0.38809,0.38522,0.18047,0.18657,0.17959,0.040664,0.042643,0.042288,0.023349,0.023817,0.023729,0.050525,0.051663,0.049678,0.015294,0.01573,0.015697,0.00064353,0.00066153,0.00066056
816.3,,,,,,,0.36729,0.37427,0.37128,0.17682,0.18286,0.17604,0.039949,0.041919,0.041566,0.022405,0.02286,0.022763,0.04913,0.050256,0.04834,0.014886,0.01532,0.015286,0.00064562,0.00064244,0.00064162
829.9,,,,,,,0.35439,0.36107,0.35798,0.17327,0.17924,0.17258,0.039252,0.041214,0.040861,0.021518,0.021952,0.021847,0.047787,0.048902,0.047051,0.014494,0.014925,0.01489,0.00061435,0.00062412,0.00062352
843.51,,,,,,,0.34207,0.34846,0.34527,0.1698,0.17572,0.1692,0.038573,0.040526,0.040173,0.020679,0.021089,0.020977,0.046496,0.047599,0.045809,0.014117,0.014546,0.014511,0.00057385,0.00060697,0.00060622
857.11,,,,,,,0.33029,0.3364,0.33313,0.16643,0.17228,0.16591,0.037911,0.039855,0.039503,0.019874,0.02027,0.020151,0.045254,0.046345,0.044614,0.013755,0.014182,0.014145,0.0005627,0.00059075,0.00058968
870.72,,,,,,,0.31904,0.32487,0.32153,0.16315,0.16894,0.16271,0.037267,0.039201,0.038849,0.019105,0.019491,0.019366,0.044058,0.045138,0.043461,0.013407,0.013831,0.013794,0.00057102,0.00057497,0.00057386
884.32,,,,,,,0.30828,0.31385,0.31044,0.15996,0.16569,0.15958,0.036638,0.038563,0.038211,0.018379,0.01875,0.018619,0.042907,0.043975,0.042351,0.013073,0.013494,0.013456,0.00055933,0.0005596,0.0005587
897.93,,,,,,,0.29799,0.30329,0.29982,0.15686,0.16252,0.15654,0.036026,0.037941,0.037589,0.017694,0.018044,0.017909,0.041798,0.042854,0.04128,0.012751,0.01317,0.013131,0.00052329,0.00054505,0.00054418
911.53,,,,,,,0.28813,0.29319,0.28967,0.15383,0.15943,0.15357,0.035429,0.037334,0.036982,0.01704,0.017373,0.017234,0.04073,0.041774,0.040246,0.012441,0.012857,0.012817,0.00049825,0.00053138,0.00053026
925.14,,,,,,,0.2787,0.28351,0.27994,0.15089,0.15642,0.15068,0.034847,0.036742,0.036389,0.016409,0.016733,0.01659,0.039701,0.040732,0.03925,0.012142,0.012556,0.012515,0.0005009,0.00051823,0.00051689
938.74,,,,,,,0.26965,0.27424,0.27063,0.14802,0.15349,0.14786,0.034279,0.036165,0.035811,0.015808,0.016123,0.015977,0.038708,0.039728,0.038287,0.011855,0.012266,0.012224,0.00050612,0.0005053,0.00050405
952.35,,,,,,,0.26098,0.26534,0.2617,0.14523,0.15064,0.14511,0.033725,0.035601,0.035247,0.015242,0.015541,0.015392,0.03775,0.038758,0.037358,0.011577,0.011986,0.011944,0.00048653,0.00049278,0.00049169
965.95,,,,,,,0.25267,0.25681,0.25313,0.1425,0.14785,0.14242,0.033185,0.03505,0.034695,0.014704,0.014986,0.014834,0.036825,0.037821,0.036459,0.01131,0.011716,0.011672,0.00045449,0.00048095,0.00047979
979.56,,,,,,,0.24469,0.24861,0.24491,0.13985,0.14513,0.1398,0.032657,0.034511,0.034156,0.014185,0.014455,0.014301,0.035932,0.036915,0.03559,0.011052,0.011455,0.01141,0.0004404,0.00046975,0.00046833
993.16,,,,,,,0.23702,0.24075,0.23703,0.13726,0.14248,0.13725,0.032141,0.033985,0.033629,0.013684,0.013949,0.013793,0.035069,0.03604,0.03475,0.010802,0.011203,0.011157,0.00044736,0.00045882,0.00045727
1006.77,,,,,,,0.22967,0.23319,0.22945,0.13473,0.13989,0.13475,0.031637,0.033471,0.033114,0.013209,0.013464,0.013307,0.034234,0.035193,0.033936,0.010561,0.010959,0.010912,0.00044889,0.00044803,0.0004466
1020.37,,,,,,,0.2226,0.22593,0.22218,0.13227,0.13736,0.13231,0.031144,0.032968,0.032609,0.01276,0.013001,0.012842,0.033427,0.034374,0.033149,0.010328,0.010723,0.010676,0.0004277,0.0004376,0.00043628
1033.98,,,,,,,0.2158,0.21895,0.21519,0.12986,0.13489,0.12993,0.030663,0.032475,0.032116,0.012332,0.012558,0.012398,0.032646,0.033581,0.032386,0.010102,0.010495,0.010446,0.00040057,0.00042774,0.00042631
1047.58,,,,,,,0.20927,0.21224,0.20848,0.12752,0.13247,0.1276,0.030192,0.031994,0.031633,0.011916,0.012134,0.011973,0.031891,0.032814,0.031647,0.0098842,0.010274,0.010225,0.00039167,0.00041833,0.00041667
1061.19,,,,,,,0.203,0.20579,0.20203,0.12523,0.13012,0.12532,0.029732,0.031523,0.031161,0.011516,0.011729,0.011567,0.031159,0.03207,0.030932,0.0096731,0.01006,0.01001,0.00039943,0.0004091,0.00040735
1074.79,,,,,,,0.19697,0.19959,0.19583,0.12299,0.12782,0.1231,0.029283,0.031062,0.0307,0.011136,0.01134,0.011178,0.030452,0.03135,0.030239,0.0094688,0.009853,0.0098019,0.00040024,0.00039998,0.00039832
1088.4,,,,,,,0.19116,0.19362,0.18986,0.12081,0.12558,0.12093,0.028843,0.030612,0.030248,0.010776,0.010968,0.010806,0.029766,0.030653,0.029566,0.009271,0.0096523,0.0096003,0.00038107,0.00039115,0.00038959
1102.0,,,,,,,0.18558,0.18787,0.18413,0.11868,0.12339,0.11882,0.028414,0.030171,0.029806,0.010431,0.010611,0.010449,0.029102,0.029977,0.028915,0.0090794,0.009458,0.0094051,0.00035716,0.00038279,0.00038113
1115.61,,,,,,,0.1802,0.18234,0.17861,0.11661,0.12125,0.11675,0.027994,0.02974,0.029373,0.010096,0.010269,0.010107,0.028459,0.029322,0.028284,0.0088938,0.0092697,0.0092158,0.00034914,0.00037481,0.00037294
1129.21,,,,,,,0.17503,0.17702,0.1733,0.11458,0.11916,0.11472,0.027584,0.029318,0.02895,0.0097725,0.0099415,0.0097793,0.027836,0.028688,0.027671,0.008714,0.0090871,0.0090323,0.00035634,0.00036697,0.00036501
1142.82,,,,,,,0.17004,0.17189,0.16818,0.1126,0.11711,0.11275,0.027182,0.028905,0.028536,0.0094642,0.0096269,0.009465,0.027232,0.028072,0.027077,0.0085397,0.00891,0.0088544,0.00035898,0.00035921,0.00035733
1156.42,,,,,,,0.16524,0.16695,0.16326,0.11067,0.11512,0.11082,0.02679,0.028501,0.028131,0.0091725,0.0093248,0.0091633,0.026647,0.027475,0.026501,0.0083708,0.0087383,0.0086817,0.00034395,0.00035168,0.00034988
1170.03,,,,,,,0.16061,0.16218,0.15851,0.10879,0.11317,0.10893,0.026406,0.028106,0.027735,0.0088928,0.0090346,0.0088737,0.026079,0.026895,0.025941,0.0082068,0.0085715,0.0085142,0.000322,0.00034453,0.00034267
1183.63,,,,,,,0.15614,0.15759,0.15393,0.10695,0.11127,0.10709,0.02603,0.027719,0.027346,0.0086205,0.0087557,0.0085955,0.025528,0.026333,0.025398,0.0080478,0.0084097,0.0083515,0.000312,0.00033771,0.00033568
1197.24,,,,,,,0.15183,0.15315,0.14952,0.10515,0.10941,0.10529,0.025663,0.02734,0.026966,0.0083557,0.0084876,0.0083282,0.024994,0.025787,0.02487,0.0078933,0.0082525,0.0081934,0.00031729,0.00033105,0.0003289
1210.84,,,,,,,0.14768,0.14887,0.14527,0.10339,0.10759,0.10352,0.025303,0.026968,0.026593,0.0081025,0.0082297,0.0080712,0.024474,0.025256,0.024357,0.0077434,0.0080998,0.0080399,0.00032284,0.00032444,0.00032233
1224.45,,,,,,,0.14367,0.14474,0.14116,0.10167,0.10581,0.1018,0.024951,0.026604,0.026228,0.0078626,0.0079817,0.007824,0.02397,0.02474,0.023858,0.0075977,0.0079513,0.0078906,0.00031378,0.00031797,0.00031595
1238.05,,,,,,,0.13979,0.14076,0.1372,0.099993,0.10406,0.10011,0.024606,0.026248,0.02587,0.0076332,0.0077429,0.0075862,0.02348,0.024239,0.023373,0.0074561,0.0078069,0.0077454,0.00029414,0.00031179,0.00030976
1251.66,,,,,,,0.13605,0.1369,0.13337,0.09835,0.10236,0.098459,0.024268,0.025898,0.025519,0.0074098,0.007513,0.0073574,0.023004,0.023752,0.022902,0.0073184,0.0076664,0.0076042,0.00028065,0.00030593,0.00030376
1265.26,,,,,,,0.13244,0.13318,0.12968,0.096744,0.10069,0.096843,0.023936,0.025555,0.025174,0.0071916,0.0072916,0.0071372,0.022541,0.023278,0.022443,0.0071846,0.0075298,0.0074668,0.00028187,0.00030024,0.00029793
1278.87,,,,,,,0.12895,0.12959,0.12611,0.095174,0.099059,0.095261,0.023612,0.025219,0.024837,0.0069814,0.0070784,0.0069252,0.022091,0.022816,0.021997,0.0070544,0.0073968,0.0073331,0.00028939,0.00029461,0.00029228
1292.47,,,,,,,0.12558,0.12612,0.12267,0.093637,0.097462,0.093712,0.023294,0.024889,0.024506,0.0067818,0.006873,0.006721,0.021654,0.022368,0.021562,0.0069277,0.0072673,0.0072029,0.00028781,0.00028903,0.00028679
1306.08,,,,,,,0.12232,0.12276,0.11934,0.092135,0.095899,0.092196,0.022982,0.024565,0.024181,0.0065919,0.0066751,0.0065244,0.021228,0.021931,0.021139,0.0068044,0.0071413,0.0070761,0.00027301,0.00028365,0.00028146
1319.68,,,,,,,0.11917,0.11951,0.11613,0.090665,0.094369,0.090712,0.022677,0.024248,0.023862,0.006408,0.0064842,0.0063349,0.020814,0.021506,0.020728,0.0066844,0.0070185,0.0069526,0.0002567,0.00027855,0.00027628
1333.29,,,,,,,0.11612,0.11638,0.11302,0.089228,0.092871,0.08926,0.022377,0.023937,0.02355,0.0062278,0.0063002,0.0061523,0.020411,0.021092,0.020327,0.0065676,0.0068989,0.0068324,0.00025156,0.00027366,0.00027125
1346.89,,,,,,,0.11317,0.11334,0.11002,0.087822,0.091405,0.087838,0.022084,0.023632,0.023244,0.0060524,0.0061228,0.0059762,0.020019,0.02069,0.019937,0.0064539,0.0067824,0.0067152,0.00025749,0.00026885,0.00026636
1360.5,,,,,,,0.11032,0.1104,0.10712,0.086446,0.089971,0.086446,0.021797,0.023332,0.022943,0.0058848,0.0059516,0.0058065,0.019638,0.020297,0.019557,0.0063432,0.0066689,0.0066011,0.00026242,0.00026406,0.0002616
1374.1,,,,,,,0.10757,0.10756,0.10431,0.085101,0.088566,0.085084,0.021515,0.023039,0.022648,0.0057257,0.0057864,0.0056427,0.019267,0.019915,0.019187,0.0062353,0.0065583,0.0064899,0.00025566,0.00025936,0.00025698
1387.71,,,,,,,0.1049,0.10481,0.1016,0.083784,0.087191,0.083749,0.021239,0.022751,0.022359,0.0055731,0.0056269,0.0054847,0.018905,0.019543,0.018826,0.0061302,0.0064504,0.0063814,0.00024013,0.00025486,0.00025249
1401.31,,,,,,,0.10231,0.10215,0.098967,0.082495,0.085844,0.082443,0.020968,0.022468,0.022075,0.0054239,0.0054728,0.0053322,0.018553,0.019181,0.018474,0.0060278,0.0063453,0.0062756,0.00022832,0.00025059,0.00024811
1414.92,,,,,,,0.099809,0.099574,0.096424,0.081234,0.084525,0.081163,0.020702,0.022191,0.021797,0.0052773,0.0053241,0.005185,0.01821,0.018827,0.018132,0.005928,0.0062427,0.0061725,0.00022797,0.00024645,0.00024386
1428.52,,,,,,,0.097384,0.097077,0.093962,0.08,0.083234,0.07991,0.020442,0.021918,0.021524,0.0051353,0.0051804,0.0050429,0.017876,0.018483,0.017798,0.0058308,0.0061427,0.006072,0.0002348,0.00024234,0.00023971
1442.13,,,,,,,0.095034,0.094657,0.091577,0.078792,0.081968,0.078682,0.020187,0.021651,0.021255,0.0050001,0.0050416,0.0049056,0.01755,0.018147,0.017472,0.0057359,0.0060452,0.0059738,0.00023714,0.00023825,0.00023567
1455.73,,,,,,,0.092756,0.092311,0.089267,0.077609,0.080728,0.077478,0.019937,0.021389,0.020992,0.0048714,0.0049073,0.0047729,0.017233,0.01782,0.017155,0.0056434,0.0059499,0.0058781,0.00022838,0.00023425,0.00023174
1469.34,,,,,,,0.090548,0.090038,0.087029,0.076449,0.079512,0.076299,0.019691,0.021131,0.020733,0.0047471,0.0047775,0.0046447,0.016924,0.0175,0.016845,0.0055531,0.0058569,0.0057845,0.00021416,0.00023043,0.0002279
1482.94,,,,,,,0.088407,0.087833,0.08486,0.075313,0.07832,0.075142,0.019449,0.020878,0.020479,0.0046248,0.0046519,0.0045208,0.016622,0.017188,0.016542,0.0054649,0.005766,0.0056931,0.00020548,0.00022679,0.00022415
1496.55,,,,,,,0.086331,0.085697,0.082759,0.074202,0.077154,0.07401,0.019213,0.02063,0.02023,0.0045047,0.0045305,0.004401,0.016327,0.016884,0.016247,0.0053789,0.0056774,0.005604,0.00020714,0.00022323,0.0002205
1510.15,,,,,,,0.084317,0.083624,0.080721,0.073112,0.076008,0.072898,0.018981,0.020385,0.019985,0.0043886,0.0044131,0.0042851,0.01604,0.016587,0.015959,0.0052949,0.0055907,0.0055169,0.00021373,0.00021968,0.00021693
1523.76,,,,,,,0.082363,0.081613,0.078746,0.072044,0.074886,0.071809,0.018753,0.020145,0.019744,0.0042782,0.0042995,0.0041731,0.01576,0.016297,0.015678,0.0052129,0.005506,0.0054317,0.00021501,0.00021614,0.00021345
1537.36,,,,,,,0.080467,0.079662,0.076831,0.070997,0.073784,0.07074,0.018529,0.019909,0.019507,0.004173,0.0041895,0.0040646,0.015487,0.016014,0.015403,0.0051328,0.0054232,0.0053485,0.00020636,0.00021269,0.00021004
1550.97,,,,,,,0.078626,0.077768,0.074973,0.069971,0.072704,0.069692,0.018309,0.019677,0.019274,0.0040709,0.0040829,0.0039597,0.01522,0.015738,0.015135,0.0050545,0.0053422,0.0052671,0.00019359,0.00020938,0.00020672
1564.57,,,,,,,0.076839,0.07593,0.073171,0.068964,0.071644,0.068663,0.018092,0.019449,0.019045,0.0039703,0.0039798,0.0038582,0.014959,0.015467,0.014873,0.0049779,0.005263,0.0051875,0.00018624,0.00020622,0.00020346
1578.18,,,,,,,0.075106,0.074148,0.071425,0.06798,0.070607,0.067657,0.017881,0.019226,0.018821,0.0038714,0.00388,0.00376,0.014705,0.015204,0.014617,0.0049033,0.0051858,0.0051098,0.00018813,0.00020313,0.00020029
1591.78,,,,,,,0.073423,0.072417,0.069729,0.067014,0.069588,0.066668,0.017672,0.019005,0.0186,0.0037757,0.0037833,0.0036649,0.014456,0.014946,0.014367,0.0048302,0.00511,0.0050337,0.00019439,0.00020004,0.00019718
1605.39,,,,,,,0.071788,0.070736,0.068083,0.066067,0.068589,0.065699,0.017468,0.018789,0.018382,0.0036847,0.0036896,0.0035728,0.014214,0.014694,0.014123,0.0047588,0.005036,0.0049593,0.00019604,0.00019695,0.00019414
1618.99,,,,,,,0.070199,0.069103,0.066486,0.065138,0.067608,0.064748,0.017267,0.018576,0.018169,0.003598,0.0035988,0.0034836,0.013977,0.014448,0.013884,0.004689,0.0049636,0.0048866,0.00018872,0.00019392,0.00019117
1632.6,,,,,,,0.068655,0.067517,0.064935,0.064228,0.066646,0.063815,0.017069,0.018367,0.017959,0.0035138,0.0035108,0.0033971,0.013745,0.014208,0.013651,0.0046207,0.0048927,0.0048153,0.00017707,0.00019103,0.00018826
1646.2,,,,,,,0.067157,0.065978,0.063431,0.063337,0.065704,0.062901,0.016876,0.018162,0.017753,0.0034308,0.0034255,0.0033134,0.01352,0.013973,0.013423,0.0045541,0.0048235,0.0047458,0.00016955,0.00018826,0.00018543
1659.81,,,,,,,0.065699,0.06448,0.061967,0.062461,0.064778,0.062002,0.016685,0.017959,0.01755,0.0033486,0.0033427,0.0032322,0.013298,0.013743,0.0132,0.0044888,0.0047556,0.0046776,0.00017032,0.00018556,0.00018264
1673.41,,,,,,,0.064281,0.063024,0.060547,0.061602,0.063869,0.061121,0.016498,0.01776,0.01735,0.003269,0.0032625,0.0031535,0.013083,0.013519,0.012982,0.0044249,0.0046892,0.0046108,0.00017608,0.00018286,0.00017992
