,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,26.264,26.128,24.433,,,,,,,0.038534,0.038399,0.024161
27.21,,,,,,,,,,,,,,,,14.869,14.804,13.846,,,,,,,0.041749,0.041112,0.034368
40.81,,,,,,,,,,,,,,,,4.286,4.2637,3.8371,,,,,,,0.035467,0.034991,0.031359
54.42,,,,,,,,,,,,,,,,1.0514,1.0435,0.85055,0.46247,0.46146,0.39145,,,,0.02948,0.0291,0.026902
68.02,,,,,,,,,,,,,,,,0.23798,0.23569,0.14552,0.43114,0.4299,0.34253,0.22147,0.22095,0.21156,0.024116,0.024029,0.022603
81.63,,,,,,,,,,,,,,,,0.09814,0.098434,0.055524,0.4158,0.41457,0.32651,0.20296,0.20258,0.1951,0.01972,0.019855,0.018896
95.23,,,,,,,,,,,,,,,,0.12246,0.12411,0.10446,0.40313,0.40204,0.31973,0.18568,0.18543,0.17941,0.016701,0.01655,0.015879
108.84,,,,,,,,,,,,,,,,0.17379,0.17615,0.16852,0.38949,0.3886,0.31409,0.17025,0.17009,0.16519,0.014035,0.013979,0.013483
122.44,,,,,,,,,,,,,,,,0.21652,0.2193,0.21802,0.37461,0.37392,0.30737,0.15657,0.1565,0.15247,0.011882,0.011951,0.011586
136.05,,,,,,,,,,,,,,,,0.2444,0.24737,0.24944,0.35898,0.35849,0.29931,0.14434,0.14434,0.141,0.010482,0.010354,0.010072
149.65,,,,,,,,,,,,,,,,0.25934,0.26241,0.26623,0.34304,0.34274,0.29014,0.13331,0.13337,0.13058,0.0089628,0.0090658,0.0088479
163.26,,,,,,,,,,,,,,,,0.26476,0.26784,0.27252,0.32703,0.32691,0.28012,0.12332,0.12343,0.12109,0.0081286,0.0080202,0.0078467
176.86,,,,,,,,,,,,,,,,0.26342,0.26648,0.2715,0.31117,0.31122,0.26955,0.11428,0.11444,0.11246,0.0070634,0.007158,0.0070202
190.47,,,,,,,,,,,,,,,,0.25738,0.26038,0.26543,0.29568,0.29588,0.2587,0.10613,0.10633,0.10465,0.0065254,0.0064443,0.0063313
204.07,,,,,,,,,,,,,,,,0.24817,0.25111,0.256,0.28078,0.28111,0.24785,0.098812,0.099047,0.097619,0.0057743,0.0058419,0.0057516
217.68,,,,,,,,,,,,,,,,0.23709,0.23991,0.24454,0.2666,0.26705,0.23721,0.092234,0.092499,0.091277,0.0053668,0.0053349,0.0052579
231.28,,,,,,,,,,,,,,,,0.225,0.22775,0.23207,0.25323,0.25379,0.22692,0.086304,0.086595,0.085546,0.0048846,0.0048929,0.004832
244.89,,,,,,,2.5189,2.5536,2.5854,,,,,,,0.21268,0.21529,0.21928,0.24066,0.24132,0.21705,0.08093,0.081245,0.080341,0.0044691,0.0045129,0.0044594
258.49,,,,,,,2.3827,2.4164,2.4458,,,,,,,0.2004,0.20295,0.20661,0.22886,0.2296,0.20761,0.076034,0.07637,0.075589,0.0042236,0.0041726,0.0041295
272.1,,,,,,,2.2547,2.2873,2.3145,,,,,,,0.18853,0.19095,0.19431,0.21775,0.21857,0.19858,0.071553,0.071907,0.07123,0.0037951,0.0038708,0.0038342
285.7,,,,,,,2.1341,2.1657,2.1907,,,,,,,0.17711,0.17943,0.1825,0.20729,0.20818,0.18996,0.067442,0.067812,0.067224,0.0036256,0.0036003,0.0035683
299.31,,,,,,,2.0204,2.0509,2.074,,,,,,,0.16621,0.16846,0.17125,0.19743,0.19838,0.18174,0.063662,0.064046,0.063534,0.0033463,0.0033527,0.0033274
312.91,,,,,,,1.9129,1.9424,1.9635,,,,,,,0.15594,0.15806,0.16059,0.18814,0.18914,0.17391,0.060186,0.060582,0.060136,0.0030724,0.0031318,0.0031089
326.52,,,,,,,1.8116,1.8401,1.8595,,,,,,,0.14621,0.14827,0.15056,0.17941,0.18046,0.16648,0.056989,0.057396,0.057005,0.0029683,0.0029295,0.0029103
340.12,,,,,,,1.7163,1.7438,1.7615,,,,,,,0.13713,0.13909,0.14117,0.17122,0.17231,0.15944,0.054043,0.05446,0.054118,0.0027105,0.0027449,0.0027296
