,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4p,4p,4p,4s,4s,4s,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,,,,,,,0.09671,0.098129,0.079819
27.21,,,,,,,,,,,,,,,,,,,,,,0.093135,0.090568,0.082932
40.81,,,,,,,,,,,,,,,,0.52082,0.51919,0.54076,,,,0.071426,0.069305,0.065573
54.42,,,,,,,,,,,,,,,,0.40656,0.40442,0.34839,0.2333,0.23202,0.22536,0.053807,0.052482,0.050387
68.02,,,,,,,,,,,,,,,,0.36939,0.3672,0.29219,0.20782,0.2068,0.20194,0.040569,0.040853,0.039568
81.63,,,,,,,,,,,,,,,,0.34882,0.34679,0.27197,0.18532,0.18449,0.18087,0.032092,0.032791,0.032002
95.23,,,,,,,,,,,,,,,,0.33129,0.32949,0.2608,0.1653,0.16463,0.16191,0.027938,0.027067,0.026533
108.84,,,,,,,,,,,,,,,,0.31397,0.31241,0.25136,0.14779,0.14725,0.14518,0.022745,0.022873,0.022468
122.44,,,,,,,,,,,,,,,,0.29637,0.29506,0.24155,0.13273,0.13229,0.13071,0.019488,0.019617,0.019361
136.05,,,,,,,,,,,,,,,,0.27908,0.27799,0.23128,0.11984,0.11949,0.11827,0.017571,0.017125,0.016912
149.65,,,,,,,4.2017,4.2354,4.2929,,,,,,,0.26254,0.26165,0.22082,0.10875,0.10848,0.10753,0.014661,0.015055,0.014917
163.26,,,,,,,3.9424,3.9757,4.0308,,,,,,,0.24681,0.24611,0.21032,0.099056,0.098844,0.098109,0.013823,0.013357,0.013239
176.86,,,,,,,3.6914,3.7243,3.7766,,,,,,,0.23198,0.23144,0.19998,0.090569,0.09041,0.089842,0.01154,0.011885,0.011812
190.47,,,,,,,3.4492,3.4814,3.5308,,,,,,,0.21804,0.21764,0.18988,0.083095,0.082982,0.082546,0.010968,0.010653,0.010585
