,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4p,4p,4p,4s,4s,4s,5s,5s,5s
204.07,,,,,,,3.2179,3.2493,3.2955,,,,,,,0.20506,0.20479,0.18021,0.076541,0.076468,0.076137,0.0094133,0.0095682,0.0095337
217.68,,,,,,,2.9991,3.0297,3.0728,,,,,,,0.19304,0.19289,0.17103,0.070758,0.070718,0.070471,0.0086956,0.0086691,0.0086295
231.28,,,,,,,2.7957,2.8254,2.8654,,,,,,,0.18197,0.18192,0.1624,0.065628,0.065619,0.06544,0.0080178,0.0078644,0.0078501
244.89,,,,,,,2.6064,2.6352,2.6722,,,,,,,0.17172,0.17175,0.15427,0.061042,0.061059,0.060934,0.0069111,0.0071936,0.0071751
258.49,,,,,,,2.4313,2.4592,2.4934,,,,,,,0.16224,0.16235,0.14662,0.056926,0.056967,0.056886,0.0069322,0.0065969,0.0065886
272.1,,,,,,,2.2685,2.2955,2.3271,0.48359,0.48752,0.45604,,,,0.1534,0.15359,0.13939,0.053204,0.053267,0.053221,0.0058163,0.0060758,0.0060752
285.7,,,,,,,2.1175,2.1435,2.1726,0.4694,0.47347,0.44378,,,,0.1452,0.14545,0.1326,0.049851,0.049932,0.049916,0.0056968,0.0056322,0.0056261
299.31,,,,,,,1.9785,2.0037,2.0304,0.45568,0.45988,0.43184,,,,0.13762,0.13793,0.12626,0.046815,0.046913,0.046921,0.005366,0.0052232,0.00523
312.91,,,,,,,1.8488,1.8731,1.8976,0.44217,0.4465,0.42,,,,0.13053,0.13089,0.12026,0.044054,0.044167,0.044194,0.0046013,0.0048744,0.0048779
326.52,,,,,,,1.73,1.7534,1.7759,0.42924,0.43367,0.40861,,,,0.12398,0.12439,0.11469,0.041547,0.041675,0.041718,0.0047572,0.0045606,0.004564
340.12,,,,,,,1.6203,1.6429,1.6634,0.41667,0.42121,0.39747,0.088751,0.089974,0.090032,0.11788,0.11833,0.10944,0.039249,0.039389,0.039444,0.0042626,0.0042683,0.0042803
353.73,,,,,,,1.5192,1.5409,1.5597,0.40452,0.40915,0.38664,0.086225,0.087465,0.087534,0.1122,0.11268,0.10453,0.037139,0.037291,0.037356,0.0038044,0.0040166,0.004023
367.33,,,,,,,1.4256,1.4465,1.4637,0.39277,0.39747,0.37611,0.08381,0.085066,0.085143,0.1069,0.10742,0.099909,0.035204,0.035366,0.035439,0.0039812,0.003781,0.0037889
380.94,,,,,,,1.3386,1.3588,1.3744,0.38127,0.38605,0.36577,0.081459,0.082729,0.082814,0.10191,0.10246,0.095537,0.033407,0.033578,0.033658,0.0035221,0.0035596,0.0035733
394.54,,,,,,,1.2582,1.2776,1.2919,0.37019,0.37503,0.35575,0.079211,0.080495,0.080586,0.097259,0.09783,0.091433,0.031752,0.031931,0.032016,0.0031779,0.0033675,0.003376
408.15,,,,,,,1.1839,1.2026,1.2156,0.35955,0.36444,0.3461,0.07708,0.078378,0.078474,0.092917,0.093512,0.087586,0.030232,0.030419,0.030507,0.003354,0.0031866,0.0031958
421.75,,,,,,,1.1147,1.1326,1.1444,0.34914,0.35408,0.33662,0.074987,0.076298,0.076397,0.088815,0.08943,0.083931,0.028805,0.028999,0.02909,0.0030159,0.0030138,0.003028
435.36,,,,,,,1.0507,1.068,1.0787,0.33919,0.34418,0.32754,0.073002,0.074324,0.074427,0.08499,0.085622,0.080509,0.027488,0.027689,0.027782,0.0026654,0.002864,0.0028743
448.96,,,,,,,0.9914,1.008,1.0177,0.3296,0.33462,0.31875,0.071102,0.072437,0.072541,0.0814,0.082047,0.077283,0.026267,0.026473,0.026567,0.0028218,0.0027239,0.0027328
462.57,,,,,,,0.9361,0.9521,0.96081,0.3203,0.32535,0.31019,0.06925,0.070595,0.0707,0.078008,0.078669,0.074224,0.025119,0.025331,0.025425,0.0026669,0.0025878,0.0026012
476.17,,,,,,,0.88474,0.90014,0.90797,0.31135,0.31643,0.30194,0.067479,0.068834,0.06894,0.074823,0.075497,0.07134,0.024051,0.024267,0.024362,0.0022825,0.0024681,0.0024798
489.78,,,,,,,0.83677,0.85159,0.85861,0.30268,0.30777,0.29392,0.065766,0.06713,0.067235,0.07181,0.072495,0.068603,0.023049,0.023269,0.023363,0.0023421,0.0023587,0.0023671
503.38,,,,,,,0.79201,0.80626,0.81254,0.29429,0.2994,0.28614,0.064112,0.065484,0.065589,0.068963,0.069657,0.066006,0.022108,0.022333,0.022426,0.0023923,0.0022511,0.0022624
516.99,,,,,,,0.7503,0.76401,0.76959,0.2862,0.29133,0.27862,0.062524,0.063904,0.064007,0.066279,0.066979,0.06355,0.021227,0.021456,0.021548,0.0020554,0.0021528,0.0021653
530.59,,,,,,,0.71134,0.72453,0.72947,0.27841,0.28354,0.27136,0.060992,0.062378,0.06248,0.06374,0.064447,0.061221,0.020399,0.020631,0.020721,0.00193,0.0020659,0.0020748
544.2,,,,,,,0.67486,0.68755,0.6919,0.27085,0.27598,0.2643,0.059511,0.060903,0.061002,0.061329,0.062043,0.059004,0.019619,0.019853,0.019942,0.0020815,0.0019813,0.0019901
557.8,,,,,,,0.64079,0.653,0.65679,0.26357,0.26871,0.25749,0.058088,0.059484,0.059581,0.059051,0.05977,0.056903,0.018885,0.019122,0.019209,0.0019491,0.0018993,0.001911
571.41,,,,,,,0.60893,0.62068,0.62396,0.25657,0.26171,0.25092,0.056719,0.058119,0.058213,0.056897,0.05762,0.054912,0.018194,0.018434,0.018519,0.0016725,0.0018266,0.0018369
585.01,,,,,,,0.57898,0.59027,0.59309,0.24978,0.2549,0.24453,0.055389,0.056792,0.056883,0.054845,0.055571,0.053009,0.017539,0.017781,0.017864,0.0017054,0.0017594,0.001767
598.62,,,,,,,0.55091,0.56176,0.56414,0.24323,0.24835,0.23837,0.054106,0.055513,0.0556,0.052901,0.053628,0.051201,0.01692,0.017164,0.017245,0.0018078,0.0016922,0.0017011
612.22,,,,,,,0.52453,0.53497,0.53694,0.23689,0.242,0.23239,0.052867,0.054275,0.054359,0.051051,0.051779,0.049477,0.016334,0.016579,0.016658,0.0016105,0.0016283,0.0016389
625.83,,,,,,,0.49983,0.50987,0.51147,0.23083,0.23592,0.22665,0.051681,0.053091,0.053171,0.049302,0.05003,0.047845,0.015782,0.016029,0.016106,0.0014228,0.001572,0.0015804
639.43,,,,,,,0.47638,0.48603,0.48729,0.22484,0.22991,0.22098,0.050506,0.051916,0.051992,0.04761,0.048339,0.046262,0.01525,0.015498,0.015573,0.0015072,0.0015175,0.0015242
653.04,,,,,,,0.45441,0.46368,0.46462,0.2191,0.22416,0.21553,0.049381,0.050792,0.050864,0.04601,0.046739,0.044762,0.014748,0.014998,0.01507,0.0015674,0.001463,0.0014712
666.64,,,,,,,0.43373,0.44265,0.44329,0.21356,0.2186,0.21027,0.048295,0.049706,0.049773,0.044486,0.045214,0.04333,0.014272,0.014522,0.014592,0.0013733,0.0014117,0.001421
680.25,,,,,,,0.41415,0.42272,0.42309,0.20817,0.21318,0.20513,0.047235,0.048646,0.048709,0.043025,0.04375,0.041954,0.013817,0.014068,0.014135,0.0012295,0.0013657,0.001373
693.85,,,,,,,0.39585,0.40408,0.4042,0.20302,0.20801,0.20022,0.046225,0.047636,0.047694,0.041646,0.042369,0.040654,0.013388,0.01364,0.013705,0.0013158,0.0013221,0.0013279
707.46,,,,,,,0.3785,0.3864,0.38629,0.19802,0.20298,0.19544,0.04524,0.046649,0.046704,0.040321,0.041042,0.039403,0.012977,0.013229,0.013292,0.001371,0.0012777,0.0012848
721.06,,,,,,,0.36211,0.3697,0.36937,0.19317,0.1981,0.1908,0.044285,0.045694,0.045744,0.039054,0.039773,0.038204,0.012585,0.012838,0.012898,0.0012062,0.0012357,0.0012439
734.67,,,,,,,0.34657,0.35385,0.35333,0.18846,0.19336,0.18629,0.043355,0.044763,0.044808,0.037839,0.038555,0.037053,0.01221,0.012463,0.012521,0.0010694,0.0011983,0.0012048
748.27,,,,,,,0.33192,0.33892,0.33822,0.18393,0.1888,0.18195,0.04246,0.043867,0.043908,0.036682,0.037395,0.035955,0.011853,0.012106,0.012163,0.0011334,0.0011628,0.0011678
761.88,,,,,,,0.31803,0.32475,0.32388,0.17953,0.18437,0.17772,0.041589,0.042995,0.04303,0.035571,0.03628,0.034899,0.011511,0.011765,0.011819,0.0012093,0.0011266,0.0011324
775.48,,,,,,,0.30486,0.31131,0.31028,0.17526,0.18006,0.17361,0.040741,0.042146,0.042177,0.034506,0.03521,0.033883,0.011184,0.011437,0.011489,0.0010931,0.0010918,0.0010987
789.09,,,,,,,0.29237,0.29855,0.29738,0.17111,0.17589,0.16961,0.039917,0.04132,0.041346,0.033483,0.034182,0.032907,0.01087,0.011123,0.011172,0.00094549,0.0010606,0.0010665
802.69,,,,,,,0.28056,0.28649,0.28519,0.16711,0.17185,0.16575,0.039121,0.040522,0.040543,0.032504,0.033198,0.031971,0.01057,0.010823,0.01087,0.00096496,0.0010316,0.0010359
816.3,,,,,,,0.26934,0.27503,0.27361,0.16323,0.16793,0.16201,0.038347,0.039747,0.039763,0.031564,0.032254,0.031072,0.010282,0.010535,0.01058,0.0010611,0.0010022,0.0010066
829.9,,,,,,,0.25868,0.26413,0.2626,0.15947,0.16413,0.15836,0.037595,0.038992,0.039004,0.03066,0.031345,0.030207,0.010006,0.010258,0.010301,0.0010162,0.00097299,0.00097862
843.51,,,,,,,0.24855,0.25377,0.25215,0.15581,0.16044,0.15482,0.036863,0.038258,0.038265,0.029791,0.030472,0.029374,0.0097408,0.0099923,0.010034,0.00086737,0.00094637,0.00095182
857.11,,,,,,,0.23894,0.24394,0.24222,0.15227,0.15686,0.15139,0.036153,0.037546,0.037548,0.028958,0.029633,0.028573,0.0094863,0.0097374,0.0097766,0.00082171,0.00092228,0.00092619
870.72,,,,,,,0.2298,0.23459,0.23279,0.14885,0.1534,0.14807,0.035465,0.036855,0.036852,0.028158,0.028827,0.027803,0.0092422,0.0094927,0.0095299,0.00090519,0.00089841,0.00090167
884.32,,,,,,,0.2211,0.22568,0.2238,0.14553,0.15003,0.14484,0.034796,0.036183,0.036175,0.027388,0.028051,0.027061,0.0090075,0.0092574,0.0092927,0.00094173,0.00087398,0.00087812
897.93,,,,,,,0.2128,0.21719,0.21524,0.14229,0.14676,0.14169,0.034142,0.035526,0.035514,0.026645,0.027301,0.026344,0.0087809,0.0090301,0.0090635,0.00083417,0.00085067,0.00085543
911.53,,,,,,,0.2049,0.20909,0.20708,0.13915,0.14358,0.13863,0.033507,0.034888,0.034871,0.025929,0.02658,0.025653,0.008563,0.0088115,0.0088431,0.00072757,0.00082977,0.00083364
925.14,,,,,,,0.19737,0.20138,0.19932,0.1361,0.14049,0.13566,0.03289,0.034267,0.034246,0.02524,0.025885,0.024987,0.0083531,0.0086009,0.0086307,0.00074874,0.00081004,0.00081267
938.74,,,,,,,0.1902,0.19403,0.19192,0.13315,0.13749,0.13278,0.03229,0.033664,0.033638,0.024577,0.025216,0.024346,0.0081513,0.0083983,0.0084263,0.00083111,0.00078984,0.00079249
952.35,,,,,,,0.18336,0.18701,0.18485,0.13029,0.13459,0.12998,0.031709,0.033079,0.033047,0.023938,0.024572,0.023727,0.0079571,0.0082034,0.0082296,0.0008156,0.00076954,0.0007731
965.95,,,,,,,0.17681,0.1803,0.1781,0.12748,0.13174,0.12723,0.031135,0.0325,0.032464,0.023318,0.023945,0.023125,0.0077678,0.0080132,0.0080378,0.00070046,0.00075052,0.0007542
979.56,,,,,,,0.17057,0.1739,0.17166,0.12476,0.12898,0.12457,0.03058,0.03194,0.0319,0.022722,0.023342,0.022546,0.0075862,0.0078307,0.0078536,0.00063536,0.00073345,0.00073607
993.16,,,,,,,0.16462,0.16779,0.16552,0.12213,0.1263,0.12199,0.03004,0.031396,0.031351,0.022148,0.022761,0.021987,0.0074111,0.0076547,0.0076759,0.00068261,0.00071685,0.00071858
1006.77,,,,,,,0.15894,0.16195,0.15967,0.11958,0.1237,0.11948,0.029517,0.030868,0.030818,0.021595,0.022201,0.021449,0.0072426,0.0074853,0.0075049,0.00074891,0.00069973,0.00070177
1020.37,,,,,,,0.15348,0.15635,0.15404,0.11707,0.12116,0.11702,0.029001,0.030347,0.030293,0.021056,0.021656,0.020924,0.0070783,0.00732,0.0073381,0.00071127,0.00068259,0.00068538
1033.98,,,,,,,0.14828,0.151,0.14868,0.11466,0.1187,0.11465,0.028503,0.029844,0.029786,0.020539,0.021132,0.02042,0.0069206,0.0071615,0.007178,0.00060662,0.00066698,0.00066967
1047.58,,,,,,,0.1433,0.14588,0.14354,0.1123,0.1163,0.11233,0.028017,0.029352,0.029289,0.020037,0.020625,0.019931,0.0067679,0.0070077,0.0070227,0.00056264,0.00065277,0.00065447
1061.19,,,,,,,0.13853,0.14099,0.13863,0.11002,0.11397,0.11008,0.027543,0.028872,0.028805,0.019553,0.020135,0.019458,0.0066202,0.006859,0.0068726,0.00061374,0.00063877,0.00063978
1074.79,,,,,,,0.13399,0.13632,0.13395,0.1078,0.11171,0.10789,0.027084,0.028407,0.028337,0.019088,0.019662,0.019003,0.006478,0.0067159,0.006728,0.00067085,0.00062433,0.00062567
1088.4,,,,,,,0.12958,0.13179,0.12941,0.10562,0.10948,0.10574,0.026629,0.027946,0.027871,0.018632,0.0192,0.018556,0.0063387,0.0065755,0.0065861,0.00063371,0.00060987,0.00061185
1102.0,,,,,,,0.12539,0.12747,0.12509,0.10351,0.10733,0.10366,0.026189,0.027501,0.027422,0.018194,0.018755,0.018127,0.0062048,0.0064405,0.0064498,0.00054018,0.00059672,0.0005986
1115.61,,,,,,,0.12136,0.12333,0.12095,0.10146,0.10523,0.10162,0.025759,0.027065,0.026982,0.017769,0.018324,0.017711,0.0060748,0.0063095,0.0063174,0.00049943,0.00058475,0.00058577
1129.21,,,,,,,0.11751,0.11936,0.11698,0.099456,0.10318,0.099642,0.02534,0.026639,0.026552,0.017358,0.017906,0.017307,0.0059488,0.0061824,0.006189,0.00054326,0.00057298,0.00057335
1142.82,,,,,,,0.11379,0.11554,0.11316,0.097498,0.10118,0.097702,0.024928,0.026221,0.02613,0.016957,0.017499,0.016913,0.0058262,0.0060587,0.006064,0.00059995,0.00056069,0.00056129
1156.42,,,,,,,0.11025,0.11189,0.10952,0.09561,0.099248,0.095829,0.024529,0.025816,0.025722,0.016572,0.017108,0.016535,0.0057081,0.0059395,0.0059436,0.00057805,0.00054851,0.00054971
1170.03,,,,,,,0.10685,0.10838,0.10601,0.093766,0.097359,0.093999,0.024139,0.02542,0.025322,0.016199,0.016728,0.016168,0.0055934,0.0058237,0.0058265,0.0004949,0.00053722,0.00053847
1183.63,,,,,,,0.10357,0.10501,0.10264,0.091967,0.095515,0.092212,0.023758,0.025032,0.024931,0.015836,0.016359,0.01581,0.005482,0.0057112,0.0057128,0.00044539,0.00052702,0.00052757
1197.24,,,,,,,0.10043,0.10177,0.099411,0.090213,0.093717,0.090468,0.023385,0.024653,0.024548,0.015484,0.016001,0.015464,0.0053738,0.0056018,0.0056022,0.00047275,0.00051713,0.000517
1210.84,,,,,,,0.097392,0.098641,0.096295,0.088502,0.091962,0.088765,0.02302,0.024282,0.024173,0.015143,0.015653,0.015127,0.0052687,0.0054955,0.0054948,0.00053122,0.00050685,0.00050675
1224.45,,,,,,,0.094491,0.09565,0.093315,0.086841,0.090256,0.08711,0.022665,0.023921,0.023808,0.014813,0.015316,0.0148,0.0051668,0.0053924,0.0053906,0.00053465,0.0004964,0.00049682
1238.05,,,,,,,0.091696,0.092768,0.090445,0.085221,0.088592,0.085496,0.022318,0.023567,0.023451,0.014493,0.014989,0.014484,0.0050679,0.0052923,0.0052894,0.00046772,0.00048652,0.00048719
1251.66,,,,,,,0.089004,0.089992,0.087681,0.083641,0.086968,0.08392,0.021979,0.023222,0.023102,0.014182,0.014671,0.014176,0.0049718,0.005195,0.005191,0.00040539,0.00047762,0.00047783
1265.26,,,,,,,0.086412,0.087318,0.085022,0.082098,0.085381,0.082379,0.021646,0.022883,0.02276,0.013879,0.014362,0.013876,0.0048783,0.0051002,0.0050952,0.00040708,0.00046922,0.00046873
1278.87,,,,,,,0.083912,0.084741,0.08246,0.080593,0.083832,0.080875,0.021321,0.022551,0.022425,0.013585,0.014062,0.013585,0.0047872,0.005008,0.0050018,0.00045918,0.00046061,0.00045988
1292.47,,,,,,,0.081512,0.082264,0.079999,0.079125,0.08232,0.079407,0.021002,0.022227,0.022097,0.013299,0.01377,0.013302,0.0046987,0.0049182,0.0049111,0.00049096,0.00045164,0.00045127
1306.08,,,,,,,0.079199,0.079878,0.07763,0.077694,0.080846,0.077975,0.020692,0.021909,0.021777,0.013022,0.013487,0.013027,0.0046127,0.0048309,0.0048228,0.00045323,0.00044286,0.0004429
1319.68,,,,,,,0.07697,0.077577,0.075346,0.076299,0.079407,0.076578,0.020388,0.021599,0.021463,0.012753,0.013211,0.01276,0.004529,0.004746,0.0047369,0.00038507,0.00043483,0.00043475
1333.29,,,,,,,0.074819,0.075357,0.073145,0.074937,0.078002,0.075212,0.02009,0.021295,0.021156,0.012492,0.012943,0.0125,0.0044476,0.0046633,0.0046533,0.00035548,0.0004275,0.00042683
1346.89,,,,,,,0.072745,0.073216,0.071022,0.073604,0.076626,0.073875,0.019798,0.020996,0.020854,0.012237,0.012682,0.012246,0.0043681,0.0045824,0.0045715,0.000385,0.00042024,0.00041908
1360.5,,,,,,,0.070746,0.071152,0.068978,0.072305,0.075285,0.072572,0.019513,0.020705,0.02056,0.01199,0.012428,0.012,0.0042908,0.0045039,0.0044921,0.0004338,0.00041266,0.00041155
1374.1,,,,,,,0.068818,0.069162,0.067007,0.071038,0.073975,0.071298,0.019234,0.020419,0.020271,0.011749,0.012181,0.01176,0.0042156,0.0044273,0.0044146,0.00043758,0.00040491,0.00040421
1387.71,,,,,,,0.066959,0.067242,0.065107,0.069802,0.072696,0.070056,0.018961,0.020139,0.019989,0.011515,0.011941,0.011527,0.0041423,0.0043528,0.0043392,0.00038461,0.00039755,0.00039707
1401.31,,,,,,,0.065163,0.065388,0.063274,0.068596,0.071448,0.068843,0.018694,0.019866,0.019712,0.011288,0.011708,0.0113,0.0040711,0.0042802,0.0042658,0.00032993,0.0003909,0.00039012
1414.92,,,,,,,0.063428,0.063596,0.061503,0.067418,0.070229,0.067657,0.018433,0.019598,0.019442,0.011067,0.011481,0.011079,0.0040017,0.0042096,0.0041944,0.00032249,0.00038469,0.00038336
1428.52,,,,,,,0.061751,0.061864,0.059792,0.066262,0.069031,0.066493,0.018175,0.019334,0.019175,0.01085,0.011258,0.010863,0.0039336,0.0041401,0.0041241,0.00036138,0.00037835,0.00037671
1442.13,,,,,,,0.060132,0.060192,0.058141,0.065137,0.067864,0.065358,0.017925,0.019076,0.018914,0.01064,0.011042,0.010653,0.0038675,0.0040727,0.0040559,0.00040005,0.00037173,0.00037027
1455.73,,,,,,,0.058568,0.058577,0.056548,0.064037,0.066723,0.064248,0.017679,0.018823,0.018659,0.010436,0.010832,0.010448,0.003803,0.0040069,0.0039893,0.00038851,0.00036506,0.00036398
1469.34,,,,,,,0.057056,0.057016,0.055009,0.062964,0.065609,0.063165,0.017438,0.018576,0.018409,0.010238,0.010627,0.010249,0.0037401,0.0039427,0.0039244,0.00033467,0.00035884,0.00035785
1482.94,,,,,,,0.055596,0.055507,0.053522,0.061918,0.064523,0.062108,0.017204,0.018334,0.018164,0.010045,0.010428,0.010056,0.0036791,0.0038803,0.0038613,0.00029163,0.00035323,0.00035191
1496.55,,,,,,,0.054178,0.054043,0.052081,0.060885,0.063449,0.061064,0.016971,0.018094,0.017922,0.0098547,0.010232,0.0098652,0.0036188,0.0038187,0.0037989,0.00029409,0.00034786,0.00034604
1510.15,,,,,,,0.05281,0.05263,0.05069,0.059883,0.062407,0.06005,0.016745,0.017861,0.017686,0.0096708,0.010042,0.0096808,0.0035605,0.003759,0.0037386,0.00033347,0.00034239,0.00034037
1523.76,,,,,,,0.051486,0.051263,0.049346,0.058901,0.061385,0.059057,0.016523,0.017631,0.017454,0.0094912,0.0098569,0.0095006,0.0035034,0.0037006,0.0036795,0.00036534,0.00033664,0.00033482
1537.36,,,,,,,0.050205,0.04994,0.048046,0.057942,0.060386,0.058085,0.016305,0.017406,0.017227,0.009316,0.0096762,0.0093248,0.0034477,0.0036435,0.0036218,0.00034978,0.00033089,0.00032941
1550.97,,,,,,,0.048967,0.048661,0.046789,0.057004,0.059409,0.057135,0.016092,0.017186,0.017004,0.0091455,0.0095001,0.0091535,0.0033933,0.0035878,0.0035655,0.00029956,0.00032556,0.00032414
1564.57,,,,,,,0.047768,0.047424,0.045574,0.056091,0.058457,0.056209,0.015884,0.01697,0.016787,0.0089798,0.0093288,0.008987,0.0033404,0.0035336,0.0035106,0.00026186,0.00032075,0.00031901
1578.18,,,,,,,0.046602,0.04622,0.044393,0.055188,0.057515,0.055292,0.015677,0.016756,0.01657,0.0088167,0.0091601,0.0088229,0.0032882,0.00348,0.0034564,0.00026521,0.00031612,0.00031395
1591.78,,,,,,,0.045476,0.045057,0.043253,0.054312,0.0566,0.054402,0.015477,0.016548,0.01636,0.0086588,0.0089965,0.0086638,0.0032375,0.003428,0.0034038,0.00030148,0.00031141,0.00030905
1605.39,,,,,,,0.044384,0.04393,0.042149,0.053453,0.055703,0.053529,0.015279,0.016343,0.016153,0.0085046,0.0088367,0.0085084,0.003188,0.0033772,0.0033524,0.00033215,0.00030644,0.00030426
1618.99,,,,,,,0.043327,0.042838,0.04108,0.052613,0.054824,0.052675,0.015086,0.016142,0.01595,0.0083541,0.0086807,0.0083566,0.0031396,0.0033274,0.003302,0.00032103,0.00030146,0.00029958
1632.6,,,,,,,0.042303,0.041782,0.040046,0.051792,0.053965,0.05184,0.014896,0.015945,0.015751,0.0082074,0.0085285,0.0082086,0.0030923,0.0032788,0.0032528,0.00027639,0.0002968,0.000295
1646.2,,,,,,,0.041304,0.040752,0.039039,0.050983,0.05312,0.051017,0.014709,0.01575,0.015554,0.0080633,0.0083792,0.0080633,0.0030459,0.003231,0.0032045,0.00023908,0.00029256,0.00029052
1659.81,,,,,,,0.040342,0.039759,0.038069,0.050199,0.052298,0.050218,0.014527,0.015561,0.015363,0.0079236,0.0082343,0.0079224,0.0030007,0.0031845,0.0031575,0.00023718,0.0002886,0.00028616
1673.41,,,,,,,0.039407,0.038794,0.037126,0.049429,0.051491,0.049433,0.014348,0.015374,0.015174,0.0077869,0.0080926,0.0077845,0.0029566,0.003139,0.0031115,0.00026783,0.00028454,0.00028189
1687.02,,,,,,,0.038499,0.037858,0.036212,0.048674,0.0507,0.048663,0.014173,0.015191,0.014989,0.0076533,0.007954,0.0076497,0.0029133,0.0030944,0.0030664,0.00030053,0.00028025,0.00027772
1700.62,,,,,,,0.037618,0.036949,0.035326,0.047935,0.049924,0.047909,0.014,0.01501,0.014807,0.0075228,0.0078185,0.0075179,0.002871,0.0030507,0.0030223,0.00029958,0.00027588,0.00027362
1714.23,,,,,,,0.036765,0.036069,0.034468,0.047211,0.049164,0.047171,0.01383,0.014833,0.014628,0.0073955,0.0076861,0.0073891,0.0028296,0.003008,0.002979,0.00026284,0.00027172,0.00026962
1727.83,,,,,,,0.035932,0.035211,0.033632,0.046501,0.048418,0.046445,0.013663,0.014659,0.014452,0.0072709,0.0075564,0.007263,0.002789,0.002966,0.0029366,0.00022338,0.00026795,0.00026569
1741.44,,,,,,,0.035127,0.034382,0.032825,0.045807,0.047689,0.045736,0.0135,0.014488,0.014279,0.0071496,0.00743,0.00714,0.0027494,0.002925,0.0028952,0.00021152,0.00026445,0.00026185
1755.04,,,,,,,0.034345,0.033576,0.032041,0.045128,0.046974,0.045041,0.013339,0.01432,0.01411,0.0070311,0.0073064,0.0070198,0.0027106,0.0028849,0.0028546,0.00023252,0.00026096,0.0002581
1768.65,,,,,,,0.033584,0.032793,0.03128,0.044462,0.046274,0.04436,0.013181,0.014155,0.013943,0.0069152,0.0071855,0.0069022,0.0026727,0.0028456,0.0028148,0.0002663,0.00025727,0.00025442
1782.25,,,,,,,0.032845,0.032032,0.03054,0.043809,0.045586,0.043692,0.013026,0.013992,0.013779,0.0068018,0.0070672,0.0067872,0.0026355,0.002807,0.0027759,0.00027913,0.00025343,0.00025081
1795.86,,,,,,,0.032128,0.031294,0.029824,0.043169,0.044912,0.043037,0.012874,0.013832,0.013618,0.0066909,0.0069515,0.0066747,0.0025991,0.0027692,0.0027377,0.00025552,0.00024969,0.00024727
1809.46,,,,,,,0.031429,0.030575,0.029126,0.042542,0.044251,0.042394,0.012724,0.013675,0.013459,0.0065824,0.0068383,0.0065646,0.0025634,0.0027322,0.0027002,0.00021601,0.00024624,0.0002438
1823.07,,,,,,,0.030751,0.029878,0.02845,0.041928,0.043603,0.041765,0.012577,0.013521,0.013303,0.0064763,0.0067276,0.006457,0.0025284,0.0026959,0.0026635,0.00019231,0.0002431,0.00024041
1836.67,,,,,,,0.030092,0.0292,0.027793,0.041327,0.042968,0.041148,0.012433,0.013369,0.01315,0.0063727,0.0066194,0.0063517,0.0024943,0.0026603,0.0026276,0.00019905,0.00024007,0.00023708
1850.28,,,,,,,0.029451,0.028541,0.027155,0.040737,0.042345,0.040543,0.012291,0.01322,0.013,0.0062715,0.0065135,0.0062488,0.0024608,0.0026254,0.0025924,0.00022837,0.00023693,0.00023382
1863.88,,,,,,,0.028827,0.0279,0.026534,0.040159,0.041734,0.039949,0.012151,0.013073,0.012852,0.0061725,0.0064098,0.0061481,0.002428,0.0025913,0.0025579,0.00025387,0.00023361,0.00023063
