,1s,1s,1s,2p,2p,2p,2s,2s,2s
,x,y,z,x,y,z,x,y,z
0,,,,,,,,,
27.21,,,,7.9271,7.9303,7.9403,,,
40.81,,,,5.9639,5.9681,5.9965,0.68691,0.68845,0.61577
54.42,,,,4.3196,4.3268,4.3537,0.62098,0.62233,0.56767
68.02,,,,3.107,3.1106,3.1327,0.54912,0.5503,0.50843
81.63,,,,2.2532,2.2609,2.278,0.48082,0.48188,0.44924
95.23,,,,1.6719,1.6765,1.6895,0.41975,0.42071,0.39484
108.84,,,,1.2675,1.2709,1.2811,0.36681,0.3677,0.34686
122.44,,,,0.97898,0.98429,0.99225,0.32165,0.32248,0.30545
136.05,,,,0.77264,0.77696,0.78316,0.28338,0.28416,0.27005
149.65,,,,0.62071,0.62327,0.62821,0.25098,0.25171,0.23987
163.26,,,,0.504,0.50691,0.51091,0.22347,0.22417,0.21412
176.86,,,,0.41356,0.41722,0.42042,0.19999,0.20066,0.19205
190.47,,,,0.34391,0.34694,0.34946,0.17984,0.18048,0.17303
204.07,,,,0.28907,0.29105,0.29308,0.16241,0.16303,0.15654
217.68,,,,0.24425,0.24611,0.24776,0.14725,0.14785,0.14214
231.28,,,,0.20733,0.20967,0.21098,0.13396,0.13454,0.1295
244.89,,,,0.17746,0.17987,0.18088,0.12226,0.12282,0.11834
258.49,,,,0.15343,0.15529,0.15607,0.1119,0.11245,0.10844
272.1,,,,0.13353,0.13486,0.13547,0.10269,0.10322,0.099627
285.7,,,,0.11651,0.11779,0.11825,0.094462,0.094978,0.091743
299.31,,,,0.10189,0.10343,0.10377,0.087094,0.087598,0.084672
312.91,,,,0.089652,0.091302,0.091526,0.080483,0.080976,0.078319
326.52,,,,0.079553,0.080977,0.081104,0.074532,0.075013,0.072592
340.12,,,,0.071069,0.07213,0.072183,0.069166,0.069634,0.067421
353.73,,,,0.063643,0.064504,0.064504,0.064315,0.064771,0.062741
367.33,,,,0.056987,0.057903,0.057859,0.05992,0.060365,0.058499
380.94,,,,0.051095,0.052167,0.05208,0.05593,0.056366,0.054644
394.54,,,,0.046039,0.047157,0.047028,0.0523,0.052727,0.051135
408.15,,,,0.041776,0.042757,0.042592,0.048992,0.04941,0.047933
421.75,,,,0.038112,0.038872,0.038681,0.045971,0.046379,0.045006
435.36,,,,0.034822,0.035426,0.035219,0.043205,0.043603,0.042323
448.96,,,,0.031769,0.032363,0.032142,0.040666,0.041054,0.039859
462.57,,,,0.028953,0.029633,0.0294,0.038329,0.03871,0.037592
476.17,,,,0.026439,0.027194,0.026948,0.036175,0.036548,0.035499
489.78,,,,0.024271,0.025009,0.02475,0.034184,0.03455,0.033565
503.38,,,,0.022416,0.023042,0.022773,0.032342,0.032701,0.031773
516.99,,,,0.020779,0.021266,0.020992,0.030633,0.030984,0.030109
530.59,,,,0.019262,0.019659,0.019383,0.029045,0.029388,0.028562
544.2,,,,0.017813,0.018203,0.017928,0.027567,0.027902,0.027121
557.8,,,,0.016441,0.016883,0.016607,0.026187,0.026516,0.025775
