,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4p,4p,4p,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,1.9265,1.923,2.7106,,,
27.21,,,,,,,,,,,,,,,,0.2659,0.26593,0.37499,0.20026,0.19934,0.21085
40.81,,,,,,,7.0084,7.0094,6.8695,,,,,,,0.083394,0.083317,0.1015,0.1878,0.18687,0.19424
54.42,,,,,,,7.5893,7.5975,7.5472,,,,,,,0.050098,0.049917,0.04834,0.15794,0.15758,0.16251
68.02,,,,,,,7.7188,7.7324,7.7348,,,,,,,0.042006,0.041792,0.03563,0.13117,0.13059,0.13406
81.63,,,,,,,7.4682,7.4823,7.5138,,,,,,,0.038451,0.038345,0.031667,0.10933,0.10914,0.1117
95.23,,,,,,,6.9748,6.9895,7.0361,,,,,,,0.035801,0.035711,0.029603,0.092826,0.092489,0.094446
108.84,,,,,,,6.3952,6.4124,6.4658,,,,,,,0.033452,0.0333,0.027964,0.079584,0.079383,0.080939
122.44,,,,,,,5.8157,5.8349,5.8907,,,,,,,0.031067,0.031047,0.026451,0.069011,0.068919,0.070171
136.05,,,,,,,5.2631,5.2822,5.3377,0.73511,0.73589,0.66978,,,,0.029058,0.028953,0.025006,0.060659,0.060439,0.061474
149.65,,,,,,,4.7426,4.7603,4.8138,0.71927,0.72026,0.65944,,,,0.027034,0.027024,0.023625,0.053589,0.053518,0.054389
163.26,,,,,,,4.2586,4.2754,4.326,0.69996,0.70115,0.64528,,,,0.025315,0.025255,0.022319,0.047863,0.047836,0.048572
176.86,,,,,,,3.8174,3.8343,3.8814,0.6787,0.68008,0.62875,0.15593,0.15628,0.15857,0.02364,0.023649,0.021095,0.043241,0.043112,0.043748
190.47,,,,,,,3.423,3.4404,3.4839,0.6566,0.65814,0.61091,0.14903,0.1494,0.15152,0.022234,0.022189,0.019956,0.039191,0.039137,0.039693
204.07,,,,,,,3.0748,3.0923,3.1322,0.63427,0.63596,0.59244,0.14258,0.14297,0.14494,0.020824,0.020861,0.018894,0.03572,0.035748,0.036235
217.68,,,,,,,2.7684,2.7852,2.8218,0.61199,0.61381,0.57363,0.1365,0.13691,0.13874,0.019676,0.019638,0.017898,0.032852,0.032811,0.033242
