,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4p,4p,4p,4s,4s,4s
231.28,,,,,,,2.4979,2.5136,2.547,0.58984,0.59179,0.55464,0.13074,0.13117,0.13287,0.01845,0.018503,0.016955,0.030297,0.030231,0.030618
244.89,,,,,,,2.2577,2.2722,2.3027,0.5679,0.56996,0.53556,0.12527,0.12572,0.1273,0.017456,0.017442,0.01606,0.02793,0.027948,0.028296
258.49,,,,,,,2.0435,2.0572,2.0849,0.54627,0.54843,0.51654,0.12008,0.12054,0.12202,0.016413,0.016445,0.015207,0.025874,0.025918,0.02623
272.1,,,,,,,1.8521,1.8655,1.8908,0.52511,0.52735,0.49776,0.11517,0.11565,0.11703,0.015473,0.015512,0.014397,0.024119,0.024101,0.024384
285.7,,,,,,,1.6814,1.6948,1.7178,0.50457,0.50689,0.47939,0.11055,0.11104,0.11233,0.01464,0.014636,0.013631,0.0225,0.02247,0.022729
299.31,,,,,,,1.5296,1.5429,1.5637,0.48478,0.48718,0.46158,0.1062,0.1067,0.10791,0.013756,0.01382,0.01291,0.020974,0.021005,0.021243
312.91,,,,,,,1.3947,1.4076,1.4265,0.46582,0.46828,0.44441,0.1021,0.10262,0.10376,0.013045,0.013061,0.012235,0.019626,0.019686,0.019903
326.52,,,,,,,1.2748,1.287,1.3041,0.4477,0.45021,0.42792,0.098247,0.098771,0.099847,0.012331,0.012355,0.011603,0.018475,0.018493,0.018692
340.12,,,,,,,1.1677,1.179,1.1946,0.4304,0.43296,0.4121,0.094606,0.09514,0.096154,0.011635,0.0117,0.011013,0.01742,0.017408,0.017593
353.73,,,,,,,1.0716,1.0822,1.0963,0.41385,0.41645,0.39692,0.091157,0.0917,0.092657,0.011078,0.011091,0.010461,0.016399,0.016419,0.016592
367.33,,,,,,,0.98497,0.99491,1.0078,0.39801,0.40065,0.38232,0.087882,0.088433,0.089336,0.010485,0.010523,0.0099458,0.015452,0.015516,0.015675
380.94,,,,,,,0.90658,0.91613,0.92782,0.38284,0.38551,0.36829,0.084766,0.085325,0.086179,0.0099301,0.0099957,0.0094634,0.014629,0.014687,0.014835
394.54,,,,,,,0.83552,0.84487,0.85549,0.36829,0.37099,0.3548,0.081799,0.082365,0.083173,0.0094835,0.0095029,0.0090117,0.013904,0.013924,0.014062
408.15,,,,,,,0.77111,0.78033,0.78996,0.35436,0.35708,0.34184,0.078973,0.079547,0.080311,0.0089998,0.0090423,0.0085888,0.013211,0.01322,0.01335
421.75,,,,,,,0.71276,0.72183,0.73054,0.34103,0.34377,0.3294,0.076284,0.076864,0.077587,0.0085445,0.0086134,0.0081927,0.01253,0.01257,0.012692
435.36,,,,,,,0.65994,0.66874,0.67662,0.3283,0.33105,0.3175,0.073726,0.074311,0.074997,0.008184,0.0082125,0.0078218,0.011899,0.01197,0.012085
448.96,,,,,,,0.61211,0.62051,0.62763,0.31615,0.31892,0.30611,0.071294,0.071884,0.072535,0.0077999,0.0078372,0.0074744,0.01135,0.011415,0.011522
462.57,,,,,,,0.56871,0.57662,0.58305,0.30457,0.30734,0.29523,0.068981,0.069576,0.070194,0.0074166,0.0074871,0.0071486,0.010865,0.0109,0.011001
476.17,,,,,,,0.52921,0.5366,0.5424,0.29353,0.29631,0.28484,0.06678,0.067379,0.067966,0.0071174,0.0071593,0.0068428,0.010399,0.01042,0.010516
489.78,,,,,,,0.49312,0.50003,0.50527,0.283,0.28579,0.27491,0.064684,0.065287,0.065845,0.0068209,0.0068507,0.0065552,0.0099318,0.0099733,0.010064
503.38,,,,,,,0.46002,0.46655,0.47128,0.27296,0.27575,0.26542,0.062685,0.063292,0.063823,0.0064962,0.006561,0.0062841,0.0094859,0.0095564,0.0096419
516.99,,,,,,,0.42957,0.43584,0.44009,0.26337,0.26616,0.25634,0.060775,0.061386,0.06189,0.0062291,0.0062883,0.006028,0.0090898,0.0091663,0.0092467
530.59,,,,,,,0.4015,0.40761,0.41143,0.2542,0.25698,0.24765,0.058949,0.059562,0.060042,0.0059996,0.0060301,0.0057856,0.0087437,0.0087997,0.0088755
544.2,,,,,,,0.37564,0.38163,0.38506,0.24542,0.2482,0.23931,0.057199,0.057815,0.058273,0.0057363,0.0057854,0.0055557,0.0084196,0.0084541,0.0085262
557.8,,,,,,,0.35181,0.3577,0.36075,0.23701,0.23979,0.23132,0.055522,0.05614,0.056576,0.0054844,0.0055541,0.0053373,0.008092,0.008128,0.0081969
571.41,,,,,,,0.32986,0.33562,0.33833,0.22896,0.23173,0.22365,0.053913,0.054534,0.054949,0.0052885,0.0053344,0.0051296,0.0077624,0.0078203,0.007886
585.01,,,,,,,0.30967,0.31524,0.31763,0.22125,0.224,0.21629,0.052371,0.052993,0.053389,0.0050907,0.0051253,0.0049321,0.0074528,0.00753,0.0075921
598.62,,,,,,,0.29108,0.2964,0.2985,0.21386,0.2166,0.20924,0.05089,0.051514,0.051892,0.0048666,0.0049268,0.0047442,0.0071801,0.0072555,0.0073141
612.22,,,,,,,0.27395,0.27897,0.28081,0.20679,0.20952,0.20248,0.04947,0.050096,0.050455,0.0046736,0.0047387,0.0045654,0.0069388,0.0069953,0.007051
625.83,,,,,,,0.25811,0.26283,0.26443,0.20002,0.20274,0.196,0.048108,0.048735,0.049077,0.0045196,0.0045596,0.0043952,0.0067081,0.0067485,0.0068017
639.43,,,,,,,0.24344,0.24785,0.24924,0.19353,0.19624,0.18978,0.046801,0.047429,0.047756,0.0043501,0.004389,0.0042333,0.0064718,0.0065144,0.0065654
653.04,,,,,,,0.22979,0.23395,0.23514,0.18733,0.19002,0.18383,0.045547,0.046175,0.046487,0.0041651,0.0042271,0.0040792,0.0062323,0.0062925,0.0063413
666.64,,,,,,,0.21705,0.22102,0.22203,0.18138,0.18406,0.17812,0.044342,0.044971,0.045269,0.0040132,0.0040735,0.0039324,0.0060057,0.0060823,0.0061287
680.25,,,,,,,0.20516,0.20899,0.20982,0.17569,0.17834,0.17264,0.043184,0.043815,0.044098,0.003889,0.003927,0.0037927,0.005805,0.0058827,0.0059266
693.85,,,,,,,0.19403,0.19776,0.19845,0.17022,0.17286,0.16738,0.042071,0.042702,0.042972,0.0037476,0.0037872,0.0036595,0.0056289,0.0056928,0.0057344
707.46,,,,,,,0.18363,0.18729,0.18783,0.16498,0.1676,0.16233,0.040999,0.04163,0.041888,0.0035945,0.0036544,0.0035325,0.0054634,0.0055117,0.0055515
721.06,,,,,,,0.17391,0.17751,0.17791,0.15994,0.16254,0.15747,0.039967,0.040598,0.040843,0.0034696,0.003528,0.0034113,0.0052944,0.0053389,0.0053773
734.67,,,,,,,0.16484,0.16836,0.16864,0.15509,0.15768,0.1528,0.038971,0.039603,0.039837,0.0033687,0.0034072,0.0032957,0.005119,0.0051743,0.0052111
748.27,,,,,,,0.15638,0.15979,0.15997,0.15044,0.153,0.1483,0.038011,0.038642,0.038865,0.0032542,0.0032918,0.0031852,0.0049463,0.0050173,0.0050525
761.88,,,,,,,0.1485,0.15177,0.15184,0.14596,0.1485,0.14397,0.037084,0.037715,0.037927,0.0031263,0.0031817,0.0030797,0.0047887,0.0048677,0.004901
775.48,,,,,,,0.14114,0.14426,0.14423,0.14165,0.14417,0.13979,0.036189,0.036819,0.037022,0.0030187,0.0030769,0.0029789,0.0046512,0.0047247,0.0047563
789.09,,,,,,,0.13427,0.13721,0.13709,0.1375,0.14001,0.13578,0.035324,0.035954,0.036147,0.0029355,0.0029766,0.0028826,0.004528,0.0045879,0.004618
802.69,,,,,,,0.12783,0.13059,0.13039,0.13352,0.136,0.13191,0.034489,0.035119,0.035302,0.0028459,0.0028806,0.0027905,0.0044078,0.0044567,0.0044856
816.3,,,,,,,0.12179,0.12437,0.1241,0.12968,0.13214,0.12819,0.033683,0.034311,0.034486,0.0027401,0.0027889,0.0027024,0.0042822,0.0043312,0.004359
829.9,,,,,,,0.11609,0.11852,0.11819,0.12598,0.12842,0.1246,0.032903,0.033531,0.033697,0.0026437,0.0027014,0.0026181,0.0041516,0.0042111,0.0042378
843.51,,,,,,,0.11071,0.11302,0.11263,0.12243,0.12484,0.12114,0.03215,0.032778,0.032935,0.0025716,0.0026178,0.0025374,0.0040243,0.0040962,0.0041217
857.11,,,,,,,0.10562,0.10784,0.10739,0.119,0.1214,0.11781,0.031423,0.032049,0.032198,0.0025037,0.0025375,0.0024602,0.003909,0.0039863,0.0040104
870.72,,,,,,,0.1008,0.10295,0.10246,0.11571,0.11808,0.1146,0.030719,0.031345,0.031486,0.0024203,0.0024606,0.0023862,0.0038088,0.0038809,0.0039038
884.32,,,,,,,0.096239,0.098342,0.097803,0.11253,0.11488,0.11151,0.030039,0.030663,0.030797,0.0023335,0.002387,0.0023151,0.0037192,0.0037797,0.0038014
897.93,,,,,,,0.091928,0.093992,0.093411,0.10947,0.11179,0.10853,0.029381,0.030004,0.030131,0.0022653,0.0023165,0.002247,0.0036316,0.0036823,0.0037031
911.53,,,,,,,0.087857,0.089881,0.089261,0.10652,0.10882,0.10564,0.028743,0.029365,0.029485,0.0022115,0.0022487,0.0021815,0.0035392,0.0035885,0.0036086
925.14,,,,,,,0.084019,0.085995,0.085339,0.10367,0.10595,0.10286,0.028126,0.028747,0.02886,0.0021502,0.0021834,0.0021186,0.0034416,0.0034984,0.0035177
938.74,,,,,,,0.080405,0.082317,0.081629,0.10091,0.10317,0.10018,0.027528,0.028147,0.028254,0.0020764,0.0021207,0.0020581,0.0033442,0.0034118,0.0034302
952.35,,,,,,,0.077002,0.078835,0.078117,0.098257,0.10049,0.097578,0.026947,0.027565,0.027666,0.0020083,0.0020604,0.0019997,0.003254,0.0033284,0.0033459
965.95,,,,,,,0.073798,0.075538,0.074793,0.095692,0.097902,0.095069,0.026385,0.027002,0.027096,0.0019579,0.0020025,0.0019436,0.0031752,0.0032482,0.0032646
979.56,,,,,,,0.070776,0.072412,0.071643,0.093212,0.095398,0.092641,0.025839,0.026454,0.026543,0.0019135,0.0019465,0.0018895,0.003106,0.0031706,0.0031862
993.16,,,,,,,0.06792,0.069447,0.068657,0.090814,0.092977,0.090293,0.025309,0.025922,0.026006,0.0018586,0.0018925,0.0018373,0.0030408,0.0030957,0.0031105
1006.77,,,,,,,0.065212,0.066633,0.065826,0.088497,0.090636,0.088021,0.024794,0.025406,0.025484,0.0017957,0.0018405,0.0017869,0.0029732,0.0030231,0.0030374
1020.37,,,,,,,0.062639,0.063963,0.06314,0.086257,0.088373,0.085825,0.024295,0.024905,0.024977,0.0017416,0.0017905,0.0017384,0.0029005,0.0029531,0.0029667
1033.98,,,,,,,0.060185,0.061427,0.06059,0.08409,0.086182,0.083698,0.023809,0.024417,0.024485,0.0017021,0.0017422,0.0016915,0.0028246,0.0028854,0.0028985
1047.58,,,,,,,0.057842,0.059016,0.058168,0.081995,0.084064,0.08164,0.023337,0.023944,0.024007,0.0016647,0.0016955,0.0016463,0.0027508,0.0028201,0.0028325
1061.19,,,,,,,0.055602,0.056724,0.055866,0.079968,0.082014,0.079649,0.022879,0.023484,0.023542,0.0016169,0.0016504,0.0016026,0.0026839,0.0027571,0.0027687
1074.79,,,,,,,0.053458,0.054542,0.053677,0.078008,0.08003,0.077721,0.022434,0.023037,0.023091,0.0015636,0.0016069,0.0015605,0.002626,0.0026962,0.0027069
1088.4,,,,,,,0.051411,0.052468,0.051595,0.076112,0.078111,0.075856,0.022002,0.022603,0.022652,0.0015189,0.0015651,0.0015198,0.0025748,0.0026371,0.0026473
1102.0,,,,,,,0.049456,0.050492,0.049613,0.074276,0.076252,0.074049,0.021582,0.02218,0.022225,0.0014865,0.0015247,0.0014805,0.0025256,0.0025799,0.0025895
1115.61,,,,,,,0.047594,0.048608,0.047724,0.072499,0.074452,0.072298,0.021173,0.02177,0.02181,0.0014557,0.0014855,0.0014425,0.0024738,0.0025244,0.0025336
1129.21,,,,,,,0.045823,0.046813,0.045924,0.070778,0.072708,0.070602,0.020776,0.021371,0.021407,0.0014159,0.0014477,0.0014059,0.0024176,0.0024707,0.0024794
1142.82,,,,,,,0.044143,0.045101,0.044208,0.069111,0.071018,0.068958,0.02039,0.020982,0.021015,0.0013707,0.0014112,0.0013704,0.0023588,0.0024188,0.002427
1156.42,,,,,,,0.042548,0.043465,0.04257,0.067495,0.06938,0.067364,0.020014,0.020604,0.020633,0.0013321,0.001376,0.0013361,0.0023013,0.0023685,0.0023762
1170.03,,,,,,,0.041036,0.041904,0.041007,0.065929,0.06779,0.065817,0.019648,0.020236,0.020261,0.0013047,0.001342,0.001303,0.0022491,0.0023199,0.0023269
1183.63,,,,,,,0.039601,0.040412,0.039514,0.064409,0.066249,0.064317,0.019291,0.019877,0.019899,0.0012801,0.001309,0.0012709,0.0022039,0.0022727,0.0022792
1197.24,,,,,,,0.038238,0.038986,0.038089,0.062936,0.064753,0.06286,0.018944,0.019528,0.019546,0.0012483,0.001277,0.0012399,0.0021644,0.0022269,0.0022328
1210.84,,,,,,,0.036939,0.037623,0.036727,0.061507,0.063301,0.061447,0.018606,0.019188,0.019202,0.0012102,0.0012461,0.0012099,0.0021272,0.0021824,0.0021879
1224.45,,,,,,,0.035698,0.036318,0.035424,0.060119,0.061891,0.060074,0.018277,0.018856,0.018867,0.0011755,0.0012163,0.0011808,0.0020885,0.0021391,0.0021443
1238.05,0.13498,0.13133,0.12808,,,,0.034508,0.03507,0.034179,0.058773,0.060522,0.05874,0.017955,0.018532,0.01854,0.0011506,0.0011875,0.0011527,0.0020461,0.0020971,0.0021019
1251.66,0.13292,0.12928,0.12609,,,,0.033365,0.033875,0.032988,0.057465,0.059193,0.057445,0.017642,0.018216,0.018221,0.0011308,0.0011595,0.0011254,0.0020006,0.0020563,0.0020608
1265.26,0.13091,0.12727,0.12414,,,,0.032263,0.032731,0.031848,0.056195,0.057901,0.056186,0.017336,0.017908,0.01791,0.0011067,0.0011323,0.001099,0.0019546,0.0020168,0.0020208
1278.87,0.12893,0.1253,0.12223,,,,0.031201,0.031636,0.030757,0.054963,0.056647,0.054965,0.017038,0.017608,0.017607,0.0010754,0.001106,0.0010735,0.0019115,0.0019784,0.0019821
1292.47,0.12699,0.12337,0.12035,,,,0.030175,0.030586,0.029713,0.053766,0.055429,0.053777,0.016748,0.017315,0.017311,0.0010437,0.0010806,0.0010487,0.0018736,0.0019412,0.0019444
1306.08,0.12508,0.12147,0.11852,,,,0.029186,0.029579,0.028712,0.052604,0.054244,0.052623,0.016464,0.017029,0.017022,0.0010192,0.001056,0.0010247,0.0018411,0.001905,0.0019077
1319.68,0.12322,0.11962,0.11672,,,,0.028234,0.028614,0.027753,0.051474,0.053094,0.051501,0.016187,0.016749,0.01674,0.001002,0.0010322,0.0010015,0.0018121,0.0018698,0.0018721
1333.29,0.12139,0.1178,0.11495,,,,0.027318,0.027689,0.026833,0.050377,0.051975,0.05041,0.015917,0.016477,0.016465,0.00098463,0.001009,0.00097894,0.0017835,0.0018354,0.0018374
1346.89,0.11959,0.11602,0.11322,,,,0.026441,0.026801,0.025951,0.049312,0.050889,0.049351,0.015654,0.016211,0.016196,0.000961,0.00098655,0.0009571,0.0017528,0.001802,0.0018038
1360.5,0.11783,0.11427,0.11153,,,,0.025601,0.025949,0.025105,0.048275,0.049831,0.04832,0.015397,0.015951,0.015934,0.0009331,0.00096477,0.00093589,0.0017189,0.0017695,0.001771
1374.1,0.1161,0.11256,0.10986,0.033219,0.032392,0.031988,0.024799,0.02513,0.024293,0.047268,0.048803,0.047317,0.015146,0.015698,0.015678,0.00090836,0.00094371,0.00091532,0.0016826,0.0017379,0.0017391
1387.71,0.11441,0.11087,0.10823,0.03293,0.032093,0.031692,0.024034,0.024343,0.023513,0.046289,0.047803,0.046342,0.014901,0.01545,0.015428,0.000891,0.00092328,0.00089535,0.0016464,0.0017072,0.0017081
1401.31,0.11274,0.10923,0.10663,0.032644,0.031797,0.0314,0.023306,0.023587,0.022763,0.045336,0.04683,0.045393,0.014661,0.015208,0.015184,0.0008777,0.00090339,0.00087595,0.0016129,0.0016774,0.0016779
1414.92,0.11111,0.10761,0.10506,0.032361,0.031505,0.031111,0.02261,0.02286,0.022043,0.044408,0.045882,0.044468,0.014427,0.014971,0.014945,0.00086155,0.000884,0.00085709,0.0015836,0.0016483,0.0016485
1428.52,0.10951,0.10602,0.10353,0.032084,0.031218,0.030827,0.021948,0.022161,0.021351,0.043508,0.044961,0.04357,0.0142,0.014741,0.014712,0.00083964,0.00086521,0.00083881,0.0015588,0.0016201,0.0016199
1442.13,0.10794,0.10446,0.10202,0.031808,0.030933,0.030546,0.021313,0.021488,0.020686,0.04263,0.044064,0.042694,0.013976,0.014515,0.014484,0.00081586,0.00084697,0.00082101,0.0015366,0.0015924,0.0015919
1455.73,0.10639,0.10294,0.10053,0.031537,0.030652,0.030269,0.020703,0.02084,0.020046,0.041776,0.043189,0.041841,0.013758,0.014294,0.014262,0.00079652,0.00082928,0.00080371,0.0015147,0.0015655,0.0015647
1469.34,0.10487,0.10143,0.099079,0.031268,0.030375,0.029995,0.020116,0.020216,0.01943,0.040944,0.042338,0.041011,0.013545,0.014079,0.014044,0.00078348,0.00081206,0.00078688,0.001491,0.0015391,0.0015382
1482.94,0.10338,0.09996,0.097649,0.031002,0.030101,0.029724,0.019548,0.019615,0.018838,0.040134,0.041507,0.0402,0.013337,0.013867,0.01383,0.00077254,0.00079525,0.00077049,0.0014645,0.0015134,0.0015123
1496.55,0.10192,0.098517,0.09625,0.03074,0.029831,0.029458,0.018999,0.019037,0.018268,0.039346,0.0407,0.039413,0.013133,0.013661,0.013622,0.00075804,0.00077889,0.00075457,0.0014359,0.0014884,0.0014871
1510.15,0.10048,0.097095,0.094871,0.03048,0.029563,0.029193,0.018465,0.018479,0.017719,0.038577,0.039911,0.038643,0.012934,0.013459,0.013418,0.00073858,0.00076294,0.00073904,0.0014068,0.001464,0.0014624
1523.76,0.099067,0.0957,0.093519,0.030223,0.029298,0.028932,0.017946,0.017942,0.01719,0.037828,0.039143,0.037893,0.012739,0.013261,0.013218,0.0007184,0.00074747,0.00072393,0.0013793,0.0014401,0.0014383
1537.36,0.097679,0.094331,0.092192,0.029969,0.029037,0.028675,0.017441,0.017424,0.016681,0.037098,0.038394,0.037163,0.012548,0.013067,0.013023,0.00070262,0.00073244,0.00070922,0.0013551,0.0014169,0.0014148
1550.97,0.096316,0.092986,0.090889,0.029719,0.028778,0.02842,0.01695,0.016925,0.016191,0.036387,0.037664,0.03645,0.012361,0.012878,0.012832,0.00069218,0.00071778,0.0006949,0.0013346,0.0013943,0.0013918
1564.57,0.094974,0.091664,0.089608,0.02947,0.028523,0.028168,0.016474,0.016443,0.015718,0.035693,0.036952,0.035755,0.012178,0.012692,0.012644,0.00068308,0.00070346,0.00068093,0.0013168,0.0013721,0.0013694
1578.18,0.093661,0.090371,0.088354,0.029225,0.028271,0.02792,0.016014,0.015979,0.015262,0.035018,0.036259,0.035078,0.011999,0.01251,0.012461,0.00067059,0.0006895,0.00066735,0.0013,0.0013504,0.0013475
1591.78,0.092368,0.089097,0.08712,0.028982,0.028022,0.027674,0.015569,0.015531,0.014823,0.034359,0.035581,0.034417,0.011824,0.012332,0.012281,0.00065373,0.0006759,0.0006541,0.0012822,0.0013291,0.001326
1605.39,0.091097,0.087847,0.085908,0.028742,0.027775,0.027432,0.015141,0.015099,0.014399,0.033717,0.034921,0.033773,0.011652,0.012158,0.012105,0.00063621,0.00066268,0.00064119,0.0012623,0.0013083,0.0013051
1618.99,0.08985,0.08662,0.084719,0.028505,0.027532,0.027192,0.014729,0.014681,0.01399,0.033091,0.034277,0.033144,0.011484,0.011987,0.011933,0.0006225,0.00064983,0.00062862,0.0012401,0.001288,0.0012846
1632.6,0.088624,0.085415,0.083552,0.028271,0.027291,0.026955,0.014335,0.014278,0.013595,0.032481,0.033648,0.032531,0.01132,0.01182,0.011764,0.00061354,0.00063731,0.00061637,0.0012165,0.0012682,0.0012646
1646.2,0.087421,0.084233,0.082406,0.028039,0.027054,0.026722,0.013959,0.013889,0.013215,0.031885,0.033036,0.031933,0.011159,0.011656,0.011599,0.0006061,0.00062507,0.00060443,0.0011933,0.0012488,0.0012451
1659.81,0.086237,0.08307,0.08128,0.027811,0.02682,0.026491,0.013598,0.013513,0.012847,0.031304,0.032437,0.031349,0.011001,0.011495,0.011437,0.00059591,0.0006131,0.00059278,0.001172,0.00123,0.001226
1673.41,0.085073,0.081928,0.080173,0.027584,0.026588,0.026263,0.013253,0.013149,0.012491,0.030737,0.031853,0.030779,0.010847,0.011338,0.011279,0.00058171,0.00060143,0.00058142,0.0011536,0.0012115,0.0012073
1687.02,0.083929,0.080805,0.079085,0.02736,0.026359,0.026038,0.012922,0.012797,0.012148,0.030184,0.031282,0.030222,0.010695,0.011184,0.011123,0.00056631,0.00059009,0.00057035,0.001138,0.0011934,0.001189
1700.62,0.082805,0.079703,0.078017,0.027139,0.026132,0.025815,0.012604,0.012457,0.011816,0.029644,0.030725,0.029678,0.010547,0.011033,0.010971,0.00055372,0.00057906,0.00055955,0.0011245,0.0011757,0.0011711
1714.23,0.0817,0.07862,0.076968,0.02692,0.025908,0.025595,0.012297,0.012128,0.011495,0.029117,0.030181,0.029148,0.010402,0.010885,0.010821,0.00054552,0.0005683,0.00054903,0.0011113,0.0011584,0.0011536
1727.83,0.080614,0.077556,0.075938,0.026704,0.025688,0.025378,0.012001,0.01181,0.011186,0.028603,0.02965,0.028629,0.01026,0.01074,0.010675,0.0005395,0.00055779,0.00053876,0.0010971,0.0011414,0.0011365
1741.44,0.079546,0.07651,0.074924,0.02649,0.02547,0.025164,0.011712,0.011501,0.010886,0.028101,0.029131,0.028123,0.01012,0.010597,0.010531,0.00053185,0.00054749,0.00052874,0.001081,0.0011248,0.0011198
1755.04,0.078495,0.075481,0.073928,0.026279,0.025254,0.024951,0.011431,0.011202,0.010595,0.02761,0.028624,0.027628,0.0099835,0.010458,0.010391,0.00052055,0.00053744,0.00051896,0.0010629,0.0011085,0.0011034
1768.65,0.07746,0.07447,0.072947,0.026069,0.02504,0.024742,0.011156,0.010913,0.010315,0.02713,0.028128,0.027144,0.0098494,0.010321,0.010253,0.00050714,0.00052766,0.00050942,0.0010437,0.0010926,0.0010873
1782.25,0.076443,0.073475,0.071984,0.025862,0.024829,0.024534,0.010887,0.010633,0.010044,0.026662,0.027643,0.026671,0.0097178,0.010186,0.010117,0.00049518,0.00051813,0.0005001,0.0010247,0.001077,0.0010716
1795.86,0.075442,0.072497,0.071036,0.025656,0.024619,0.024328,0.010624,0.010362,0.0097809,0.026204,0.027169,0.026209,0.0095885,0.010054,0.0099837,0.00048699,0.00050885,0.00049101,0.0010073,0.0010618,0.0010562
1809.46,0.07446,0.071537,0.070107,0.025455,0.024414,0.024127,0.010366,0.0101,0.0095269,0.025757,0.026706,0.025758,0.0094624,0.0099253,0.0098537,0.00048176,0.00049978,0.00048215,0.00099239,0.0010469,0.0010412
1823.07,0.073492,0.070593,0.069191,0.025254,0.02421,0.023926,0.010114,0.0098454,0.0092807,0.02532,0.026254,0.025316,0.0093382,0.0097983,0.0097256,0.00047635,0.00049089,0.00047349,0.00097983,0.0010323,0.0010264
1836.67,0.07254,0.069664,0.068291,0.025056,0.024008,0.023729,0.0098679,0.0095988,0.0090424,0.024893,0.025811,0.024884,0.0092165,0.0096736,0.0096,0.00046806,0.00048219,0.00046504,0.00096902,0.001018,0.0010119
1850.28,0.071602,0.068749,0.067406,0.024859,0.023809,0.023533,0.0096283,0.00936,0.0088115,0.024475,0.025378,0.024462,0.0090969,0.0095512,0.0094766,0.0004569,0.00047371,0.00045678,0.00095877,0.001004,0.00099778
1863.88,0.07068,0.06785,0.066535,0.024664,0.023611,0.023339,0.0093961,0.0091285,0.008588,0.024067,0.024954,0.024048,0.0089795,0.009431,0.0093554,0.0004455,0.00046545,0.00044871,0.00094782,0.00099021,0.0009839
1877.49,0.069771,0.066965,0.065677,0.024471,0.023415,0.023146,0.0091716,0.0089042,0.0083715,0.023667,0.024539,0.023644,0.0088641,0.0093126,0.0092361,0.0004367,0.00045739,0.00044083,0.00093529,0.00097665,0.00097026
1891.09,0.068882,0.066099,0.064838,0.024282,0.023223,0.022959,0.0089553,0.0086867,0.0081617,0.023278,0.024135,0.02325,0.0087517,0.0091974,0.00912,0.00043128,0.00044955,0.00043316,0.00092112,0.00096347,0.000957
1904.7,0.068003,0.065244,0.06401,0.024093,0.023032,0.022771,0.0087473,0.0084758,0.0079583,0.022896,0.023738,0.022863,0.0086406,0.0090834,0.0090051,0.00042728,0.00044184,0.00042565,0.00090561,0.00095049,0.00094392
1918.3,0.06714,0.064404,0.063196,0.023906,0.022843,0.022586,0.0085476,0.0082711,0.0077611,0.022523,0.02335,0.022485,0.0085317,0.0089716,0.0088925,0.00042188,0.0004343,0.00041831,0.00088987,0.0009378,0.00093112
1931.91,0.06629,0.063578,0.062396,0.023722,0.022656,0.022403,0.0083561,0.0080724,0.0075698,0.022158,0.022971,0.022115,0.0084248,0.0088619,0.0087819,0.00041357,0.00042692,0.00041114,0.00087502,0.00092539,0.00091858
1945.51,0.065453,0.062765,0.061608,0.023539,0.022472,0.022222,0.0081724,0.0078795,0.0073843,0.021801,0.022599,0.021753,0.0083199,0.0087541,0.0086733,0.00040344,0.00041973,0.00040413,0.00086192,0.00091324,0.00090628
