,1s,1s,1s,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,,,,0.067862,0.067543,0.089074
27.21,,,,,,,,,,7.9317,7.9438,7.5594,,,,,,,0.11632,0.116,0.12888
40.81,,,,,,,,,,9.3578,9.2779,9.1135,,,,,,,0.10761,0.10739,0.11496
54.42,,,,,,,,,,9.2564,9.2675,9.2139,,,,,,,0.092249,0.092096,0.096957
68.02,,,,,,,,,,8.6692,8.713,8.7043,,,,,,,0.077851,0.077741,0.081068
81.63,,,,,,,,,,8.0247,7.9943,8.0118,,,,,,,0.065618,0.065561,0.067946
95.23,,,,,,,,,,7.2638,7.2217,7.2599,0.76479,0.76679,0.69092,,,,0.055617,0.055575,0.057349
108.84,,,,,,,,,,6.4244,6.4425,6.4899,0.77612,0.77828,0.70771,,,,0.04756,0.047516,0.048875
122.44,,,,,,,,,,5.6482,5.6991,5.7451,0.77429,0.77657,0.71165,,,,0.041067,0.041056,0.042125
136.05,,,,,,,,,,4.9948,5.0184,5.0605,0.7635,0.76588,0.70645,0.19079,0.19128,0.19527,0.035862,0.035841,0.0367
149.65,,,,,,,,,,4.4283,4.4116,4.4522,0.74682,0.74928,0.69497,0.18123,0.18172,0.18531,0.031594,0.031593,0.032296
163.26,,,,,,,,,,3.9064,3.8827,3.9231,0.7266,0.72913,0.67947,0.17229,0.17279,0.17603,0.0281,0.028094,0.02868
176.86,,,,,,,,,,3.4227,3.4247,3.4637,0.70389,0.70648,0.66102,0.16386,0.16437,0.16731,0.025169,0.025176,0.02567
190.47,,,,,,,,,,2.9993,3.0295,3.065,0.67966,0.6823,0.64064,0.15591,0.15642,0.15909,0.022716,0.022717,0.023138
204.07,,,,,,,,,,2.6487,2.6858,2.7167,0.65431,0.65698,0.61877,0.14838,0.1489,0.15133,0.020608,0.020624,0.020986
217.68,,,,,,,,,,2.3641,2.3857,2.4125,0.62855,0.63125,0.59616,0.14129,0.14182,0.14403,0.018825,0.01883,0.019145
231.28,,,,,,,,,,2.1224,2.122,2.1463,0.60267,0.60539,0.57312,0.13462,0.13514,0.13717,0.017259,0.017279,0.017555
