,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5p,5p,5p,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,,,,,,,,,,5.3361,5.3621,6.5282,,,
27.21,,,,,,,,,,,,,,,,,,,,,,,,,1.055,1.0592,1.1518,0.2248,0.22499,0.15073
40.81,,,,,,,,,,,,,,,,,,,,,,,,,0.41357,0.4152,0.38923,0.20491,0.20513,0.15558
54.42,,,,,,,,,,,,,,,,,,,,,,,,,0.24485,0.2458,0.20406,0.1736,0.17382,0.13994
68.02,,,,,,,,,,,,,,,,0.64051,0.63635,0.51004,,,,,,,0.18203,0.18271,0.14407,0.14638,0.14661,0.12229
81.63,,,,,,,,,,,,,,,,0.38975,0.39291,0.30456,,,,,,,0.14987,0.15042,0.11794,0.12462,0.12485,0.10666
95.23,,,,,,,,,,,,,,,,0.39555,0.40317,0.33855,,,,,,,0.12932,0.1298,0.10302,0.10715,0.10738,0.09334
108.84,,,,,,,,,,,,,,,,0.4838,0.49415,0.44517,,,,,,,0.11457,0.11499,0.092856,0.092956,0.093177,0.082079
122.44,,,,,,,,,,,,,,,,0.58752,0.59954,0.56133,,,,,,,0.10319,0.10359,0.085139,0.081315,0.081529,0.072585
136.05,,,,,,,,,,,,,,,,0.68266,0.6957,0.66507,0.43693,0.43966,0.39147,,,,0.094064,0.094425,0.078895,0.071812,0.07202,0.064679
149.65,,,,,,,,,,,,,,,,0.76039,0.77399,0.74878,0.42405,0.42677,0.38264,,,,0.086499,0.086842,0.073633,0.064031,0.064232,0.058107
163.26,,,,,,,,,,,,,,,,0.81813,0.83198,0.81069,0.41088,0.41358,0.3731,,,,0.080089,0.080411,0.069065,0.057596,0.05779,0.052605
176.86,,,,,,,,,,,,,,,,0.85715,0.87101,0.85262,0.39789,0.40058,0.36333,,,,0.074564,0.074875,0.065037,0.052193,0.052382,0.047937
190.47,,,,,,,,,,,,,,,,0.88036,0.89408,0.87789,0.38511,0.38778,0.35343,0.12173,0.12275,0.11559,0.069718,0.070013,0.061411,0.047574,0.047757,0.043907
