,1s,1s,1s,2p,2p,2p,2s,2s,2s,3p,3p,3p,3s,3s,3s,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,0.063483,0.06776,0.036653
27.21,,,,,,,,,,0.91631,0.92813,0.86852,,,,0.041301,0.03781,0.027384
40.81,,,,,,,,,,1.1911,1.2076,1.2224,0.41185,0.41238,0.35796,0.028596,0.025867,0.020894
54.42,,,,,,,,,,1.2897,1.3064,1.3342,0.36131,0.36173,0.32211,0.021739,0.019831,0.016893
68.02,,,,,,,,,,1.2536,1.2691,1.2961,0.31717,0.31759,0.28775,0.015707,0.01605,0.014107
81.63,,,,,,,,,,1.1642,1.1783,1.2017,0.27912,0.27978,0.2567,0.01177,0.01324,0.011956
95.23,,,,,,,,,,1.0573,1.0701,1.0896,0.24643,0.24716,0.22894,0.012097,0.011106,0.010196
108.84,,,,,,,,,,0.94796,0.95955,0.97549,0.21836,0.21899,0.20439,0.0095117,0.0094684,0.0087285
122.44,,,,,,,,,,0.84435,0.85482,0.86774,0.19423,0.19483,0.18297,0.0073552,0.0080138,0.0075022
136.05,,,,,,,,,,0.75062,0.76009,0.77052,0.17357,0.17426,0.16449,0.0077934,0.0069193,0.0064856
149.65,,,,,,,,,,0.66809,0.67668,0.68509,0.15599,0.15677,0.14861,0.0051173,0.0059715,0.0056448
163.26,,,,,,,,,,0.59633,0.60417,0.61095,0.14107,0.14184,0.13495,0.0060526,0.0052254,0.0049501
176.86,,,,,,,,,,0.53395,0.54112,0.5466,0.12828,0.12898,0.1231,0.0038646,0.0045903,0.004373
190.47,,,,,,,,,,0.47953,0.48612,0.49052,0.11713,0.11779,0.11273,0.0047363,0.0040829,0.003891
204.07,,,,,,,,,,0.43175,0.43782,0.44135,0.10728,0.10796,0.10358,0.0031234,0.0036312,0.0034848
217.68,,,,,,,,,,0.38967,0.39526,0.39807,0.098536,0.099272,0.095444,0.0035853,0.0032847,0.0031406
231.28,,,,,,,,,,0.35251,0.35767,0.35989,0.090784,0.091546,0.088181,0.002875,0.0029483,0.0028466
244.89,,,,,,,,,,0.31968,0.32446,0.32618,0.083914,0.084655,0.081679,0.0024726,0.0027032,0.0025943
258.49,,,,,,,,,,0.29066,0.2951,0.29641,0.077801,0.078495,0.075849,0.0028856,0.0024568,0.0023763
272.1,,,,,,,,,,0.265,0.26912,0.2701,0.072325,0.072977,0.070613,0.0017891,0.002262,0.0021869
285.7,,,,,,,,,,0.24224,0.24608,0.24677,0.067378,0.068019,0.065897,0.0024172,0.0020943,0.0020211
299.31,,,,,,,,,,0.22201,0.22559,0.22605,0.062898,0.063555,0.06164,0.001894,0.0019266,0.0018749
312.91,,,,0.66491,0.67841,0.67533,,,,0.20395,0.2073,0.20756,0.05884,0.059519,0.057783,0.0015062,0.0018041,0.0017451
326.52,,,,0.62853,0.64135,0.63798,,,,0.18778,0.1909,0.191,0.055167,0.055854,0.054272,0.0020796,0.0016774,0.0016286
340.12,,,,0.59466,0.60684,0.6032,,,,0.17324,0.17616,0.17612,0.051843,0.052514,0.051067,0.0013419,0.0015617,0.0015235
353.73,,,,0.56304,0.5746,0.57075,,,,0.16012,0.16287,0.16271,0.048819,0.049457,0.048128,0.0013318,0.0014737,0.0014281
367.33,,,,0.5335,0.54448,0.54043,,,,0.14827,0.15085,0.15059,0.046047,0.046649,0.045426,0.0017216,0.0013759,0.0013409
380.94,,,,0.50593,0.51634,0.51213,0.10908,0.11241,0.10914,0.13755,0.13997,0.13963,0.043488,0.044068,0.04294,0.0010554,0.0012902,0.001261
394.54,,,,0.48016,0.49004,0.48568,0.10584,0.10913,0.10598,0.12783,0.1301,0.1297,0.041115,0.041689,0.040644,0.0011106,0.0012232,0.0011876
408.15,,,,0.45607,0.46543,0.46096,0.10271,0.10597,0.10293,0.119,0.12114,0.12068,0.038909,0.039492,0.038521,0.0014585,0.0011472,0.0011198
