,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,26.388,26.189,23.359,,,,,,
27.21,,,,,,,,,,,,,,,,34.547,34.316,32.238,,,,,,
40.81,,,,,,,,,,,,,,,,23.611,23.564,22.051,,,,,,
54.42,,,,,,,,,,,,,,,,9.2126,9.1419,8.3341,,,,,,
68.02,,,,,,,,,,,,,,,,2.9238,2.9077,2.4972,0.42906,0.43005,0.3484,,,
81.63,,,,,,,,,,,,,,,,0.84901,0.82825,0.62142,0.42,0.42085,0.33673,,,
95.23,,,,,,,,,,,,,,,,0.26271,0.26941,0.16294,0.41439,0.41523,0.33467,0.19059,0.19086,0.18106
108.84,,,,,,,,,,,,,,,,0.20273,0.20549,0.15118,0.40807,0.40895,0.33418,0.17878,0.1791,0.17073
122.44,,,,,,,,,,,,,,,,0.27565,0.27811,0.25203,0.39988,0.40083,0.33252,0.16729,0.16765,0.16047
136.05,,,,,,,,,,,,,,,,0.36501,0.3709,0.36077,0.38977,0.3908,0.32891,0.15633,0.15676,0.15056
149.65,,,,,,,,,,,,,,,,0.43601,0.45031,0.44892,0.37807,0.37919,0.32336,0.14612,0.14661,0.14123
163.26,,,,,,,,,,,,,,,,0.50141,0.50831,0.51167,0.36525,0.36646,0.31618,0.13672,0.13726,0.13256
176.86,,,,,,,,,,,,,,,,0.54359,0.5449,0.5514,0.35185,0.35315,0.30786,0.12818,0.12874,0.12461
190.47,,,,,,,,,,,,,,,,0.55213,0.56446,0.57247,0.33828,0.33965,0.2988,0.12041,0.12099,0.11734
204.07,,,,,,,,,,,,,,,,0.55606,0.57141,0.57948,0.32488,0.32632,0.28938,0.11335,0.11394,0.1107
217.68,,,,,,,,,,,,,,,,0.56465,0.56842,0.5764,0.31181,0.31332,0.27982,0.10689,0.10748,0.10459
