,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s
231.28,,,,,,,,,,,,,,,,0.55736,0.5583,0.56642,0.29918,0.30074,0.27029,0.10094,0.10156,0.098962
244.89,,,,,,,,,,,,,,,,0.53269,0.544,0.55183,0.28701,0.28862,0.26085,0.095443,0.096079,0.093744
258.49,,,,,,,,,,,,,,,,0.5123,0.52728,0.53428,0.2753,0.27696,0.25157,0.090344,0.091001,0.088892
272.1,,,,,,,,,,,,,,,,0.50268,0.50848,0.51479,0.26402,0.26572,0.24246,0.085603,0.086279,0.084367
285.7,,,,,,,,,,,,,,,,0.48877,0.4881,0.49414,0.25319,0.25493,0.23357,0.081203,0.08189,0.080151
299.31,,,,,,,,,,,,,,,,0.46211,0.46712,0.47288,0.2428,0.24456,0.2249,0.07711,0.077801,0.076214
312.91,,,,,,,,,,,,,,,,0.43341,0.44622,0.45135,0.23284,0.23462,0.2165,0.073305,0.073995,0.072542
326.52,,,,,,,,,,,,,,,,0.41458,0.42559,0.42998,0.22333,0.22514,0.20839,0.069771,0.070457,0.069123
340.12,,,,,,,,,,,,,,,,0.40243,0.40507,0.40898,0.21428,0.2161,0.20059,0.066481,0.067163,0.065935
353.73,,,,,,,1.6576,1.687,1.6981,,,,,,,0.38573,0.3849,0.3886,0.20568,0.20751,0.19313,0.063419,0.0641,0.062966
367.33,,,,,,,1.5857,1.6141,1.624,,,,,,,0.36125,0.36553,0.369,0.19753,0.19938,0.186,0.060566,0.061249,0.060198
380.94,,,,,,,1.5175,1.5448,1.5536,,,,,,,0.33676,0.34722,0.35024,0.1898,0.19165,0.17919,0.057899,0.058586,0.057611
394.54,,,,,,,1.4529,1.4793,1.487,,,,,,,0.31998,0.32991,0.33241,0.18248,0.18434,0.17271,0.055407,0.056099,0.055191
408.15,,,,,,,1.392,1.4174,1.4241,,,,,,,0.3097,0.31341,0.31554,0.17556,0.17742,0.16655,0.053077,0.053775,0.052927
421.75,,,,,,,1.334,1.3585,1.3643,,,,,,,0.29843,0.29755,0.29952,0.16897,0.17083,0.16064,0.050883,0.051584,0.05079
435.36,,,,,,,1.2792,1.3028,1.3077,,,,,,,0.28166,0.28254,0.28442,0.16273,0.16459,0.15502,0.048827,0.049528,0.048782
448.96,,,,,,,1.2272,1.2499,1.254,,,,,,,0.26223,0.2685,0.27017,0.1568,0.15865,0.14966,0.046896,0.047594,0.046892
462.57,,,,,,,1.1776,1.1995,1.2029,,,,,,,0.24618,0.25533,0.25668,0.15113,0.15298,0.14452,0.045067,0.04576,0.045098
476.17,,,,,,,1.1305,1.1516,1.1542,,,,,,,0.23621,0.24292,0.24395,0.14574,0.14758,0.13961,0.043345,0.04403,0.043405
489.78,,,,,,,1.0855,1.1059,1.1079,,,,,,,0.22945,0.23108,0.23193,0.1406,0.14243,0.1349,0.041718,0.042396,0.041804
503.38,,,,,,,1.0427,1.0623,1.0637,,,,,,,0.2209,0.21979,0.22058,0.13569,0.13751,0.13039,0.040174,0.040845,0.040284
516.99,,,,,,,1.0019,1.0207,1.0215,,,,,,,0.20838,0.20912,0.20987,0.13101,0.13282,0.12608,0.038713,0.039379,0.038845
530.59,,,,,,,0.96298,0.98111,0.98137,0.27588,0.28412,0.27217,,,,0.19423,0.19914,0.19977,0.12654,0.12834,0.12196,0.037327,0.037989,0.037481
544.2,,,,,,,0.9259,0.94333,0.9431,0.2704,0.27857,0.26695,,,,0.18248,0.18982,0.19024,0.12228,0.12407,0.11801,0.036012,0.036672,0.036188
557.8,,,,,,,0.89061,0.90737,0.90669,0.26505,0.27317,0.26186,,,,0.17506,0.18105,0.18127,0.11822,0.11999,0.11423,0.034766,0.035425,0.034962
571.41,,,,,,,0.85703,0.87314,0.87203,0.25985,0.2679,0.25689,,,,0.17053,0.17272,0.17282,0.11434,0.1161,0.11063,0.033583,0.034242,0.033798
585.01,,,,,,,0.82504,0.84052,0.83902,0.25478,0.26276,0.25204,,,,0.16558,0.16479,0.16485,0.11065,0.11239,0.10717,0.032461,0.033118,0.032692
598.62,,,,,,,0.7946,0.80947,0.8076,0.24984,0.25776,0.24731,,,,0.15792,0.15728,0.15735,0.10712,0.10885,0.10387,0.031396,0.032051,0.031642
612.22,,,,,,,0.76562,0.77991,0.7777,0.24505,0.25289,0.2427,,,,0.14806,0.15024,0.15027,0.10375,0.10547,0.10072,0.030385,0.031037,0.030643
625.83,,,,,,,0.73802,0.75174,0.74923,0.24039,0.24816,0.23822,0.051396,0.053933,0.052935,0.13856,0.14366,0.1436,0.10054,0.10224,0.097696,0.029425,0.030072,0.029692
639.43,,,,,,,0.71166,0.72483,0.72202,0.23583,0.24352,0.23382,0.050519,0.053042,0.052058,0.13165,0.13748,0.13729,0.09746,0.099142,0.094797,0.02851,0.029151,0.028783
653.04,,,,,,,0.68651,0.69915,0.69608,0.23139,0.23901,0.22954,0.049665,0.052175,0.051204,0.1277,0.13164,0.13133,0.094516,0.096182,0.09202,0.027639,0.028273,0.027917
666.64,,,,,,,0.66251,0.67463,0.67132,0.22707,0.23462,0.22536,0.048833,0.051328,0.05037,0.12514,0.12605,0.1257,0.091697,0.093346,0.089356,0.026809,0.027435,0.02709
680.25,,,,,,,0.63952,0.65114,0.64761,0.22284,0.23031,0.22126,0.048018,0.050499,0.049553,0.12173,0.12071,0.12036,0.088991,0.090622,0.086793,0.026013,0.026632,0.026297
693.85,,,,,,,0.61757,0.62872,0.62497,0.21872,0.22611,0.21727,0.047224,0.049691,0.048756,0.11623,0.11563,0.1153,0.086399,0.088013,0.084334,0.025253,0.025865,0.02554
707.46,,,,,,,0.59654,0.60721,0.60328,0.21469,0.222,0.21335,0.046447,0.048899,0.047976,0.10919,0.11084,0.1105,0.083907,0.085503,0.081966,0.024524,0.02513,0.024814
721.06,,,,,,,0.5764,0.58662,0.58252,0.21075,0.21799,0.20952,0.045688,0.048126,0.047212,0.1024,0.10635,0.10595,0.081515,0.083092,0.079689,0.023825,0.024425,0.024118
734.67,,,,,,,0.55709,0.56687,0.56261,0.20689,0.21405,0.20576,0.044944,0.047367,0.046463,0.097388,0.1021,0.10163,0.079212,0.080771,0.077494,0.023152,0.023749,0.023449
748.27,,,,,,,0.53861,0.54797,0.54357,0.20313,0.21021,0.20209,0.044219,0.046627,0.045732,0.094551,0.098068,0.097523,0.077,0.078541,0.075382,0.022508,0.023101,0.022808
761.88,,,,,,,0.52089,0.52984,0.52531,0.19945,0.20644,0.19849,0.04351,0.045902,0.045016,0.092991,0.094203,0.093623,0.074872,0.076394,0.073347,0.021888,0.022479,0.022193
775.48,,,,,,,0.50391,0.51247,0.50781,0.19586,0.20277,0.19498,0.042818,0.045194,0.044317,0.091192,0.090493,0.089919,0.072825,0.074329,0.071387,0.021294,0.021882,0.021602
789.09,,,,,,,0.48763,0.4958,0.49104,0.19234,0.19917,0.19154,0.04214,0.0445,0.043631,0.087992,0.086943,0.086395,0.070854,0.072339,0.069498,0.020723,0.021309,0.021034
802.69,,,,,,,0.47204,0.47984,0.47499,0.18892,0.19567,0.18818,0.04148,0.043825,0.042963,0.083339,0.083579,0.083048,0.06896,0.070426,0.067679,0.020177,0.020758,0.02049
816.3,,,,,,,0.4571,0.46453,0.45959,0.18558,0.19224,0.18489,0.040836,0.043164,0.04231,0.078202,0.080407,0.079864,0.067137,0.068584,0.065926,0.019652,0.020229,0.019966
829.9,,,,,,,0.44276,0.44984,0.44483,0.18232,0.1889,0.18168,0.040206,0.042518,0.041672,0.073842,0.077417,0.076835,0.065381,0.066809,0.064236,0.019149,0.019721,0.019462
843.51,,,,,,,0.429,0.43575,0.43067,0.17913,0.18563,0.17855,0.039592,0.041888,0.041047,0.071011,0.074582,0.073951,0.063691,0.0651,0.062607,0.018666,0.019232,0.018977
857.11,,,,,,,0.41581,0.42223,0.4171,0.17603,0.18244,0.17549,0.038993,0.041272,0.040438,0.069618,0.071874,0.071207,0.062064,0.063454,0.061037,0.018202,0.018762,0.018511
870.72,,,,,,,0.40315,0.40925,0.40407,0.17301,0.17933,0.1725,0.038408,0.040671,0.039843,0.06885,0.069268,0.068593,0.060496,0.061868,0.059523,0.017756,0.018309,0.018063
884.32,,,,,,,0.39098,0.39677,0.39155,0.17005,0.1763,0.16958,0.037836,0.040083,0.039261,0.067653,0.066757,0.066099,0.058985,0.060338,0.058061,0.017327,0.017873,0.01763
897.93,,,,,,,0.37929,0.38478,0.37952,0.16716,0.17333,0.16672,0.037277,0.039508,0.038691,0.065335,0.064351,0.06372,0.057527,0.058861,0.05665,0.016914,0.017453,0.017214
911.53,,,,,,,0.36804,0.37325,0.36796,0.16435,0.17042,0.16393,0.036731,0.038945,0.038134,0.06196,0.062062,0.061451,0.05612,0.057436,0.055287,0.016515,0.017048,0.016812
925.14,,,,,,,0.35723,0.36215,0.35684,0.16159,0.16759,0.1612,0.036197,0.038395,0.037589,0.058245,0.059896,0.059283,0.054763,0.05606,0.05397,0.01613,0.016657,0.016424
938.74,,,,,,,0.34681,0.35147,0.34614,0.1589,0.16482,0.15853,0.035675,0.037856,0.037055,0.055069,0.057846,0.057212,0.053451,0.05473,0.052696,0.015758,0.01628,0.01605
952.35,,,,,,,0.33678,0.34117,0.33583,0.15627,0.1621,0.15592,0.035164,0.037328,0.036531,0.052986,0.055895,0.055232,0.052184,0.053443,0.051463,0.015398,0.015915,0.015688
965.95,,,,,,,0.32711,0.33125,0.3259,0.1537,0.15944,0.15336,0.034663,0.036811,0.036018,0.051999,0.054024,0.053337,0.050957,0.052199,0.05027,0.015049,0.015562,0.015338
979.56,,,,,,,0.3178,0.32169,0.31634,0.15118,0.15684,0.15085,0.034172,0.036303,0.035515,0.051616,0.052217,0.051525,0.049771,0.050994,0.049114,0.014712,0.015222,0.015
993.16,,,,,,,0.30882,0.31248,0.30713,0.14872,0.1543,0.14839,0.033692,0.035806,0.035022,0.051102,0.050468,0.04979,0.048624,0.049829,0.047996,0.014386,0.014892,0.014673
1006.77,,,,,,,0.30016,0.30359,0.29824,0.14631,0.1518,0.14599,0.033221,0.035319,0.034538,0.049852,0.048782,0.048129,0.047513,0.0487,0.046912,0.01407,0.014573,0.014356
1020.37,,,,,,,0.29181,0.29501,0.28968,0.14394,0.14936,0.14363,0.03276,0.03484,0.034063,0.047709,0.047167,0.046537,0.046436,0.047605,0.04586,0.013765,0.014264,0.014049
1033.98,,,,,,,0.28376,0.28674,0.28142,0.14163,0.14696,0.14132,0.032307,0.034371,0.033598,0.045024,0.04563,0.045013,0.045394,0.046545,0.044841,0.013469,0.013965,0.013752
1047.58,,,,,,,0.27599,0.27876,0.27346,0.13937,0.14462,0.13905,0.031865,0.033911,0.033141,0.042419,0.044173,0.043552,0.044384,0.045518,0.043853,0.013184,0.013675,0.013464
1061.19,,,,,,,0.26849,0.27107,0.26578,0.13716,0.14233,0.13684,0.031431,0.03346,0.032694,0.040441,0.042788,0.042152,0.043407,0.044522,0.042896,0.012908,0.013395,0.013185
1074.79,,,,,,,0.26127,0.26364,0.25838,0.135,0.14008,0.13467,0.031006,0.033018,0.032256,0.039326,0.041464,0.04081,0.04246,0.043558,0.041968,0.012641,0.013123,0.012915
1088.4,,,,,,,0.25428,0.25646,0.25122,0.13288,0.13788,0.13254,0.030589,0.032584,0.031825,0.038933,0.040184,0.039521,0.04154,0.042621,0.041066,0.012383,0.012859,0.012653
1102.0,,,,,,,0.24754,0.24954,0.24433,0.13081,0.13573,0.13046,0.030181,0.032159,0.031403,0.038841,0.038945,0.038285,0.04065,0.041713,0.040192,0.012133,0.012603,0.012399
1115.61,,,,,,,0.24103,0.24285,0.23767,0.12878,0.13362,0.12842,0.029782,0.031742,0.030989,0.038525,0.037742,0.037099,0.039787,0.040833,0.039344,0.011891,0.012356,0.012153
1129.21,,,,,,,0.23475,0.2364,0.23125,0.1268,0.13156,0.12643,0.029391,0.031334,0.030584,0.0376,0.03658,0.03596,0.03895,0.039979,0.038521,0.011657,0.012115,0.011914
1142.82,,,,,,,0.22867,0.23015,0.22503,0.12485,0.12953,0.12447,0.029007,0.030933,0.030186,0.036003,0.035464,0.034865,0.038138,0.03915,0.037722,0.01143,0.011882,0.011682
1156.42,,,,,,,0.22281,0.22412,0.21904,0.12296,0.12756,0.12257,0.028633,0.030542,0.029797,0.034013,0.034401,0.033814,0.037351,0.038347,0.036947,0.011209,0.011656,0.011458
1170.03,,,,,,,0.21713,0.21829,0.21325,0.1211,0.12562,0.12069,0.028265,0.030157,0.029415,0.032076,0.033389,0.032803,0.036587,0.037566,0.036195,0.010995,0.011436,0.011239
1183.63,,,,,,,0.21164,0.21265,0.20764,0.11929,0.12373,0.11886,0.027905,0.02978,0.02904,0.030592,0.032424,0.03183,0.035846,0.036808,0.035463,0.010786,0.011223,0.011027
1197.24,,,,,,,0.20633,0.2072,0.20223,0.11751,0.12187,0.11706,0.027552,0.02941,0.028672,0.029749,0.031499,0.030894,0.035126,0.036072,0.034753,0.010583,0.011016,0.010821
1210.84,,,,,,,0.20119,0.20191,0.19698,0.11577,0.12005,0.1153,0.027206,0.029046,0.028311,0.02948,0.030603,0.029993,0.034426,0.035356,0.034062,0.010386,0.010814,0.010621
1224.45,,,,,,,0.19622,0.1968,0.19191,0.11406,0.11827,0.11358,0.026867,0.02869,0.027958,0.029514,0.029732,0.029125,0.033746,0.034661,0.033391,0.010194,0.010619,0.010427
1238.05,,,,,,,0.1914,0.19184,0.187,0.11239,0.11652,0.11188,0.026534,0.028341,0.02761,0.029475,0.028882,0.028288,0.033086,0.033984,0.032737,0.010007,0.010428,0.010238
1251.66,,,,,,,0.18673,0.18704,0.18225,0.11075,0.11481,0.11023,0.026207,0.027997,0.027269,0.029037,0.028056,0.027482,0.032443,0.033326,0.032102,0.0098255,0.010243,0.010054
1265.26,,,,,,,0.1822,0.18239,0.17764,0.10915,0.11313,0.1086,0.025887,0.02766,0.026934,0.028066,0.027259,0.026704,0.031818,0.032686,0.031483,0.0096486,0.010063,0.0098745
1278.87,,,,,,,0.17781,0.17788,0.17318,0.10758,0.11148,0.107,0.025572,0.027328,0.026604,0.026671,0.026493,0.025954,0.03121,0.032062,0.03088,0.0094766,0.0098875,0.0097001
1292.47,,,,,,,0.17356,0.17352,0.16885,0.10603,0.10986,0.10544,0.025264,0.027003,0.026281,0.025146,0.025762,0.02523,0.030618,0.031455,0.030293,0.0093094,0.0097168,0.0095302
1306.08,,,,,,,0.16944,0.16928,0.16467,0.10452,0.10828,0.1039,0.024961,0.026682,0.025963,0.023818,0.025064,0.024531,0.030042,0.030863,0.029722,0.0091469,0.0095504,0.0093648
1319.68,,,,,,,0.16544,0.16517,0.1606,0.10304,0.10672,0.10239,0.024663,0.026368,0.02565,0.022918,0.024395,0.023857,0.02948,0.030287,0.029165,0.0089889,0.0093882,0.0092036
1333.29,,,,,,,0.16156,0.16119,0.15667,0.10158,0.10519,0.10091,0.02437,0.026058,0.025343,0.022506,0.023749,0.023206,0.028934,0.029726,0.028622,0.0088352,0.0092302,0.0090465
1346.89,,,,,,,0.1578,0.15732,0.15285,0.10016,0.10369,0.09946,0.024083,0.025754,0.025041,0.022476,0.023121,0.022576,0.028401,0.029178,0.028093,0.0086858,0.0090761,0.0088932
1360.5,,,,,,,0.15415,0.15357,0.14915,0.098756,0.10222,0.098034,0.023801,0.025455,0.024744,0.022599,0.022507,0.021969,0.027882,0.028645,0.027577,0.0085405,0.0089259,0.0087439
1374.1,,,,,,,0.1506,0.14993,0.14556,0.097384,0.10078,0.096635,0.023524,0.025161,0.024452,0.022601,0.021907,0.021382,0.027376,0.028125,0.027074,0.008399,0.0087793,0.0085982
1387.71,,,,,,,0.14717,0.1464,0.14208,0.096037,0.099359,0.095262,0.023252,0.024872,0.024165,0.022263,0.021323,0.020815,0.026884,0.027618,0.026584,0.0082612,0.0086364,0.0084562
1401.31,,,,,,,0.14383,0.14298,0.13871,0.094717,0.097967,0.093914,0.022984,0.024588,0.023882,0.021511,0.020757,0.020266,0.026403,0.027124,0.026105,0.0081268,0.008497,0.0083176
1414.92,,,,,,,0.14059,0.13965,0.13543,0.093421,0.096602,0.092592,0.022722,0.024309,0.023605,0.020442,0.020214,0.019736,0.025935,0.026641,0.025639,0.0079958,0.008361,0.0081824
1428.52,,,,,,,0.13745,0.13642,0.13225,0.092151,0.095262,0.091294,0.022464,0.024034,0.023332,0.019277,0.019695,0.019224,0.025479,0.026171,0.025184,0.0078679,0.0082282,0.0080504
1442.13,,,,,,,0.13439,0.13329,0.12917,0.090905,0.093947,0.09002,0.02221,0.023764,0.023064,0.018258,0.019198,0.018728,0.025033,0.025712,0.02474,0.0077429,0.0080987,0.0079217
1455.73,,,,,,,0.13142,0.13024,0.12617,0.089683,0.092656,0.088771,0.021962,0.023499,0.0228,0.017558,0.018721,0.018248,0.024599,0.025265,0.024307,0.0076208,0.0079722,0.0077961
1469.34,,,,,,,0.12854,0.12729,0.12327,0.088484,0.09139,0.087544,0.021717,0.023238,0.022541,0.017234,0.018259,0.017784,0.024176,0.024828,0.023885,0.0075014,0.0078488,0.0076734
1482.94,,,,,,,0.12574,0.12441,0.12044,0.087308,0.090146,0.08634,0.021477,0.022981,0.022287,0.017224,0.01781,0.017335,0.023763,0.024402,0.023472,0.0073846,0.0077283,0.0075537
1496.55,,,,,,,0.12302,0.12162,0.1177,0.086154,0.088926,0.085158,0.021241,0.022729,0.022036,0.017374,0.01737,0.0169,0.02336,0.023986,0.02307,0.0072705,0.0076106,0.0074368
1510.15,,,,,,,0.12037,0.11891,0.11504,0.085022,0.087728,0.083998,0.02101,0.022481,0.02179,0.017484,0.016939,0.016479,0.022967,0.02358,0.022677,0.0071589,0.0074956,0.0073226
1523.76,,,,,,,0.1178,0.11627,0.11245,0.083911,0.086551,0.082859,0.020782,0.022237,0.021548,0.017372,0.016517,0.016071,0.022583,0.023184,0.022293,0.0070497,0.0073834,0.0072111
1537.36,,,,,,,0.11529,0.1137,0.10993,0.082821,0.085396,0.081741,0.020558,0.021997,0.021309,0.016941,0.016107,0.015675,0.022209,0.022797,0.021918,0.0069431,0.0072736,0.0071021
1550.97,,,,,,,0.11286,0.1112,0.10748,0.081751,0.084261,0.080642,0.020339,0.021761,0.021075,0.016216,0.015711,0.015292,0.021843,0.022418,0.021552,0.006839,0.0071664,0.0069955
1564.57,,,,,,,0.11049,0.10877,0.1051,0.0807,0.083146,0.079563,0.020122,0.021528,0.020845,0.015329,0.015331,0.01492,0.021486,0.022049,0.021194,0.0067373,0.0070616,0.0068914
1578.18,,,,,,,0.10818,0.10641,0.10279,0.079668,0.082052,0.078503,0.01991,0.0213,0.020618,0.014462,0.014967,0.01456,0.021137,0.021688,0.020845,0.006638,0.0069591,0.0067896
1591.78,,,,,,,0.10593,0.10411,0.10054,0.078655,0.080975,0.077462,0.019701,0.021075,0.020395,0.013779,0.014617,0.014211,0.020796,0.021335,0.020503,0.0065412,0.0068589,0.0066901
1605.39,,,,,,,0.10374,0.10187,0.098347,0.077659,0.079918,0.076438,0.019496,0.020854,0.020175,0.013374,0.014279,0.013872,0.020462,0.020989,0.020169,0.0064467,0.0067608,0.0065927
1618.99,,,,,,,0.10161,0.099689,0.096214,0.076681,0.078878,0.075432,0.019294,0.020635,0.019958,0.013251,0.013951,0.013543,0.020136,0.020652,0.019842,0.0063544,0.0066649,0.0064974
1632.6,,,,,,,0.099535,0.097566,0.094139,0.07572,0.077855,0.074443,0.019095,0.020421,0.019745,0.013339,0.01363,0.013224,0.019817,0.020321,0.019522,0.0062644,0.0065709,0.0064041
1646.2,,,,,,,0.097515,0.095499,0.09212,0.074777,0.076851,0.073471,0.018899,0.020209,0.019536,0.01351,0.013315,0.012915,0.019506,0.019998,0.01921,0.0061765,0.0064791,0.0063129
1659.81,,,,,,,0.095544,0.093484,0.090154,0.073848,0.075862,0.072515,0.018707,0.020001,0.019329,0.013613,0.013005,0.012614,0.019201,0.019682,0.018904,0.0060906,0.006389,0.0062234
1673.41,,,,,,,0.093624,0.091523,0.08824,0.072935,0.07489,0.071575,0.018517,0.019795,0.019125,0.013522,0.012701,0.012322,0.018903,0.019373,0.018604,0.0060067,0.0063008,0.0061359
1687.02,,,,,,,0.091754,0.089612,0.086376,0.072038,0.073935,0.070651,0.018331,0.019593,0.018925,0.013176,0.012406,0.012039,0.018611,0.01907,0.018311,0.0059246,0.0062144,0.0060502
1700.62,,,,,,,0.089931,0.08775,0.084561,0.071157,0.072995,0.069742,0.018147,0.019394,0.018727,0.012605,0.01212,0.011764,0.018326,0.018773,0.018024,0.0058442,0.0061298,0.0059662
1714.23,,,,,,,0.088153,0.085935,0.082793,0.07029,0.07207,0.068848,0.017966,0.019197,0.018533,0.011911,0.011845,0.011496,0.018046,0.018483,0.017743,0.0057654,0.0060468,0.0058839
1727.83,,,,,,,0.086423,0.08417,0.081073,0.069439,0.071162,0.06797,0.017789,0.019004,0.018341,0.011233,0.011582,0.011237,0.017773,0.018199,0.017469,0.0056883,0.0059656,0.0058034
1741.44,,,,,,,0.084734,0.082446,0.079395,0.068601,0.070267,0.067105,0.017613,0.018813,0.018152,0.010694,0.011329,0.010985,0.017505,0.017921,0.0172,0.0056126,0.005886,0.0057244
1755.04,,,,,,,0.083087,0.080768,0.077762,0.067777,0.069387,0.066255,0.017441,0.018625,0.017966,0.010368,0.011084,0.01074,0.017243,0.017648,0.016936,0.0055383,0.0058079,0.005647
1768.65,,,,,,,0.081482,0.079131,0.07617,0.066968,0.068522,0.065419,0.017271,0.01844,0.017782,0.010266,0.010846,0.010501,0.016987,0.017382,0.016678,0.0054653,0.0057314,0.0055711
1782.25,,,,,,,0.079916,0.077536,0.07462,0.066172,0.067671,0.064597,0.017104,0.018257,0.017602,0.010342,0.010613,0.01027,0.016736,0.01712,0.016425,0.0053937,0.0056564,0.0054968
1795.86,,,,,,,0.078388,0.07598,0.073108,0.065389,0.066834,0.063789,0.016939,0.018077,0.017424,0.010507,0.010383,0.010045,0.01649,0.016864,0.016178,0.0053233,0.0055828,0.0054239
1809.46,,,,,,,0.0769,0.074465,0.071636,0.064621,0.066011,0.062995,0.016777,0.0179,0.017248,0.010649,0.010158,0.0098263,0.016249,0.016614,0.015935,0.0052543,0.0055108,0.0053525
1823.07,,,,,,,0.075445,0.072985,0.0702,0.063864,0.065201,0.062213,0.016618,0.017726,0.017075,0.010663,0.0099356,0.0096134,0.016014,0.016368,0.015698,0.0051865,0.0054401,0.0052824
1836.67,,,,,,,0.074026,0.071542,0.068799,0.06312,0.064404,0.061443,0.016461,0.017553,0.016905,0.010484,0.0097184,0.0094063,0.015783,0.016128,0.015465,0.0051199,0.0053707,0.0052137
1850.28,,,,,,,0.072641,0.070134,0.067434,0.062388,0.06362,0.060687,0.016306,0.017384,0.016737,0.010109,0.0095075,0.0092049,0.015556,0.015892,0.015237,0.0050546,0.0053027,0.0051464
1863.88,,,,,,,0.071289,0.06876,0.066103,0.061669,0.062849,0.059943,0.016154,0.017216,0.016572,0.0095952,0.0093039,0.0090089,0.015335,0.015661,0.015014,0.0049907,0.0052361,0.0050803
1877.49,,,,,,,0.069969,0.06742,0.064804,0.060962,0.062091,0.059212,0.016004,0.017051,0.016409,0.0090399,0.0091081,0.0088181,0.015118,0.015434,0.014795,0.0049281,0.0051707,0.0050155
1891.09,,,,,,,0.068681,0.066112,0.063538,0.060267,0.061345,0.058492,0.015856,0.016889,0.016248,0.0085473,0.0089201,0.0086325,0.014905,0.015213,0.014581,0.0048667,0.0051065,0.004952
1904.7,,,,,,,0.067421,0.064834,0.0623,0.059582,0.06061,0.057784,0.015711,0.016729,0.01609,0.0081955,0.0087385,0.0084515,0.014697,0.014995,0.01437,0.0048067,0.0050436,0.0048897
1918.3,,,,,,,0.066191,0.063587,0.061093,0.058909,0.059887,0.057086,0.015568,0.016571,0.015934,0.008021,0.0085623,0.0082754,0.014493,0.014782,0.014164,0.0047479,0.0049818,0.0048285
1931.91,,,,,,,0.064989,0.062369,0.059915,0.058246,0.059175,0.0564,0.015427,0.016415,0.01578,0.0080148,0.0083901,0.0081037,0.014292,0.014572,0.013962,0.0046904,0.0049211,0.0047684
1945.51,,,,,,,0.063814,0.061179,0.058765,0.057594,0.058474,0.055725,0.015288,0.016262,0.015628,0.0081295,0.0082208,0.0079366,0.014096,0.014367,0.013764,0.004634,0.0048616,0.0047095
1959.12,,,,,,,0.062667,0.060018,0.057643,0.056952,0.057784,0.05506,0.015151,0.01611,0.015478,0.0082906,0.0080536,0.0077737,0.013903,0.014165,0.013569,0.0045789,0.0048031,0.0046516
1972.72,,,,,,,0.061545,0.058884,0.056547,0.056321,0.057105,0.054407,0.015016,0.015961,0.015331,0.0084125,0.0078885,0.007615,0.013715,0.013968,0.013378,0.004525,0.0047457,0.0045949
1986.33,,,,,,,0.060448,0.057775,0.055477,0.055699,0.056437,0.053763,0.014883,0.015814,0.015186,0.00842,0.0077259,0.0074603,0.013529,0.013774,0.013191,0.0044722,0.0046893,0.0045391
1999.93,,,,,,,0.059376,0.056691,0.054431,0.055087,0.055778,0.053129,0.014752,0.015668,0.015042,0.0082699,0.0075667,0.0073094,0.013348,0.013584,0.013008,0.0044204,0.004634,0.0044843
2013.54,,,,,,,0.058327,0.055632,0.053409,0.054484,0.055129,0.052504,0.014623,0.015525,0.014901,0.007965,0.0074119,0.0071623,0.013169,0.013397,0.012827,0.0043695,0.0045795,0.0044305
2027.14,,,,,,,0.057302,0.054598,0.052412,0.05389,0.054489,0.051888,0.014496,0.015383,0.014761,0.0075529,0.0072622,0.0070188,0.012994,0.013214,0.01265,0.0043196,0.004526,0.0043776
