,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4p,4p,4p,4s,4s,4s
258.49,,,,,,,2.5093,2.5332,2.5682,0.52792,0.53064,0.4949,,,,0.11168,0.11173,0.10107,0.045525,0.045502,0.045655
272.1,,,,,,,2.321,2.3441,2.3763,0.51149,0.51437,0.48087,0.11021,0.11097,0.11147,0.10562,0.10571,0.096112,0.04245,0.042446,0.042604
285.7,,,,,,,2.1487,2.1711,2.2007,0.49538,0.49842,0.46698,0.10653,0.10732,0.10781,0.099967,0.1001,0.091433,0.039677,0.039688,0.039848
299.31,,,,,,,1.9912,2.0128,2.04,0.47967,0.48284,0.45331,0.10302,0.10382,0.1043,0.094699,0.094869,0.087018,0.037168,0.037193,0.037354
312.91,,,,,,,1.8459,1.8667,1.8916,0.46412,0.46743,0.43967,0.099616,0.10044,0.10091,0.089737,0.089939,0.082811,0.034877,0.034916,0.035076
326.52,,,,,,,1.713,1.733,1.7559,0.44905,0.45247,0.42636,0.096381,0.097218,0.09768,0.085106,0.085338,0.078848,0.032796,0.032848,0.033006
340.12,,,,,,,1.5912,1.6106,1.6314,0.43442,0.43794,0.41335,0.093289,0.094141,0.094594,0.080773,0.081032,0.075107,0.030898,0.03096,0.031117
353.73,,,,,,,1.4801,1.4987,1.5177,0.42032,0.42394,0.40075,0.090349,0.091215,0.091659,0.076733,0.077015,0.071592,0.029167,0.029238,0.029392
367.33,,,,,,,1.3784,1.3963,1.4137,0.40676,0.41046,0.38857,0.087555,0.088437,0.08887,0.072963,0.073267,0.068291,0.027585,0.027664,0.027814
380.94,,,,,,,1.2855,1.3027,1.3186,0.39371,0.39749,0.37681,0.084884,0.085782,0.086205,0.069443,0.069766,0.065188,0.02613,0.026217,0.026365
394.54,,,,,,,1.2005,1.2171,1.2316,0.38122,0.38506,0.3655,0.082344,0.083257,0.083671,0.066164,0.066503,0.062282,0.024795,0.024889,0.025033
408.15,,,,,,,1.1226,1.1386,1.1517,0.36923,0.37314,0.3546,0.079922,0.080853,0.081256,0.063102,0.063455,0.059554,0.023566,0.023666,0.023807
421.75,,,,,,,1.0509,1.0663,1.0782,0.35768,0.36165,0.34407,0.077589,0.078536,0.07893,0.060233,0.060599,0.056986,0.022425,0.022531,0.022668
435.36,,,,,,,0.98496,0.99972,1.0106,0.3466,0.35061,0.33393,0.075359,0.076323,0.076706,0.057549,0.057926,0.054572,0.02137,0.021481,0.021614
448.96,,,,,,,0.924,0.9382,0.94806,0.3359,0.33996,0.3241,0.073214,0.074194,0.074567,0.055026,0.055413,0.052295,0.020388,0.020504,0.020633
462.57,,,,,,,0.86762,0.88128,0.8902,0.32557,0.32967,0.31459,0.071148,0.072143,0.072506,0.052654,0.05305,0.050145,0.019471,0.019592,0.019718
476.17,,,,,,,0.81545,0.82859,0.83665,0.31562,0.31975,0.3054,0.069163,0.070174,0.070526,0.050424,0.050827,0.048117,0.018618,0.018743,0.018864
489.78,,,,,,,0.76709,0.77972,0.78699,0.30602,0.31017,0.2965,0.067251,0.068275,0.068617,0.048322,0.048732,0.046199,0.01782,0.017948,0.018066
503.38,,,,,,,0.72222,0.73437,0.74089,0.29673,0.30091,0.28788,0.065411,0.066447,0.066779,0.046338,0.046754,0.044383,0.017073,0.017204,0.017318
516.99,,,,,,,0.68064,0.69232,0.69817,0.28781,0.292,0.27956,0.063645,0.064692,0.065013,0.04447,0.044892,0.042668,0.016373,0.016508,0.016619
530.59,,,,,,,0.64208,0.6533,0.65852,0.27922,0.28343,0.27155,0.061951,0.063007,0.063318,0.04271,0.043136,0.041048,0.015718,0.015856,0.015963
544.2,,,,,,,0.60621,0.61701,0.62165,0.27094,0.27516,0.26381,0.060318,0.061383,0.061683,0.041045,0.041475,0.039511,0.015102,0.015243,0.015346
557.8,,,,,,,0.57291,0.58328,0.5874,0.26299,0.26722,0.25635,0.058754,0.059824,0.060115,0.039476,0.039908,0.038058,0.014524,0.014668,0.014767
571.41,,,,,,,0.54195,0.55192,0.55555,0.25536,0.25959,0.24919,0.057254,0.05833,0.05861,0.037994,0.038429,0.036684,0.013982,0.014127,0.014223
585.01,,,,,,,0.51306,0.52265,0.52582,0.248,0.25224,0.24226,0.055809,0.056889,0.057159,0.036589,0.037026,0.035378,0.01347,0.013617,0.01371
598.62,,,,,,,0.48615,0.49537,0.49812,0.24095,0.24518,0.23562,0.054423,0.055506,0.055767,0.035262,0.0357,0.034141,0.012987,0.013136,0.013226
612.22,,,,,,,0.46099,0.46986,0.47222,0.23415,0.23838,0.2292,0.053088,0.054172,0.054424,0.034001,0.034441,0.032964,0.012531,0.012681,0.012768
625.83,,,,,,,0.4375,0.44603,0.44804,0.22764,0.23186,0.22303,0.051808,0.052894,0.053136,0.032807,0.033247,0.031847,0.0121,0.012253,0.012337
639.43,,,,,,,0.41541,0.4236,0.42528,0.2213,0.22551,0.21702,0.050559,0.051645,0.051879,0.031662,0.032103,0.030773,0.011689,0.011843,0.011924
653.04,,,,,,,0.39473,0.40261,0.40398,0.21521,0.21941,0.21124,0.049359,0.050446,0.050671,0.030576,0.031017,0.029753,0.0113,0.011455,0.011533
666.64,,,,,,,0.37533,0.3829,0.38399,0.20932,0.21351,0.20565,0.048199,0.049286,0.049502,0.029539,0.029979,0.028776,0.010931,0.011086,0.011161
680.25,,,,,,,0.35707,0.36434,0.36517,0.20363,0.2078,0.20022,0.047073,0.04816,0.048368,0.028546,0.028985,0.027839,0.010577,0.010734,0.010806
693.85,,,,,,,0.33998,0.34697,0.34756,0.19815,0.20231,0.195,0.04599,0.047078,0.047277,0.0276,0.028039,0.026946,0.010242,0.010399,0.010469
707.46,,,,,,,0.32388,0.33059,0.33096,0.19285,0.19699,0.18994,0.044938,0.046027,0.046218,0.026694,0.027131,0.026089,0.0099215,0.01008,0.010147
721.06,,,,,,,0.30873,0.31518,0.31535,0.18772,0.19184,0.18503,0.043919,0.045008,0.045191,0.025827,0.026262,0.025266,0.0096154,0.0097743,0.0098395
734.67,,,,,,,0.29447,0.30066,0.30064,0.18277,0.18686,0.18028,0.042932,0.044021,0.044196,0.024996,0.025429,0.024477,0.009323,0.0094824,0.0095452
748.27,,,,,,,0.28106,0.28701,0.28682,0.17799,0.18206,0.1757,0.041978,0.043069,0.043236,0.024202,0.024633,0.023722,0.0090442,0.009204,0.0092645
761.88,,,,,,,0.26842,0.27413,0.27378,0.17337,0.17742,0.17127,0.041055,0.042146,0.042306,0.023441,0.02387,0.022997,0.0087777,0.0089378,0.0089959
775.48,,,,,,,0.2565,0.26198,0.26149,0.16892,0.17294,0.16698,0.04016,0.041253,0.041405,0.022712,0.023139,0.022301,0.0085224,0.0086829,0.0087388
789.09,,,,,,,0.24525,0.25051,0.24988,0.16461,0.1686,0.16284,0.039293,0.040388,0.040533,0.022013,0.022438,0.021634,0.008278,0.0084389,0.0084927
802.69,,,,,,,0.23464,0.23968,0.23893,0.16045,0.16442,0.15883,0.038455,0.039551,0.039689,0.021344,0.021766,0.020994,0.008044,0.0082054,0.0082571
816.3,,,,,,,0.2246,0.22945,0.22858,0.15644,0.16038,0.15496,0.037644,0.038742,0.038872,0.020702,0.021122,0.020379,0.0078201,0.0079819,0.0080316
829.9,,,,,,,0.2151,0.21975,0.21878,0.15256,0.15647,0.15121,0.036858,0.037957,0.038081,0.020087,0.020504,0.019789,0.0076056,0.0077676,0.0078152
843.51,,,,,,,0.20611,0.21057,0.2095,0.1488,0.15269,0.14757,0.036095,0.037195,0.037312,0.019496,0.01991,0.019221,0.0073997,0.0075617,0.0076074
857.11,,,,,,,0.19759,0.20186,0.20071,0.14517,0.14902,0.14406,0.035355,0.036457,0.036567,0.018928,0.019339,0.018676,0.0072021,0.0073641,0.007408
870.72,,,,,,,0.18951,0.19361,0.19238,0.14165,0.14548,0.14065,0.034638,0.035741,0.035844,0.018383,0.018791,0.018151,0.0070124,0.0071744,0.0072164
884.32,,,,,,,0.18185,0.18577,0.18447,0.13825,0.14205,0.13735,0.033943,0.035046,0.035143,0.017859,0.018264,0.017646,0.0068299,0.0069921,0.0070324
897.93,,,,,,,0.17457,0.17832,0.17695,0.13495,0.13871,0.13414,0.033266,0.034369,0.034459,0.017354,0.017756,0.017159,0.006654,0.0068163,0.0068548
911.53,,,,,,,0.16765,0.17125,0.16982,0.13175,0.13548,0.13103,0.03261,0.033712,0.033796,0.016869,0.017267,0.01669,0.0064849,0.0066473,0.0066841
925.14,,,,,,,0.16108,0.16453,0.16304,0.12865,0.13235,0.12801,0.031972,0.033073,0.03315,0.016401,0.016797,0.016239,0.0063221,0.0064845,0.0065196
938.74,,,,,,,0.15484,0.15813,0.1566,0.12564,0.12931,0.12508,0.031352,0.032452,0.032523,0.015952,0.016344,0.015803,0.0061655,0.0063276,0.0063611
952.35,,,,,,,0.14891,0.15206,0.15048,0.12274,0.12637,0.12224,0.030752,0.03185,0.031915,0.015519,0.015908,0.015384,0.006015,0.0061768,0.0062087
965.95,,,,,,,0.14325,0.14626,0.14465,0.1199,0.12349,0.11947,0.030163,0.031258,0.031317,0.015101,0.015486,0.014978,0.0058689,0.0060303,0.0060607
979.56,,,,,,,0.13787,0.14075,0.1391,0.11715,0.12071,0.11679,0.029593,0.030685,0.030738,0.014699,0.01508,0.014588,0.0057284,0.0058895,0.0059184
993.16,,,,,,,0.13276,0.1355,0.13382,0.11449,0.11802,0.11419,0.029039,0.030127,0.030175,0.014311,0.014689,0.014211,0.0055927,0.0057536,0.005781
1006.77,,,,,,,0.12789,0.1305,0.1288,0.11191,0.11541,0.11166,0.028501,0.029586,0.029628,0.013938,0.014312,0.013848,0.005462,0.0056226,0.0056487
1020.37,,,,,,,0.12323,0.12573,0.124,0.1094,0.11286,0.1092,0.027975,0.029056,0.029093,0.013577,0.013947,0.013496,0.0053353,0.0054957,0.0055203
1033.98,,,,,,,0.1188,0.12118,0.11943,0.10698,0.1104,0.10682,0.027466,0.028543,0.028574,0.01323,0.013596,0.013158,0.0052136,0.0053735,0.0053969
1047.58,,,,,,,0.11458,0.11684,0.11507,0.10462,0.10801,0.10451,0.026971,0.028042,0.028069,0.012895,0.013257,0.012831,0.0050959,0.0052554,0.0052774
1061.19,,,,,,,0.11054,0.1127,0.11091,0.10234,0.10569,0.10226,0.026488,0.027555,0.027576,0.012571,0.01293,0.012515,0.0049823,0.0051412,0.0051619
1074.79,,,,,,,0.1067,0.10875,0.10695,0.10012,0.10344,0.10008,0.02602,0.027082,0.027098,0.01226,0.012615,0.01221,0.0048727,0.005031,0.0050505
1088.4,,,,,,,0.103,0.10495,0.10314,0.097962,0.10124,0.097959,0.025561,0.026619,0.02663,0.011958,0.012309,0.011914,0.0047662,0.0049239,0.0049423
1102.0,,,,,,,0.099482,0.10133,0.099516,0.095872,0.099115,0.095899,0.025116,0.026169,0.026176,0.011666,0.012014,0.011629,0.0046634,0.0048207,0.0048378
1115.61,,,,,,,0.096112,0.097863,0.096044,0.09384,0.097047,0.093896,0.024682,0.025731,0.025732,0.011385,0.011728,0.011353,0.0045638,0.0047207,0.0047367
1129.21,,,,,,,0.092887,0.094545,0.092722,0.091865,0.095036,0.091946,0.024259,0.025303,0.0253,0.011112,0.011451,0.011085,0.0044673,0.0046237,0.0046386
1142.82,,,,,,,0.089793,0.091361,0.089536,0.089942,0.093077,0.090047,0.023846,0.024885,0.024878,0.010848,0.011183,0.010826,0.0043738,0.0045297,0.0045435
1156.42,,,,,,,0.086838,0.08832,0.086495,0.088077,0.091177,0.088203,0.023444,0.024479,0.024467,0.010593,0.010924,0.010575,0.0042834,0.0044387,0.0044514
1170.03,,,,,,,0.084004,0.085401,0.083577,0.086262,0.089326,0.086408,0.023051,0.024082,0.024066,0.010345,0.010673,0.010331,0.0041957,0.0043504,0.0043621
1183.63,,,,,,,0.081285,0.082601,0.08078,0.084496,0.087523,0.084658,0.022668,0.023694,0.023674,0.010106,0.010429,0.010095,0.0041107,0.0042647,0.0042753
1197.24,,,,,,,0.078679,0.079915,0.078099,0.082776,0.085767,0.082954,0.022293,0.023316,0.023291,0.0098733,0.010193,0.0098661,0.0040281,0.0041814,0.004191
1210.84,,,,,,,0.076176,0.077337,0.075526,0.081101,0.084056,0.081293,0.021927,0.022945,0.022917,0.0096477,0.0099636,0.0096436,0.0039478,0.0041004,0.0041091
1224.45,,,,,,,0.073779,0.074866,0.073062,0.079471,0.082391,0.079675,0.021569,0.022584,0.022552,0.0094291,0.009741,0.0094278,0.0038697,0.0040218,0.0040295
1238.05,,,,,,,0.071478,0.072494,0.070697,0.077886,0.080769,0.0781,0.021219,0.022231,0.022195,0.0092171,0.0095251,0.0092182,0.0037939,0.0039453,0.0039522
1251.66,,,,,,,0.069269,0.070215,0.068427,0.076342,0.079189,0.076565,0.020878,0.021886,0.021846,0.0090114,0.0093154,0.0090148,0.0037202,0.0038711,0.003877
1265.26,,,,,,,0.067146,0.068026,0.066247,0.074838,0.07765,0.075069,0.020544,0.021549,0.021505,0.0088116,0.0091118,0.0088171,0.0036486,0.0037988,0.0038039
1278.87,,,,,,,0.065107,0.065921,0.064153,0.073372,0.076149,0.073611,0.020218,0.021219,0.021171,0.0086176,0.0089139,0.008625,0.003579,0.0037285,0.0037327
1292.47,,,,,,,0.063149,0.0639,0.062143,0.071946,0.074687,0.072189,0.019899,0.020896,0.020845,0.0084292,0.0087218,0.0084384,0.0035114,0.0036601,0.0036635
1306.08,,,,,,,0.061266,0.061957,0.060212,0.070557,0.073263,0.070805,0.019587,0.020581,0.020526,0.0082465,0.0085353,0.0082572,0.0034457,0.0035935,0.0035961
1319.68,,,,,,,0.059456,0.060088,0.058355,0.069205,0.071876,0.069456,0.019283,0.020273,0.020215,0.0080691,0.0083541,0.0080812,0.0033817,0.0035288,0.0035306
1333.29,,,,,,,0.057714,0.058289,0.056569,0.067888,0.070524,0.068141,0.018986,0.019972,0.019911,0.0078968,0.0081781,0.0079102,0.0033195,0.0034658,0.0034669
1346.89,,,,,,,0.056037,0.056557,0.05485,0.066603,0.069204,0.066857,0.018695,0.019677,0.019612,0.0077291,0.0080068,0.0077437,0.0032587,0.0034044,0.0034047
1360.5,,,,,,,0.054423,0.054889,0.053197,0.065353,0.067919,0.065607,0.018411,0.01939,0.019322,0.0075665,0.0078406,0.0075821,0.0031997,0.0033447,0.0033443
1374.1,,,,,,,0.052868,0.053283,0.051605,0.064134,0.066665,0.064387,0.018133,0.019108,0.019037,0.0074084,0.0076789,0.0074249,0.0031422,0.0032866,0.0032854
1387.71,,,,,,,0.05137,0.051735,0.050072,0.062946,0.065443,0.063198,0.017862,0.018833,0.018758,0.0072548,0.0075218,0.007272,0.0030863,0.0032299,0.0032281
1401.31,,,,,,,0.049927,0.050244,0.048595,0.061789,0.064251,0.062038,0.017597,0.018564,0.018486,0.0071056,0.007369,0.0071234,0.0030319,0.0031748,0.0031722
1414.92,,,,,,,0.048535,0.048805,0.047172,0.06066,0.063089,0.060906,0.017339,0.018301,0.01822,0.0069606,0.0072204,0.0069789,0.002979,0.0031211,0.0031179
1428.52,,,,,,,0.047191,0.047416,0.045799,0.059556,0.061951,0.059799,0.017085,0.018042,0.017958,0.0068193,0.0070755,0.0068379,0.0029274,0.0030686,0.0030647
1442.13,,,,,,,0.045895,0.046077,0.044476,0.058481,0.060842,0.058719,0.016837,0.017789,0.017703,0.006682,0.0069347,0.0067008,0.0028771,0.0030175,0.003013
1455.73,,,,,,,0.044645,0.044784,0.0432,0.057432,0.059759,0.057665,0.016595,0.017542,0.017452,0.0065484,0.0067976,0.0065674,0.002828,0.0029676,0.0029625
1469.34,,,,,,,0.043439,0.043537,0.041969,0.056408,0.058702,0.056636,0.016358,0.0173,0.017207,0.0064185,0.0066642,0.0064375,0.0027802,0.002919,0.0029133
1482.94,,,,,,,0.042274,0.042333,0.040782,0.05541,0.05767,0.055631,0.016126,0.017063,0.016967,0.0062923,0.0065344,0.0063112,0.0027335,0.0028716,0.0028653
1496.55,,,,,,,0.041148,0.041169,0.039635,0.054431,0.056659,0.054646,0.015899,0.016829,0.016731,0.006169,0.0064076,0.0061877,0.0026878,0.0028252,0.0028184
1510.15,,,,,,,0.040062,0.040045,0.038528,0.053478,0.055673,0.053687,0.015676,0.016602,0.016501,0.0060492,0.0062843,0.0060677,0.0026434,0.0027801,0.0027726
1523.76,,,,,,,0.039012,0.038959,0.03746,0.052547,0.05471,0.052748,0.015459,0.016378,0.016275,0.0059325,0.0061642,0.0059507,0.0026001,0.002736,0.002728
1537.36,,,,,,,0.037998,0.03791,0.036428,0.051637,0.053767,0.05183,0.015245,0.016159,0.016053,0.0058189,0.0060471,0.0058367,0.0025578,0.0026929,0.0026843
1550.97,,,,,,,0.037017,0.036896,0.035431,0.050749,0.052847,0.050934,0.015037,0.015944,0.015836,0.0057083,0.005933,0.0057256,0.0025166,0.0026508,0.0026417
1564.57,,,,,,,0.03607,0.035917,0.034469,0.049881,0.051948,0.050058,0.014832,0.015733,0.015623,0.0056007,0.0058219,0.0056174,0.0024764,0.0026097,0.0026001
1578.18,,,,,,,0.035153,0.034968,0.033538,0.049032,0.051066,0.049199,0.014631,0.015526,0.015413,0.0054955,0.0057134,0.0055117,0.002437,0.0025695,0.0025594
1591.78,,,,,,,0.034266,0.034051,0.032639,0.048203,0.050206,0.048362,0.014435,0.015324,0.015208,0.0053932,0.0056078,0.0054088,0.0023986,0.0025302,0.0025197
1605.39,,,,,,,0.033409,0.033164,0.031769,0.047393,0.049365,0.047543,0.014242,0.015125,0.015007,0.0052936,0.0055047,0.0053085,0.0023611,0.0024919,0.0024808
1618.99,,,,,,,0.032579,0.032306,0.030928,0.046602,0.048542,0.046741,0.014053,0.01493,0.01481,0.0051964,0.0054043,0.0052107,0.0023243,0.0024544,0.0024429
1632.6,,,,,,,0.031776,0.031475,0.030115,0.045828,0.047738,0.045958,0.013867,0.014738,0.014616,0.0051018,0.0053063,0.0051152,0.0022885,0.0024177,0.0024058
1646.2,,,,,,,0.030997,0.030671,0.029328,0.045072,0.046951,0.045191,0.013685,0.01455,0.014426,0.0050095,0.0052107,0.0050221,0.0022534,0.0023819,0.0023695
1659.81,,,,,,,0.030244,0.029892,0.028567,0.044333,0.046182,0.044443,0.013507,0.014366,0.01424,0.0049195,0.0051176,0.0049314,0.0022192,0.0023469,0.002334
1673.41,,,,,,,0.029515,0.029138,0.02783,0.043611,0.045429,0.04371,0.013332,0.014185,0.014057,0.0048318,0.0050267,0.0048428,0.0021858,0.0023126,0.0022994
1687.02,0.089976,0.087123,0.085432,,,,0.028807,0.028407,0.027116,0.042905,0.044693,0.042993,0.013161,0.014008,0.013878,0.0047462,0.0049379,0.0047564,0.0021533,0.0022791,0.0022655
1700.62,0.088936,0.086107,0.084445,,,,0.028122,0.027698,0.026425,0.042214,0.043973,0.042291,0.012993,0.013834,0.013702,0.0046627,0.0048513,0.004672,0.0021214,0.0022464,0.0022323
1714.23,0.087912,0.085106,0.083474,,,,0.027457,0.027012,0.025756,0.041539,0.043268,0.041605,0.012827,0.013663,0.013529,0.0045813,0.0047667,0.0045897,0.0020902,0.0022143,0.0021999
1727.83,0.086902,0.08412,0.082517,,,,0.026813,0.026346,0.025107,0.040878,0.042578,0.040933,0.012665,0.013495,0.01336,0.0045018,0.0046842,0.0045092,0.0020597,0.002183,0.0021681
1741.44,0.085908,0.083149,0.081574,,,,0.026188,0.0257,0.024478,0.040232,0.041903,0.040275,0.012506,0.01333,0.013193,0.0044242,0.0046035,0.0044307,0.0020298,0.0021523,0.0021371
1755.04,0.084928,0.082192,0.080646,,,,0.025581,0.025074,0.023869,0.039599,0.041242,0.039632,0.01235,0.013169,0.01303,0.0043484,0.0045247,0.004354,0.0020006,0.0021222,0.0021067
1768.65,0.083962,0.08125,0.079731,,,,0.024992,0.024466,0.023278,0.03898,0.040594,0.039001,0.012196,0.01301,0.012869,0.0042743,0.0044477,0.004279,0.001972,0.0020928,0.0020769
1782.25,0.083009,0.080321,0.078829,,,,0.024421,0.023877,0.022705,0.038374,0.03996,0.038384,0.012046,0.012854,0.012712,0.0042019,0.0043725,0.0042057,0.0019439,0.002064,0.0020478
1795.86,0.08207,0.079405,0.07794,,,,0.023867,0.023304,0.022149,0.037781,0.039339,0.037779,0.011897,0.012701,0.012557,0.0041312,0.0042989,0.0041341,0.0019165,0.0020358,0.0020192
1809.46,0.081144,0.078502,0.077063,,,,0.023328,0.022749,0.02161,0.0372,0.03873,0.037187,0.011752,0.012551,0.012405,0.0040621,0.004227,0.004064,0.0018897,0.0020082,0.0019913
1823.07,0.080231,0.077613,0.0762,,,,0.022805,0.022209,0.021087,0.036631,0.038133,0.036606,0.011609,0.012403,0.012256,0.0039946,0.0041566,0.0039955,0.0018635,0.0019811,0.0019639
1836.67,0.07933,0.076736,0.075348,,,,0.022297,0.021686,0.02058,0.036074,0.037549,0.036037,0.011469,0.012257,0.012109,0.0039285,0.0040878,0.0039285,0.0018378,0.0019546,0.001937
1850.28,0.078442,0.075871,0.074509,0.024327,0.023353,0.023165,0.021804,0.021177,0.020087,0.035529,0.036976,0.03548,0.011331,0.012115,0.011964,0.0038639,0.0040205,0.003863,0.0018127,0.0019286,0.0019107
1863.88,0.077566,0.075019,0.073681,0.024161,0.023188,0.023003,0.021325,0.020683,0.01961,0.034994,0.036415,0.034934,0.011195,0.011974,0.011823,0.0038008,0.0039546,0.0037988,0.001788,0.001903,0.0018849
1877.49,0.076702,0.074178,0.072865,0.023997,0.023025,0.022841,0.020859,0.020204,0.019146,0.03447,0.035864,0.034398,0.011062,0.011836,0.011683,0.003739,0.0038902,0.0037361,0.0017638,0.001878,0.0018595
1891.09,0.07585,0.073349,0.07206,0.023834,0.022862,0.022682,0.020406,0.019737,0.018695,0.033957,0.035325,0.033874,0.010932,0.0117,0.011546,0.0036786,0.0038271,0.0036747,0.00174,0.0018535,0.0018347
1904.7,0.075009,0.072533,0.071267,0.023673,0.022702,0.022523,0.019966,0.019285,0.018258,0.033455,0.034796,0.033359,0.010803,0.011567,0.011411,0.0036195,0.0037653,0.0036146,0.0017167,0.0018294,0.0018104
1918.3,0.074181,0.071727,0.070485,0.023512,0.022543,0.022367,0.019539,0.018844,0.017833,0.032962,0.034277,0.032855,0.010677,0.011435,0.011278,0.0035617,0.0037049,0.0035558,0.0016938,0.0018058,0.0017865
1931.91,0.073363,0.070933,0.069713,0.023354,0.022385,0.022211,0.019123,0.018417,0.017421,0.032479,0.033769,0.03236,0.010552,0.011306,0.011148,0.0035051,0.0036457,0.0034982,0.0016714,0.0017826,0.0017631
1945.51,0.072557,0.07015,0.068953,0.023196,0.022229,0.022057,0.018718,0.018001,0.01702,0.032006,0.03327,0.031875,0.010431,0.011179,0.01102,0.0034498,0.0035878,0.0034418,0.0016495,0.0017599,0.0017401
1959.12,0.071761,0.069378,0.068203,0.02304,0.022074,0.021905,0.018324,0.017596,0.01663,0.031542,0.032781,0.0314,0.010311,0.011054,0.010893,0.0033956,0.0035311,0.0033866,0.001628,0.0017376,0.0017175
1972.72,0.070978,0.068618,0.067465,0.022886,0.021921,0.021754,0.017942,0.017203,0.016252,0.031088,0.032302,0.030934,0.010193,0.010932,0.010769,0.0033427,0.0034756,0.0033327,0.001607,0.0017157,0.0016954
1986.33,0.070204,0.067868,0.066736,0.022732,0.021769,0.021604,0.017569,0.01682,0.015884,0.030642,0.031831,0.030477,0.010077,0.01081,0.010647,0.0032909,0.0034212,0.0032797,0.0015863,0.0016942,0.0016736
1999.93,0.069442,0.067128,0.066018,0.02258,0.021618,0.021456,0.017206,0.016448,0.015527,0.030206,0.03137,0.030029,0.0099636,0.010692,0.010527,0.0032402,0.0033679,0.0032279,0.0015661,0.0016731,0.0016523
2013.54,0.06869,0.0664,0.065309,0.02243,0.021469,0.021309,0.016853,0.016086,0.015179,0.029778,0.030918,0.029589,0.009852,0.010574,0.010409,0.0031906,0.0033157,0.0031772,0.0015462,0.0016524,0.0016314
2027.14,0.067948,0.065681,0.064611,0.02228,0.021322,0.021164,0.016509,0.015733,0.014841,0.029358,0.030474,0.029158,0.0097423,0.010459,0.010293,0.003142,0.0032646,0.0031275,0.0015267,0.001632,0.0016108
2040.75,0.067216,0.064972,0.063922,0.022132,0.021175,0.02102,0.016174,0.01539,0.014512,0.028947,0.030038,0.028735,0.0096345,0.010346,0.010178,0.0030945,0.0032146,0.0030788,0.0015076,0.0016121,0.0015906
2054.35,0.066493,0.064272,0.063242,0.021985,0.02103,0.020877,0.015848,0.015056,0.014191,0.028543,0.029611,0.028319,0.0095284,0.010234,0.010066,0.0030479,0.0031655,0.0030311,0.0014887,0.0015924,0.0015708
2067.96,0.065783,0.063585,0.062574,0.021841,0.020887,0.020737,0.01553,0.014731,0.01388,0.028148,0.029192,0.027913,0.0094246,0.010125,0.0099553,0.0030024,0.0031175,0.0029845,0.0014703,0.0015732,0.0015514
2081.56,0.06508,0.062905,0.061914,0.021697,0.020745,0.020597,0.015221,0.014415,0.013577,0.027759,0.028781,0.027514,0.0093223,0.010017,0.0098463,0.0029577,0.0030704,0.0029387,0.0014522,0.0015543,0.0015323
2095.17,0.064388,0.062235,0.061263,0.021554,0.020605,0.020459,0.014919,0.014106,0.013282,0.027378,0.028377,0.027122,0.0092218,0.0099106,0.0097391,0.002914,0.0030242,0.0028939,0.0014344,0.0015357,0.0015135
