,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4p,4p,4p,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,10.522,10.569,15.362,,,
27.21,,,,,,,,,,,,,,,,1.6804,1.6872,2.4611,0.23185,0.22993,0.22279
40.81,,,,,,,,,,,,,,,,0.55115,0.55205,0.70794,0.23496,0.23333,0.22863
54.42,,,,,,,,,,,,,,,,0.32056,0.31992,0.32179,0.21344,0.21212,0.20909
68.02,,,,,,,,,,,,,,,,0.26384,0.26276,0.22189,0.18771,0.18665,0.18467
81.63,,,,,,,,,,,,,,,,0.24418,0.24303,0.19327,0.16431,0.16346,0.16216
95.23,,,,,,,,,,,,,,,,0.23113,0.23006,0.18212,0.14443,0.14374,0.14288
108.84,,,,,,,5.5973,5.6228,5.6757,,,,,,,0.21878,0.21783,0.17469,0.12774,0.12717,0.12661
122.44,,,,,,,5.3157,5.3424,5.3991,,,,,,,0.20641,0.20559,0.16767,0.11357,0.1131,0.11275
136.05,,,,,,,5.0049,5.0323,5.0903,,,,,,,0.19423,0.19354,0.16046,0.10146,0.10108,0.10087
149.65,,,,,,,4.6883,4.7161,4.7739,,,,,,,0.18245,0.18188,0.15307,0.091061,0.090747,0.090649
163.26,,,,,,,4.3707,4.3986,4.4548,,,,,,,0.17117,0.17071,0.1456,0.082114,0.081861,0.081838
176.86,,,,,,,4.0568,4.0845,4.1384,,,,,,,0.16053,0.16016,0.13823,0.074428,0.074224,0.074256
190.47,,,,,,,3.7514,3.7787,3.8297,,,,,,,0.15059,0.15032,0.13109,0.067811,0.067648,0.067719
204.07,,,,,,,3.4614,3.4882,3.5359,,,,,,,0.14142,0.14123,0.1243,0.062097,0.06197,0.062071
217.68,,,,,,,3.1907,3.2168,3.2612,0.57947,0.58158,0.53789,,,,0.133,0.13288,0.1179,0.057132,0.057037,0.057159
231.28,,,,,,,2.9424,2.9678,3.0089,0.56188,0.56421,0.52341,,,,0.1253,0.12524,0.11192,0.052787,0.052719,0.052855
244.89,,,,,,,2.7157,2.7403,2.7783,0.54467,0.5472,0.50904,,,,0.11821,0.11821,0.10632,0.048946,0.0489,0.049047
