,1s,1s,1s,2p,2p,2p,2s,2s,2s,3p,3p,3p,3s,3s,3s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,
27.21,,,,,,,,,,0.71932,0.72065,0.56622,,,
40.81,,,,,,,,,,0.93598,0.9449,0.93081,0.40219,0.40207,0.32662
54.42,,,,,,,,,,1.1168,1.1273,1.1449,0.35893,0.3579,0.30386
68.02,,,,,,,,,,1.1244,1.1349,1.1575,0.31168,0.31059,0.2712
81.63,,,,,,,,,,1.0431,1.053,1.0737,0.26843,0.2687,0.23918
95.23,,,,,,,,,,0.93436,0.94344,0.96087,0.23329,0.23373,0.21096
108.84,,,,,,,,,,0.82634,0.83466,0.84896,0.20513,0.20489,0.18694
122.44,,,,,,,,,,0.72812,0.73574,0.74742,0.18122,0.18094,0.16655
136.05,,,,,,,,,,0.64139,0.6484,0.65793,0.16048,0.16084,0.14911
149.65,,,,,,,,,,0.56554,0.57195,0.57972,0.14304,0.14381,0.13409
163.26,,,,,,,,,,0.49928,0.50519,0.51151,0.1286,0.12918,0.12103
176.86,,,,,,,,,,0.44177,0.44719,0.45232,0.11634,0.11653,0.10964
190.47,,,,,,,,,,0.39192,0.39691,0.40107,0.10543,0.10552,0.099681
204.07,,,,,,,,,,0.34894,0.35354,0.35692,0.095615,0.095981,0.090975
217.68,,,,,,,,,,0.31191,0.31615,0.31887,0.086987,0.087679,0.083343
231.28,,,,,,,,,,0.27996,0.28389,0.28608,0.07966,0.080439,0.076645
244.89,,,,,,,,,,0.2523,0.25595,0.2577,0.07348,0.074085,0.070743
258.49,,,,0.8655,0.88254,0.88272,,,,0.22827,0.23165,0.23303,0.068114,0.068475,0.065521
272.1,,,,0.81004,0.82622,0.82578,,,,0.20719,0.21034,0.21142,0.063229,0.063485,0.060867
285.7,,,,0.75921,0.77458,0.77359,,,,0.18864,0.19159,0.19241,0.058687,0.059035,0.056705
299.31,,,,0.71229,0.72687,0.7254,,,,0.1722,0.17494,0.17556,0.054495,0.05504,0.052949
312.91,,,,0.66891,0.68275,0.68086,0.1329,0.13617,0.13145,0.15755,0.16012,0.16055,0.050742,0.051437,0.049546
326.52,,,,0.62878,0.64192,0.63965,0.12838,0.13163,0.12714,0.14447,0.14688,0.14716,0.047469,0.048172,0.046452
340.12,,,,0.59155,0.60401,0.60142,0.12403,0.12726,0.12298,0.13273,0.13499,0.13515,0.044609,0.045191,0.043622
353.73,,,,0.55708,0.5689,0.56602,0.11986,0.12306,0.11898,0.12221,0.12432,0.12437,0.042041,0.042463,0.04103
367.33,,,,0.52518,0.5364,0.53327,0.11587,0.11905,0.11515,0.11274,0.11473,0.11468,0.039642,0.039963,0.038655
380.94,,,,0.49559,0.50622,0.50289,0.11203,0.11519,0.11146,0.1042,0.10607,0.10595,0.037333,0.037662,0.036465
394.54,,,,0.4682,0.47829,0.47477,0.10838,0.1115,0.10793,0.096503,0.098259,0.098077,0.035127,0.035552,0.034453
408.15,,,,0.44289,0.45246,0.44879,0.10491,0.108,0.10458,0.089564,0.091213,0.090976,0.033077,0.033621,0.032604
421.75,,,,0.41929,0.42836,0.42456,0.10156,0.10462,0.10133,0.083247,0.084802,0.08452,0.031217,0.031834,0.030888
435.36,,,,0.3974,0.40601,0.4021,0.098379,0.10141,0.098247,0.07752,0.078992,0.078672,0.029583,0.030191,0.029306
448.96,,,,0.3771,0.38526,0.38126,0.095364,0.098357,0.095316,0.072326,0.073715,0.073363,0.028148,0.028676,0.027848
462.57,,,,0.35804,0.36578,0.3617,0.092455,0.095413,0.092481,0.06757,0.068877,0.068499,0.026843,0.027262,0.026486
476.17,,,,0.34027,0.34762,0.34347,0.089689,0.092612,0.089781,0.063225,0.06446,0.064061,0.025618,0.025951,0.025226
489.78,,,,0.32367,0.33064,0.32644,0.087043,0.089931,0.087195,0.059245,0.060417,0.06,0.024428,0.024732,0.024053
503.38,,,,0.30805,0.31464,0.31042,0.084498,0.087349,0.084702,0.055582,0.056691,0.056261,0.023256,0.023593,0.022956
516.99,,,,0.29342,0.29966,0.29541,0.082061,0.084875,0.082311,0.052223,0.053268,0.052827,0.022125,0.022533,0.021933
530.59,,,,0.27966,0.28557,0.28131,0.079715,0.082492,0.080006,0.049125,0.050112,0.049662,0.021061,0.021542,0.020974
544.2,,,,0.26672,0.27231,0.26804,0.077458,0.080196,0.077784,0.04626,0.047197,0.046742,0.020093,0.020615,0.020074
557.8,,,,0.25456,0.25984,0.25558,0.075289,0.077988,0.075645,0.043617,0.044507,0.044047,0.019233,0.019747,0.01923
571.41,,,,0.2431,0.2481,0.24384,0.073199,0.07586,0.073582,0.041174,0.042016,0.041553,0.018468,0.01893,0.018436
585.01,,,,0.23231,0.23703,0.23279,0.071185,0.073806,0.07159,0.038913,0.039707,0.039243,0.017773,0.01816,0.017688
598.62,,,,0.22216,0.22661,0.22239,0.069246,0.071828,0.06967,0.036816,0.037568,0.037104,0.017116,0.017434,0.016984
612.22,,,,0.21259,0.21679,0.21259,0.067383,0.069924,0.067822,0.034868,0.035583,0.03512,0.016473,0.016749,0.01632
625.83,,,,0.20356,0.20752,0.20335,0.065591,0.068093,0.066043,0.033057,0.033736,0.033275,0.01583,0.016104,0.015695
639.43,,,,0.19504,0.19876,0.19463,0.063859,0.066321,0.06432,0.031373,0.032016,0.031558,0.015188,0.015494,0.015103
653.04,,,,0.18699,0.19049,0.1864,0.062197,0.064619,0.062664,0.029807,0.030413,0.029959,0.014564,0.01492,0.014545
666.64,,,,0.17939,0.18267,0.17862,0.060599,0.062982,0.061071,0.028343,0.028917,0.028467,0.013976,0.014379,0.014018
680.25,,,,0.17218,0.17526,0.17126,0.059056,0.061399,0.059531,0.026971,0.027517,0.027071,0.013438,0.013867,0.013517
693.85,,,,0.16536,0.16824,0.16428,0.057576,0.05988,0.058052,0.025687,0.026206,0.025765,0.012959,0.013383,0.013044
707.46,,,,0.15888,0.16159,0.15767,0.056147,0.058412,0.056621,0.024485,0.024977,0.024541,0.012532,0.012924,0.012595
721.06,,,,0.15274,0.15527,0.1514,0.054772,0.056997,0.055243,0.023359,0.023823,0.023393,0.012147,0.012488,0.012169
734.67,,,,0.1469,0.14925,0.14544,0.05344,0.055627,0.053907,0.022297,0.022736,0.022312,0.011785,0.012071,0.011763
748.27,,,,0.14135,0.14354,0.13977,0.052159,0.054307,0.05262,0.021297,0.021713,0.021295,0.011431,0.011675,0.011377
761.88,,,,0.13607,0.1381,0.13438,0.050918,0.053028,0.051373,0.020353,0.02075,0.020338,0.011072,0.011297,0.011009
775.48,,,,0.13104,0.13292,0.12926,0.049721,0.051792,0.050167,0.019465,0.019841,0.019436,0.010706,0.010937,0.010658
789.09,,,,0.12624,0.12798,0.12438,0.048559,0.050592,0.048996,0.018627,0.018981,0.018583,0.010335,0.010592,0.010322
802.69,,,,0.12168,0.12328,0.11973,0.047438,0.049433,0.047866,0.017837,0.018171,0.017778,0.0099724,0.010264,0.010002
816.3,,,,0.11733,0.1188,0.1153,0.046351,0.048309,0.046768,0.017087,0.017403,0.017018,0.009627,0.0099512,0.0096956
829.9,,,,0.11318,0.11453,0.11108,0.045299,0.047219,0.045704,0.016378,0.016678,0.016299,0.009309,0.0096519,0.0094021
843.51,,,,0.10922,0.11044,0.10705,0.044278,0.046161,0.04467,0.015705,0.01599,0.015618,0.0090229,0.0093652,0.0091206
857.11,,,,0.10545,0.10655,0.10322,0.043291,0.045137,0.043671,0.015071,0.01534,0.014974,0.0087687,0.009091,0.0088514
870.72,,,,0.10185,0.10284,0.099561,0.042335,0.044144,0.042701,0.014471,0.014723,0.014364,0.00854,0.0088277,0.0085932
884.32,,,,0.098404,0.099287,0.096067,0.041408,0.043181,0.04176,0.013901,0.014138,0.013786,0.0083273,0.0085746,0.0083453
897.93,,,,0.095111,0.095891,0.092726,0.040509,0.042246,0.040847,0.013359,0.013582,0.013237,0.0081208,0.0083311,0.0081074
911.53,,,,0.091972,0.092652,0.089542,0.039639,0.04134,0.039962,0.012844,0.013056,0.012717,0.0079122,0.0080972,0.0078792
925.14,,,,0.088966,0.089552,0.086497,0.038796,0.040462,0.039104,0.012355,0.012555,0.012222,0.0076967,0.0078726,0.0076601
938.74,,,,0.086088,0.086584,0.083582,0.037979,0.03961,0.038272,0.011891,0.012079,0.011753,0.0074739,0.0076569,0.0074497
