,1s,1s,1s,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4s,4s,4s
244.89,,,,,,,,,,1.5331,1.5171,1.5355,0.57861,0.58194,0.55588,0.12804,0.1286,0.13033,0.015722,0.015749,0.015987
258.49,,,,,,,,,,1.3523,1.3473,1.3647,0.55167,0.55495,0.53092,0.12198,0.12254,0.12413,0.014551,0.014584,0.014795
272.1,,,,,,,,,,1.1895,1.2011,1.217,0.526,0.52923,0.50702,0.11635,0.11691,0.11836,0.013523,0.013559,0.013746
285.7,,,,,,,,,,1.0522,1.0748,1.0887,0.50157,0.50474,0.48417,0.1111,0.11166,0.11299,0.012619,0.012646,0.012814
299.31,,,,,,,,,,0.94214,0.96489,0.97663,0.47831,0.48143,0.46234,0.10616,0.10672,0.10795,0.011788,0.011827,0.011977
312.91,,,,,,,,,,0.85513,0.86878,0.87881,0.45637,0.45943,0.44168,0.10158,0.10214,0.10326,0.01106,0.011092,0.011227
326.52,,,,,,,,,,0.7822,0.78374,0.79266,0.43546,0.43847,0.42194,0.097251,0.097804,0.098844,0.010391,0.010422,0.010545
340.12,,,,,,,,,,0.71541,0.70835,0.71667,0.41562,0.41857,0.40314,0.093176,0.093727,0.094687,0.0097718,0.0098115,0.0099223
353.73,,,,,,,,,,0.64997,0.64143,0.6494,0.39672,0.39962,0.38521,0.089325,0.089872,0.09076,0.0092199,0.0092507,0.0093512
367.33,,,,,,,,,,0.58566,0.58225,0.58984,0.37881,0.38167,0.36817,0.085698,0.086243,0.087065,0.0087023,0.0087355,0.0088273
380.94,,,,,,,,,,0.52514,0.52996,0.53696,0.36184,0.36465,0.352,0.082278,0.08282,0.083581,0.0082223,0.0082613,0.008345
394.54,,,,,,,,,,0.47174,0.48367,0.48989,0.34576,0.34851,0.33664,0.079047,0.079586,0.080291,0.0077926,0.0078232,0.0078997
408.15,,,,,,,,,,0.42758,0.44262,0.44795,0.33056,0.33327,0.32211,0.076003,0.076539,0.077194,0.0073862,0.0074186,0.0074889
421.75,,,,,,,,,,0.39257,0.40598,0.41047,0.3162,0.31887,0.30836,0.073132,0.073665,0.074273,0.0070069,0.0070445,0.0071091
435.36,,,,,,,,,,0.36474,0.37302,0.37685,0.30262,0.30524,0.29534,0.070417,0.070947,0.071512,0.0066669,0.0066976,0.0067571
448.96,,,,,,,,,,0.34127,0.34326,0.34665,0.28978,0.29235,0.283,0.06785,0.068377,0.068903,0.0063455,0.0063756,0.0064306
462.57,,,,,,,,,,0.31931,0.3163,0.31945,0.27766,0.28019,0.27135,0.065428,0.065951,0.066441,0.0060408,0.0060772,0.006128
476.17,,,,,,,,,,0.29692,0.29182,0.29485,0.26617,0.26866,0.26029,0.063128,0.063647,0.064103,0.0057664,0.0057992,0.005846
489.78,,,,,,,,,,0.27355,0.26962,0.27256,0.25525,0.25769,0.24977,0.060937,0.061453,0.061878,0.00551,0.0055392,0.0055827
503.38,,,,,,,,,,0.24994,0.24958,0.25237,0.24494,0.24735,0.23983,0.058869,0.059382,0.059778,0.0052631,0.0052978,0.0053382
516.99,,,,,,,,,,0.22743,0.23144,0.234,0.23513,0.2375,0.23035,0.056894,0.057404,0.057773,0.0050363,0.0050717,0.0051091
530.59,,,,,,,,,,0.20741,0.21501,0.21725,0.22578,0.22811,0.22132,0.055008,0.055514,0.055858,0.0048297,0.0048596,0.0048943
544.2,,,,,,,,,,0.19079,0.20013,0.20201,0.21693,0.21922,0.21276,0.053217,0.05372,0.054041,0.0046299,0.0046613,0.0046937
557.8,,,,,,,,,,0.17767,0.18655,0.18807,0.2085,0.21075,0.2046,0.051504,0.052004,0.052303,0.0044393,0.004475,0.0045052
571.41,,,,,,,,,,0.1675,0.1741,0.17532,0.20048,0.2027,0.19683,0.04987,0.050366,0.050645,0.0042676,0.0043001,0.0043281
585.01,,,,,,,,,,0.15934,0.16265,0.16366,0.19287,0.19505,0.18945,0.048313,0.048806,0.049065,0.0041069,0.0041358,0.0041619
598.62,,,,,,,,,,0.15203,0.15205,0.15294,0.1856,0.18775,0.1824,0.04682,0.047309,0.047551,0.0039484,0.0039807,0.0040051
612.22,,,,,,,,,,0.1446,0.14227,0.14311,0.1787,0.18081,0.1757,0.045397,0.045883,0.046108,0.0038006,0.0038348,0.0038576
625.83,,,,,,,,,,0.13643,0.13321,0.13404,0.17213,0.1742,0.16931,0.044036,0.044518,0.044727,0.0036671,0.0036971,0.0037183
639.43,,,,,,,,,,0.12744,0.12489,0.12571,0.16589,0.16793,0.16324,0.042738,0.043217,0.043412,0.0035392,0.0035672,0.0035871
653.04,,,,,,,,,,0.1179,0.11722,0.11801,0.15993,0.16194,0.15744,0.041493,0.041968,0.04215,0.0034126,0.0034442,0.0034628
666.64,,,,,,,,,,0.10846,0.11018,0.1109,0.15425,0.15623,0.15192,0.040303,0.040774,0.040943,0.0032951,0.0033277,0.0033451
680.25,,,,,,,,,,0.099753,0.10371,0.10432,0.14884,0.15079,0.14665,0.039163,0.039631,0.039788,0.0031885,0.0032174,0.0032336
693.85,,,,,,,,,,0.09228,0.097739,0.098204,0.14367,0.14559,0.14161,0.038069,0.038534,0.038679,0.0030845,0.0031123,0.0031275
707.46,,,,,,,,,,0.086301,0.092225,0.092537,0.13872,0.14061,0.13679,0.037018,0.03748,0.037614,0.0029811,0.0030124,0.0030266
721.06,,,,,,,,,,0.081772,0.087106,0.087275,0.134,0.13586,0.13218,0.036009,0.036468,0.036592,0.0028848,0.0029172,0.0029305
734.67,,,,,,,,,,0.078419,0.082331,0.082384,0.12949,0.13132,0.12778,0.035041,0.035496,0.03561,0.0027972,0.0028265,0.0028389
748.27,,,,,,,,,,0.075816,0.077853,0.077827,0.12517,0.12697,0.12356,0.034109,0.034561,0.034666,0.002712,0.0027398,0.0027514
761.88,,,,,,,,,,0.073493,0.073648,0.073582,0.12103,0.1228,0.11951,0.033211,0.03366,0.033757,0.0026263,0.0026568,0.0026676
775.48,,,,,,,,,,0.071024,0.069701,0.069625,0.11706,0.11881,0.11563,0.032346,0.032792,0.03288,0.0025453,0.0025774,0.0025875
789.09,,,,,,,,,,0.068105,0.065998,0.065934,0.11327,0.11499,0.11193,0.031516,0.031958,0.032039,0.002472,0.0025016,0.0025109
802.69,,,,,,,,,,0.064613,0.06253,0.062485,0.10963,0.11133,0.10837,0.030715,0.031153,0.031227,0.0024016,0.0024287,0.0024375
816.3,,,,,,,,,,0.060625,0.059292,0.059259,0.10615,0.10781,0.10495,0.029942,0.030378,0.030445,0.0023303,0.0023589,0.0023671
829.9,,,,,,,,,,0.05637,0.056278,0.05624,0.1028,0.10444,0.10168,0.029196,0.029629,0.029689,0.002261,0.0022919,0.0022994
843.51,,,,,,,,,,0.052161,0.053477,0.053415,0.099603,0.10122,0.098543,0.02848,0.02891,0.028964,0.0021982,0.0022278,0.0022348
857.11,,,,,,,,,,0.048298,0.050871,0.050765,0.096529,0.098121,0.09553,0.027788,0.028214,0.028262,0.0021393,0.0021661,0.0021726
870.72,,,,,,,,,,0.045012,0.048441,0.048277,0.093581,0.095149,0.092639,0.02712,0.027543,0.027586,0.0020803,0.0021069,0.0021129
884.32,,,,,,,,,,0.042421,0.046167,0.045939,0.090748,0.092292,0.08986,0.026476,0.026895,0.026933,0.002021,0.00205,0.0020555
897.93,,,,,,,,,,0.04053,0.044034,0.043744,0.088036,0.089557,0.087199,0.025856,0.026272,0.026305,0.0019659,0.0019955,0.0020006
911.53,,,,,,,,,,0.03923,0.042018,0.041676,0.08542,0.086918,0.08463,0.025253,0.025667,0.025695,0.0019156,0.0019429,0.0019476
925.14,,,,,,,,,,0.03835,0.040107,0.039728,0.08291,0.084385,0.082164,0.024673,0.025084,0.025107,0.0018669,0.0018924,0.0018967
938.74,,,,,,,,,,0.037677,0.038289,0.037892,0.080495,0.081948,0.079792,0.024112,0.02452,0.024539,0.0018172,0.0018437,0.0018477
952.35,,,,0.18598,0.18293,0.17804,,,,0.036994,0.036557,0.036158,0.078164,0.079595,0.0775,0.023567,0.023972,0.023987,0.0017683,0.0017968,0.0018004
965.95,,,,0.18243,0.17933,0.17454,,,,0.036125,0.034915,0.034527,0.075937,0.077346,0.075309,0.023044,0.023446,0.023457,0.0017239,0.001752,0.0017552
979.56,,,,0.17893,0.17581,0.17109,,,,0.034941,0.033353,0.032984,0.073782,0.075169,0.073188,0.022535,0.022934,0.022942,0.0016828,0.0017086,0.0017115
993.16,,,,0.17553,0.17237,0.16774,,,,0.033404,0.031874,0.031526,0.071707,0.073074,0.071147,0.022043,0.022439,0.022443,0.0016419,0.0016667,0.0016694
1006.77,,,,0.1722,0.16901,0.16447,,,,0.031558,0.030476,0.030147,0.069707,0.071052,0.069177,0.021566,0.021959,0.021959,0.0016,0.0016264,0.0016288
1020.37,,,,0.16897,0.16574,0.16129,,,,0.029521,0.029166,0.028845,0.067782,0.069108,0.067282,0.021104,0.021494,0.021491,0.0015597,0.0015876,0.0015896
1033.98,,,,0.16579,0.16254,0.15817,,,,0.027438,0.027931,0.02761,0.065921,0.067226,0.065448,0.020655,0.021042,0.021036,0.001523,0.00155,0.0015518
1047.58,,,,0.1627,0.15943,0.15513,,,,0.025471,0.026774,0.026441,0.064127,0.065413,0.06368,0.020219,0.020604,0.020595,0.0014889,0.0015138,0.0015153
1061.19,,,,0.15968,0.15639,0.15217,,,,0.023751,0.025687,0.025334,0.062398,0.063665,0.061975,0.019797,0.020179,0.020168,0.0014545,0.0014788,0.0014802
1074.79,,,,0.15674,0.15342,0.14928,0.042076,0.041896,0.041229,0.022361,0.02466,0.024281,0.060729,0.061977,0.060329,0.019388,0.019767,0.019753,0.0014193,0.0014451,0.0014462
1088.4,,,,0.15387,0.15053,0.14647,0.041619,0.041415,0.040751,0.021343,0.023695,0.023288,0.05912,0.06035,0.058743,0.018991,0.019367,0.01935,0.0013854,0.0014125,0.0014134
1102.0,,,,0.15106,0.1477,0.14372,0.041169,0.040941,0.040281,0.020667,0.022774,0.022342,0.057565,0.058776,0.057208,0.018605,0.018979,0.018959,0.0013547,0.001381,0.0013817
1115.61,,,,0.14831,0.14494,0.14104,0.040725,0.040474,0.039817,0.020277,0.021896,0.021444,0.056063,0.057256,0.055725,0.018231,0.018601,0.018579,0.0013261,0.0013506,0.001351
1129.21,,,,0.14564,0.14225,0.13842,0.040289,0.040015,0.039362,0.020084,0.021054,0.020591,0.054615,0.05579,0.054294,0.017867,0.018235,0.018211,0.0012972,0.0013211,0.0013214
1142.82,,,,0.14303,0.13963,0.13587,0.039861,0.039564,0.038915,0.019981,0.020247,0.01978,0.053216,0.054373,0.052912,0.017514,0.01788,0.017853,0.0012675,0.0012927,0.0012927
1156.42,,,,0.14048,0.13707,0.13338,0.039439,0.03912,0.038475,0.019858,0.019468,0.019007,0.051864,0.053003,0.051576,0.017171,0.017534,0.017506,0.0012388,0.0012652,0.001265
1170.03,,,,0.13799,0.13456,0.13095,0.039023,0.038683,0.038041,0.019623,0.01872,0.018271,0.050556,0.051678,0.050283,0.016838,0.017198,0.017168,0.0012126,0.0012385,0.0012382
1183.63,,,,0.13555,0.13212,0.12857,0.038613,0.038251,0.037614,0.019208,0.018004,0.017571,0.049291,0.050396,0.049032,0.016514,0.016871,0.016839,0.0011886,0.0012127,0.0012122
1197.24,,,,0.13317,0.12973,0.12625,0.038209,0.037826,0.037193,0.01858,0.017318,0.016904,0.048068,0.049156,0.047822,0.016199,0.016553,0.01652,0.0011645,0.0011876,0.001187
1210.84,,,,0.13084,0.1274,0.12399,0.037814,0.037411,0.036782,0.017746,0.016666,0.016268,0.046886,0.047958,0.046652,0.015894,0.016246,0.01621,0.0011395,0.0011634,0.0011626
1224.45,,,,0.12857,0.12512,0.12177,0.037423,0.037,0.036375,0.01675,0.016045,0.015662,0.045742,0.046797,0.045519,0.015596,0.015945,0.015908,0.0011148,0.0011399,0.001139
1238.05,,,,0.12635,0.12289,0.11961,0.037038,0.036595,0.035975,0.015663,0.015457,0.015082,0.044633,0.045673,0.044421,0.015306,0.015653,0.015614,0.001092,0.0011171,0.001116
1251.66,,,,0.12417,0.12071,0.11749,0.036658,0.036196,0.03558,0.014569,0.014901,0.01453,0.043559,0.044582,0.043357,0.015024,0.015368,0.015328,0.0010714,0.0010949,0.0010937
1265.26,,,,0.12204,0.11858,0.11542,0.036283,0.035802,0.03519,0.013549,0.014376,0.014002,0.042517,0.043525,0.042325,0.014749,0.01509,0.015048,0.0010512,0.0010733,0.001072
1278.87,,,,0.11996,0.1165,0.11341,0.035917,0.035417,0.03481,0.012669,0.01388,0.013499,0.041511,0.042505,0.041328,0.014482,0.014821,0.014778,0.0010303,0.0010525,0.001051
1292.47,,,,0.11792,0.11447,0.11143,0.035552,0.035034,0.034432,0.011972,0.013409,0.013017,0.040534,0.041512,0.040359,0.014221,0.014558,0.014513,0.0010087,0.0010321,0.0010305
1306.08,,,,0.11593,0.11248,0.1095,0.035194,0.034658,0.03406,0.011476,0.01296,0.012557,0.039587,0.040551,0.03942,0.013967,0.014301,0.014256,0.00098836,0.0010123,0.0010107
1319.68,,,,0.11398,0.11053,0.10761,0.034841,0.034287,0.033694,0.011174,0.01253,0.012116,0.038669,0.039618,0.038509,0.01372,0.014051,0.014004,0.00096997,0.00099309,0.00099132
1333.29,,,,0.11207,0.10862,0.10576,0.034491,0.03392,0.033332,0.011039,0.012117,0.011695,0.037777,0.038711,0.037624,0.013478,0.013807,0.013759,0.00095266,0.00097433,0.00097247
1346.89,,,,0.11021,0.10676,0.10396,0.034151,0.033563,0.03298,0.011027,0.011718,0.011292,0.036918,0.037837,0.036771,0.013244,0.013571,0.013522,0.00093509,0.0009562,0.00095425
1360.5,,,,0.10837,0.10493,0.10218,0.033809,0.033205,0.032626,0.011084,0.011333,0.010907,0.036078,0.036983,0.035937,0.013014,0.013338,0.013288,0.00091646,0.00093836,0.00093633
1374.1,,,,0.10658,0.10315,0.10045,0.033474,0.032854,0.032281,0.011154,0.010958,0.010537,0.035265,0.036157,0.03513,0.01279,0.013112,0.01306,0.00089804,0.00092107,0.00091894
1387.71,,,,0.10483,0.1014,0.098763,0.033145,0.032509,0.03194,0.011179,0.010596,0.010183,0.034477,0.035354,0.034346,0.012572,0.012891,0.012839,0.00088108,0.00090426,0.00090203
1401.31,,,,0.10311,0.099695,0.097107,0.032819,0.032168,0.031604,0.011114,0.010244,0.0098431,0.033712,0.034575,0.033585,0.012359,0.012676,0.012623,0.00086572,0.00088786,0.00088554
1414.92,,,,0.10143,0.098017,0.095481,0.032497,0.03183,0.031271,0.010928,0.0099044,0.0095168,0.032966,0.033816,0.032844,0.012151,0.012465,0.012411,0.00085078,0.00087183,0.00086943
1428.52,,,,0.099794,0.096392,0.093907,0.032183,0.031502,0.030948,0.010611,0.0095789,0.0092055,0.032249,0.033085,0.03213,0.011949,0.012261,0.012206,0.00083531,0.00085633,0.00085386
1442.13,,,,0.098183,0.094791,0.092355,0.031871,0.031174,0.030626,0.010167,0.009266,0.0089058,0.031548,0.032371,0.031432,0.011751,0.01206,0.012005,0.00081914,0.00084113,0.00083858
1455.73,,,,0.096608,0.093226,0.090839,0.031563,0.030852,0.030309,0.0096215,0.008967,0.0086181,0.030867,0.031677,0.030755,0.011558,0.011865,0.011808,0.0008035,0.00082634,0.00082371
1469.34,,,,0.095065,0.091694,0.089356,0.03126,0.030536,0.029998,0.0090147,0.008682,0.0083417,0.030207,0.031004,0.030098,0.011369,0.011674,0.011617,0.00078933,0.00081194,0.00080923
1482.94,,,,0.09355,0.09019,0.087899,0.030961,0.030223,0.02969,0.0083915,0.0084107,0.0080758,0.029563,0.030348,0.029457,0.011185,0.011488,0.01143,0.00077645,0.00079788,0.0007951
1496.55,,,,0.092076,0.088728,0.086484,0.030667,0.029916,0.029388,0.0077991,0.0081542,0.0078215,0.028941,0.029714,0.028837,0.011006,0.011306,0.011247,0.00076378,0.00078421,0.00078136
1510.15,,,,0.090622,0.087286,0.085088,0.030376,0.029612,0.029089,0.0072745,0.0079095,0.007576,0.028333,0.029093,0.028232,0.01083,0.011128,0.011068,0.00075038,0.00077081,0.00076791
1523.76,,,,0.089198,0.085876,0.083723,0.030089,0.029311,0.028794,0.0068478,0.0076765,0.0073403,0.027742,0.02849,0.027643,0.010658,0.010954,0.010894,0.00073653,0.00075775,0.00075479
1537.36,,,,0.087805,0.084496,0.082387,0.029805,0.029016,0.028504,0.0065353,0.0074538,0.0071135,0.027168,0.027904,0.027071,0.010491,0.010784,0.010723,0.00072325,0.00074503,0.000742
1550.97,,,,0.086439,0.083144,0.081079,0.029526,0.028724,0.028218,0.0063402,0.0072397,0.0068952,0.02661,0.027334,0.026514,0.010327,0.010618,0.010557,0.00071127,0.00073263,0.00072953
1564.57,,,,0.085097,0.081816,0.079794,0.029251,0.028437,0.027936,0.0062539,0.0070328,0.0066847,0.026066,0.026778,0.025971,0.010167,0.010455,0.010394,0.00070034,0.00072052,0.00071736
1578.18,,,,0.083788,0.080523,0.078543,0.02898,0.028154,0.027658,0.0062598,0.0068335,0.0064832,0.025538,0.026239,0.025445,0.01001,0.010297,0.010235,0.00068949,0.0007087,0.0007055
1591.78,,,,0.082499,0.079248,0.07731,0.028711,0.027874,0.027383,0.0063302,0.0066387,0.0062885,0.025023,0.025713,0.02493,0.0098571,0.010141,0.010079,0.00067795,0.00069713,0.0006939
1605.39,,,,0.081234,0.078,0.076102,0.028446,0.027598,0.027112,0.0064354,0.0064488,0.006101,0.024521,0.0252,0.024429,0.0097071,0.0099892,0.009926,0.00066593,0.00068584,0.00068256
1618.99,,,,0.079995,0.076777,0.074919,0.028184,0.027325,0.026844,0.0065428,0.0062634,0.0059204,0.024033,0.0247,0.023942,0.0095604,0.0098403,0.0097767,0.00065434,0.00067483,0.00067149
1632.6,,,,0.078781,0.075579,0.07376,0.027925,0.027056,0.026581,0.0066208,0.0060821,0.0057462,0.023558,0.024214,0.023467,0.0094169,0.0096947,0.0096306,0.00064386,0.00066407,0.00066069
1646.2,,,,0.077591,0.074406,0.072626,0.027671,0.026791,0.026321,0.0066439,0.0059061,0.005579,0.023096,0.023741,0.023005,0.0092768,0.0095524,0.0094879,0.00063435,0.00065359,0.00065016
1659.81,,,,0.076422,0.073254,0.071512,0.027419,0.026529,0.026065,0.006591,0.0057339,0.0054168,0.022645,0.023279,0.022554,0.0091395,0.0094129,0.0093481,0.00062497,0.00064332,0.00063986
1673.41,,,,0.075274,0.072124,0.070419,0.02717,0.026271,0.025812,0.0064541,0.0055673,0.0052607,0.022205,0.022829,0.022115,0.009005,0.0092763,0.0092111,0.000615,0.00063329,0.00062979
1687.02,,,,0.074148,0.071015,0.069347,0.026924,0.026015,0.025561,0.0062342,0.0054066,0.0051102,0.021776,0.02239,0.021686,0.0088732,0.0091424,0.0090768,0.00060451,0.00062348,0.00061995
1700.62,,,,0.073043,0.069928,0.068296,0.026681,0.025763,0.025314,0.0059424,0.0052521,0.0049651,0.021359,0.021962,0.021269,0.0087441,0.0090111,0.0089452,0.00059422,0.00061389,0.00061032
1714.23,,,,0.07196,0.068864,0.067267,0.026441,0.025513,0.02507,0.0055981,0.0051041,0.0048249,0.020952,0.021545,0.020862,0.0086175,0.0088824,0.0088162,0.00058484,0.00060451,0.0006009
1727.83,,,,0.0709,0.067821,0.066259,0.026206,0.025269,0.024831,0.0052266,0.0049629,0.0046899,0.020556,0.021139,0.020465,0.0084944,0.0087573,0.0086908,0.00057648,0.00059541,0.00059176
1741.44,,,,0.069858,0.066798,0.06527,0.025972,0.025027,0.024594,0.0048536,0.0048279,0.0045591,0.02017,0.020743,0.020079,0.0083733,0.0086341,0.0085673,0.00056841,0.00058646,0.00058278
1755.04,,,,0.068835,0.065794,0.0643,0.025741,0.024788,0.02436,0.004505,0.0046992,0.0044328,0.019793,0.020356,0.019701,0.0082548,0.0085135,0.0084464,0.00055997,0.00057771,0.000574
1768.65,,,,0.06783,0.064808,0.063347,0.025513,0.024552,0.024129,0.0042021,0.0045764,0.0043109,0.019425,0.019979,0.019333,0.0081385,0.0083952,0.0083279,0.00055096,0.00056915,0.00056542
1782.25,,,,0.066843,0.063841,0.062412,0.025288,0.024318,0.023901,0.0039605,0.004459,0.0041931,0.019066,0.01961,0.018973,0.0080245,0.0082791,0.0082116,0.00054187,0.00056077,0.00055701
1795.86,,,,0.065873,0.062891,0.061494,0.025063,0.024086,0.023674,0.003789,0.0043463,0.0040793,0.018716,0.01925,0.018622,0.0079122,0.0081648,0.0080971,0.0005334,0.00055255,0.00054875
1809.46,,,,0.064928,0.061965,0.0606,0.024847,0.023862,0.023455,0.0036899,0.0042377,0.0039693,0.018376,0.018901,0.018281,0.007804,0.0080546,0.0079866,0.00052597,0.00054462,0.00054078
1823.07,,,,0.063995,0.061053,0.059718,0.024629,0.023637,0.023236,0.0036588,0.0041323,0.0038629,0.018043,0.018559,0.017948,0.0076966,0.0079452,0.0078771,0.00051905,0.00053677,0.00053291
1836.67,,,,0.06308,0.060159,0.058854,0.024415,0.023416,0.02302,0.0036861,0.0040296,0.0037598,0.017718,0.018225,0.017622,0.0075917,0.0078383,0.0077699,0.00051204,0.0005291,0.00052521
1850.28,,,,0.062181,0.05928,0.058004,0.024204,0.023198,0.022807,0.0037578,0.0039291,0.0036602,0.017401,0.017899,0.017304,0.0074888,0.0077334,0.0076649,0.00050451,0.00052159,0.00051769
1863.88,,,,0.061297,0.058416,0.05717,0.023995,0.022982,0.022596,0.0038565,0.0038306,0.0035637,0.01709,0.01758,0.016993,0.0073878,0.0076305,0.0075618,0.00049663,0.00051423,0.00051031
1877.49,,,,0.060426,0.057566,0.056348,0.023787,0.022767,0.022386,0.0039633,0.0037338,0.0034705,0.016787,0.017268,0.016688,0.0072883,0.007529,0.0074602,0.00048897,0.000507,0.00050304
1891.09,,,,0.05958,0.056741,0.055552,0.023586,0.02256,0.022185,0.004059,0.0036387,0.0033802,0.016494,0.016966,0.016394,0.0071923,0.0074311,0.0073622,0.00048217,0.00050002,0.00049604
1904.7,,,,0.058741,0.055924,0.054762,0.023383,0.022351,0.021981,0.0041258,0.0035452,0.0032928,0.016205,0.016668,0.016103,0.0070967,0.0073336,0.0072645,0.000476,0.00049308,0.00048908
1918.3,,,,0.057919,0.055123,0.053988,0.023184,0.022146,0.021781,0.0041497,0.0034537,0.0032081,0.015923,0.016378,0.01582,0.0070032,0.0072382,0.007169,0.00047008,0.0004863,0.00048229
1931.91,,,,0.057112,0.054336,0.053228,0.022987,0.021944,0.021583,0.0041212,0.0033642,0.0031261,0.015648,0.016094,0.015544,0.0069117,0.0071448,0.0070755,0.00046383,0.00047966,0.00047563
1945.51,,,,0.056317,0.053563,0.052481,0.022793,0.021744,0.021388,0.0040367,0.0032771,0.0030465,0.015379,0.015817,0.015273,0.0068218,0.007053,0.0069836,0.00045707,0.00047315,0.00046911
1959.12,,,,0.055534,0.052802,0.051745,0.0226,0.021546,0.021195,0.0038988,0.0031927,0.0029695,0.015115,0.015545,0.015008,0.0067334,0.0069628,0.0068933,0.00045012,0.00046675,0.0004627
1972.72,,,,0.054776,0.052066,0.051034,0.022413,0.021354,0.021008,0.0037155,0.0031116,0.0028951,0.014861,0.015283,0.014753,0.0066478,0.0068753,0.0068058,0.00044362,0.00046057,0.00045649
1986.33,,,,0.054016,0.051327,0.050321,0.022222,0.021159,0.020818,0.0034983,0.0030333,0.0028228,0.014608,0.015022,0.014498,0.0065622,0.0067878,0.0067182,0.00043773,0.00045438,0.00045029
1999.93,,,,0.053274,0.050608,0.049626,0.022036,0.020967,0.020632,0.0032627,0.0029584,0.0027527,0.014362,0.014768,0.014251,0.0064785,0.0067023,0.0066326,0.00043241,0.00044835,0.00044424
2013.54,,,,0.052546,0.049901,0.048943,0.021852,0.020779,0.020448,0.0030244,0.0028868,0.0026847,0.014122,0.01452,0.01401,0.0063966,0.0066185,0.0065487,0.00042715,0.00044243,0.00043831
2027.14,,,,0.05183,0.049208,0.048273,0.02167,0.020593,0.020267,0.0027987,0.0028182,0.0026188,0.013887,0.014278,0.013774,0.0063162,0.0065363,0.0064665,0.0004215,0.00043662,0.00043249
2040.75,,,,0.051125,0.048525,0.047614,0.021491,0.020409,0.020088,0.0025988,0.0027526,0.0025548,0.013657,0.014041,0.013542,0.0062372,0.0064555,0.0063857,0.00041541,0.00043093,0.00042679
2054.35,,,,0.050427,0.04785,0.046961,0.021312,0.020226,0.01991,0.0024351,0.0026897,0.0024926,0.013431,0.013807,0.013315,0.0061593,0.0063758,0.0063059,0.00040923,0.00042531,0.00042117
2067.96,,,,0.049755,0.0472,0.046333,0.021138,0.020049,0.019738,0.0023146,0.0026296,0.0024327,0.013214,0.013582,0.013096,0.0060836,0.0062984,0.0062285,0.00040355,0.00041987,0.00041571
2081.56,,,,0.049084,0.046552,0.045707,0.020963,0.019871,0.019564,0.00224,0.0025713,0.0023743,0.012998,0.01336,0.012879,0.0060086,0.0062216,0.0061517,0.00039846,0.00041447,0.00041029
2095.17,,,,0.048426,0.045916,0.045092,0.020791,0.019695,0.019393,0.002211,0.0025148,0.0023177,0.012788,0.013142,0.012667,0.0059349,0.0061461,0.0060762,0.00039383,0.00040917,0.00040498
2108.77,,,,0.047779,0.045291,0.044489,0.020621,0.019521,0.019225,0.0022238,0.0024596,0.0022626,0.012582,0.012929,0.01246,0.0058626,0.0060721,0.0060021,0.00038921,0.00040397,0.00039977
