,1s,1s,1s,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,,,,0.082686,0.082698,0.10805
27.21,,,,,,,,,,8.3101,8.3206,8.0247,,,,,,,0.12433,0.12434,0.13855
40.81,,,,,,,,,,9.4445,9.3523,9.2389,,,,,,,0.11184,0.11186,0.12007
54.42,,,,,,,,,,9.0119,9.0386,9.0131,,,,,,,0.09452,0.094541,0.099749
68.02,,,,,,,,,,8.2611,8.2993,8.3039,,,,,,,0.078958,0.078983,0.082511
81.63,,,,,,,,,,7.5053,7.4574,7.4819,,,,,,,0.066025,0.066081,0.068587
95.23,,,,,,,,,,6.6359,6.5964,6.6372,0.82115,0.82479,0.75569,,,,0.055643,0.05569,0.057538
108.84,,,,,,,,,,5.736,5.7673,5.8124,0.82525,0.82895,0.76524,,,,0.0474,0.047423,0.048828
122.44,,,,,,,,,,4.9611,5.0114,5.0518,0.81624,0.81996,0.76173,,,,0.040813,0.040863,0.041962
136.05,,,,,,,,,,4.3373,4.346,4.382,0.79892,0.80262,0.74957,0.19462,0.19516,0.19909,0.035582,0.035605,0.036484
149.65,,,,,,,,,,3.8,3.7712,3.8061,0.7764,0.78007,0.73175,0.1843,0.18485,0.18836,0.031301,0.031342,0.032058
163.26,,,,,,,,,,3.3041,3.2815,3.3163,0.75085,0.75449,0.71043,0.17466,0.17522,0.17836,0.027816,0.027841,0.028433
176.86,,,,,,,,,,2.8539,2.865,2.8978,0.72323,0.72683,0.68661,0.1656,0.16616,0.16899,0.02489,0.024927,0.025424
190.47,,,,,,,,,,2.475,2.5104,2.5392,0.69445,0.69801,0.66124,0.15707,0.15763,0.16019,0.022452,0.022476,0.022897
204.07,,,,,,,,,,2.1734,2.2056,2.2299,0.66499,0.6685,0.63484,0.14905,0.14961,0.15192,0.020355,0.020394,0.020755
217.68,,,,,,,,,,1.9326,1.9425,1.9635,0.63561,0.63907,0.60821,0.14155,0.14211,0.14421,0.018592,0.018614,0.018927
231.28,,,,,,,,,,1.7253,1.7143,1.7336,0.60665,0.61004,0.58171,0.13454,0.1351,0.13701,0.01704,0.017079,0.017351
