,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,26.787,26.644,24.227,,,,,,,0.032812,0.03289,0.016419
27.21,,,,,,,,,,,,,,,,31.68,31.519,29.627,,,,,,,0.039444,0.039257,0.030631
40.81,,,,,,,,,,,,,,,,14.114,14.048,12.974,,,,,,,0.034263,0.034125,0.029348
54.42,,,,,,,,,,,,,,,,4.5319,4.5012,3.9755,,,,,,,0.029136,0.029005,0.026037
68.02,,,,,,,,,,,,,,,,1.265,1.2523,0.9954,0.44069,0.44122,0.35466,,,,0.02461,0.02459,0.022607
81.63,,,,,,,,,,,,,,,,0.34871,0.34431,0.21688,0.43016,0.4306,0.34382,,,,0.020724,0.020837,0.019452
95.23,,,,,,,,,,,,,,,,0.17507,0.17767,0.11385,0.42195,0.42241,0.34049,0.18996,0.19015,0.18168,0.017726,0.017704,0.016704
108.84,,,,,,,,,,,,,,,,0.21406,0.21838,0.18777,0.41248,0.41301,0.33789,0.17637,0.17663,0.16949,0.01516,0.015142,0.014392
122.44,,,,,,,,,,,,,,,,0.29661,0.30114,0.28856,0.40116,0.40179,0.33388,0.16395,0.16426,0.1582,0.012981,0.013057,0.012486
136.05,,,,,,,,,,,,,,,,0.36959,0.3759,0.37334,0.3883,0.38905,0.32804,0.15273,0.1531,0.1479,0.011419,0.011372,0.010924
149.65,,,,,,,,,,,,,,,,0.42208,0.43041,0.43321,0.37451,0.37538,0.32065,0.14257,0.14297,0.13849,0.0099145,0.0099941,0.0096373
163.26,,,,,,,,,,,,,,,,0.4588,0.46482,0.47049,0.36038,0.36135,0.31222,0.13334,0.13379,0.12989,0.0088984,0.0088623,0.0085732
176.86,,,,,,,,,,,,,,,,0.47737,0.48294,0.49018,0.3461,0.34717,0.30299,0.12487,0.12534,0.12194,0.0078476,0.0079197,0.0076823
190.47,,,,,,,,,,,,,,,,0.48087,0.48919,0.49707,0.33193,0.33309,0.29327,0.11708,0.11759,0.1146,0.0071564,0.0071299,0.0069324
204.07,,,,,,,,,,,,,,,,0.47895,0.48683,0.49474,0.3179,0.31914,0.28318,0.10988,0.11041,0.10778,0.0063972,0.0064591,0.0062939
217.68,,,,,,,,,,,,,,,,0.47302,0.47806,0.48582,0.30418,0.3055,0.27295,0.10328,0.10383,0.1015,0.0058964,0.0058901,0.005749
231.28,,,,,,,,,,,,,,,,0.45939,0.46468,0.47219,0.29085,0.29224,0.26271,0.097214,0.097778,0.095706,0.0053651,0.0053986,0.0052794
244.89,,,,,,,,,,,,,,,,0.44083,0.44841,0.45545,0.27803,0.27947,0.25263,0.091657,0.092236,0.090386,0.0049458,0.0049769,0.0048727
258.49,,,,,,,,,,,,,,,,0.42302,0.43027,0.43672,0.26577,0.26727,0.2428,0.086564,0.087156,0.085498,0.0046114,0.0046068,0.0045174
272.1,,,,,,,,,,,,,,,,0.40641,0.41113,0.41706,0.25415,0.2557,0.23333,0.081898,0.082501,0.081008,0.0042273,0.0042833,0.0042048
285.7,,,,,,,,,,,,,,,,0.38764,0.39161,0.3971,0.24313,0.24471,0.22422,0.077592,0.078204,0.076856,0.0039994,0.0039955,0.0039262
299.31,,,,,,,,,,,,,,,,0.36662,0.37227,0.37729,0.23271,0.23433,0.2155,0.073622,0.074242,0.07302,0.0037099,0.0037369,0.0036766
312.91,,,,,,,,,,,,,,,,0.34692,0.35357,0.35809,0.22287,0.22452,0.20717,0.069946,0.070573,0.069461,0.0034639,0.0035054,0.003451
326.52,,,,,,,1.7965,1.8273,1.8425,,,,,,,0.33015,0.33544,0.33948,0.21352,0.2152,0.19918,0.066522,0.067155,0.06614,0.0032986,0.0032933,0.0032451
340.12,,,,,,,1.7154,1.7451,1.7589,,,,,,,0.31457,0.31798,0.32164,0.20468,0.20637,0.19155,0.063338,0.063975,0.063047,0.0030587,0.0030996,0.0030568
353.73,,,,,,,1.6383,1.6671,1.6795,,,,,,,0.29792,0.30124,0.30458,0.19627,0.19798,0.18424,0.060363,0.061003,0.060152,0.0028905,0.0029227,0.0028834
