,1s,1s,1s,2p,2p,2p,2s,2s,2s
,x,y,z,x,y,z,x,y,z
0,,,,,,,,,
13.6,,,,2.1198,2.1185,2.1312,1.5606,1.582,1.6488
27.21,,,,0.67984,0.6798,0.68421,1.0781,1.0878,1.1154
40.81,,,,0.27894,0.27898,0.28101,0.74283,0.74949,0.76274
54.42,,,,0.13636,0.13641,0.1375,0.52082,0.52701,0.53419
68.02,,,,0.075574,0.075585,0.07624,0.37702,0.38042,0.38428
81.63,,,,0.045766,0.045742,0.046162,0.27911,0.28218,0.28447
95.23,,,,0.029483,0.029499,0.029782,0.21226,0.21526,0.21648
108.84,,,,0.019935,0.019964,0.020163,0.16695,0.16816,0.16885
122.44,,,,0.014051,0.01405,0.014194,0.13196,0.13412,0.13447
136.05,,,,0.010194,0.010221,0.010327,0.10732,0.10889,0.10897
149.65,,,,0.0076472,0.0076529,0.0077328,0.088971,0.089648,0.089607
163.26,,,,0.0058559,0.0058767,0.0059374,0.073478,0.07475,0.074629
176.86,,,,0.0046039,0.0046118,0.0046589,0.061853,0.063076,0.062867
190.47,,,,0.0036692,0.0036876,0.0037242,0.053279,0.053755,0.053512
204.07,0.2669,0.27204,0.26854,0.0029882,0.0029951,0.0030239,0.045699,0.046232,0.045987
217.68,0.2447,0.24938,0.24591,0.0024479,0.0024652,0.0024878,0.039213,0.040133,0.039869
231.28,0.22495,0.22922,0.22579,0.0020449,0.0020515,0.0020693,0.034461,0.035126,0.034842
244.89,0.20735,0.21124,0.20785,0.001709,0.0017232,0.0017372,0.030709,0.030946,0.030668
258.49,0.19159,0.19514,0.19181,0.0014502,0.0014592,0.00147,0.0271,0.02743,0.027165
272.1,0.17743,0.18065,0.17738,0.0012353,0.001244,0.0012526,0.023856,0.02446,0.024197
285.7,0.16464,0.16757,0.16437,0.0010557,0.0010674,0.0010739,0.021421,0.021925,0.021659
299.31,0.15305,0.15571,0.15258,0.00091535,0.00092093,0.00092578,0.01954,0.019729,0.01947
312.91,0.14251,0.14492,0.14187,0.0007889,0.00079862,0.00080219,0.017688,0.017812,0.017569
326.52,0.1329,0.13508,0.13211,0.00068811,0.00069599,0.00069839,0.015817,0.016141,0.015909
340.12,0.12414,0.12609,0.12321,0.00060401,0.00060913,0.0006107,0.014258,0.014679,0.01445
353.73,0.11612,0.11787,0.11507,0.0005268,0.00053541,0.00053622,0.013126,0.013389,0.013164
367.33,0.10878,0.11034,0.10762,0.00046671,0.00047251,0.00047266,0.012172,0.01224,0.012026
380.94,0.10205,0.10344,0.1008,0.00041389,0.00041847,0.00041816,0.011145,0.011215,0.011014
394.54,0.095872,0.097106,0.09455,0.00036486,0.00037198,0.00037124,0.010088,0.010305,0.010113
408.15,0.090197,0.091281,0.088805,0.00032703,0.00033181,0.00033069,0.0092077,0.0094956,0.0093082
421.75,0.084973,0.085918,0.08352,0.00029318,0.00029689,0.00029551,0.0085794,0.0087696,0.0085866
435.36,0.080155,0.080971,0.07865,0.00026075,0.00026652,0.0002649,0.0080711,0.0081129,0.0079381
