,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,12.667,12.59,11.905,,,,,,,0.11028,0.10942,0.080784
27.21,,,,,,,,,,,,,,,,3.5816,3.5636,3.2925,,,,,,,0.11532,0.11378,0.10041
40.81,,,,,,,,,,,,,,,,0.76798,0.76323,0.65471,0.5387,0.538,0.52527,,,,0.091931,0.090846,0.083928
54.42,,,,,,,,,,,,,,,,0.14712,0.14578,0.098919,0.44837,0.44693,0.37456,,,,0.070709,0.069947,0.065985
68.02,,,,,,,,,,,,,,,,0.041879,0.041697,0.02012,0.41732,0.41571,0.32883,0.21726,0.21674,0.20989,0.054822,0.054619,0.052156
81.63,,,,,,,,,,,,,,,,0.046098,0.046457,0.036524,0.39941,0.39787,0.31268,0.1968,0.19639,0.1911,0.043704,0.043818,0.042202
95.23,,,,,,,,,,,,,,,,0.067519,0.068164,0.064003,0.38321,0.38184,0.30356,0.17847,0.17816,0.174,0.036403,0.036076,0.03496
108.84,,,,,,,,,,,,,,,,0.085225,0.086008,0.084853,0.36644,0.36527,0.29517,0.16188,0.16165,0.15836,0.030466,0.030361,0.029549
122.44,,,,,,,,,,,,,,,,0.096164,0.097056,0.097504,0.34883,0.34788,0.28586,0.14704,0.14688,0.14426,0.025974,0.026003,0.025416
136.05,,,,,,,,,,,,,,,,0.10129,0.10221,0.10349,0.3308,0.33005,0.27547,0.134,0.1339,0.1318,0.02287,0.022647,0.022198
149.65,,,,,,,,,,,,,,,,0.10202,0.10297,0.10465,0.31298,0.31243,0.26441,0.12262,0.12258,0.12088,0.019862,0.019972,0.019632
163.26,,,,,,,,,,,,,,,,0.099903,0.10084,0.10267,0.29582,0.29545,0.25311,0.11264,0.11265,0.11126,0.017985,0.017793,0.017526
176.86,,,,,,,,,,,,,,,,0.096089,0.097022,0.098867,0.27951,0.2793,0.24184,0.10379,0.10384,0.10271,0.015843,0.015954,0.015748
190.47,,,,,,,,,,,,,,,,0.091385,0.092291,0.094084,0.26405,0.26398,0.23072,0.095881,0.095966,0.095043,0.014515,0.01438,0.014215
204.07,,,,,,,3.0727,3.1087,3.153,,,,,,,0.086222,0.087113,0.088814,0.24941,0.24947,0.21985,0.088792,0.088909,0.088154,0.012934,0.013007,0.01288
217.68,,,,,,,2.8893,2.9243,2.9657,,,,,,,0.08092,0.081765,0.083354,0.23561,0.23579,0.20933,0.082445,0.08259,0.081971,0.01186,0.011818,0.011713
231.28,,,,,,,2.7147,2.7486,2.7871,,,,,,,0.075618,0.076451,0.077919,0.2227,0.22298,0.19927,0.076766,0.076935,0.076429,0.010786,0.010771,0.010691
244.89,,,,,,,2.55,2.5828,2.6184,,,,,,,0.070539,0.071317,0.072664,0.21069,0.21106,0.18974,0.071674,0.071865,0.071451,0.0097883,0.009863,0.0097961
258.49,,,,,,,2.3958,2.4276,2.4606,,,,,,,0.06569,0.066455,0.067685,0.19955,0.19999,0.18075,0.067086,0.067297,0.066961,0.0091507,0.0090604,0.0090093
272.1,,,,,,,2.2523,2.283,2.3134,,,,,,,0.061181,0.061902,0.063023,0.18919,0.18971,0.17228,0.062929,0.063157,0.062885,0.0082501,0.0083555,0.0083152
285.7,,,,,,,2.1185,2.1482,2.1762,,,,,,,0.05697,0.057659,0.058679,0.17953,0.18012,0.16429,0.059142,0.059386,0.059168,0.0077632,0.0077342,0.0077006
299.31,,,,,,,1.9936,2.0222,2.048,,,,,,,0.053041,0.053712,0.054639,0.17051,0.17115,0.15674,0.055681,0.055939,0.055765,0.0071854,0.0071778,0.0071544
312.91,,,,,,,1.8767,1.9044,1.928,,,,,,,0.049419,0.050044,0.050885,0.16207,0.16276,0.1496,0.052512,0.052782,0.052646,0.0065912,0.0066877,0.0066679
326.52,,,,,,,1.7675,1.7941,1.8158,,,,,,,0.046031,0.046642,0.047404,0.15417,0.15491,0.14286,0.049608,0.049889,0.049785,0.0063012,0.0062482,0.0062334
