,1s,1s,1s,2p,2p,2p,2s,2s,2s,3s,3s,3s
,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,
13.6,,,,,,,,,,0.11028,0.10995,0.05365
27.21,,,,,,,,,,0.064611,0.063299,0.042642
40.81,,,,7.1213,7.1328,7.1621,,,,0.041457,0.040783,0.030806
54.42,,,,5.6349,5.6483,5.6835,,,,0.02973,0.029053,0.023347
68.02,,,,4.3936,4.4071,4.4395,0.49503,0.49197,0.43661,0.022613,0.022167,0.018519
81.63,,,,3.4637,3.4769,3.5049,0.44495,0.44296,0.39827,0.01749,0.01771,0.015208
95.23,,,,2.7738,2.7864,2.81,0.40003,0.39967,0.36298,0.014547,0.014602,0.01281
108.84,,,,2.2525,2.2645,2.2842,0.36113,0.36184,0.33122,0.012684,0.01235,0.01099
122.44,,,,1.85,1.8611,1.8776,0.32779,0.32863,0.30274,0.010366,0.010605,0.0095514
136.05,,,,1.5335,1.544,1.5576,0.29896,0.29928,0.27718,0.0094355,0.0092101,0.0083795
149.65,,,,1.2817,1.2914,1.3026,0.27351,0.27315,0.25418,0.0079596,0.0080821,0.0074026
163.26,,,,1.0794,1.0884,1.0976,0.25058,0.2498,0.23343,0.0072446,0.0071233,0.0065745
176.86,,,,0.91587,0.92423,0.93178,0.22968,0.22891,0.21471,0.0062345,0.0063286,0.0058651
190.47,,,,0.78275,0.79052,0.7967,0.2106,0.21022,0.19783,0.0057558,0.0056351,0.0052528
204.07,,,,0.6737,0.68093,0.68597,0.19331,0.1935,0.18262,0.0049188,0.0050509,0.0047218
217.68,,,,0.58372,0.59044,0.59454,0.17782,0.17855,0.16893,0.0046892,0.0045378,0.0042597
231.28,,,,0.50892,0.51517,0.51848,0.16408,0.16517,0.15659,0.0039475,0.0040966,0.0038563
244.89,,,,0.44623,0.45206,0.45471,0.15197,0.15316,0.14547,0.0038277,0.0037134,0.0035032
258.49,,,,0.39328,0.39874,0.40084,0.1413,0.14236,0.13544,0.0033132,0.003373,0.0031931
272.1,,,,0.34824,0.35335,0.35499,0.13181,0.13261,0.12635,0.0030525,0.0030826,0.00292
285.7,,,,0.30968,0.31446,0.31571,0.12328,0.12377,0.11811,0.0029027,0.0028188,0.0026786
299.31,,,,0.27646,0.28093,0.28185,0.1155,0.11575,0.11061,0.0024728,0.0025902,0.0024645
312.91,,,,0.24767,0.25187,0.2525,0.10831,0.10842,0.10375,0.0024482,0.0023876,0.0022738
326.52,,,,0.22262,0.22655,0.22694,0.10161,0.10173,0.097474,0.0022064,0.0022025,0.0021034
340.12,,,,0.20071,0.20441,0.2046,0.095344,0.095593,0.091707,0.001952,0.0020424,0.0019507
353.73,,,,0.1815,0.18498,0.18499,0.089502,0.089959,0.086397,0.0019708,0.0018961,0.0018133
367.33,,,,0.16459,0.16787,0.16773,0.084082,0.084775,0.081495,0.0017353,0.0017626,0.0016894
380.94,,,,0.14966,0.15274,0.15248,0.079091,0.079996,0.076961,0.0015754,0.0016462,0.0015773
394.54,,,,0.13643,0.13933,0.13896,0.074527,0.075581,0.072761,0.0016042,0.0015382,0.0014757
408.15,,,,0.12468,0.12741,0.12696,0.070375,0.071494,0.068866,0.0014149,0.001439,0.0013832
421.75,,,,0.11421,0.11679,0.11625,0.066605,0.067705,0.065247,0.001282,0.0013521,0.001299
435.36,,,,0.10485,0.10728,0.10669,0.063176,0.064185,0.061884,0.001321,0.001271,0.0012221
448.96,,,,0.096463,0.098764,0.098118,0.06004,0.060911,0.058753,0.0011941,0.0011953,0.0011517
462.57,,,,0.088929,0.091102,0.090413,0.057144,0.057859,0.055836,0.0010542,0.0011287,0.0010871
476.17,,,,0.082144,0.084195,0.083469,0.054444,0.055013,0.053116,0.0010877,0.0010671,0.0010277
489.78,,,,0.076013,0.07795,0.077196,0.051899,0.052356,0.050576,0.0010379,0.0010082,0.00097298
503.38,,,,0.07046,0.072291,0.071513,0.049479,0.049871,0.048201,0.00089202,0.00095562,0.00092243
516.99,,,,0.065418,0.067151,0.066355,0.047167,0.047548,0.045978,0.00088431,0.00090787,0.00087564
530.59,,,,0.060831,0.062472,0.061662,0.044954,0.045373,0.043896,0.00090602,0.00086171,0.00083222
