,1s,1s,1s,2p,2p,2p,2s,2s,2s,3s,3s,3s
544.2,,,,0.056649,0.058203,0.057383,0.042839,0.043334,0.041941,0.00079565,0.00081885,0.00079184
557.8,,,,0.052831,0.054302,0.053475,0.040828,0.041422,0.040104,0.00072244,0.00078062,0.0007542
571.41,,,,0.049339,0.050731,0.0499,0.038928,0.039627,0.038377,0.00076029,0.0007443,0.00071905
585.01,,,,0.04614,0.047455,0.046623,0.037145,0.03794,0.036749,0.00073542,0.00070904,0.00068615
598.62,,,,0.043203,0.044447,0.043615,0.035485,0.036351,0.035215,0.00063154,0.00067696,0.00065531
612.22,,,,0.040503,0.041679,0.04085,0.033946,0.034854,0.033766,0.00060987,0.00064776,0.00062634
625.83,,,,0.038017,0.03913,0.038305,0.032527,0.033441,0.032397,0.00064713,0.00061928,0.0005991
639.43,,,,0.035723,0.036778,0.035958,0.031217,0.032104,0.031101,0.00060136,0.00059182,0.00057342
653.04,,,,0.033607,0.034606,0.033793,0.030008,0.030839,0.029875,0.00051842,0.00056699,0.00054921
666.64,,,,0.031652,0.032597,0.031792,0.028884,0.02964,0.028713,0.00051724,0.000544,0.00052634
680.25,,,,0.029843,0.030737,0.02994,0.027833,0.028502,0.027611,0.00054843,0.00052132,0.00050472
693.85,,,,0.028168,0.029012,0.028224,0.02684,0.027422,0.026566,0.00050351,0.00049952,0.00048428
707.46,,,,0.026614,0.02741,0.026633,0.025891,0.026396,0.025574,0.00043486,0.00047977,0.00046492
721.06,,,,0.02517,0.025922,0.025154,0.024977,0.02542,0.024632,0.00043613,0.00046139,0.00044657
734.67,,,,0.023826,0.024536,0.023779,0.02409,0.024493,0.023736,0.00046625,0.0004432,0.00042918
748.27,,,,0.022574,0.023244,0.022499,0.023225,0.023611,0.022884,0.00043359,0.00042558,0.00041267
761.88,,,,0.021406,0.022039,0.021305,0.022381,0.022772,0.022074,0.00037179,0.00040954,0.000397
775.48,,,,0.020316,0.020914,0.020192,0.021558,0.021974,0.021302,0.00036447,0.00039472,0.00038212
789.09,,,,0.019297,0.019861,0.019151,0.020759,0.021215,0.020567,0.00039469,0.00038008,0.00036798
802.69,,,,0.018345,0.018876,0.018177,0.019987,0.020492,0.019867,0.00038158,0.0003657,0.00035453
816.3,,,,0.017454,0.017953,0.017266,0.019248,0.019804,0.019199,0.00032645,0.00035245,0.00034173
829.9,,,,0.016618,0.017086,0.016411,0.018545,0.019148,0.018561,0.00030394,0.00034035,0.00032955
843.51,,,,0.015834,0.016273,0.01561,0.01788,0.018523,0.017952,0.00032827,0.00032858,0.00031795
857.11,,,,0.015097,0.015508,0.014857,0.017257,0.017926,0.01737,0.0003377,0.00031682,0.0003069
870.72,,,,0.014403,0.014789,0.01415,0.016676,0.017356,0.016813,0.00029777,0.00030569,0.00029636
884.32,,,,0.01375,0.014111,0.013485,0.016136,0.016811,0.016281,0.00026009,0.0002956,0.0002863
897.93,,,,0.013135,0.013473,0.012859,0.015634,0.016289,0.015771,0.00026709,0.00028607,0.0002767
911.53,,,,0.012556,0.012872,0.012269,0.015167,0.015789,0.015283,0.00029109,0.00027652,0.00026754
925.14,,,,0.01201,0.012304,0.011713,0.014731,0.015309,0.014815,0.00027841,0.00026715,0.00025878
938.74,,,,0.011495,0.011768,0.011188,0.01432,0.014848,0.014366,0.00023718,0.0002585,0.00025041
952.35,,,,0.011009,0.011261,0.010693,0.01393,0.014406,0.013935,0.00021923,0.00025059,0.00024241
965.95,,,,0.010549,0.010782,0.010225,0.013556,0.01398,0.013521,0.00023726,0.0002429,0.00023475
979.56,,,,0.010115,0.010329,0.0097832,0.013192,0.013571,0.013124,0.00025232,0.00023514,0.00022742
993.16,,,,0.0097033,0.0098995,0.009365,0.012837,0.013178,0.012742,0.0002301,0.00022765,0.0002204
1006.77,,,,0.0093133,0.0094928,0.0089692,0.012486,0.0128,0.012375,0.00019568,0.00022082,0.00021368
1020.37,,,,0.0089436,0.0091072,0.0085944,0.012138,0.012435,0.012022,0.00018881,0.00021449,0.00020723
1033.98,,,,0.0085928,0.0087415,0.0082392,0.011793,0.012085,0.011683,0.00020854,0.00020822,0.00020106
1047.58,,,,0.00826,0.0083944,0.0079024,0.011451,0.011748,0.011356,0.00021784,0.00020191,0.00019513
1061.19,,,,0.0079442,0.0080646,0.0075829,0.011112,0.011424,0.011042,0.00019473,0.00019586,0.00018945
1074.79,0.047782,0.046036,0.045332,0.0076443,0.0077512,0.0072795,0.010779,0.011112,0.010739,0.00016602,0.00019035,0.00018399
1088.4,0.046984,0.045251,0.044568,0.0073596,0.0074533,0.0069914,0.010454,0.010812,0.010447,0.0001627,0.00018522,0.00017875
1102.0,0.046204,0.044482,0.043822,0.0070888,0.0071697,0.0067175,0.010138,0.010524,0.010166,0.0001811,0.00018011,0.00017372
1115.61,0.04544,0.043732,0.043092,0.0068312,0.0068997,0.0064571,0.0098341,0.010246,0.0098951,0.00018954,0.00017494,0.00016888
1129.21,0.044693,0.042997,0.042378,0.0065858,0.0066426,0.0062093,0.0095441,0.0099781,0.0096339,0.00016976,0.00016998,0.00016423
1142.82,0.043963,0.042279,0.04168,0.0063519,0.0063975,0.0059734,0.0092693,0.0097204,0.0093819,0.00014401,0.00016545,0.00015976
1156.42,0.043248,0.041577,0.040997,0.0061286,0.0061637,0.0057486,0.0090107,0.0094719,0.0091388,0.00013931,0.00016125,0.00015545
1170.03,0.042548,0.04089,0.040329,0.0059155,0.0059406,0.0055344,0.0087685,0.0092322,0.0089042,0.0001551,0.00015707,0.0001513
1183.63,0.041863,0.040218,0.039676,0.005712,0.0057277,0.0053302,0.0085428,0.0090009,0.0086777,0.00016604,0.00015282,0.00014731
1197.24,0.041192,0.039561,0.039037,0.0055176,0.0055243,0.0051353,0.0083326,0.0087775,0.0084589,0.00015239,0.00014869,0.00014346
1210.84,0.040536,0.038918,0.038412,0.0053321,0.0053301,0.0049494,0.0081367,0.0085615,0.0082476,0.00012834,0.00014489,0.00013975
1224.45,0.039893,0.038289,0.0378,0.0051548,0.0051443,0.0047718,0.0079536,0.0083526,0.0080433,0.0001192,0.0001414,0.00013617
1238.05,0.039263,0.037672,0.037201,0.0049854,0.0049666,0.0046022,0.0077813,0.0081504,0.0078458,0.00013044,0.00013797,0.00013272
1251.66,0.038646,0.037069,0.036614,0.0048235,0.0047966,0.0044401,0.0076177,0.0079546,0.0076549,0.00014461,0.00013446,0.00012939
1265.26,0.038042,0.036479,0.03604,0.0046686,0.0046339,0.0042851,0.0074608,0.0077649,0.0074701,0.00013976,0.00013097,0.00012616
1278.87,0.03745,0.0359,0.035477,0.0045203,0.0044781,0.0041369,0.0073087,0.0075811,0.0072914,0.0001188,0.00012772,0.00012305
1292.47,0.03687,0.035334,0.034926,0.0043781,0.0043288,0.0039951,0.0071593,0.0074028,0.0071183,0.00010409,0.00012475,0.00012004
1306.08,0.036302,0.034779,0.034387,0.0042418,0.0041857,0.0038593,0.0070112,0.00723,0.0069507,0.00010792,0.00012191,0.00011713
1319.68,0.035744,0.034236,0.033858,0.004111,0.0040486,0.0037293,0.0068633,0.0070624,0.0067884,0.00012257,0.00011902,0.00011431
1333.29,0.035197,0.033703,0.033339,0.0039854,0.0039171,0.0036048,0.0067146,0.0068999,0.0066311,0.00012776,0.00011607,0.00011158
1346.89,0.034662,0.033181,0.032832,0.0038648,0.0037909,0.0034855,0.0065649,0.0067424,0.0064787,0.00011407,0.00011324,0.00010894
1360.5,0.034136,0.032669,0.032334,0.0037491,0.0036698,0.0033711,0.006414,0.0065897,0.006331,9.5701e-05,0.00011064,0.00010639
1374.1,0.033621,0.032168,0.031846,0.003638,0.0035535,0.0032614,0.0062624,0.0064416,0.0061877,9.0002e-05,0.00010824,0.00010391
1387.71,0.033115,0.031676,0.031367,0.0035313,0.0034419,0.0031562,0.0061107,0.0062981,0.0060487,9.9584e-05,0.00010585,0.0001015
1401.31,0.032619,0.031194,0.030898,0.003429,0.0033346,0.0030553,0.0059598,0.0061589,0.0059139,0.00011177,0.0001034,9.9171e-05
1414.92,0.032132,0.030721,0.030437,0.0033307,0.0032315,0.0029584,0.0058107,0.006024,0.005783,0.00010998,0.00010093,9.6909e-05
1428.52,0.031655,0.030259,0.029987,0.0032363,0.0031324,0.0028653,0.0056648,0.0058934,0.0056561,9.4179e-05,9.8616e-05,9.4718e-05
1442.13,0.031187,0.029804,0.029544,0.0031454,0.0030371,0.002776,0.0055229,0.0057667,0.0055329,8.026e-05,9.6498e-05,9.2589e-05
1455.73,0.030728,0.029359,0.029111,0.003058,0.0029454,0.0026901,0.0053861,0.0056438,0.0054132,7.9744e-05,9.45e-05,9.0524e-05
1469.34,0.030277,0.028922,0.028685,0.0029737,0.0028571,0.0026075,0.0052554,0.0055246,0.005297,9.0718e-05,9.2482e-05,8.8518e-05
1482.94,0.029834,0.028493,0.028267,0.0028924,0.0027721,0.0025281,0.0051313,0.0054088,0.005184,9.9972e-05,9.0397e-05,8.6569e-05
1496.55,0.0294,0.028074,0.027859,0.0028141,0.0026903,0.0024517,0.0050146,0.0052967,0.0050745,9.5137e-05,8.8335e-05,8.4679e-05
1510.15,0.028974,0.027661,0.027457,0.0027385,0.0026115,0.0023783,0.0049051,0.0051876,0.0049679,8.0121e-05,8.6407e-05,8.2841e-05
1523.76,0.028556,0.027257,0.027063,0.0026655,0.0025355,0.0023075,0.0048031,0.0050816,0.0048643,6.9257e-05,8.4647e-05,8.1056e-05
1537.36,0.028146,0.026861,0.026677,0.0025952,0.0024622,0.0022394,0.0047083,0.0049785,0.0047637,7.0675e-05,8.2967e-05,7.9321e-05
1550.97,0.027743,0.026472,0.026298,0.0025273,0.0023916,0.0021738,0.0046201,0.0048783,0.0046658,8.1261e-05,8.1257e-05,7.7635e-05
1564.57,0.027347,0.02609,0.025925,0.0024619,0.0023234,0.0021106,0.0045378,0.0047805,0.0045705,8.9046e-05,7.9489e-05,7.5993e-05
1578.18,0.02696,0.025716,0.025561,0.0023988,0.0022577,0.0020497,0.0044611,0.0046857,0.0044781,8.4021e-05,7.7747e-05,7.4402e-05
1591.78,0.026578,0.025349,0.025203,0.002338,0.0021943,0.001991,0.0043885,0.004593,0.004388,7.0423e-05,7.612e-05,7.2852e-05
1605.39,0.026204,0.024989,0.024851,0.0022792,0.002133,0.0019344,0.0043193,0.0045028,0.0043004,6.0707e-05,7.4634e-05,7.1345e-05
1618.99,0.025837,0.024635,0.024507,0.0022224,0.0020739,0.0018797,0.0042526,0.0044148,0.0042151,6.1788e-05,7.3217e-05,6.9879e-05
1632.6,0.025477,0.024288,0.024168,0.0021675,0.0020167,0.001827,0.0041873,0.004329,0.0041321,7.1231e-05,7.1775e-05,6.8453e-05
1646.2,0.025123,0.023948,0.023836,0.0021144,0.0019615,0.0017762,0.0041227,0.0042454,0.0040514,7.8981e-05,7.0282e-05,6.7066e-05
1659.81,0.024775,0.023614,0.02351,0.0020629,0.0019081,0.001727,0.0040579,0.0041637,0.0039726,7.5692e-05,6.8795e-05,6.5715e-05
1673.41,0.024433,0.023285,0.023189,0.002013,0.0018565,0.0016796,0.0039923,0.0040841,0.0038959,6.378e-05,6.7402e-05,6.44e-05
1687.02,0.024097,0.022963,0.022875,0.0019647,0.0018066,0.0016338,0.0039256,0.0040064,0.0038212,5.3941e-05,6.6132e-05,6.312e-05
1700.62,0.023767,0.022647,0.022566,0.0019178,0.0017583,0.0015896,0.0038575,0.0039307,0.0037485,5.3227e-05,6.4932e-05,6.1874e-05
1714.23,0.023444,0.022336,0.022263,0.0018724,0.0017116,0.0015468,0.0037878,0.0038569,0.0036776,6.092e-05,6.3722e-05,6.0662e-05
1727.83,0.023125,0.022031,0.021965,0.0018285,0.0016665,0.0015055,0.0037167,0.003785,0.0036085,6.9388e-05,6.2463e-05,5.9481e-05
1741.44,0.022812,0.021731,0.021672,0.001786,0.0016227,0.0014655,0.0036443,0.0037148,0.0035411,6.9322e-05,6.1192e-05,5.833e-05
1755.04,0.022505,0.021437,0.021384,0.0017448,0.0015804,0.0014268,0.003571,0.0036464,0.0034753,5.9888e-05,5.9981e-05,5.7208e-05
1768.65,0.022202,0.021147,0.021101,0.0017049,0.0015394,0.0013895,0.0034974,0.0035798,0.0034112,4.9542e-05,5.8875e-05,5.6115e-05
1782.25,0.021905,0.020863,0.020824,0.0016663,0.0014997,0.0013533,0.0034239,0.0035148,0.0033487,4.608e-05,5.7849e-05,5.5051e-05
1795.86,0.021613,0.020584,0.020551,0.0016288,0.0014612,0.0013183,0.0033513,0.0034515,0.0032877,5.1025e-05,5.6833e-05,5.4014e-05
1809.46,0.021326,0.02031,0.020283,0.0015926,0.001424,0.0012845,0.00328,0.0033899,0.0032282,5.9699e-05,5.5778e-05,5.3003e-05
1823.07,0.021043,0.02004,0.020019,0.0015573,0.0013879,0.0012516,0.0032107,0.0033298,0.0031701,6.3534e-05,5.4691e-05,5.2017e-05
1836.67,0.020765,0.019775,0.01976,0.001523,0.0013529,0.0012199,0.0031439,0.0032712,0.0031134,5.797e-05,5.3629e-05,5.1056e-05
1850.28,0.020492,0.019514,0.019505,0.0014897,0.0013189,0.0011891,0.00308,0.003214,0.003058,4.7823e-05,5.2648e-05,5.0118e-05
1863.88,0.020223,0.019258,0.019254,0.0014573,0.001286,0.0011594,0.0030193,0.0031582,0.0030039,4.1245e-05,5.175e-05,4.9204e-05
1877.49,0.019959,0.019006,0.019007,0.0014258,0.0012541,0.0011305,0.0029623,0.0031037,0.0029511,4.2209e-05,5.0891e-05,4.8312e-05
1891.09,0.019699,0.018759,0.018766,0.0013952,0.0012232,0.0011026,0.002909,0.0030506,0.0028995,4.9244e-05,5.0015e-05,4.7443e-05
1904.7,0.019444,0.018516,0.018527,0.0013654,0.0011931,0.0010754,0.0028594,0.0029987,0.0028492,5.6126e-05,4.9098e-05,4.6595e-05
1918.3,0.019192,0.018277,0.018293,0.0013364,0.001164,0.0010492,0.0028134,0.002948,0.0028,5.5892e-05,4.8173e-05,4.5767e-05
1931.91,0.018945,0.018042,0.018063,0.0013083,0.0011357,0.0010237,0.0027709,0.0028984,0.0027519,4.8164e-05,4.7292e-05,4.4958e-05
1945.51,0.018701,0.01781,0.017836,0.001281,0.0011082,0.00099897,0.0027316,0.0028498,0.0027049,3.945e-05,4.6487e-05,4.4169e-05
1959.12,0.018461,0.017582,0.017613,0.0012545,0.0010815,0.000975,0.0026951,0.0028023,0.0026589,3.588e-05,4.5744e-05,4.3399e-05
1972.72,0.018227,0.01736,0.017395,0.0012287,0.0010557,0.00095177,0.0026612,0.0027559,0.0026141,3.9089e-05,4.5016e-05,4.2649e-05
1986.33,0.017995,0.01714,0.017179,0.0012036,0.0010305,0.0009292,0.0026291,0.0027103,0.0025702,4.6305e-05,4.4257e-05,4.1914e-05
1999.93,0.017767,0.016923,0.016967,0.0011793,0.0010061,0.0009073,0.0025985,0.0026657,0.0025273,5.1257e-05,4.3468e-05,4.1198e-05
2013.54,0.017542,0.016711,0.016758,0.0011555,0.00098232,0.00088603,0.0025689,0.002622,0.0024853,4.8922e-05,4.2683e-05,4.0498e-05
2027.14,0.017321,0.016502,0.016553,0.0011324,0.00095924,0.00086538,0.0025398,0.0025792,0.0024443,4.1029e-05,4.1945e-05,3.9814e-05
2040.75,0.017104,0.016296,0.016351,0.0011098,0.00093682,0.00084534,0.0025107,0.0025372,0.0024041,3.3867e-05,4.1274e-05,3.9145e-05
2054.35,0.016889,0.016092,0.016152,0.0010878,0.00091502,0.00082587,0.0024811,0.0024959,0.0023647,3.1976e-05,4.0645e-05,3.849e-05
2067.96,0.01668,0.015895,0.015958,0.0010663,0.00089383,0.00080697,0.0024512,0.0024559,0.0023266,3.5957e-05,4.0024e-05,3.7856e-05
2081.56,0.016473,0.015699,0.015765,0.0010454,0.00087322,0.00078859,0.0024201,0.0024164,0.002289,4.2748e-05,3.9369e-05,3.7232e-05
2095.17,0.016269,0.015506,0.015576,0.0010249,0.00085317,0.00077073,0.0023879,0.0023777,0.0022522,4.661e-05,3.8689e-05,3.6622e-05
2108.77,0.016068,0.015317,0.01539,0.0010049,0.00083366,0.00075337,0.0023544,0.0023399,0.0022163,4.3704e-05,3.8018e-05,3.6026e-05
2122.38,0.015871,0.01513,0.015207,0.00098542,0.00081468,0.00073648,0.0023197,0.0023028,0.0021811,3.6287e-05,3.739e-05,3.5443e-05
2135.98,0.015676,0.014946,0.015026,0.00096643,0.00079621,0.00072007,0.0022836,0.0022664,0.0021465,3e-05,3.6817e-05,3.4872e-05
2149.59,0.015486,0.014767,0.01485,0.00094796,0.00077827,0.00070414,0.0022468,0.0022311,0.002113,2.8576e-05,3.6286e-05,3.4317e-05
2163.19,0.015297,0.014589,0.014675,0.00092995,0.00076078,0.00068863,0.0022088,0.0021962,0.0020799,3.2355e-05,3.5748e-05,3.377e-05
2176.8,0.015111,0.014414,0.014502,0.0009124,0.00074377,0.00067354,0.0021702,0.0021621,0.0020475,3.8613e-05,3.5186e-05,3.3236e-05
2190.4,0.014928,0.014242,0.014333,0.00089529,0.00072719,0.00065886,0.0021315,0.0021288,0.0020159,4.2278e-05,3.46e-05,3.2713e-05
2204.01,0.014748,0.014073,0.014167,0.0008786,0.00071105,0.00064457,0.0020927,0.0020963,0.0019848,3.9853e-05,3.402e-05,3.2201e-05
2217.61,0.014571,0.013906,0.014002,0.0008623,0.00069533,0.00063066,0.0020543,0.0020644,0.0019545,3.3147e-05,3.3476e-05,3.17e-05
2231.22,0.014396,0.013741,0.01384,0.00084636,0.00068001,0.00061711,0.0020166,0.0020331,0.0019246,2.7138e-05,3.298e-05,3.1208e-05
2244.82,0.014225,0.01358,0.013682,0.00083085,0.00066514,0.00060398,0.0019801,0.0020028,0.0018956,2.5325e-05,3.2522e-05,3.073e-05
2258.43,0.014055,0.013421,0.013525,0.00081562,0.00065062,0.00059116,0.0019447,0.0019728,0.001867,2.8285e-05,3.2062e-05,3.0259e-05
2272.03,0.013888,0.013264,0.01337,0.00080072,0.00063647,0.00057868,0.0019109,0.0019436,0.0018389,3.3997e-05,3.1581e-05,2.9797e-05
2285.64,0.013724,0.01311,0.013218,0.00078612,0.00062269,0.00056653,0.0018789,0.0019149,0.0018115,3.8157e-05,3.1076e-05,2.9345e-05
2299.24,0.013562,0.012958,0.013069,0.00077182,0.00060925,0.00055468,0.0018489,0.0018869,0.0017846,3.7072e-05,3.057e-05,2.8903e-05
2312.85,0.013403,0.012808,0.012921,0.00075781,0.00059614,0.00054314,0.0018208,0.0018594,0.0017582,3.1417e-05,3.009e-05,2.8469e-05
2326.45,0.013245,0.01266,0.012775,0.00074405,0.00058332,0.00053186,0.0017947,0.0018324,0.0017322,2.5401e-05,2.9651e-05,2.8042e-05
2340.06,0.013091,0.012516,0.012633,0.00073079,0.00057096,0.00052099,0.0017709,0.0018061,0.001707,2.265e-05,2.9251e-05,2.7627e-05
2353.66,0.012938,0.012373,0.012491,0.00071771,0.00055883,0.00051032,0.001749,0.0017801,0.0016821,2.4279e-05,2.8856e-05,2.7217e-05
2367.27,0.012787,0.012232,0.012352,0.00070495,0.00054701,0.00049993,0.0017288,0.0017546,0.0016577,2.9168e-05,2.8446e-05,2.6816e-05
2380.87,0.012639,0.012093,0.012215,0.00069249,0.00053548,0.0004898,0.0017104,0.0017296,0.0016337,3.3996e-05,2.8012e-05,2.6422e-05
2394.48,0.012493,0.011956,0.01208,0.00068032,0.00052423,0.00047993,0.0016935,0.001705,0.0016103,3.485e-05,2.7568e-05,2.6036e-05
2408.08,0.012349,0.011821,0.011947,0.00066841,0.00051324,0.00047029,0.0016778,0.0016809,0.0015873,3.0811e-05,2.7139e-05,2.5658e-05
2421.69,0.012207,0.011688,0.011816,0.00065674,0.00050252,0.00046088,0.0016632,0.0016571,0.0015647,2.4899e-05,2.6745e-05,2.5286e-05
2435.29,0.012067,0.011558,0.011687,0.00064544,0.00049213,0.00045178,0.0016493,0.0016338,0.0015426,2.0915e-05,2.6385e-05,2.4922e-05
2448.9,0.011929,0.011429,0.011559,0.00063428,0.00048193,0.00044284,0.0016359,0.0016109,0.0015208,2.0728e-05,2.6043e-05,2.4564e-05
2462.5,0.011793,0.011302,0.011433,0.00062336,0.00047199,0.00043413,0.0016226,0.0015883,0.0014994,2.4165e-05,2.5695e-05,2.4213e-05
2476.11,0.011659,0.011176,0.011309,0.00061265,0.00046229,0.00042564,0.0016092,0.001566,0.0014785,2.9147e-05,2.5326e-05,2.3868e-05
2489.71,0.011527,0.011053,0.011187,0.00060213,0.00045282,0.00041735,0.0015956,0.0015442,0.0014579,3.2086e-05,2.494e-05,2.353e-05
2503.32,0.011397,0.010931,0.011067,0.0005918,0.00044357,0.00040926,0.0015815,0.0015227,0.0014377,3.0488e-05,2.4556e-05,2.3198e-05
2516.92,0.011268,0.010812,0.010949,0.00058158,0.00043449,0.00040131,0.0015667,0.0015016,0.0014179,2.5456e-05,2.4195e-05,2.2873e-05
2530.53,0.011142,0.010694,0.010832,0.00057174,0.00042575,0.00039368,0.0015511,0.0014809,0.0013985,2.0468e-05,2.3866e-05,2.2553e-05
2544.13,0.011017,0.010578,0.010717,0.00056196,0.00041714,0.00038615,0.0015346,0.0014605,0.0013794,1.824e-05,2.3563e-05,2.2239e-05
2557.74,0.010894,0.010463,0.010603,0.00055238,0.00040873,0.0003788,0.0015171,0.0014404,0.0013607,1.957e-05,2.3266e-05,2.1931e-05
2571.34,0.010773,0.01035,0.010491,0.00054301,0.00040052,0.00037163,0.0014986,0.0014207,0.0013422,2.3651e-05,2.2956e-05,2.1628e-05
2584.95,0.010653,0.010238,0.01038,0.00053383,0.00039251,0.00036463,0.0014792,0.0014013,0.0013241,2.7992e-05,2.2627e-05,2.133e-05
2598.55,0.010535,0.010128,0.010271,0.00052485,0.00038468,0.0003578,0.001459,0.0013823,0.0013063,2.9381e-05,2.2288e-05,2.1037e-05
2612.16,0.010418,0.010019,0.010163,0.00051604,0.00037702,0.0003511,0.0014381,0.0013636,0.0012889,2.6584e-05,2.1957e-05,2.075e-05
2625.76,0.010304,0.0099132,0.010058,0.00050747,0.00036958,0.00034461,0.0014167,0.0013454,0.0012718,2.1596e-05,2.1651e-05,2.047e-05
2639.37,0.010191,0.009808,0.0099533,0.00049903,0.00036227,0.00033823,0.0013949,0.0013274,0.001255,1.7573e-05,2.1372e-05,2.0193e-05
2652.97,0.01008,0.0097043,0.0098504,0.00049076,0.00035512,0.00033199,0.0013729,0.0013098,0.0012385,1.642e-05,2.1112e-05,1.9921e-05
2666.58,0.0099696,0.009602,0.0097487,0.00048265,0.00034814,0.0003259,0.0013508,0.0012925,0.0012222,1.8428e-05,2.0852e-05,1.9654e-05
2680.18,0.009861,0.0095009,0.0096483,0.00047469,0.00034132,0.00031995,0.0013289,0.0012755,0.0012063,2.2536e-05,2.0578e-05,1.9391e-05
2693.79,0.0097537,0.0094011,0.0095491,0.00046688,0.00033466,0.00031414,0.0013074,0.0012588,0.0011905,2.6233e-05,2.0287e-05,1.9133e-05
2707.39,0.0096472,0.0093021,0.0094507,0.00045921,0.00032815,0.00030845,0.0012864,0.0012423,0.001175,2.6785e-05,1.9988e-05,1.8878e-05
2721.0,0.0095447,0.0092069,0.009356,0.00045166,0.00032179,0.00030291,0.0012665,0.0012265,0.0011601,2.3649e-05,1.9705e-05,1.8632e-05
2734.6,0.0094416,0.0091111,0.0092607,0.00044423,0.00031556,0.00029747,0.0012472,0.0012106,0.0011451,1.8987e-05,1.9439e-05,1.8387e-05
