,1s,1s,1s,2p,2p,2p,2s,2s,2s,3p,3p,3p,3s,3s,3s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,
13.6,,,,,,,,,,0.99615,0.9955,0.6353,,,
27.21,,,,,,,,,,0.44221,0.44549,0.39595,0.44807,0.44505,0.29224
40.81,,,,,,,,,,0.55831,0.56241,0.56073,0.38155,0.37936,0.28324
54.42,,,,,,,,,,0.5308,0.53482,0.54207,0.30825,0.30669,0.24403
68.02,,,,,,,,,,0.45131,0.45553,0.46336,0.24906,0.24794,0.20504
81.63,,,,,,,,,,0.37334,0.37625,0.38303,0.20437,0.20356,0.1728
95.23,,,,,,,,,,0.30691,0.30987,0.31542,0.17049,0.16991,0.14702
108.84,,,,,,,,,,0.25394,0.25627,0.26079,0.14423,0.14382,0.1263
122.44,,,,,,,,,,0.21095,0.21322,0.21684,0.1234,0.12312,0.10941
136.05,,,,,,,,,,0.1769,0.17866,0.18159,0.10664,0.10646,0.095537
149.65,,,,1.6565,1.6793,1.6946,,,,0.14915,0.15104,0.15339,0.093049,0.092951,0.084102
163.26,,,,1.4843,1.5056,1.5185,,,,0.12758,0.1289,0.13081,0.081948,0.081911,0.07464
176.86,,,,1.3353,1.3552,1.366,,,,0.10951,0.11106,0.11261,0.072808,0.072822,0.066765
190.47,,,,1.2057,1.2245,1.2335,0.2103,0.21187,0.19929,0.095329,0.096503,0.09777,0.065195,0.065248,0.060143
204.07,,,,1.0923,1.1099,1.1174,0.19946,0.20112,0.18962,0.083356,0.084442,0.085489,0.058772,0.058858,0.05451
217.68,,,,0.99211,1.0088,1.0149,0.18937,0.1911,0.18057,0.073151,0.074328,0.075183,0.053276,0.053389,0.049653
231.28,,,,0.90317,0.91893,0.92385,0.17992,0.18172,0.17204,0.0649,0.06574,0.066441,0.048517,0.048652,0.045417
244.89,,,,0.82396,0.83885,0.84274,0.17103,0.17289,0.16398,0.057494,0.058387,0.058966,0.044353,0.044507,0.041687
258.49,,,,0.7534,0.76746,0.77045,0.16268,0.16459,0.15636,0.051163,0.052075,0.052544,0.040687,0.040857,0.038384
272.1,,,,0.69046,0.70373,0.70594,0.15483,0.15678,0.14917,0.045959,0.04662,0.047001,0.037441,0.037624,0.035443
285.7,,,,0.63437,0.64688,0.64842,0.14748,0.14947,0.14241,0.041196,0.041894,0.042206,0.03456,0.034754,0.03282
299.31,,,,0.58423,0.59603,0.59698,0.14062,0.14263,0.13608,0.037047,0.037791,0.038038,0.031995,0.032198,0.030475
312.91,,,,0.53927,0.55041,0.55084,0.1342,0.13623,0.13013,0.033653,0.034206,0.034401,0.029702,0.029912,0.028369
326.52,,,,0.49884,0.50935,0.50934,0.12822,0.13026,0.12457,0.030538,0.03106,0.031213,0.027649,0.027865,0.026477
340.12,,,,0.46228,0.47221,0.47182,0.12261,0.12466,0.11933,0.027682,0.028289,0.028404,0.025801,0.026022,0.024768
353.73,,,,0.42912,0.43851,0.43778,0.11734,0.11941,0.11441,0.025333,0.025838,0.02592,0.024131,0.024357,0.023219
367.33,,,,0.39897,0.40786,0.40683,0.11239,0.11446,0.10977,0.023262,0.023658,0.023714,0.022619,0.022847,0.021811
380.94,,,,0.37144,0.37986,0.37858,0.10771,0.10978,0.10537,0.021258,0.021713,0.021747,0.021239,0.02147,0.020523
394.54,,,,0.3463,0.35429,0.35279,0.10329,0.10536,0.1012,0.019508,0.019978,0.019991,0.01998,0.020213,0.019345
408.15,,,,0.32335,0.33093,0.32924,0.099115,0.10119,0.097254,0.018067,0.018424,0.01842,0.018829,0.019063,0.018265
421.75,,,,0.30229,0.30948,0.30763,0.095144,0.097211,0.093492,0.01671,0.017024,0.017007,0.017769,0.018003,0.017268
435.36,,,,0.28302,0.28985,0.28785,0.091396,0.093456,0.089933,0.015393,0.015766,0.015737,0.016797,0.017031,0.01635
448.96,,,,0.26538,0.27185,0.26974,0.087853,0.089905,0.086562,0.01427,0.014634,0.014593,0.015902,0.016136,0.015505
462.57,,,,0.24912,0.25526,0.25305,0.084494,0.086534,0.083357,0.013332,0.013606,0.013556,0.015076,0.015309,0.014722
476.17,,,,0.23418,0.24001,0.23771,0.081321,0.08335,0.080325,0.012425,0.012673,0.012616,0.014314,0.014546,0.013998
489.78,,,,0.22042,0.22593,0.22356,0.078316,0.080332,0.077448,0.011529,0.011824,0.011761,0.013608,0.013838,0.013327
503.38,,,,0.20767,0.21289,0.21047,0.075469,0.077469,0.074715,0.010755,0.011049,0.01098,0.012953,0.013182,0.012702
516.99,,,,0.19589,0.20083,0.19836,0.07277,0.074754,0.07212,0.010115,0.010339,0.010265,0.012344,0.012571,0.012121
530.59,,,,0.18495,0.18962,0.18711,0.070205,0.072171,0.069649,0.0094956,0.0096855,0.0096083,0.011776,0.012001,0.011578
544.2,,,,0.17478,0.1792,0.17666,0.067762,0.06971,0.067292,0.0088608,0.0090843,0.0090044,0.011245,0.011468,0.011069
557.8,,,,0.16533,0.1695,0.16695,0.065437,0.067366,0.065044,0.0082894,0.0085312,0.0084481,0.010747,0.010968,0.010591
571.41,,,,0.15652,0.16047,0.15791,0.06322,0.065129,0.062897,0.0078228,0.0080202,0.0079345,0.01028,0.010499,0.010142
585.01,,,,0.14831,0.15205,0.14948,0.061102,0.062989,0.060842,0.0073967,0.0075465,0.0074597,0.0098413,0.010058,0.0097193
598.62,,,,0.14065,0.14419,0.14163,0.059079,0.060946,0.058877,0.0069498,0.0071079,0.0070205,0.0094279,0.009642,0.0093205
612.22,,,,0.13351,0.13686,0.1343,0.057147,0.058993,0.056998,0.0065131,0.0067021,0.0066138,0.0090384,0.00925,0.0089442
625.83,,,,0.12683,0.13001,0.12746,0.055306,0.057129,0.055203,0.0061468,0.0063262,0.0062367,0.0086717,0.0088806,0.0085892
639.43,,,,0.12059,0.12359,0.12105,0.053538,0.055339,0.053478,0.0058422,0.0059763,0.0058865,0.0083245,0.0085305,0.0082524
653.04,,,,0.11474,0.11759,0.11507,0.051852,0.053631,0.051831,0.0055401,0.0056505,0.0055611,0.0079972,0.0082001,0.0079344
666.64,,,,0.10927,0.11196,0.10946,0.050241,0.051998,0.050254,0.0052182,0.0053474,0.0052586,0.0076878,0.0078878,0.0076336
680.25,,,,0.10413,0.10668,0.1042,0.048698,0.050432,0.048742,0.0049157,0.0050653,0.0049766,0.0073947,0.0075918,0.0073481
693.85,,,,0.099308,0.10171,0.099258,0.047226,0.048938,0.047298,0.0046692,0.0048025,0.0047138,0.0071179,0.0073121,0.0070782
707.46,,,,0.094775,0.097045,0.094614,0.045815,0.047504,0.045912,0.00446,0.0045565,0.0044685,0.0068554,0.0070465,0.0068218
721.06,,,,0.090511,0.09265,0.090246,0.044464,0.046129,0.044582,0.0042442,0.0043262,0.0042394,0.0066064,0.0067946,0.0065784
734.67,,,,0.086491,0.088503,0.086128,0.043167,0.044809,0.043304,0.0040112,0.0041106,0.0040249,0.0063697,0.006555,0.0063469
748.27,,,,0.082704,0.084594,0.082249,0.041924,0.043543,0.042078,0.0037934,0.0039093,0.0038243,0.0061451,0.0063276,0.0061269
761.88,,,,0.079131,0.080903,0.078589,0.04073,0.042325,0.040898,0.0036172,0.0037206,0.0036363,0.0059313,0.006111,0.0059173
775.48,,,,0.075759,0.077417,0.075135,0.039583,0.041153,0.039763,0.00347,0.0035435,0.0034602,0.0057279,0.0059047,0.0057175
789.09,,,,0.07257,0.074119,0.07187,0.038479,0.040025,0.038669,0.0033179,0.0033767,0.0032948,0.005534,0.005708,0.0055269
802.69,,,,0.069559,0.071004,0.068788,0.037419,0.03894,0.037617,0.0031498,0.0032202,0.0031397,0.0053494,0.0055205,0.0053453
816.3,,,,0.066709,0.068054,0.065873,0.036398,0.037895,0.036603,0.0029864,0.0030733,0.0029939,0.0051731,0.0053416,0.0051718
829.9,,,,0.064012,0.065263,0.063115,0.035415,0.036888,0.035625,0.0028523,0.0029354,0.0028569,0.005005,0.0051708,0.0050061
843.51,,,,0.061455,0.062616,0.060503,0.034468,0.035917,0.034682,0.0027452,0.0028053,0.0027279,0.0048445,0.0050075,0.0048477
857.11,,,,0.059034,0.06011,0.058032,0.033557,0.034982,0.033774,0.002641,0.0026825,0.0026065,0.0046915,0.0048517,0.0046964
870.72,,,,0.056736,0.057732,0.055689,0.03268,0.034081,0.032899,0.0025225,0.0025665,0.0024921,0.0045452,0.0047027,0.0045517
