,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5p,5p,5p,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,,,,,,,,,,2.7214,2.7356,3.523,,,
27.21,,,,,,,,,,,,,,,,,,,,,,,,,0.49139,0.49363,0.5715,0.20104,0.20127,0.14279
40.81,,,,,,,,,,,,,,,,,,,,,,,,,0.18258,0.18341,0.18224,0.17761,0.17782,0.14102
54.42,,,,,,,,,,,,,,,,3.5216,3.4846,3.1151,,,,,,,0.1043,0.10472,0.090544,0.14625,0.14646,0.12231
68.02,,,,,,,,,,,,,,,,1.1611,1.1473,0.94157,,,,,,,0.075794,0.076068,0.061303,0.12065,0.12085,0.10404
81.63,,,,,,,,,,,,,,,,0.46444,0.4624,0.33958,,,,,,,0.0615,0.061759,0.048889,0.10101,0.1012,0.08892
95.23,,,,,,,,,,,,,,,,0.32935,0.33386,0.2572,,,,,,,0.052699,0.052907,0.042118,0.085771,0.085954,0.076657
108.84,,,,,,,,,,,,,,,,0.38144,0.38973,0.34031,0.44919,0.45178,0.38893,,,,0.046604,0.04676,0.037753,0.073754,0.073931,0.066694
122.44,,,,,,,,,,,,,,,,0.48371,0.49425,0.46167,0.43865,0.44125,0.38401,,,,0.041961,0.042152,0.034595,0.064172,0.064344,0.058579
136.05,,,,,,,,,,,,,,,,0.58678,0.59865,0.57675,0.4267,0.4293,0.37723,,,,0.038396,0.038523,0.032131,0.056517,0.056683,0.051995
149.65,,,,,,,,,,,,,,,,0.67284,0.68545,0.67042,0.41401,0.41661,0.36919,0.14275,0.14379,0.1358,0.035391,0.035559,0.030099,0.050334,0.050496,0.046612
163.26,,,,,,,,,,,,,,,,0.73697,0.74992,0.73933,0.40097,0.40357,0.3603,0.13543,0.13647,0.1292,0.032937,0.033054,0.028349,0.045241,0.045399,0.042131
176.86,,,,,,,,,,,,,,,,0.78047,0.7935,0.78581,0.388,0.3906,0.35102,0.12867,0.12969,0.12305,0.030734,0.03089,0.026798,0.040958,0.041115,0.03833
