,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5p,5p,5p,5s,5s,5s
190.47,,,,,,,,,,,,,,,,0.80683,0.81977,0.81402,0.37506,0.37767,0.34137,0.12231,0.12333,0.11724,0.028858,0.028965,0.025382,0.037281,0.037436,0.035038
204.07,,,,,,,,,,,,,,,,0.81984,0.83258,0.82814,0.3623,0.3649,0.33153,0.11634,0.11735,0.11174,0.027078,0.027227,0.024068,0.034086,0.034239,0.032156
217.68,,,,,,,,,,,,,,,,0.82233,0.83481,0.83125,0.34959,0.35219,0.32146,0.1107,0.1117,0.10653,0.02552,0.025626,0.022827,0.031277,0.031428,0.029605
231.28,,,,,,,,,,,,,,,,0.81656,0.82872,0.82573,0.33713,0.33972,0.31137,0.10544,0.10643,0.10166,0.024011,0.024147,0.021656,0.028808,0.028957,0.02735
244.89,,,,,,,,,,,,,,,,0.80426,0.81607,0.81343,0.32496,0.32753,0.30134,0.10053,0.10151,0.097085,0.022657,0.022777,0.020548,0.026623,0.026771,0.025345
258.49,,,,,,,,,,,,,,,,0.78716,0.79859,0.79617,0.31322,0.31579,0.29152,0.095973,0.096946,0.09283,0.021397,0.021511,0.019509,0.02469,0.024835,0.023562
272.1,,,,,,,,,,,,,,,,0.76657,0.77762,0.7753,0.30196,0.30451,0.28197,0.091731,0.092695,0.088857,0.020203,0.020342,0.018535,0.022969,0.023113,0.021968
285.7,,,,,,,,,,,,,,,,0.74392,0.75459,0.75231,0.29123,0.29376,0.27279,0.087775,0.088731,0.085144,0.019163,0.019267,0.01763,0.021431,0.021573,0.02054
299.31,,,,,,,,,,,,,,,,0.71998,0.73027,0.72799,0.28097,0.28349,0.26393,0.08408,0.085026,0.081666,0.018147,0.018275,0.016786,0.020052,0.020192,0.019255
312.91,,,,,,,,,,,,,,,,0.69535,0.70526,0.70297,0.27108,0.27358,0.25531,0.080561,0.081497,0.078344,0.017233,0.017355,0.015996,0.018796,0.018934,0.018081
326.52,,,,,,,,,,,,,,,,0.67052,0.68007,0.67775,0.26162,0.2641,0.247,0.077256,0.078183,0.075217,0.016405,0.016505,0.01526,0.01766,0.017797,0.017016
340.12,,,,,,,,,,,,,,,,0.64559,0.6548,0.65243,0.2525,0.25496,0.23893,0.074131,0.075048,0.072255,0.015588,0.015715,0.014572,0.016627,0.016761,0.016045
353.73,,,,,,,,,,,,,,,,0.62085,0.62971,0.62729,0.24377,0.24621,0.23116,0.071194,0.072101,0.069464,0.014873,0.014984,0.01393,0.015687,0.015819,0.015159
367.33,,,,,,,,,,,,,,,,0.59652,0.60504,0.60258,0.2354,0.23781,0.22366,0.068419,0.069317,0.066824,0.014204,0.014304,0.01333,0.014828,0.014958,0.014348
380.94,,,,,,,,,,,,,,,,0.5726,0.5808,0.57828,0.22737,0.22976,0.21643,0.065805,0.066693,0.064332,0.013547,0.01367,0.012768,0.014042,0.01417,0.013604
394.54,,,,,,,,,,,,,,,,0.5494,0.55729,0.55472,0.21972,0.22209,0.20952,0.063349,0.064227,0.061987,0.012974,0.013082,0.012244,0.013322,0.013448,0.012922
408.15,,,,,,,,,,,,,,,,0.52714,0.53473,0.53213,0.21246,0.2148,0.20292,0.061032,0.061901,0.059772,0.012438,0.012534,0.011754,0.01266,0.012783,0.012293
421.75,,,,,,,,,,,,,,,,0.50545,0.51275,0.51011,0.20547,0.20779,0.19654,0.058834,0.059693,0.057667,0.011902,0.012019,0.011291,0.012046,0.012168,0.011709
435.36,,,,,,,,,,,,,,,,0.48477,0.4918,0.48913,0.19882,0.20112,0.19046,0.056757,0.057608,0.055676,0.011431,0.011538,0.010856,0.011479,0.011598,0.011169
448.96,,,,,,,,,,,,,,,,0.46508,0.47185,0.46915,0.1925,0.19477,0.18466,0.054795,0.055636,0.053792,0.010996,0.011085,0.010447,0.010953,0.01107,0.010667
462.57,,,,,,,,,,,,,,,,0.44598,0.4525,0.44978,0.18637,0.18861,0.17901,0.052909,0.05374,0.051978,0.010548,0.010654,0.010055,0.010458,0.010573,0.010193
476.17,,,,,,,,,,,,,,,,0.42779,0.43407,0.43133,0.18052,0.18274,0.1736,0.051123,0.051945,0.050259,0.010142,0.010248,0.0096835,0.0099966,0.01011,0.0097522
489.78,,,,,,,,,,,,,,,,0.41042,0.41646,0.41372,0.17494,0.17713,0.16843,0.049433,0.050246,0.04863,0.0097778,0.009863,0.0093318,0.0095667,0.0096781,0.0093404
503.38,,,,,,,,,,,,,,,,0.3937,0.39951,0.39676,0.16953,0.17169,0.1634,0.047806,0.048609,0.047059,0.0094026,0.0094946,0.0089938,0.00916,0.0092697,0.0089502
516.99,,,,,,,,,,,,,,,,0.37777,0.38337,0.38061,0.16437,0.1665,0.15859,0.046265,0.047059,0.045571,0.0090427,0.0091465,0.0086732,0.00878,0.0088881,0.0085854
530.59,,,,,,,,,,,,,,,,0.36254,0.36793,0.36518,0.15942,0.16153,0.15397,0.044801,0.045586,0.044156,0.008727,0.0088157,0.0083679,0.0084238,0.0085303,0.0082429
544.2,,,,,,,,,,,,,,,,0.34801,0.3532,0.35045,0.15467,0.15675,0.14953,0.043403,0.044178,0.042802,0.0084198,0.0085006,0.0080766,0.0080882,0.0081931,0.0079199
557.8,,,,,,,0.86956,0.88306,0.87697,,,,,,,0.33419,0.33919,0.33646,0.15014,0.15219,0.14528,0.042075,0.042842,0.041516,0.0081071,0.0082023,0.0078001,0.0077733,0.0078769,0.0076167
571.41,,,,,,,0.84284,0.85577,0.84948,,,,,,,0.32102,0.32584,0.32311,0.14579,0.14781,0.14118,0.040807,0.041564,0.040286,0.0078231,0.0079188,0.0075365,0.0074764,0.0075785,0.0073304
585.01,,,,,,,0.81714,0.82953,0.82306,,,,,,,0.30846,0.31311,0.31039,0.14161,0.14361,0.13725,0.039593,0.040342,0.039108,0.0075689,0.0076487,0.0072851,0.0071961,0.0072969,0.0070599
598.62,,,,,,,0.79247,0.80433,0.79769,,,,,,,0.29651,0.30098,0.29828,0.13761,0.13958,0.13347,0.038437,0.039178,0.037985,0.0073109,0.0073922,0.0070461,0.0069322,0.0070316,0.006805
612.22,,,,,,,0.76878,0.78011,0.77333,,,,,,,0.28512,0.28943,0.28675,0.13376,0.13571,0.12984,0.03733,0.038062,0.036908,0.0070546,0.0071483,0.0068182,0.0066824,0.0067806,0.0065636
625.83,,,,,,,0.74594,0.75677,0.74986,,,,,,,0.27424,0.2784,0.27574,0.13006,0.13198,0.12633,0.036266,0.03699,0.035873,0.0068281,0.0069157,0.0066005,0.0064457,0.0065426,0.0063345
639.43,,,,,,,0.72388,0.73423,0.72719,,,,,,,0.26385,0.26785,0.26522,0.12649,0.12838,0.12295,0.035246,0.035961,0.03488,0.0066196,0.0066936,0.0063924,0.0062215,0.006317,0.0061173
653.04,,,,,,,0.70265,0.71252,0.70538,,,,,,,0.25393,0.25779,0.25518,0.12305,0.12492,0.11969,0.034269,0.034976,0.033927,0.0064038,0.006482,0.006194,0.0060091,0.0061033,0.0059115
666.64,,,,,,,0.68221,0.69162,0.68438,,,,,,,0.24446,0.24819,0.2456,0.11975,0.12159,0.11654,0.033332,0.03403,0.033013,0.0061928,0.0062804,0.0060047,0.0058077,0.0059007,0.0057162
680.25,,,,,,,0.66242,0.67139,0.66406,,,,,,,0.2354,0.23899,0.23643,0.11656,0.11837,0.1135,0.03243,0.03312,0.032132,0.0060074,0.0060877,0.0058232,0.0056162,0.0057079,0.0055302
693.85,,,,,,,0.64341,0.65195,0.64455,,,,,,,0.22677,0.23023,0.2277,0.11349,0.11527,0.11057,0.031565,0.032247,0.031287,0.0058353,0.0059038,0.0056501,0.0054345,0.0055249,0.0053537
707.46,,,,,,,0.62508,0.63319,0.62573,,,,,,,0.21852,0.22186,0.21936,0.11053,0.11229,0.10775,0.030736,0.031409,0.030477,0.0056556,0.0057281,0.0054847,0.0052619,0.0053511,0.0051859
721.06,,,,,,,0.60745,0.61515,0.60764,,,,,,,0.21066,0.21388,0.2114,0.10769,0.10942,0.10503,0.029941,0.030606,0.029699,0.0054793,0.0055608,0.0053267,0.005098,0.005186,0.0050264
734.67,,,,,,,0.59039,0.5977,0.59015,,,,,,,0.20313,0.20624,0.20379,0.10494,0.10664,0.1024,0.029174,0.029831,0.028948,0.0053242,0.0054002,0.0051749,0.0049415,0.0050282,0.004874
748.27,,,,,,,0.57401,0.58094,0.57335,,,,,,,0.19595,0.19895,0.19653,0.1023,0.10398,0.099868,0.028438,0.029088,0.028227,0.0051818,0.0052468,0.0050299,0.0047926,0.0048781,0.0047289
761.88,,,,,,,0.5582,0.56476,0.55714,0.19202,0.19833,0.19097,,,,0.18909,0.19199,0.1896,0.099748,0.1014,0.097422,0.02773,0.028372,0.027533,0.005033,0.0050996,0.0048908,0.0046505,0.0047348,0.0045903
775.48,,,,,,,0.54298,0.54918,0.54154,0.1892,0.1954,0.18815,,,,0.18254,0.18533,0.18298,0.097295,0.098921,0.095065,0.02705,0.027684,0.026866,0.0048834,0.0049589,0.0047575,0.004515,0.0045982,0.0044582
789.09,,,,,,,0.52823,0.53407,0.52642,0.1864,0.19251,0.18535,,,,0.17625,0.17895,0.17662,0.094913,0.096514,0.092775,0.026391,0.027018,0.026219,0.0047496,0.0048232,0.0046287,0.0043849,0.0044669,0.0043311
802.69,,,,,,,0.51403,0.51954,0.51188,0.18368,0.18969,0.18263,,,,0.17025,0.17286,0.17056,0.092622,0.094198,0.090569,0.025758,0.026377,0.025597,0.0046302,0.0046932,0.0045053,0.0042607,0.0043416,0.0042098
816.3,,,,,,,0.50029,0.50547,0.49781,0.181,0.18691,0.17995,,,,0.1645,0.16701,0.16475,0.090403,0.091954,0.088431,0.025147,0.025758,0.024996,0.0045073,0.0045677,0.0043862,0.0041415,0.0042213,0.0040933
829.9,,,,,,,0.48702,0.49188,0.48423,0.17838,0.18418,0.17732,,,,0.15899,0.16141,0.15918,0.08826,0.089786,0.086363,0.024557,0.025161,0.024416,0.004379,0.004447,0.0042716,0.0040273,0.0041061,0.0039817
843.51,,,,,,,0.47414,0.4787,0.47106,0.17579,0.18149,0.17472,,,,0.1537,0.15603,0.15383,0.086178,0.087679,0.084353,0.023985,0.024582,0.023853,0.0042597,0.0043305,0.0041606,0.0039173,0.003995,0.0038741
857.11,,,,,,,0.46175,0.46601,0.45838,0.17326,0.17886,0.17219,,,,0.14864,0.1509,0.14873,0.084173,0.085651,0.082416,0.023436,0.024025,0.023312,0.0041561,0.0042185,0.004054,0.0038121,0.0038889,0.0037712
870.72,,,,,,,0.44975,0.45372,0.44611,0.17078,0.17628,0.1697,,,,0.14379,0.14596,0.14382,0.08223,0.083683,0.080536,0.022904,0.023486,0.022788,0.0040548,0.0041102,0.0039509,0.003711,0.0037867,0.0036721
884.32,,,,,,,0.43814,0.44182,0.43424,0.16834,0.17374,0.16725,0.036869,0.039003,0.037667,0.13913,0.14123,0.13912,0.080348,0.081777,0.078714,0.02239,0.022965,0.022282,0.0039465,0.0040057,0.0038513,0.0036137,0.0036885,0.0035768
897.93,,,,,,,0.4269,0.43031,0.42276,0.16594,0.17124,0.16483,0.03641,0.038522,0.037196,0.13466,0.13669,0.13461,0.078523,0.079928,0.076946,0.021892,0.02246,0.021791,0.0038393,0.0039047,0.003755,0.00352,0.0035938,0.003485
911.53,,,,,,,0.41607,0.41922,0.4117,0.16361,0.16881,0.16248,0.035965,0.038053,0.036739,0.13039,0.13234,0.1303,0.076764,0.078146,0.075241,0.021414,0.021974,0.021318,0.0037452,0.0038078,0.0036624,0.0034304,0.0035032,0.0033971
925.14,,,,,,,0.40559,0.40848,0.401,0.16131,0.16642,0.16017,0.035527,0.037593,0.036288,0.12628,0.12817,0.12615,0.075061,0.076419,0.073587,0.02095,0.021504,0.02086,0.0036602,0.003714,0.0035729,0.003344,0.003416,0.0033124
938.74,,,,,,,0.39545,0.39809,0.39064,0.15907,0.16408,0.15791,0.035097,0.03714,0.035845,0.12234,0.12416,0.12218,0.073409,0.074745,0.071983,0.020502,0.021048,0.020417,0.0035721,0.0036234,0.0034863,0.0032609,0.0033319,0.0032307
952.35,,,,,,,0.38563,0.38803,0.38063,0.15686,0.16177,0.15568,0.034676,0.036696,0.035411,0.11856,0.12032,0.11836,0.071809,0.073122,0.070428,0.020068,0.020607,0.019988,0.0034788,0.0035359,0.0034027,0.0031809,0.003251,0.0031521
965.95,,,,,,,0.37612,0.37829,0.37093,0.15469,0.15951,0.15349,0.034261,0.036258,0.034983,0.11492,0.11662,0.11469,0.070257,0.071548,0.068919,0.019647,0.02018,0.019572,0.0033906,0.0034515,0.0033219,0.0031037,0.0031729,0.0030763
979.56,,,,,,,0.36693,0.36887,0.36156,0.15258,0.1573,0.15135,0.033855,0.03583,0.034564,0.11143,0.11307,0.11117,0.068755,0.070024,0.067457,0.01924,0.019766,0.019169,0.0033142,0.00337,0.0032439,0.0030295,0.0030978,0.0030033
993.16,,,,,,,0.35802,0.35975,0.35248,0.1505,0.15513,0.14925,0.033457,0.03541,0.034153,0.10808,0.10965,0.10779,0.067299,0.068545,0.066039,0.018846,0.019366,0.018779,0.0032426,0.0032912,0.0031685,0.002958,0.0030253,0.0029329
1006.77,,,,,,,0.34938,0.3509,0.34369,0.14846,0.15299,0.14718,0.033065,0.034995,0.033747,0.10485,0.10637,0.10453,0.065884,0.067109,0.06466,0.018464,0.018976,0.0184,0.0031663,0.0032149,0.0030955,0.002889,0.0029554,0.0028649
1020.37,,,,,,,0.341,0.34231,0.33515,0.14645,0.15089,0.14515,0.03268,0.034587,0.033348,0.10174,0.1032,0.10139,0.064509,0.065712,0.063319,0.018092,0.018598,0.018032,0.0030866,0.0031411,0.0030248,0.0028223,0.0028878,0.0027992
1033.98,,,,,,,0.33288,0.33399,0.32688,0.14447,0.14882,0.14315,0.032301,0.034186,0.032955,0.098742,0.10016,0.098376,0.063175,0.064356,0.062016,0.017732,0.018232,0.017675,0.0030132,0.0030698,0.0029564,0.002758,0.0028225,0.0027358
1047.58,,,,,,,0.325,0.32592,0.31888,0.14254,0.14679,0.14119,0.03193,0.033792,0.03257,0.095862,0.097226,0.095474,0.061879,0.06304,0.060751,0.017383,0.017876,0.017328,0.0029499,0.0030009,0.0028902,0.0026959,0.0027595,0.0026746
1061.19,,,,,,,0.31737,0.3181,0.31111,0.14064,0.1448,0.13926,0.031565,0.033405,0.032191,0.093089,0.094405,0.09268,0.060622,0.061761,0.059522,0.017044,0.017531,0.016992,0.0028895,0.0029342,0.0028262,0.002636,0.0026987,0.0026154
1074.79,,,,,,,0.30997,0.31052,0.30359,0.13878,0.14285,0.13737,0.031206,0.033023,0.031818,0.090418,0.091687,0.089989,0.059399,0.060518,0.058327,0.016715,0.017195,0.016665,0.0028246,0.0028695,0.0027642,0.0025781,0.0026399,0.0025582
1088.4,,,,,,,0.30276,0.30314,0.29627,0.13694,0.14091,0.1355,0.030851,0.032647,0.031449,0.087839,0.089062,0.087391,0.058208,0.059306,0.057161,0.016394,0.016869,0.016347,0.002757,0.0028068,0.002704,0.002522,0.0025829,0.0025027
1102.0,,,,,,,0.29579,0.29599,0.28919,0.13513,0.13902,0.13367,0.030504,0.032277,0.031088,0.085357,0.086536,0.084892,0.057052,0.05813,0.05603,0.016083,0.016551,0.016038,0.0026949,0.0027462,0.0026458,0.0024678,0.0025278,0.0024492
1115.61,,,,,,,0.28902,0.28907,0.28233,0.13337,0.13717,0.13187,0.030164,0.031915,0.030733,0.082966,0.084103,0.082485,0.055929,0.056987,0.05493,0.015781,0.016244,0.015737,0.0026415,0.0026876,0.0025894,0.0024155,0.0024746,0.0023974
1129.21,,,,,,,0.28247,0.28235,0.27568,0.13164,0.13535,0.13011,0.02983,0.031559,0.030385,0.080664,0.08176,0.080167,0.054839,0.055878,0.053862,0.015489,0.015945,0.015446,0.0025908,0.0026307,0.0025348,0.0023649,0.0024231,0.0023474
1142.82,,,,,,,0.27608,0.27581,0.2692,0.12992,0.13355,0.12836,0.0295,0.031206,0.03004,0.078436,0.079492,0.077925,0.053774,0.054793,0.052818,0.015203,0.015653,0.015161,0.0025357,0.0025754,0.0024817,0.0023157,0.0023731,0.0022987
1156.42,,,,,,,0.26991,0.26949,0.26295,0.12826,0.13179,0.12667,0.029178,0.030863,0.029704,0.076296,0.077313,0.075771,0.052745,0.053745,0.051808,0.014926,0.015371,0.014886,0.0024779,0.0025221,0.0024304,0.0022683,0.0023249,0.0022518
1170.03,,,,,,,0.2639,0.26334,0.25687,0.12662,0.13007,0.12499,0.028861,0.030524,0.029372,0.074227,0.075207,0.07369,0.051741,0.052722,0.050823,0.014657,0.015096,0.014618,0.0024238,0.0024703,0.0023806,0.0022223,0.0022781,0.0022062
1183.63,,,,,,,0.25807,0.25737,0.25096,0.12501,0.12837,0.12335,0.028549,0.030191,0.029046,0.072231,0.073175,0.071682,0.050764,0.051727,0.049864,0.014395,0.014828,0.014357,0.0023772,0.00242,0.0023322,0.0021777,0.0022328,0.0021621
1197.24,,,,,,,0.25241,0.25157,0.24524,0.12343,0.12671,0.12174,0.028244,0.029864,0.028726,0.070306,0.071214,0.069746,0.049815,0.050759,0.048932,0.014141,0.014568,0.014103,0.0023343,0.0023712,0.0022853,0.0021345,0.0021889,0.0021194
1210.84,,,,,,,0.24688,0.24592,0.23965,0.12187,0.12506,0.12014,0.027941,0.02954,0.028408,0.068439,0.069313,0.067868,0.048886,0.049812,0.048019,0.013892,0.014313,0.013855,0.0022882,0.0023236,0.0022395,0.0020924,0.002146,0.0020777
1224.45,,,,,,,0.24154,0.24045,0.23425,0.12035,0.12345,0.11859,0.027646,0.029223,0.028099,0.066642,0.067484,0.066062,0.047988,0.048895,0.047135,0.013651,0.014067,0.013615,0.0022387,0.0022775,0.0021952,0.0020517,0.0021047,0.0020374
1238.05,,,,,,,0.23633,0.23512,0.22899,0.11885,0.12187,0.11706,0.027355,0.028911,0.027793,0.064903,0.065713,0.064314,0.04711,0.048,0.046271,0.013416,0.013826,0.01338,0.0021906,0.0022327,0.0021521,0.0020122,0.0020644,0.0019982
1251.66,,,,,,,0.23126,0.22993,0.22387,0.11737,0.12031,0.11555,0.027068,0.028603,0.027491,0.063221,0.064,0.062623,0.046254,0.047126,0.045429,0.013187,0.013591,0.013151,0.0021488,0.0021891,0.00211,0.0019737,0.0020253,0.0019602
1265.26,,,,,,,0.22634,0.2249,0.21891,0.11592,0.11878,0.11406,0.026786,0.0283,0.027195,0.061596,0.062345,0.060991,0.04542,0.046275,0.044608,0.012964,0.013363,0.012928,0.0021118,0.0021467,0.0020692,0.0019364,0.0019873,0.0019232
1278.87,,,,,,,0.22153,0.21998,0.21406,0.11449,0.11726,0.1126,0.026507,0.027999,0.026901,0.060019,0.060739,0.059406,0.044605,0.045442,0.043805,0.012745,0.013139,0.012709,0.0020738,0.0021052,0.0020292,0.0019,0.0019503,0.0018871
1292.47,,,,,,,0.21688,0.21522,0.20937,0.11309,0.11579,0.11116,0.026235,0.027706,0.026614,0.0585,0.059192,0.057881,0.043814,0.044634,0.043025,0.012534,0.012922,0.012498,0.0020319,0.002065,0.0019906,0.0018648,0.0019144,0.0018521
1306.08,,,,,,,0.21234,0.21058,0.2048,0.11171,0.11433,0.10975,0.025966,0.027416,0.026331,0.057028,0.057693,0.056403,0.043041,0.043845,0.042264,0.012327,0.012709,0.012291,0.001989,0.0020258,0.0019528,0.0018305,0.0018794,0.0018181
1319.68,,,,,,,0.20792,0.20606,0.20035,0.11035,0.11289,0.10836,0.025702,0.027131,0.026051,0.055603,0.056241,0.054972,0.042287,0.043074,0.04152,0.012125,0.012502,0.012089,0.0019501,0.0019876,0.001916,0.0017971,0.0018454,0.0017849
1333.29,,,,,,,0.20362,0.20167,0.19603,0.10902,0.11148,0.107,0.025441,0.02685,0.025776,0.054224,0.054836,0.053588,0.041551,0.042322,0.040794,0.011928,0.0123,0.011892,0.0019168,0.0019505,0.0018801,0.0017646,0.0018123,0.0017527
1346.89,,,,,,,0.19943,0.19738,0.19181,0.1077,0.11009,0.10565,0.025184,0.026572,0.025504,0.052886,0.053473,0.052245,0.040833,0.041587,0.040085,0.011736,0.012103,0.011699,0.0018852,0.0019141,0.0018451,0.001733,0.0017799,0.0017212
1360.5,,,,,,,0.19536,0.19323,0.18773,0.10642,0.10873,0.10433,0.024933,0.0263,0.025238,0.051596,0.052159,0.050951,0.040134,0.040872,0.039395,0.011549,0.011911,0.011512,0.0018509,0.0018788,0.0018111,0.0017023,0.0017486,0.0016907
1374.1,,,,,,,0.1914,0.18918,0.18375,0.10516,0.10739,0.10303,0.024685,0.026032,0.024976,0.050345,0.050885,0.049696,0.039452,0.040175,0.038721,0.011366,0.011723,0.011329,0.0018137,0.0018444,0.0017779,0.0016724,0.0017181,0.0016609
1387.71,,,,,,,0.18754,0.18524,0.17988,0.10391,0.10607,0.10176,0.024442,0.025768,0.024718,0.049133,0.04965,0.04848,0.038787,0.039493,0.038064,0.011188,0.01154,0.01115,0.0017774,0.0018109,0.0017456,0.0016433,0.0016883,0.001632
1401.31,,,,,,,0.18378,0.1814,0.17611,0.10269,0.10477,0.1005,0.024201,0.025507,0.024463,0.047958,0.048452,0.047301,0.038136,0.038828,0.037421,0.011014,0.011361,0.010975,0.0017458,0.0017782,0.0017141,0.001615,0.0016593,0.0016037
1414.92,,,,,,,0.18012,0.17766,0.17244,0.10148,0.10349,0.099264,0.023965,0.025251,0.024213,0.04682,0.047293,0.046161,0.037502,0.038178,0.036794,0.010844,0.011186,0.010805,0.0017183,0.0017464,0.0016833,0.0015874,0.0016311,0.0015762
1428.52,,,,,,,0.17654,0.17401,0.16886,0.1003,0.10223,0.098048,0.023733,0.024998,0.023965,0.045714,0.046166,0.045052,0.036882,0.037543,0.03618,0.010678,0.011015,0.010638,0.0016907,0.0017152,0.0016533,0.0015606,0.0016035,0.0015494
1442.13,,,,,,,0.17306,0.17046,0.16538,0.099137,0.101,0.096853,0.023504,0.024749,0.023722,0.044643,0.045076,0.043979,0.036277,0.036923,0.035582,0.010517,0.010849,0.010476,0.0016601,0.0016849,0.0016241,0.0015344,0.0015767,0.0015233
1455.73,,,,,,,0.16967,0.167,0.16199,0.097994,0.099783,0.095677,0.023279,0.024505,0.023483,0.043605,0.044018,0.042939,0.035687,0.036318,0.034998,0.010359,0.010686,0.010317,0.0016274,0.0016554,0.0015956,0.0015089,0.0015506,0.0014978
1469.34,,,,,,,0.16636,0.16363,0.15868,0.096869,0.098587,0.09452,0.023057,0.024263,0.023247,0.042597,0.042991,0.041929,0.03511,0.035726,0.034426,0.010204,0.010526,0.010162,0.0015967,0.0016266,0.0015678,0.0014841,0.0015251,0.001473
1482.94,,,,,,,0.16313,0.16034,0.15546,0.095761,0.097408,0.09338,0.022839,0.024025,0.023014,0.041618,0.041994,0.040949,0.034546,0.035148,0.033867,0.010053,0.010371,0.01001,0.0015702,0.0015985,0.0015407,0.0014598,0.0015002,0.0014487
1496.55,,,,,,,0.15998,0.15713,0.15231,0.094669,0.096246,0.092257,0.022623,0.02379,0.022785,0.040668,0.041026,0.039998,0.033994,0.034582,0.03332,0.0099054,0.010218,0.0098609,0.0015468,0.001571,0.0015142,0.0014362,0.0014759,0.0014251
1510.15,,,,,,,0.15691,0.154,0.14925,0.093595,0.095103,0.091152,0.022411,0.023558,0.022558,0.039746,0.040086,0.039075,0.033454,0.034028,0.032786,0.0097609,0.010069,0.0097155,0.0015227,0.0015442,0.0014883,0.0014131,0.0014522,0.001402
1523.76,,,,,,,0.15392,0.15095,0.14627,0.092538,0.093978,0.090065,0.022202,0.023329,0.022335,0.038851,0.039174,0.038179,0.032927,0.033487,0.032263,0.0096197,0.0099232,0.0095733,0.0014958,0.001518,0.0014631,0.0013906,0.0014291,0.0013795
1537.36,,,,,,,0.15099,0.14797,0.14336,0.091498,0.092871,0.088994,0.021996,0.023104,0.022115,0.037981,0.038288,0.03731,0.032412,0.032958,0.031752,0.0094817,0.0097805,0.0094342,0.0014673,0.0014925,0.0014384,0.0013687,0.0014066,0.0013575
1550.97,,,,,,,0.14814,0.14507,0.14052,0.090475,0.091781,0.087941,0.021794,0.022882,0.021899,0.037137,0.037428,0.036465,0.031908,0.032441,0.031252,0.0093467,0.009641,0.0092981,0.0014409,0.0014676,0.0014144,0.0013473,0.0013845,0.0013361
1564.57,,,,,,,0.14536,0.14224,0.13775,0.089468,0.090707,0.086903,0.021594,0.022663,0.021685,0.036316,0.036592,0.035644,0.031415,0.031934,0.030763,0.0092145,0.0095043,0.0091649,0.0014184,0.0014433,0.0013909,0.0013263,0.001363,0.0013152
1578.18,,,,,,,0.14264,0.13947,0.13505,0.088473,0.089647,0.085879,0.021396,0.022447,0.021473,0.035518,0.035779,0.034847,0.030932,0.031438,0.030284,0.0090849,0.0093703,0.0090342,0.0013984,0.0014195,0.001368,0.0013059,0.001342,0.0012947
1591.78,,,,,,,0.13998,0.13678,0.13242,0.087496,0.088605,0.084873,0.021202,0.022234,0.021265,0.034743,0.034989,0.034072,0.030459,0.030953,0.029815,0.0089583,0.0092392,0.0089065,0.0013778,0.0013963,0.0013456,0.0012859,0.0013215,0.0012747
1605.39,,,,,,,0.1374,0.13415,0.12985,0.086534,0.087579,0.083882,0.021011,0.022023,0.02106,0.03399,0.034222,0.03332,0.029998,0.030478,0.029356,0.0088344,0.0091109,0.0087814,0.0013546,0.0013736,0.0013237,0.0012664,0.0013014,0.0012552
