,1s,1s,1s,2p,2p,2p,2s,2s,2s
,x,y,z,x,y,z,x,y,z
0,,,,,,,,,
27.21,,,,8.4109,8.4187,8.4016,,,
40.81,,,,7.0017,7.009,7.0329,,,
54.42,,,,5.5425,5.5551,5.5877,0.56336,0.56182,0.49344
68.02,,,,4.2853,4.2945,4.3251,0.51584,0.51466,0.46076
81.63,,,,3.2874,3.2982,3.324,0.46546,0.46458,0.42162
95.23,,,,2.5371,2.5475,2.5683,0.41698,0.41635,0.3817
108.84,,,,1.9836,1.9914,2.008,0.37257,0.37214,0.34387
122.44,,,,1.5716,1.5793,1.5927,0.33295,0.33269,0.30936
136.05,,,,1.263,1.2711,1.2818,0.29814,0.29802,0.27855
149.65,,,,1.0304,1.037,1.0456,0.26779,0.26777,0.25136
163.26,,,,0.85094,0.85641,0.86338,0.24139,0.24147,0.22749
176.86,,,,0.70932,0.71483,0.72052,0.21842,0.21858,0.20657
190.47,,,,0.59661,0.60227,0.60687,0.19839,0.1986,0.1882
204.07,,,,0.50657,0.51159,0.51529,0.18083,0.1811,0.17202
217.68,,,,0.43353,0.43767,0.44066,0.16539,0.1657,0.15772
231.28,,,,0.37305,0.37683,0.37924,0.15173,0.15208,0.14502
244.89,,,,0.32248,0.32635,0.32828,0.13959,0.13997,0.1337
258.49,,,,0.28034,0.28419,0.2857,0.12875,0.12915,0.12355
272.1,,,,0.24528,0.24873,0.24988,0.11902,0.11945,0.11442
285.7,,,,0.21581,0.21873,0.2196,0.11027,0.11071,0.10618
299.31,,,,0.1906,0.19321,0.19386,0.10236,0.10281,0.098716
312.91,,,,0.16883,0.17141,0.17187,0.095192,0.095657,0.091939
326.52,,,,0.15008,0.15271,0.153,0.088681,0.089156,0.08577
340.12,,,,0.13406,0.13659,0.13673,0.082754,0.083236,0.080143
353.73,,,,0.12038,0.12263,0.12264,0.077348,0.077835,0.075001
367.33,,,,0.10854,0.11048,0.1104,0.072409,0.072899,0.070295
380.94,,,,0.098096,0.099856,0.099698,0.067888,0.068381,0.065982
394.54,,,,0.088807,0.09054,0.090317,0.063744,0.064238,0.062022
408.15,,,,0.080572,0.082338,0.082057,0.05994,0.060435,0.058382
421.75,,,,0.073349,0.075088,0.074755,0.056442,0.056937,0.055031
435.36,,,,0.067045,0.068654,0.068276,0.053222,0.053716,0.051943
448.96,,,,0.061503,0.062919,0.062506,0.050253,0.050745,0.049091
462.57,,,,0.056541,0.05779,0.057351,0.04751,0.048,0.046453
476.17,,,,0.052024,0.053189,0.052731,0.044973,0.045459,0.044011
489.78,,,,0.047891,0.049051,0.048577,0.042621,0.043104,0.041745
503.38,,,,0.044141,0.045321,0.044832,0.040438,0.040918,0.039639
516.99,,,,0.040784,0.04195,0.041447,0.038408,0.038884,0.03768
530.59,,,,0.037803,0.038894,0.03838,0.036517,0.036989,0.035852
544.2,,,,0.035143,0.036116,0.035595,0.034753,0.035221,0.034146
557.8,,,,0.032729,0.033585,0.033061,0.033104,0.033567,0.03255
