,1s,1s,1s,2p,2p,2p,2s,2s,2s
,x,y,z,x,y,z,x,y,z
0,,,,,,,,,
13.6,,,,8.3005,8.3313,8.4012,,,
27.21,,,,4.7454,4.7457,4.7855,0.99788,1.0014,0.95949
40.81,,,,2.6681,2.6873,2.7103,0.83222,0.8356,0.80722
54.42,,,,1.5843,1.5802,1.5939,0.67804,0.68085,0.66066
68.02,,,,0.97529,0.98369,0.99243,0.54956,0.55214,0.53725
81.63,,,,0.64888,0.64813,0.65362,0.44751,0.44972,0.43837
95.23,,,,0.44698,0.44724,0.45144,0.36774,0.36963,0.36075
108.84,,,,0.31702,0.32106,0.32391,0.30546,0.30721,0.30008
122.44,,,,0.23812,0.23746,0.2395,0.25676,0.25827,0.25243
136.05,,,,0.18013,0.1797,0.18141,0.21819,0.21949,0.21462
149.65,,,,0.13656,0.13891,0.14018,0.18714,0.18836,0.18424
163.26,,,,0.10837,0.10929,0.11019,0.16192,0.16303,0.15949
176.86,,,,0.088009,0.087178,0.087919,0.14119,0.14216,0.13909
190.47,,,,0.070172,0.070475,0.071114,0.12388,0.12475,0.12207
204.07,,,,0.056327,0.057771,0.058244,0.10928,0.1101,0.10774
217.68,,,,0.047302,0.047919,0.048249,0.096918,0.097679,0.095577
231.28,,,,0.040545,0.040114,0.04039,0.086404,0.087074,0.085195
244.89,,,,0.033979,0.033881,0.034133,0.077366,0.077967,0.07628
258.49,,,,0.02813,0.028898,0.029094,0.069542,0.070113,0.068591
272.1,,,,0.024064,0.024864,0.024991,0.062763,0.063309,0.061928
285.7,,,,0.021423,0.021529,0.021614,0.056892,0.05739,0.05613
299.31,,,,0.019025,0.018733,0.01881,0.051775,0.052217,0.051065
312.91,,,,0.01636,0.016388,0.016459,0.047266,0.047672,0.046614
326.52,,,,0.013908,0.014426,0.014473,0.043275,0.043666,0.042691
340.12,,,,0.012209,0.012768,0.012785,0.03974,0.040117,0.039216
353.73,,,,0.01117,0.011342,0.011339,0.036609,0.03696,0.036124
367.33,,,,0.010261,0.010101,0.010094,0.033822,0.034137,0.033359
380.94,,,,0.0091251,0.0090219,0.0090178,0.031316,0.031603,0.030878
394.54,,,,0.0078838,0.0080911,0.0080823,0.029047,0.02932,0.028643
408.15,0.13193,0.13193,0.12858,0.0068786,0.0072881,0.0072663,0.026988,0.027255,0.026621
421.75,0.12644,0.12634,0.1231,0.0062684,0.0065865,0.0065514,0.025124,0.025381,0.024787
435.36,0.12125,0.12105,0.11791,0.0059094,0.0059642,0.0059231,0.023439,0.023677,0.023118
448.96,0.11634,0.11604,0.113,0.0055281,0.0054084,0.0053691,0.021908,0.022122,0.021596
462.57,0.11167,0.11129,0.10834,0.0049807,0.0049148,0.0048789,0.020504,0.0207,0.020204
476.17,0.10725,0.10678,0.10393,0.0043518,0.0044805,0.0044441,0.019211,0.019397,0.01893
489.78,0.10305,0.10251,0.099747,0.0038257,0.0040989,0.0040571,0.018019,0.018202,0.01776
