,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,,,,,,,,,,0.065664,0.065286,0.022788
27.21,,,,,,,,,,,,,,,,39.249,39.255,37.285,,,,,,,0.10223,0.10188,0.073166
40.81,,,,,,,,,,,,,,,,23.702,23.656,22.24,,,,,,,0.093835,0.093648,0.076473
54.42,,,,,,,,,,,,,,,,8.8892,8.8486,8.0849,,,,,,,0.080132,0.080028,0.069012
68.02,,,,,,,,,,,,,,,,2.8147,2.793,2.4034,,,,,,,0.067183,0.067157,0.059685
81.63,,,,,,,,,,,,,,,,0.84886,0.84029,0.63638,0.4364,0.43823,0.35512,,,,0.056246,0.0563,0.051005
95.23,,,,,,,,,,,,,,,,0.31644,0.3164,0.20663,0.43105,0.43286,0.35526,,,,0.047502,0.047536,0.043643
108.84,,,,,,,,,,,,,,,,0.25262,0.25753,0.19826,0.424,0.42582,0.35471,0.175,0.17584,0.16656,0.040559,0.040587,0.037629
122.44,,,,,,,,,,,,,,,,0.32912,0.33702,0.30602,0.41516,0.41702,0.35239,0.1646,0.16544,0.15731,0.035012,0.035085,0.032778
136.05,,,,,,,,,,,,,,,,0.43125,0.44096,0.42618,0.40481,0.40672,0.34816,0.155,0.15586,0.14869,0.030643,0.030675,0.028833
149.65,,,,,,,,,,,,,,,,0.5208,0.53161,0.5263,0.39331,0.39527,0.34224,0.14602,0.1469,0.14054,0.027004,0.02708,0.025583
163.26,,,,,,,,,,,,,,,,0.58873,0.60001,0.60025,0.38115,0.38315,0.33509,0.13766,0.13854,0.13288,0.024082,0.024124,0.022888
176.86,,,,,,,,,,,,,,,,0.63544,0.64681,0.65031,0.36839,0.37042,0.32683,0.1298,0.13069,0.12562,0.021578,0.021657,0.020622
190.47,,,,,,,,,,,,,,,,0.66392,0.67538,0.68071,0.3554,0.35747,0.31786,0.12251,0.1234,0.11885,0.019539,0.019587,0.01871
204.07,,,,,,,,,,,,,,,,0.67776,0.68916,0.69542,0.34224,0.34434,0.30829,0.11572,0.1166,0.1125,0.017746,0.017827,0.017077
217.68,,,,,,,,,,,,,,,,0.68031,0.69138,0.69796,0.32927,0.3314,0.29853,0.10949,0.11037,0.10665,0.016273,0.016329,0.01568
231.28,,,,,,,,,,,,,,,,0.67406,0.68473,0.69128,0.31656,0.31871,0.28867,0.10373,0.1046,0.10122,0.014957,0.015033,0.014467
244.89,,,,,,,,,,,,,,,,0.66138,0.67179,0.6781,0.3043,0.30647,0.27894,0.098422,0.099299,0.096215,0.013838,0.013907,0.01341
258.49,,,,,,,,,,,,,,,,0.64421,0.65436,0.66029,0.29249,0.29468,0.26939,0.093512,0.094389,0.091564,0.01285,0.012914,0.012475
272.1,,,,,,,,,,,,,,,,0.6245,0.63423,0.63971,0.28122,0.28342,0.26013,0.088959,0.089835,0.087239,0.01195,0.012033,0.011641
285.7,,,,,,,,,,,,,,,,0.60304,0.61229,0.6173,0.27036,0.27257,0.25107,0.084698,0.085572,0.083178,0.011177,0.01124,0.010888
299.31,,,,,,,,,,,,,,,,0.58042,0.58931,0.59386,0.25998,0.26219,0.24231,0.080717,0.081587,0.079374,0.010445,0.010521,0.010206
312.91,,,,,,,,,,,,,,,,0.55742,0.56606,0.57016,0.25006,0.25227,0.23384,0.077013,0.077877,0.075826,0.0097963,0.0098718,0.0095862
326.52,,,,,,,,,,,,,,,,0.53423,0.54257,0.54623,0.24051,0.24273,0.2256,0.073529,0.074385,0.07248,0.0092147,0.0092763,0.0090173
340.12,,,,,,,,,,,,,,,,0.51139,0.51933,0.52257,0.23141,0.23362,0.21769,0.070274,0.071123,0.069348,0.0086547,0.0087325,0.0084966
353.73,,,,,,,,,,,,,,,,0.48893,0.49646,0.4993,0.22269,0.2249,0.21005,0.067217,0.068059,0.066401,0.0081634,0.0082332,0.0080172
367.33,,,,,,,,,,,,,,,,0.46687,0.47409,0.47657,0.21435,0.21655,0.20268,0.064353,0.065189,0.063637,0.0077128,0.0077743,0.0075764
