,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,27.873,27.674,25.65,,,,,,,0.036754,0.036793,0.021715
27.21,,,,,,,,,,,,,,,,20.715,20.56,19.254,,,,,,,0.041167,0.040777,0.033423
40.81,,,,,,,,,,,,,,,,6.7833,6.7418,6.1219,,,,,,,0.035294,0.034989,0.03099
54.42,,,,,,,,,,,,,,,,1.8159,1.811,1.5271,0.46568,0.46602,0.39457,,,,0.029631,0.029364,0.02692
68.02,,,,,,,,,,,,,,,,0.44306,0.43493,0.29979,0.43715,0.43709,0.34972,,,,0.024556,0.02449,0.022889
81.63,,,,,,,,,,,,,,,,0.14171,0.14076,0.075947,0.4234,0.42323,0.33521,0.2043,0.20415,0.19587,0.020295,0.020414,0.019323
95.23,,,,,,,,,,,,,,,,0.13508,0.13853,0.10775,0.41219,0.41206,0.32946,0.18793,0.18787,0.18112,0.017219,0.01712,0.016349
108.84,,,,,,,,,,,,,,,,0.19483,0.19872,0.1856,0.39996,0.39992,0.32481,0.17306,0.17308,0.16752,0.014561,0.014515,0.013944
122.44,,,,,,,,,,,,,,,,0.25706,0.25748,0.25392,0.38607,0.38616,0.31882,0.15975,0.15984,0.15522,0.012368,0.012439,0.012013
136.05,,,,,,,,,,,,,,,,0.294,0.29972,0.30138,0.3712,0.37142,0.31134,0.14783,0.14798,0.1441,0.010886,0.01079,0.01046
149.65,,,,,,,,,,,,,,,,0.31862,0.32571,0.32977,0.35593,0.35628,0.30272,0.13713,0.13733,0.13405,0.0093681,0.0094594,0.0092016
163.26,,,,,,,,,,,,,,,,0.3379,0.33817,0.34361,0.34044,0.34092,0.29312,0.12735,0.12759,0.12481,0.0084497,0.0083711,0.0081651
176.86,,,,,,,,,,,,,,,,0.33769,0.34086,0.34716,0.32506,0.32566,0.28294,0.11847,0.11876,0.11638,0.0073894,0.0074736,0.0073077
190.47,,,,,,,,,,,,,,,,0.3285,0.33715,0.34346,0.30984,0.31054,0.27229,0.11035,0.11067,0.10862,0.0067821,0.0067242,0.0065878
204.07,,,,,,,,,,,,,,,,0.32483,0.32874,0.33474,0.29507,0.29587,0.26155,0.10302,0.10336,0.1016,0.0060275,0.0060939,0.0059826
217.68,,,,,,,,,,,,,,,,0.31719,0.31673,0.32263,0.28082,0.28171,0.25083,0.09635,0.096723,0.095195,0.0055817,0.0055607,0.0054662
231.28,,,,,,,,,,,,,,,,0.2987,0.30284,0.30853,0.26728,0.26824,0.24039,0.090329,0.090724,0.089394,0.0050794,0.0051002,0.005023
244.89,,,,,,,,,,,,,,,,0.28042,0.28822,0.29335,0.25445,0.25549,0.23029,0.084862,0.085276,0.084114,0.0046678,0.004705,0.0046375
258.49,,,,,,,,,,,,,,,,0.26966,0.27335,0.27794,0.24241,0.24351,0.22063,0.079885,0.080316,0.079297,0.0043855,0.0043546,0.0042987
272.1,,,,,,,2.2297,2.2635,2.2893,,,,,,,0.25882,0.25833,0.26264,0.23103,0.23219,0.21135,0.075317,0.075763,0.074867,0.0039784,0.0040448,0.0039967
285.7,,,,,,,2.1161,2.1488,2.1725,,,,,,,0.24169,0.24371,0.24778,0.22035,0.22156,0.20253,0.071138,0.071598,0.070806,0.0037858,0.0037685,0.0037264
299.31,,,,,,,2.0096,2.0413,2.0631,,,,,,,0.22365,0.2299,0.23357,0.21025,0.21151,0.19409,0.06727,0.067741,0.06704,0.0035002,0.003516,0.0034812
312.91,,,,,,,1.9078,1.9385,1.9584,,,,,,,0.21132,0.21666,0.21985,0.20068,0.20198,0.186,0.063695,0.064176,0.063553,0.0032385,0.0032895,0.0032581
326.52,,,,,,,1.8122,1.8418,1.86,,,,,,,0.20303,0.20402,0.2069,0.19168,0.19301,0.17832,0.060397,0.060887,0.060332,0.0031065,0.003082,0.003055
340.12,,,,,,,1.7215,1.7501,1.7667,,,,,,,0.19232,0.19191,0.19462,0.18315,0.18451,0.17097,0.057336,0.057833,0.057338,0.002854,0.0028916,0.0028689
