,1s,1s,1s,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,5.1535,5.1387,5.1751,,,,,,,0.19433,0.19427,0.16174
27.21,,,,,,,,,,4.5374,4.5296,4.5533,,,,,,,0.16628,0.16578,0.15204
40.81,,,,,,,,,,3.2373,3.2343,3.2522,,,,,,,0.1263,0.12608,0.11901
54.42,,,,,,,,,,2.2826,2.2805,2.2942,1.2601,1.2747,1.277,,,,0.095956,0.095772,0.091659
68.02,,,,,,,,,,1.6029,1.6014,1.6118,1.2672,1.2813,1.2836,0.31832,0.31983,0.31134,0.07416,0.0742,0.07159
81.63,,,,,,,,,,1.141,1.1409,1.1489,1.2196,1.2329,1.2343,0.28815,0.28961,0.28277,0.058729,0.059082,0.057322
95.23,,,,,,,,,,0.83595,0.83534,0.84157,1.1489,1.1613,1.1618,0.26179,0.26321,0.2576,0.048219,0.0483,0.047055
108.84,,,,,,,,,,0.62673,0.62696,0.63194,1.0698,1.0813,1.0811,0.23844,0.23981,0.23515,0.040361,0.040381,0.039451
122.44,,,,,,,,,,0.47978,0.47971,0.4837,0.98867,0.99936,0.99843,0.21755,0.21887,0.21496,0.034104,0.034364,0.033659
136.05,,,,,,,,,,0.3729,0.37298,0.37625,0.90895,0.91887,0.91741,0.19886,0.20014,0.19682,0.029728,0.029696,0.029142
149.65,,,,,,,,,,0.2941,0.29442,0.2971,0.8332,0.84239,0.84053,0.18224,0.18348,0.18063,0.02576,0.025995,0.025551
163.26,,,,,,,,,,0.23594,0.23588,0.23812,0.76352,0.77205,0.76988,0.1676,0.16881,0.16634,0.023023,0.023015,0.022653
176.86,,,,,,,,,,0.19116,0.19146,0.19334,0.70011,0.70804,0.70566,0.15465,0.15582,0.15366,0.020353,0.020565,0.020263
190.47,,,,,,,,,,0.15699,0.15721,0.1588,0.64289,0.65028,0.64774,0.14315,0.14429,0.14239,0.018511,0.01851,0.018256
204.07,,,,,,,,,,0.13028,0.13032,0.13167,0.59093,0.59783,0.59517,0.13282,0.13392,0.13224,0.016554,0.016748,0.016531
