,1s,1s,1s,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,9.1534,9.1425,9.0781,,,,,,,0.063754,0.06422,0.065285
27.21,,,,,,,,,,9.2025,9.202,9.2156,,,,,,,0.054555,0.054458,0.054966
40.81,,,,,,,,,,7.6612,7.6645,7.6955,,,,,,,0.042297,0.042248,0.042542
54.42,,,,,,,,,,5.9,5.8863,5.9172,0.98792,1.0004,0.97782,,,,0.033937,0.033836,0.034025
68.02,,,,,,,,,,4.4908,4.4945,4.5216,1.0569,1.0692,1.0475,,,,0.027711,0.027717,0.027843
81.63,,,,,,,,,,3.4666,3.4634,3.4875,1.0739,1.0858,1.0656,0.28145,0.28302,0.28357,0.022776,0.023005,0.0231
95.23,,,,,,,,,,2.6861,2.6892,2.709,1.0549,1.0663,1.0477,0.25944,0.26095,0.26142,0.019236,0.019294,0.019371
108.84,,,,,,,,,,2.1063,2.1033,2.1203,1.0138,1.0246,1.0075,0.239,0.24044,0.24085,0.016384,0.016362,0.016416
122.44,,,,,,,,,,1.657,1.6627,1.6768,0.96117,0.97116,0.95551,0.22045,0.22183,0.22218,0.01385,0.014014,0.014059
136.05,,,,,,,,,,1.3343,1.3308,1.3426,0.90424,0.91349,0.89915,0.20386,0.20519,0.20548,0.012185,0.012134,0.01217
149.65,,,,,,,,,,1.075,1.0788,1.0889,0.84726,0.85593,0.84276,0.18907,0.19035,0.19059,0.010482,0.010615,0.010643
163.26,,,,,,,,,,0.88306,0.88462,0.89304,0.79194,0.80014,0.78799,0.17575,0.17698,0.17718,0.0094015,0.009368,0.0093921
176.86,,,,,,,,,,0.73379,0.73211,0.73947,0.73936,0.74709,0.73584,0.16371,0.16491,0.16507,0.0082239,0.0083387,0.0083568
190.47,,,,,,,,,,0.60718,0.61088,0.61721,0.68956,0.69677,0.68633,0.15274,0.15389,0.15402,0.0075047,0.0074732,0.007489
204.07,,,,,,,,,,0.51262,0.51369,0.51902,0.64284,0.64953,0.63982,0.14275,0.14386,0.14395,0.0066371,0.006744,0.0067564
