,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4p,4p,4p,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,5.684,5.7032,8.1931,,,
27.21,,,,,,,,,,,,,,,,0.84592,0.84828,1.2199,0.22724,0.22552,0.22789
40.81,,,,,,,,,,,,,,,,0.27325,0.27335,0.34054,0.22094,0.21953,0.22141
54.42,,,,,,,,,,,,,,,,0.16305,0.16262,0.15893,0.193,0.19194,0.19345
68.02,,,,,,,6.5724,6.5904,6.5947,,,,,,,0.13587,0.13533,0.11389,0.16475,0.1639,0.16513
81.63,,,,,,,6.6372,6.6582,6.6911,,,,,,,0.12489,0.12436,0.10026,0.14093,0.14027,0.14131
95.23,,,,,,,6.4194,6.4423,6.4907,,,,,,,0.11681,0.11633,0.093861,0.12164,0.1211,0.122
108.84,,,,,,,6.0582,6.0823,6.1385,,,,,,,0.10934,0.10893,0.089068,0.10588,0.10544,0.10622
122.44,,,,,,,5.6502,5.675,5.7346,,,,,,,0.10224,0.10189,0.084644,0.092852,0.092507,0.093196
136.05,,,,,,,5.2332,5.2583,5.3186,,,,,,,0.095517,0.095224,0.080318,0.082033,0.081737,0.08235
149.65,,,,,,,4.8172,4.8421,4.9012,,,,,,,0.089182,0.088947,0.07607,0.072982,0.072742,0.073292
163.26,,,,,,,4.411,4.4355,4.4921,,,,,,,0.083302,0.083114,0.071961,0.065403,0.065218,0.065714
176.86,,,,,,,4.0231,4.0471,4.1004,0.65693,0.65789,0.6037,,,,0.077893,0.077751,0.06805,0.059054,0.058894,0.059346
190.47,,,,,,,3.6631,3.6865,3.7362,0.637,0.6382,0.58807,,,,0.072971,0.072863,0.06438,0.053671,0.053539,0.053953
204.07,,,,,,,3.3351,3.3579,3.4039,0.61698,0.6184,0.57196,,,,0.068486,0.068416,0.060955,0.049051,0.048955,0.049335
217.68,,,,,,,3.0401,3.0622,3.1046,0.59719,0.59882,0.55572,,,,0.064405,0.06436,0.057762,0.045057,0.044982,0.045333
231.28,,,,,,,2.775,2.7962,2.8353,0.57761,0.57943,0.53937,0.12685,0.12733,0.12849,0.060642,0.060629,0.054765,0.04156,0.041496,0.041822
