,1s,1s,1s,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,6.6639,6.62,6.4603,,,,,,,0.14913,0.14864,0.16198
27.21,,,,,,,,,,8.387,8.3565,8.3255,,,,,,,0.15412,0.15376,0.15994
40.81,,,,,,,,,,7.5205,7.5017,7.5099,,,,,,,0.12566,0.12553,0.12893
54.42,,,,,,,,,,6.218,6.2064,6.2277,,,,,,,0.10023,0.10017,0.10226
68.02,,,,,,,,,,5.0389,5.0326,5.0576,1.0501,1.0602,1.0235,,,,0.080178,0.080198,0.081575
81.63,,,,,,,,,,4.0249,4.0213,4.0456,1.061,1.0708,1.0369,,,,0.064916,0.065062,0.066024
95.23,,,,,,,,,,3.1975,3.196,3.218,1.0403,1.0497,1.0189,0.25379,0.25516,0.25773,0.053629,0.053725,0.054429
108.84,,,,,,,,,,2.5552,2.5546,2.574,1.0026,1.0115,0.98365,0.23547,0.23679,0.23899,0.045124,0.045174,0.045703
122.44,,,,,,,,,,2.0634,2.0639,2.0807,0.95683,0.96525,0.94001,0.21893,0.2202,0.22209,0.038453,0.038597,0.039008
136.05,,,,,,,,,,1.684,1.6848,1.6994,0.90721,0.91514,0.89225,0.20381,0.20503,0.20666,0.033381,0.033431,0.033757
149.65,,,,,,,,,,1.3859,1.387,1.3997,0.8559,0.8634,0.84258,0.18989,0.19107,0.19248,0.029169,0.029296,0.029557
163.26,,,,,,,,,,1.149,1.1503,1.1613,0.80443,0.81153,0.79257,0.17709,0.17823,0.17946,0.025874,0.025932,0.026146
176.86,,,,,,,,,,0.95968,0.96097,0.97048,0.75415,0.76088,0.74357,0.16539,0.16649,0.16756,0.023048,0.023165,0.023341
190.47,,,,,,,,,,0.80742,0.80886,0.81713,0.70614,0.71248,0.69663,0.15474,0.15581,0.15674,0.020807,0.020861,0.021008
204.07,,,,,,,,,,0.68452,0.686,0.69321,0.66103,0.667,0.65244,0.14508,0.14612,0.14693,0.01881,0.018921,0.019044
217.68,,,,,,,,,,0.5846,0.58597,0.59228,0.61901,0.62465,0.61123,0.13631,0.13732,0.13802,0.017216,0.017266,0.01737
