Category,ComponentName,ComponentLicense,ConflictingComponentName,ConflictingComponentLicense,ConflictingLicenseTerm,TermValue,ConflictingTermValue,TermDescription,ConflictingTermDescription
LEGAL,git.yoctoproject.org/git/meta-arm 4.0,Apache License 2.0,openbmc/openbmc 2.11.0,GNU General Public License v2.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,git.yoctoproject.org/git/meta-arm 4.0,Apache License 2.0,Yocto Project yocto-2.1,GNU General Public License v2.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
LEGAL,openbmc/openbmc 2.11.0,GNU General Public License v2.0 or later,Yocto Project dunfell-23.0.26,Apache License 2.0,Sub-License,FORBIDDEN,PERMITTED,You may not provide this software or modifications under a different license,You may provide the software or modifications to the software under a different license
LEGAL,Yocto Project dunfell-23.0.26,Apache License 2.0,Yocto Project yocto-2.1,GNU General Public License v2.0 or later,Sub-License,PERMITTED,FORBIDDEN,You may provide the software or modifications to the software under a different license,You may not provide this software or modifications under a different license
