,1s,1s,1s,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,,,,0.098398,0.098803,0.12616
27.21,,,,,,,,,,8.5908,8.645,8.4755,,,,,,,0.1322,0.13253,0.14706
40.81,,,,,,,,,,9.338,9.2747,9.2438,,,,,,,0.11584,0.1161,0.12436
54.42,,,,,,,,,,8.5746,8.6489,8.6743,,,,,,,0.096545,0.096725,0.10191
68.02,,,,,,,,,,7.6891,7.7396,7.7744,,,,,,,0.07982,0.07996,0.08344
81.63,,,,,,,,,,6.8365,6.7883,6.8329,0.86332,0.86757,0.80102,,,,0.066219,0.066371,0.068823
95.23,,,,,,,,,,5.8813,5.8619,5.9151,0.87865,0.88297,0.82109,,,,0.055499,0.055616,0.057414
108.84,,,,,,,,,,4.9606,5.0146,5.0644,0.87405,0.87837,0.82175,,,,0.047103,0.047178,0.048539
122.44,,,,,,,,,,4.2255,4.2783,4.3191,0.85699,0.86127,0.80979,0.2099,0.21069,0.21497,0.040451,0.040554,0.041613
136.05,,,,,,,,,,3.6562,3.6542,3.6893,0.83254,0.83675,0.79002,0.19792,0.19869,0.20247,0.035217,0.035277,0.036121
149.65,,,,,,,,,,3.1622,3.1292,3.1629,0.80358,0.80772,0.76527,0.18679,0.18755,0.1909,0.030932,0.031013,0.031697
163.26,,,,,,,,,,2.705,2.6912,2.7239,0.77222,0.77628,0.73766,0.17641,0.17716,0.18015,0.027465,0.027519,0.028083
176.86,,,,,,,,,,2.3012,2.3246,2.3541,0.7392,0.74318,0.708,0.16668,0.16742,0.17009,0.024548,0.024618,0.025089
190.47,,,,,,,,,,1.9772,2.0171,2.0416,0.7056,0.7095,0.67739,0.15758,0.15831,0.1607,0.022136,0.022184,0.022582
204.07,,,,,,,,,,1.73,1.756,1.7761,0.67187,0.67567,0.64634,0.14908,0.1498,0.15194,0.020054,0.020121,0.02046
217.68,,,,,,,,,,1.5342,1.5335,1.5509,0.63892,0.64263,0.61577,0.14121,0.14191,0.14384,0.018321,0.018363,0.018655
231.28,,,,,,,,,,1.3606,1.3431,1.3594,0.60697,0.61059,0.58594,0.13389,0.13459,0.13633,0.016786,0.016847,0.017101
