,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5p,5p,5p,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,,,,,,,,,,4.0037,4.0192,5.0136,,,
27.21,,,,,,,,,,,,,,,,,,,,,,,,,0.75634,0.75903,0.84923,0.21511,0.21529,0.14882
40.81,,,,,,,,,,,,,,,,,,,,,,,,,0.28897,0.29004,0.27921,0.19273,0.19293,0.14987
54.42,,,,,,,,,,,,,,,,2.4017,2.3772,2.1112,,,,,,,0.16837,0.16899,0.14294,0.1609,0.16111,0.13226
68.02,,,,,,,,,,,,,,,,0.85023,0.84202,0.68201,,,,,,,0.12384,0.12428,0.099027,0.13417,0.13438,0.11398
81.63,,,,,,,,,,,,,,,,0.4112,0.41209,0.30925,,,,,,,0.1012,0.10157,0.080038,0.11326,0.11347,0.09838
95.23,,,,,,,,,,,,,,,,0.35761,0.3639,0.29471,,,,,,,0.086966,0.087279,0.069405,0.096736,0.096938,0.085404
108.84,,,,,,,,,,,,,,,,0.43131,0.44086,0.3926,,,,,,,0.0769,0.077168,0.062337,0.083483,0.083681,0.074637
122.44,,,,,,,,,,,,,,,,0.53579,0.54731,0.51263,0.44463,0.44717,0.39212,,,,0.069252,0.069512,0.057116,0.072818,0.07301,0.065762
136.05,,,,,,,,,,,,,,,,0.63562,0.64834,0.6227,0.43251,0.43506,0.38484,,,,0.063198,0.063424,0.052966,0.064206,0.064393,0.058471
149.65,,,,,,,,,,,,,,,,0.71791,0.73129,0.71175,0.4196,0.42215,0.3763,,,,0.058185,0.058413,0.049503,0.057207,0.057389,0.052464
163.26,,,,,,,,,,,,,,,,0.7791,0.79278,0.77739,0.4065,0.40905,0.36709,0.13471,0.13571,0.12785,0.053979,0.054185,0.04652,0.051439,0.051617,0.047459
176.86,,,,,,,,,,,,,,,,0.82045,0.83418,0.82167,0.39347,0.39602,0.35753,0.12822,0.12922,0.12199,0.050323,0.050536,0.043881,0.04659,0.046765,0.04321
