,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5p,5p,5p,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,,,,,,,,,,6.7093,6.6899,7.9088,,,
27.21,,,,,,,,,,,,,,,,,,,,,,,,,1.3836,1.3821,1.4572,0.2311,0.23149,0.14975
40.81,,,,,,,,,,,,,,,,,,,,,,,,,0.5547,0.55472,0.50559,0.2144,0.21475,0.15865
54.42,,,,,,,,,,,,,,,,,,,,,,,,,0.33259,0.33283,0.27052,0.18434,0.18465,0.14553
68.02,,,,,,,,,,,,,,,,,,,,,,,,,0.24952,0.24979,0.19418,0.15715,0.15743,0.12897
81.63,,,,,,,,,,,,,,,,0.39455,0.39929,0.32017,,,,,,,0.20694,0.20721,0.161,0.13495,0.13521,0.11369
95.23,,,,,,,,,,,,,,,,0.44115,0.44949,0.38653,,,,,,,0.17947,0.17974,0.14183,0.11687,0.11712,0.10036
108.84,,,,,,,,,,,,,,,,0.53766,0.54821,0.49668,,,,,,,0.15946,0.15973,0.12848,0.10197,0.10221,0.088856
122.44,,,,,,,,,,,,,,,,0.63847,0.65037,0.60729,,,,,,,0.14383,0.1441,0.1181,0.089574,0.089803,0.078975
136.05,,,,,,,,,,,,,,,,0.72781,0.74052,0.7038,,,,,,,0.13112,0.1314,0.10954,0.079304,0.079523,0.070598
149.65,,,,,,,,,,,,,,,,0.80023,0.8134,0.78154,0.42752,0.43017,0.38754,,,,0.1205,0.12079,0.10221,0.070797,0.071008,0.063538
163.26,,,,,,,,,,,,,,,,0.85414,0.8675,0.83941,0.4144,0.41704,0.37781,,,,0.11145,0.11173,0.095793,0.06372,0.063923,0.057584
176.86,,,,,,,,,,,,,,,,0.89055,0.90393,0.8788,0.40142,0.40404,0.36786,,,,0.10363,0.10392,0.090111,0.05777,0.057968,0.052521
190.47,,,,,,,,,,,,,,,,0.91192,0.92515,0.90244,0.38871,0.39131,0.35786,,,,0.096783,0.097073,0.085008,0.052694,0.052886,0.048159
