,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4p,4p,4p,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,0.6363,0.63541,0.89669,0.099779,0.1001,0.12114
27.21,,,,,,,,,,,,,,,,0.086345,0.087109,0.12277,0.16895,0.16851,0.18244
40.81,,,,,,,8.1207,8.1087,7.9601,,,,,,,0.026519,0.026774,0.032785,0.15905,0.15773,0.16628
54.42,,,,,,,8.3964,8.4013,8.349,,,,,,,0.016004,0.015928,0.015647,0.13233,0.13272,0.13829
68.02,,,,,,,8.243,8.2579,8.2583,,,,,,,0.013617,0.013431,0.011656,0.11023,0.10933,0.11315
81.63,,,,,,,7.8088,7.8146,7.8439,,,,,,,0.01235,0.01246,0.010485,0.090239,0.090595,0.093352
95.23,,,,,,,7.1708,7.1747,7.2192,,,,,,,0.011643,0.011683,0.0098761,0.076728,0.076173,0.078227
108.84,,,,,,,6.4598,6.4735,6.5245,0.76081,0.76223,0.68808,,,,0.011117,0.010939,0.0093546,0.064961,0.064978,0.066601
122.44,,,,,,,5.7777,5.7983,5.8505,0.75762,0.75922,0.69081,,,,0.010025,0.010205,0.0088449,0.056119,0.056214,0.057477
136.05,,,,,,,5.1617,5.1794,5.2303,0.74766,0.74942,0.68647,,,,0.009675,0.0095136,0.0083489,0.049574,0.049149,0.050191
149.65,,,,,,,4.6082,4.6192,4.668,0.73234,0.73423,0.67642,,,,0.0087509,0.0088812,0.007874,0.043245,0.043414,0.044283
163.26,,,,,,,4.1043,4.1128,4.159,0.71284,0.71486,0.66185,0.16776,0.1681,0.17094,0.0084005,0.0082887,0.0074236,0.038651,0.038726,0.039438
176.86,,,,,,,3.6479,3.6596,3.7027,0.69067,0.69279,0.64421,0.15969,0.16005,0.16264,0.0076422,0.0077591,0.007002,0.035122,0.03481,0.035425
190.47,,,,,,,3.2414,3.2577,3.2974,0.66699,0.66921,0.62465,0.15217,0.15254,0.15492,0.0073835,0.0072672,0.0066097,0.031465,0.03153,0.032068
204.07,,,,,,,2.8874,2.9055,2.9415,0.64287,0.64516,0.60423,0.14517,0.14557,0.14775,0.0066845,0.0068283,0.0062467,0.02857,0.02877,0.029226
