,1s,1s,1s,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,3.1395,3.1407,3.1789,,,,,,,0.20299,0.20396,0.15137
27.21,,,,,,,,,,2.3408,2.3406,2.3587,,,,,,,0.16455,0.16404,0.14237
40.81,,,,,,,,,,1.5314,1.5324,1.5433,1.2516,1.2697,1.2825,,,,0.12183,0.1215,0.11049
54.42,,,,,,,,,,1.0056,1.0062,1.0135,1.3371,1.3551,1.3719,,,,0.091064,0.090737,0.08438
68.02,,,,,,,,,,0.6695,0.66881,0.67374,1.3178,1.3347,1.35,0.32234,0.32357,0.30899,0.069624,0.069682,0.065657
81.63,,,,,,,,,,0.45927,0.46002,0.46358,1.2472,1.2627,1.2754,0.28931,0.29054,0.2789,0.054761,0.055272,0.052558
95.23,,,,,,,,,,0.32878,0.32833,0.33099,1.1582,1.1725,1.1827,0.26068,0.2619,0.25245,0.045088,0.045115,0.043192
108.84,,,,,,,,,,0.24051,0.24104,0.24308,1.0641,1.0772,1.0852,0.23544,0.23662,0.22884,0.037699,0.037699,0.036259
122.44,,,,,,,,,,0.18116,0.18089,0.18247,0.97064,0.98256,0.98872,0.21308,0.21423,0.20776,0.031727,0.032067,0.030975
136.05,,,,,,,,,,0.13817,0.13845,0.13973,0.8819,0.8928,0.89744,0.19344,0.19457,0.18912,0.027835,0.02772,0.026861
149.65,,,,,,,,,,0.10795,0.10801,0.10903,0.8006,0.81058,0.814,0.17631,0.17743,0.17279,0.023966,0.024282,0.023593
163.26,,,,,,,,,,0.085724,0.085641,0.086488,0.72747,0.73663,0.73907,0.16137,0.16246,0.15848,0.021583,0.021497,0.020936
176.86,,,,,,,,,,0.068593,0.068881,0.069578,0.66204,0.67049,0.67213,0.14825,0.14931,0.14586,0.018914,0.019191,0.018724
190.47,,,,,,,,,,0.056121,0.056065,0.056644,0.60333,0.61114,0.61214,0.13659,0.13763,0.13461,0.017303,0.017233,0.016841
204.07,,,,,,,,,,0.046104,0.046116,0.046614,0.55058,0.5578,0.55829,0.12618,0.12719,0.12454,0.015305,0.015546,0.015215
