,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,5.7953,5.7818,5.5134,,,,,,,0.10861,0.10839,0.084119
27.21,,,,,,,,,,,,,,,,1.342,1.3387,1.2376,,,,,,,0.10833,0.10649,0.095736
40.81,,,,,,,,,,,,,,,,0.25485,0.25386,0.21383,0.53086,0.53083,0.53407,,,,0.084183,0.082801,0.077393
54.42,,,,,,,,,,,,,,,,0.044811,0.044507,0.027189,0.43052,0.42948,0.36447,0.23763,0.23681,0.22901,0.063793,0.06285,0.0598
68.02,,,,,,,,,,,,,,,,0.016482,0.016458,0.0085206,0.39682,0.3955,0.31388,0.21352,0.21286,0.20704,0.048906,0.048823,0.046944
81.63,,,,,,,,,,,,,,,,0.022728,0.022906,0.01932,0.37752,0.3762,0.29561,0.19208,0.19155,0.18713,0.038821,0.039109,0.0379
95.23,,,,,,,,,,,,,,,,0.032401,0.03269,0.031274,0.36047,0.35928,0.28526,0.17284,0.17241,0.16901,0.032687,0.032206,0.03138
108.84,,,,,,,,,,,,,,,,0.039378,0.039677,0.03939,0.34312,0.3421,0.27607,0.15563,0.15529,0.15266,0.027192,0.027142,0.026538
122.44,,,,,,,,,,,,,,,,0.043062,0.043466,0.043772,0.32523,0.32439,0.26627,0.14056,0.14031,0.13824,0.023213,0.023281,0.022859
136.05,,,,,,,,,,,,,,,,0.044363,0.044714,0.045318,0.30729,0.30662,0.25569,0.12754,0.12736,0.12573,0.02061,0.020316,0.019989
149.65,,,,,,,,,,,,,,,,0.04383,0.044231,0.044966,0.28986,0.28935,0.2447,0.11626,0.11613,0.11484,0.017714,0.017913,0.017675
163.26,,,,,,,,,,,,,,,,0.04235,0.042716,0.043498,0.27324,0.27289,0.23363,0.10637,0.10629,0.10527,0.016212,0.015936,0.015748
176.86,,,,,,,3.5749,3.6101,3.6612,,,,,,,0.04027,0.040653,0.04143,0.25746,0.25725,0.22263,0.097621,0.097583,0.096765,0.014058,0.014242,0.014103
190.47,,,,,,,3.3555,3.39,3.4382,,,,,,,0.037966,0.038311,0.039061,0.24255,0.24246,0.21182,0.089861,0.08986,0.089209,0.01299,0.012797,0.012684
204.07,,,,,,,3.145,3.1786,3.2238,,,,,,,0.035493,0.035863,0.036568,0.22852,0.22855,0.20135,0.082976,0.083008,0.082491,0.011435,0.011536,0.011455
217.68,,,,,,,2.9443,2.977,3.0192,,,,,,,0.033114,0.03342,0.034074,0.21545,0.21557,0.19134,0.076875,0.076936,0.076528,0.010506,0.01046,0.010391
231.28,,,,,,,2.7552,2.787,2.8261,,,,,,,0.030706,0.031062,0.031664,0.20332,0.20354,0.18187,0.071448,0.071534,0.071214,0.0095659,0.0095124,0.0094668
244.89,,,,,,,2.579,2.6097,2.646,,,,,,,0.028565,0.028838,0.029389,0.19211,0.1924,0.17295,0.066589,0.066699,0.066451,0.0085711,0.0087021,0.0086619
258.49,,,,,,,2.4151,2.4448,2.4784,,,,,,,0.026441,0.02676,0.027264,0.1817,0.18207,0.16454,0.06221,0.06234,0.062151,0.0081477,0.0079852,0.0079577
272.1,,,,,,,2.2627,2.2915,2.3224,,,,,,,0.024557,0.024832,0.025289,0.17203,0.17246,0.15662,0.058246,0.058394,0.058255,0.0072068,0.0073588,0.0073396
285.7,,,,,,,2.1206,2.1484,2.177,,,,,,,0.022783,0.02304,0.023457,0.16301,0.1635,0.14914,0.054643,0.054808,0.054709,0.0068564,0.0068121,0.0067948
299.31,,,,,,,1.988,2.0149,2.0411,,,,,,,0.021096,0.021381,0.021758,0.1546,0.15514,0.14208,0.051368,0.051548,0.051482,0.0063661,0.0063206,0.0063134
312.91,,,,,,,1.865,1.8909,1.915,0.43416,0.43915,0.41333,,,,0.019632,0.019853,0.020195,0.14678,0.14736,0.13546,0.048389,0.048582,0.048544,0.0057482,0.005893,0.0058864
326.52,,,,,,,1.7508,1.7758,1.7978,0.42192,0.42701,0.40252,,,,0.0182,0.018446,0.018757,0.13949,0.14012,0.12924,0.04567,0.045876,0.04586,0.0056097,0.005509,0.0055053
