,1s,1s,1s,2p,2p,2p,2s,2s,2s,3p,3p,3p,3s,3s,3s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,
13.6,,,,,,,,,,0.10972,0.10783,0.053992,0.37253,0.3715,0.14185
27.21,,,,,,,,,,0.11844,0.11781,0.11026,0.35646,0.35552,0.22853
40.81,,,,,,,,,,0.12106,0.12101,0.12034,0.27628,0.27545,0.20358
54.42,,,,,,,,,,0.099409,0.099145,0.099778,0.20863,0.20789,0.16417
68.02,,,,,,,,,,0.076675,0.0763,0.077065,0.16029,0.15974,0.13121
81.63,,,,3.3627,3.3829,3.4163,,,,0.058178,0.058632,0.059309,0.12663,0.12625,0.10651
95.23,,,,2.8657,2.887,2.9158,,,,0.045045,0.045699,0.046292,0.10276,0.1024,0.088104
108.84,,,,2.4485,2.4701,2.4947,,,,0.036443,0.036243,0.036721,0.085026,0.08481,0.074095
122.44,,,,2.0993,2.1198,2.1404,0.31158,0.31146,0.28553,0.028785,0.029232,0.029607,0.071696,0.071484,0.063234
136.05,,,,1.8092,1.8276,1.8449,0.28898,0.28905,0.26636,0.023824,0.023942,0.024261,0.061295,0.061186,0.054686
149.65,,,,1.5695,1.5857,1.6001,0.26844,0.26864,0.24867,0.019799,0.019948,0.020192,0.05322,0.053104,0.047881
163.26,,,,1.3706,1.3849,1.397,0.24991,0.25023,0.23256,0.016609,0.016824,0.017035,0.046695,0.046656,0.042385
176.86,,,,1.2035,1.2166,1.2268,0.23318,0.23361,0.2179,0.014275,0.014368,0.01453,0.041451,0.04141,0.037864
190.47,,,,1.0615,1.074,1.0825,0.21797,0.21852,0.20448,0.012198,0.012355,0.012497,0.037055,0.037051,0.034071
204.07,,,,0.9397,0.95194,0.95902,0.20403,0.20471,0.1921,0.010564,0.010712,0.010819,0.033339,0.033362,0.030831
217.68,,,,0.8349,0.84697,0.8528,0.19121,0.192,0.18065,0.0092851,0.0093221,0.0094176,0.030176,0.030191,0.028023
231.28,,,,0.74462,0.7564,0.76113,0.17938,0.18028,0.17003,0.0079343,0.0081653,0.0082378,0.02738,0.027436,0.025565
244.89,,,,0.6668,0.6781,0.68188,0.16851,0.1695,0.1602,0.007234,0.0071781,0.0072401,0.024976,0.025029,0.023402
258.49,,,,0.59955,0.61014,0.6131,0.15853,0.15959,0.15113,0.0061113,0.0063416,0.0063921,0.022859,0.022914,0.02149
272.1,,,,0.54121,0.55095,0.55321,0.14938,0.15049,0.14277,0.0056312,0.0056305,0.0056686,0.020966,0.02105,0.019797
285.7,,,,0.49022,0.49907,0.50074,0.14099,0.14213,0.13506,0.0049349,0.0050129,0.0050474,0.019325,0.019402,0.018292
299.31,,,,0.44535,0.45335,0.45453,0.13325,0.13441,0.12792,0.0043356,0.0044878,0.0045116,0.017858,0.017934,0.016946
312.91,,,,0.40562,0.4129,0.41367,0.12612,0.12729,0.12131,0.0040703,0.0040275,0.0040473,0.016527,0.016626,0.015743
326.52,,,,0.3702,0.37693,0.37734,0.11949,0.12067,0.11516,0.0034915,0.0036268,0.003643,0.015358,0.015452,0.014658
340.12,,,,0.33855,0.34488,0.34499,0.11332,0.11452,0.10941,0.003211,0.0032809,0.0032901,0.014307,0.014394,0.013678
353.73,,,,0.31019,0.31626,0.31611,0.10756,0.10878,0.10404,0.0029964,0.0029726,0.0029809,0.013334,0.013437,0.01279
367.33,,,,0.28473,0.29064,0.29026,0.10218,0.10342,0.099016,0.0025745,0.0027038,0.002709,0.012465,0.012571,0.011982
380.94,,,,0.26192,0.2677,0.26712,0.097152,0.098416,0.094318,0.0024291,0.0024687,0.0024694,0.01169,0.011784,0.011247
394.54,,,,0.24143,0.24709,0.24633,0.092459,0.093746,0.08992,0.0022724,0.0022566,0.0022572,0.010966,0.011068,0.010577
408.15,,,,0.223,0.22849,0.22757,0.088073,0.08938,0.085801,0.0019611,0.0020699,0.0020684,0.010302,0.010414,0.0099637
421.75,,,,0.20645,0.21173,0.21067,0.083985,0.085308,0.081953,0.0018642,0.0019048,0.0019002,0.0097119,0.0098173,0.0094026
435.36,,,,0.19151,0.19652,0.19534,0.08016,0.081493,0.07834,0.0017749,0.0017536,0.0017492,0.0091695,0.009269,0.0088863
448.96,,,,0.17799,0.18268,0.1814,0.07658,0.077917,0.074949,0.0015366,0.0016184,0.0016131,0.0086552,0.0087646,0.0084104
462.57,,,,0.16575,0.17009,0.16873,0.073225,0.074559,0.071761,0.0014413,0.0014982,0.0014904,0.0081848,0.0082992,0.0079704
476.17,,,,0.1546,0.15859,0.15716,0.070071,0.071398,0.068754,0.0014116,0.0013869,0.0013792,0.0077621,0.0078678,0.0075618
489.78,,,,0.14441,0.14806,0.14659,0.067104,0.068419,0.065917,0.0012421,0.0012857,0.0012781,0.0073648,0.0074671,0.0071818
503.38,,,,0.13509,0.13843,0.13691,0.064307,0.065608,0.063238,0.0011227,0.0011956,0.0011863,0.0069838,0.0070941,0.0068276
516.99,,,,0.1265,0.12959,0.12804,0.061666,0.062951,0.060702,0.0011202,0.0011124,0.0011025,0.0066334,0.0067463,0.0064965
530.59,,,,0.1186,0.12147,0.1199,0.059169,0.06044,0.058302,0.0010347,0.0010353,0.0010261,0.0063166,0.0064213,0.0061869
544.2,,,,0.11129,0.11401,0.11243,0.05681,0.058068,0.056033,0.0008996,0.00096611,0.0009563,0.0060169,0.0061176,0.0058972
557.8,,,,0.10453,0.10713,0.10554,0.054576,0.055823,0.053884,0.00087335,0.00090327,0.0008924,0.0057269,0.0058333,0.0056258
571.41,,,,0.098268,0.10079,0.099193,0.05246,0.053698,0.051847,0.00086449,0.00084429,0.00083385,0.0054575,0.0055671,0.0053711
585.01,,,,0.092468,0.09493,0.093332,0.050457,0.051688,0.049919,0.00076351,0.00079017,0.00078014,0.0052144,0.0053177,0.0051324
598.62,,,,0.087094,0.089507,0.087908,0.048557,0.049782,0.048089,0.00068558,0.00074157,0.00073078,0.004986,0.0050836,0.0049081
612.22,,,,0.082116,0.084478,0.08288,0.046755,0.047975,0.046353,0.00069194,0.00069651,0.00068535,0.0047633,0.0048637,0.0046973
625.83,,,,0.077506,0.079807,0.078212,0.04504,0.046255,0.044699,0.00066848,0.00065399,0.00064348,0.0045518,0.0046567,0.0044986
639.43,,,,0.073246,0.07547,0.073879,0.043419,0.044628,0.043132,0.00058113,0.00061524,0.00060491,0.0043606,0.0044627,0.0043121
653.04,,,,0.069301,0.07143,0.069846,0.041874,0.043076,0.041637,0.00053771,0.00058019,0.00056928,0.0041842,0.0042794,0.0041359
666.64,,,,0.065649,0.067664,0.066089,0.040405,0.041597,0.040212,0.00055153,0.00054728,0.00053634,0.0040129,0.0041065,0.0039696
680.25,,,,0.062268,0.064154,0.06259,0.039009,0.04019,0.038854,0.00052685,0.00051619,0.00050587,0.0038459,0.0039436,0.0038128
693.85,,,,0.059126,0.060872,0.059321,0.037676,0.038843,0.037554,0.00045659,0.00048779,0.00047763,0.0036903,0.0037894,0.0036641
707.46,,,,0.056204,0.057805,0.056271,0.036408,0.03756,0.036314,0.00042709,0.00046202,0.00045144,0.0035496,0.0036438,0.0035237
721.06,,,,0.053477,0.054935,0.053418,0.0352,0.036334,0.03513,0.00044223,0.00043765,0.00042712,0.0034172,0.003506,0.0033908
734.67,,,,0.050926,0.052249,0.050752,0.034049,0.035164,0.033999,0.000426,0.00041447,0.00040451,0.0032866,0.0033757,0.003265
748.27,,,,0.048529,0.049728,0.048252,0.032949,0.034045,0.032916,0.00036969,0.00039318,0.00038344,0.0031597,0.0032521,0.0031457
761.88,,,,0.046272,0.047363,0.045909,0.031898,0.032975,0.031881,0.0003418,0.0003738,0.00036379,0.0030429,0.0031351,0.0030325
775.48,,,,0.044139,0.04514,0.043709,0.030895,0.031952,0.030891,0.0003553,0.00035544,0.00034542,0.0029369,0.0030241,0.0029252
789.09,,,,0.042122,0.043051,0.041644,0.029935,0.030974,0.029943,0.00035185,0.00033778,0.00032825,0.0028359,0.0029187,0.0028233
802.69,,,,0.040209,0.041082,0.0397,0.029015,0.030037,0.029035,0.00030882,0.00032134,0.00031214,0.0027354,0.0028184,0.0027263
816.3,,,,0.038395,0.039229,0.03787,0.028133,0.029139,0.028165,0.00027663,0.00030637,0.00029704,0.0026374,0.0027231,0.0026339
829.9,,,,0.036676,0.037481,0.036146,0.027287,0.028278,0.027331,0.00028352,0.00029226,0.00028284,0.0025469,0.0026323,0.002546
