,1s,1s,1s,2p,2p,2p,2s,2s,2s,3p,3p,3p,3s,3s,3s,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,0.20383,0.20462,0.13225
27.21,,,,,,,,,,,,,,,,0.15638,0.15474,0.12561
40.81,,,,,,,,,,1.3311,1.3494,1.3696,,,,0.11274,0.11164,0.097028
54.42,,,,,,,,,,1.3955,1.4136,1.4391,0.36599,0.36632,0.3381,0.083116,0.082237,0.073854
68.02,,,,,,,,,,1.3473,1.364,1.3873,0.32365,0.32411,0.30237,0.062881,0.06285,0.057546
81.63,,,,,,,,,,1.2532,1.2685,1.2881,0.28756,0.28816,0.27101,0.049085,0.049799,0.046226
95.23,,,,,,,,,,1.1457,1.1596,1.1756,0.25647,0.25716,0.24338,0.040843,0.040648,0.038115
108.84,,,,,,,,,,1.0367,1.0494,1.0623,0.22939,0.2301,0.21888,0.034074,0.033993,0.032089
122.44,,,,,,,,,,0.93266,0.94414,0.95447,0.20588,0.20662,0.19737,0.028491,0.028925,0.027487
136.05,,,,,,,,,,0.83761,0.84806,0.85627,0.18564,0.18642,0.17869,0.02534,0.02503,0.023891
149.65,,,,,,,,,,0.75296,0.7625,0.769,0.16823,0.16904,0.16252,0.021469,0.021919,0.021009
163.26,,,,,,,,,,0.6781,0.68685,0.69197,0.15314,0.15397,0.1484,0.019639,0.019377,0.018634
176.86,,,,,,,,,,0.61177,0.61981,0.62381,0.13993,0.14075,0.13596,0.016852,0.017244,0.01663
190.47,,,,,,,,,,0.55288,0.56027,0.56337,0.12826,0.12907,0.12492,0.01564,0.015427,0.014911
204.07,,,,,,,,,,0.50065,0.50747,0.50982,0.11792,0.11873,0.1151,0.013537,0.013858,0.013426
217.68,,,,,,,,,,0.45445,0.46076,0.4625,0.10875,0.10956,0.10637,0.012618,0.012513,0.012138
231.28,,,,,,,,,,0.41365,0.41949,0.42073,0.10061,0.10142,0.098599,0.01118,0.011333,0.011018
244.89,,,,,,,,,,0.37752,0.38295,0.38378,0.093361,0.094168,0.091654,0.010216,0.010326,0.010044
258.49,,,,,,,,,,0.34541,0.35046,0.35095,0.086876,0.087667,0.085417,0.0095063,0.0094308,0.0091912
272.1,,,,,,,,,,0.31674,0.32144,0.32165,0.081034,0.081807,0.079782,0.0083915,0.0086572,0.0084427
285.7,,,,,,,,,,0.29104,0.29543,0.29541,0.075741,0.0765,0.074668,0.0080695,0.0079742,0.0077827
299.31,,,,,,,,,,0.26796,0.27207,0.27185,0.070927,0.071677,0.070014,0.0072503,0.0073647,0.0071986
312.91,,,,,,,,,,0.24722,0.25106,0.25069,0.066544,0.067288,0.06577,0.0066803,0.0068348,0.0066801
326.52,,,,,,,,,,0.22855,0.23215,0.23165,0.06255,0.063287,0.061897,0.0064547,0.006355,0.0062182
340.12,,,,,,,,,,0.21171,0.21509,0.21448,0.058908,0.059634,0.058356,0.005753,0.0059277,0.0058051
353.73,,,,,,,,,,0.19649,0.19966,0.19897,0.05558,0.056291,0.055111,0.0054695,0.0055496,0.0054336
367.33,,,,0.53302,0.5434,0.53845,,,,0.18269,0.18567,0.18491,0.052527,0.053221,0.052127,0.0052728,0.0052005,0.0050976
380.94,,,,0.50777,0.51762,0.51255,,,,0.17013,0.17294,0.17212,0.049716,0.050393,0.049376,0.0047148,0.0048863,0.0047921
394.54,,,,0.48402,0.49337,0.4882,,,,0.15868,0.16133,0.16046,0.047116,0.047779,0.046831,0.0045339,0.0046032,0.0045128
408.15,,,,0.46167,0.47052,0.46528,,,,0.14822,0.15071,0.14981,0.044705,0.045358,0.044471,0.0044014,0.0043374,0.0042564
421.75,,,,0.44063,0.44902,0.44372,,,,0.13865,0.141,0.14007,0.042468,0.043111,0.04228,0.0039521,0.004095,0.0040204
435.36,,,,0.42083,0.42878,0.42343,0.094617,0.097849,0.095361,0.12988,0.1321,0.13115,0.04039,0.041025,0.040243,0.0037801,0.0038753,0.0038026
