,1s,1s,1s,2p,2p,2p,2s,2s,2s,3p,3p,3p,3s,3s,3s,4s,4s,4s
448.96,,,,0.4022,0.40972,0.40434,0.092148,0.095331,0.092909,0.12184,0.12393,0.12297,0.038459,0.039084,0.038347,0.0037313,0.0036678,0.0036015
462.57,,,,0.38466,0.39177,0.38637,0.089771,0.092907,0.090546,0.11445,0.11643,0.11546,0.036666,0.037278,0.03658,0.003387,0.0034761,0.0034154
476.17,,,,0.36812,0.37485,0.36944,0.087483,0.090571,0.088267,0.10765,0.10952,0.10855,0.034996,0.035593,0.034932,0.0031696,0.0033027,0.0032431
489.78,,,,0.35251,0.35887,0.35346,0.085278,0.088319,0.086069,0.10138,0.10315,0.10217,0.033438,0.03402,0.033392,0.0031765,0.0031394,0.0030833
503.38,,,,0.33776,0.34376,0.33836,0.083152,0.086145,0.083946,0.095581,0.097262,0.096283,0.03198,0.032548,0.03195,0.0029726,0.0029857,0.0029348
516.99,,,,0.3238,0.32946,0.32408,0.0811,0.084044,0.081894,0.090214,0.091808,0.090832,0.030612,0.031167,0.030598,0.002704,0.0028462,0.0027968
530.59,,,,0.31058,0.31592,0.31055,0.079115,0.082011,0.079907,0.085238,0.086748,0.085778,0.029326,0.029871,0.029326,0.0026819,0.0027166,0.0026682
544.2,,,,0.29805,0.30308,0.29774,0.077196,0.080044,0.077983,0.080618,0.08205,0.081088,0.028115,0.028651,0.02813,0.0026367,0.0025926,0.0025482
557.8,,,,0.28618,0.2909,0.2856,0.07534,0.078139,0.076119,0.076324,0.077682,0.076729,0.026975,0.027503,0.027003,0.0023939,0.0024779,0.0024361
571.41,,,,0.27492,0.27936,0.2741,0.073544,0.076295,0.074315,0.07233,0.073618,0.072676,0.025902,0.02642,0.02594,0.0022616,0.002373,0.0023314
585.01,,,,0.26425,0.26842,0.2632,0.071809,0.074512,0.072569,0.06861,0.069833,0.068903,0.024891,0.0254,0.024938,0.0022912,0.0022734,0.0022334
598.62,,,,0.25413,0.25803,0.25286,0.070132,0.072787,0.07088,0.065143,0.066304,0.065386,0.023939,0.024436,0.023991,0.0021911,0.0021783,0.0021415
612.22,,,,0.24451,0.24817,0.24304,0.068512,0.071119,0.069246,0.061907,0.063009,0.062104,0.023041,0.023526,0.023097,0.0019863,0.0020909,0.0020553
625.83,,,,0.23538,0.23879,0.23372,0.066946,0.069505,0.067665,0.058882,0.059928,0.059038,0.022193,0.022665,0.02225,0.0019329,0.0020099,0.0019742
639.43,,,,0.22669,0.22987,0.22486,0.065431,0.067943,0.066134,0.056051,0.057045,0.056168,0.02139,0.021851,0.021449,0.0019629,0.0019319,0.0018979
653.04,,,,0.21841,0.22138,0.21642,0.063965,0.06643,0.064651,0.053397,0.054342,0.05348,0.020628,0.021078,0.020689,0.001851,0.0018573,0.0018258
666.64,,,,0.21053,0.21328,0.20839,0.062546,0.064964,0.063213,0.050908,0.051805,0.050958,0.019904,0.020345,0.019968,0.0016865,0.0017886,0.0017577
680.25,,,,0.20302,0.20557,0.20073,0.06117,0.063541,0.061818,0.04857,0.049422,0.04859,0.019216,0.019649,0.019283,0.0016623,0.0017243,0.0016931
693.85,,,,0.19585,0.19821,0.19344,0.059835,0.062161,0.060463,0.046372,0.047182,0.046364,0.018561,0.018987,0.018631,0.0016912,0.0016616,0.0016319
707.46,,,,0.18901,0.19118,0.18648,0.058541,0.06082,0.059149,0.044304,0.045074,0.044271,0.017938,0.018356,0.01801,0.0015948,0.0016015,0.0015738
721.06,,,,0.18249,0.18448,0.17984,0.057286,0.05952,0.057872,0.042358,0.043088,0.042301,0.017346,0.017756,0.017419,0.001454,0.0015458,0.0015185
734.67,,,,0.17626,0.17808,0.1735,0.056069,0.058257,0.056634,0.040524,0.041218,0.040446,0.016783,0.017184,0.016856,0.0014307,0.0014935,0.0014659
748.27,,,,0.17031,0.17196,0.16746,0.054889,0.057032,0.055431,0.038795,0.039454,0.038697,0.016247,0.016639,0.016319,0.0014651,0.0014425,0.0014159
761.88,,,,0.16463,0.16612,0.16168,0.053745,0.055843,0.054265,0.037163,0.037789,0.037047,0.015736,0.016119,0.015806,0.0013999,0.0013932,0.0013683
775.48,,,,0.15919,0.16054,0.15617,0.052635,0.054689,0.053132,0.035622,0.036216,0.035488,0.01525,0.015622,0.015317,0.0012732,0.0013473,0.0013229
789.09,,,,0.154,0.1552,0.15089,0.051559,0.053569,0.052033,0.034165,0.034729,0.034016,0.014785,0.015148,0.01485,0.0012321,0.0013043,0.0012797
802.69,,,,0.14902,0.15008,0.14584,0.050514,0.052481,0.050965,0.032786,0.033321,0.032622,0.014341,0.014695,0.014403,0.0012684,0.0012626,0.0012385
816.3,,,,0.14425,0.14518,0.14101,0.0495,0.051424,0.049927,0.031479,0.031987,0.031303,0.013915,0.014261,0.013976,0.0012446,0.0012219,0.0011991
829.9,,,,0.13968,0.14048,0.13638,0.048515,0.050396,0.048918,0.030241,0.030723,0.030052,0.013507,0.013845,0.013566,0.001137,0.0011835,0.0011616
843.51,,,,0.1353,0.13598,0.13194,0.047558,0.049397,0.047937,0.029066,0.029523,0.028866,0.013115,0.013448,0.013174,0.0010684,0.0011479,0.0011258
857.11,,,,0.1311,0.13165,0.12769,0.046627,0.048424,0.046982,0.027951,0.028384,0.027741,0.01274,0.013066,0.012798,0.0010896,0.0011137,0.0010915
870.72,,,,0.12706,0.12751,0.12361,0.045722,0.047477,0.046053,0.026891,0.027302,0.026672,0.01238,0.0127,0.012437,0.0011067,0.00108,0.0010588
884.32,,,,0.12319,0.12353,0.1197,0.044842,0.046556,0.045149,0.025885,0.026273,0.025657,0.012035,0.012348,0.012091,0.0010382,0.0010476,0.0010275
897.93,,,,0.11948,0.11971,0.11595,0.043986,0.045659,0.044269,0.024928,0.025296,0.024692,0.011704,0.012011,0.011758,0.00094911,0.0010176,0.00099756
911.53,,,,0.11591,0.11604,0.11234,0.043153,0.044786,0.043412,0.024017,0.024365,0.023774,0.011388,0.011687,0.011439,0.00093276,0.00098919,0.0009689
925.14,,,,0.11248,0.11252,0.10888,0.042343,0.043936,0.042578,0.02315,0.023479,0.0229,0.011084,0.011375,0.011131,0.00096719,0.00096138,0.00094145
938.74,,,,0.10918,0.10913,0.10556,0.041555,0.043109,0.041767,0.022324,0.022635,0.022069,0.010792,0.011075,0.010836,0.00095532,0.00093409,0.00091516
952.35,,,,0.10602,0.10587,0.10237,0.040788,0.042304,0.040976,0.021537,0.02183,0.021276,0.010511,0.010787,0.010552,0.00087727,0.00090825,0.00088994
965.95,,,,0.10297,0.10274,0.099303,0.040043,0.041519,0.040207,0.020787,0.021063,0.02052,0.010241,0.01051,0.010278,0.00081699,0.00088419,0.00086575
979.56,,,,0.10003,0.099726,0.096351,0.039317,0.040755,0.039458,0.02007,0.020331,0.019799,0.0099807,0.010243,0.010015,0.00082628,0.00086111,0.00084252
993.16,,,,0.097209,0.096823,0.093511,0.03861,0.040011,0.038728,0.019386,0.019631,0.019111,0.0097294,0.0099854,0.0097616,0.00085591,0.00083826,0.00082018
1006.77,,,,0.094488,0.094028,0.090777,0.037922,0.039285,0.038016,0.018732,0.018962,0.018454,0.0094868,0.0097373,0.0095172,0.00082924,0.00081591,0.0007987
1020.37,,,,0.091865,0.091335,0.088144,0.037251,0.038578,0.037323,0.018107,0.018323,0.017825,0.0092527,0.0094981,0.0092815,0.00075685,0.00079484,0.00077802
1033.98,,,,0.089337,0.088738,0.085608,0.036597,0.037888,0.036646,0.017509,0.017712,0.017224,0.0090268,0.0092673,0.009054,0.00071478,0.0007751,0.00075809
1047.58,,,,0.086899,0.086235,0.083165,0.03596,0.037214,0.035986,0.016937,0.017126,0.01665,0.0088089,0.0090444,0.0088344,0.00073185,0.00075596,0.00073888
1061.19,,,,0.084547,0.083822,0.08081,0.035338,0.036557,0.035342,0.016389,0.016566,0.016099,0.0085989,0.0088291,0.0086222,0.00075654,0.0007369,0.00072034
1074.79,,,,0.082279,0.081494,0.07854,0.034732,0.035916,0.034714,0.015864,0.01603,0.015573,0.0083964,0.0086211,0.0084173,0.00072833,0.00071827,0.00070244
1088.4,,,,0.080091,0.079249,0.076352,0.034141,0.03529,0.034101,0.015362,0.015516,0.015069,0.0082013,0.0084201,0.0082193,0.00066411,0.0007007,0.00068517
1102.0,,,,0.077979,0.077083,0.074242,0.033564,0.034679,0.033503,0.01488,0.015023,0.014585,0.0080131,0.0082258,0.0080279,0.00062883,0.00068419,0.00066848
1115.61,,,,0.07594,0.074992,0.072206,0.033001,0.034083,0.032919,0.014418,0.01455,0.014122,0.0078314,0.0080379,0.0078428,0.00064513,0.00066814,0.00065236
1129.21,,,,0.07397,0.072973,0.070242,0.032453,0.0335,0.032349,0.013975,0.014097,0.013678,0.0076557,0.007856,0.0076638,0.00066958,0.00065213,0.00063677
1142.82,,,,0.072068,0.071023,0.068346,0.031918,0.032932,0.031793,0.01355,0.013662,0.013252,0.0074858,0.0076802,0.0074907,0.0006491,0.00063644,0.00062172
1156.42,,,,0.07023,0.069139,0.066515,0.031395,0.032377,0.03125,0.013141,0.013244,0.012843,0.007321,0.0075099,0.007323,0.00059307,0.00062156,0.00060715
1170.03,,,,0.068452,0.067319,0.064747,0.030885,0.031835,0.03072,0.012749,0.012843,0.01245,0.0071613,0.007345,0.0071608,0.0005567,0.0006076,0.00059307
1183.63,,,,0.066733,0.065558,0.063038,0.030388,0.031306,0.030202,0.012372,0.012457,0.012073,0.0070063,0.0071853,0.0070036,0.00056662,0.00059409,0.00057945
1197.24,,,,0.065069,0.063855,0.061386,0.029902,0.030788,0.029696,0.012009,0.012086,0.01171,0.0068559,0.0070305,0.0068513,0.00059298,0.00058061,0.00056627
1210.84,,,,0.06346,0.062209,0.05979,0.029428,0.030283,0.029203,0.01166,0.01173,0.011362,0.0067101,0.0068806,0.0067039,0.00058607,0.00056729,0.00055353
1224.45,,,,0.061902,0.060615,0.058245,0.028964,0.029789,0.02872,0.011325,0.011386,0.011026,0.0065685,0.0067351,0.0065607,0.00054,0.00055456,0.00054117
1238.05,,,,0.060393,0.059073,0.056751,0.028511,0.029306,0.028247,0.011001,0.011056,0.010703,0.0064313,0.006594,0.0064219,0.00049843,0.00054262,0.00052922
1251.66,,,,0.058932,0.05758,0.055306,0.028068,0.028833,0.027786,0.01069,0.010738,0.010393,0.0062985,0.006457,0.0062872,0.00049592,0.0005312,0.00051764
1265.26,,,,0.057517,0.056134,0.053906,0.027635,0.02837,0.027334,0.01039,0.010431,0.010093,0.0061699,0.006324,0.0061564,0.00052072,0.00051985,0.00050643
1278.87,,,,0.056147,0.054736,0.052554,0.027212,0.027919,0.026893,0.010102,0.010136,0.0098056,0.0060454,0.006195,0.0060296,0.00052972,0.00050854,0.00049557
1292.47,,,,0.054818,0.05338,0.051243,0.026798,0.027476,0.026461,0.0098232,0.0098513,0.009528,0.0059247,0.0060695,0.0059063,0.00049937,0.00049756,0.00048503
1306.08,,,,0.053531,0.052066,0.049974,0.026393,0.027043,0.026039,0.0095548,0.009577,0.0092606,0.0058077,0.0059477,0.0057865,0.00045513,0.00048723,0.00047482
1319.68,,,,0.052283,0.050794,0.048746,0.025997,0.026619,0.025626,0.009296,0.0093125,0.0090029,0.0056942,0.0058293,0.0056702,0.00043637,0.00047746,0.00046493
1333.29,,,,0.051072,0.049561,0.047555,0.02561,0.026204,0.025222,0.0090462,0.0090573,0.0087543,0.0055839,0.0057143,0.0055572,0.00045183,0.0004679,0.00045533
1346.89,,,,0.0499,0.048367,0.046404,0.025232,0.025799,0.024827,0.0088055,0.0088113,0.0085148,0.0054767,0.0056025,0.0054475,0.00047319,0.00045832,0.00044603
1360.5,,,,0.04876,0.047207,0.045285,0.024861,0.025402,0.024439,0.0085726,0.0085735,0.0082833,0.0053721,0.0054937,0.0053407,0.0004655,0.00044884,0.00043699
1374.1,,,,0.047655,0.046082,0.044201,0.024499,0.025013,0.024061,0.008348,0.008344,0.0080599,0.0052703,0.0053879,0.0052368,0.00042849,0.00043977,0.00042821
1387.71,,,,0.046583,0.044992,0.043151,0.024144,0.024632,0.02369,0.0081309,0.0081223,0.0078444,0.0051711,0.005285,0.0051358,0.00039532,0.00043126,0.00041969
1401.31,,,,0.045541,0.043933,0.042132,0.023797,0.02426,0.023328,0.0079212,0.0079082,0.0076361,0.0050743,0.0051849,0.0050376,0.00039208,0.0004231,0.00041141
1414.92,,,,0.044529,0.042905,0.041143,0.023458,0.023895,0.022973,0.0077183,0.0077011,0.0074348,0.0049801,0.0050875,0.0049421,0.00041283,0.00041498,0.00040337
1428.52,,,,0.043547,0.041909,0.040184,0.023126,0.023538,0.022625,0.0075225,0.0075012,0.0072406,0.0048884,0.0049926,0.004849,0.0004267,0.00040683,0.00039555
1442.13,,,,0.042592,0.04094,0.039253,0.0228,0.023187,0.022285,0.0073328,0.0073076,0.0070526,0.0047991,0.0049002,0.0047584,0.00041018,0.00039882,0.00038793
1455.73,,,,0.041664,0.04,0.038349,0.022481,0.022844,0.021951,0.0071493,0.0071204,0.0068708,0.0047122,0.0048102,0.0046702,0.00037435,0.00039122,0.00038052
1469.34,,,,0.040763,0.039086,0.037472,0.022168,0.022507,0.021624,0.0069718,0.0069394,0.0066951,0.0046278,0.0047225,0.0045842,0.00035001,0.00038405,0.0003733
1482.94,,,,0.039886,0.038199,0.03662,0.021862,0.022178,0.021304,0.0068,0.0067641,0.0065251,0.0045458,0.004637,0.0045004,0.00035375,0.00037711,0.00036628
1496.55,,,,0.039034,0.037337,0.035793,0.021562,0.021855,0.02099,0.0066338,0.0065946,0.0063607,0.0044661,0.0045537,0.0044188,0.00037427,0.00037015,0.00035943
1510.15,,,,0.038205,0.036499,0.03499,0.021268,0.021538,0.020683,0.0064727,0.0064304,0.0062014,0.0043886,0.0044725,0.0043392,0.00038338,0.00036316,0.00035276
1523.76,,,,0.037399,0.035685,0.034209,0.02098,0.021227,0.020381,0.0063167,0.0062714,0.0060473,0.0043131,0.0043932,0.0042616,0.00036474,0.00035632,0.00034626
1537.36,,,,0.036615,0.034893,0.03345,0.020698,0.020922,0.020085,0.0061655,0.0061174,0.0058981,0.0042396,0.0043159,0.0041859,0.00033215,0.00034984,0.00033992
1550.97,,,,0.035852,0.034124,0.032713,0.020421,0.020623,0.019796,0.0060191,0.0059682,0.0057536,0.0041678,0.0042405,0.0041121,0.00031234,0.00034371,0.00033374
1564.57,,,,0.03511,0.033376,0.031997,0.020149,0.02033,0.019512,0.0058772,0.0058237,0.0056137,0.0040977,0.0041669,0.0040402,0.00031763,0.00033775,0.00032771
1578.18,,,,0.034388,0.032649,0.031301,0.019883,0.020043,0.019234,0.0057396,0.0056837,0.0054781,0.0040293,0.0040952,0.00397,0.00033689,0.00033177,0.00032184
1591.78,,,,0.033684,0.031941,0.030624,0.019623,0.019761,0.018961,0.0056062,0.0055478,0.0053467,0.0039623,0.0040252,0.0039015,0.00034544,0.00032575,0.00031611
1605.39,,,,0.032999,0.031252,0.029965,0.019367,0.019485,0.018693,0.0054767,0.0054161,0.0052192,0.0038967,0.0039568,0.0038347,0.00032921,0.00031986,0.00031052
1618.99,,,,0.032331,0.030581,0.029324,0.019116,0.019214,0.018431,0.0053511,0.0052883,0.0050956,0.0038325,0.00389,0.0037694,0.00029989,0.00031426,0.00030507
1632.6,,,,0.031681,0.029929,0.028701,0.018869,0.018947,0.018173,0.0052292,0.0051644,0.0049758,0.0037697,0.0038248,0.0037057,0.00028086,0.00030897,0.00029974
1646.2,,,,0.031049,0.029294,0.028094,0.018629,0.018687,0.017921,0.0051109,0.0050441,0.0048596,0.0037086,0.0037612,0.0036436,0.00028411,0.00030385,0.00029456
1659.81,,,,0.030432,0.028676,0.027504,0.018392,0.01843,0.017673,0.004996,0.0049274,0.0047468,0.0036487,0.003699,0.0035828,0.00030167,0.0002987,0.00028949
1673.41,,,,0.02983,0.028074,0.026929,0.018159,0.018179,0.01743,0.0048844,0.0048141,0.0046373,0.0035903,0.0036382,0.0035235,0.0003125,0.00029351,0.00028455
1687.02,,,,0.029244,0.027487,0.02637,0.017931,0.017932,0.017192,0.004776,0.004704,0.0045311,0.0035333,0.0035788,0.0034655,0.00030158,0.0002884,0.00027972
1700.62,,,,0.028672,0.026916,0.025825,0.017707,0.017689,0.016958,0.0046707,0.0045971,0.0044278,0.0034778,0.0035208,0.0034089,0.00027561,0.00028352,0.00027501
1714.23,,,,0.028114,0.026359,0.025294,0.017487,0.01745,0.016727,0.0045683,0.0044932,0.0043276,0.0034236,0.0034639,0.0033534,0.00025487,0.00027891,0.0002704
1727.83,,,,0.027571,0.025817,0.024778,0.017272,0.017217,0.016503,0.004469,0.0043925,0.0042304,0.003371,0.0034086,0.0032994,0.00025315,0.00027449,0.00026592
1741.44,,,,0.027041,0.025289,0.024274,0.017059,0.016987,0.016281,0.0043723,0.0042945,0.0041359,0.0033194,0.0033542,0.0032464,0.00026761,0.00027007,0.00026153
1755.04,,,,0.026523,0.024774,0.023784,0.016851,0.016762,0.016063,0.0042783,0.0041992,0.0040441,0.0032692,0.0033011,0.0031946,0.00028167,0.00026559,0.00025724
1768.65,,,,0.026019,0.024272,0.023306,0.016647,0.01654,0.01585,0.0041869,0.0041067,0.0039548,0.00322,0.0032492,0.003144,0.00027857,0.00026114,0.00025305
1782.25,,,,0.025526,0.023783,0.02284,0.016446,0.016322,0.01564,0.004098,0.0040166,0.0038681,0.0031719,0.0031984,0.0030945,0.00025784,0.00025686,0.00024896
1795.86,,,,0.025045,0.023305,0.022386,0.016248,0.016108,0.015434,0.0040114,0.003929,0.0037836,0.0031247,0.0031485,0.003046,0.00023525,0.0002528,0.00024496
1809.46,,,,0.024577,0.022841,0.021945,0.016055,0.015899,0.015232,0.0039276,0.0038441,0.0037019,0.0030786,0.0031,0.0029988,0.00022663,0.00024896,0.00024107
1823.07,,,,0.024119,0.022388,0.021513,0.015864,0.015692,0.015033,0.0038457,0.0037613,0.0036221,0.0030332,0.0030523,0.0029523,0.00023537,0.00024515,0.00023725
1836.67,,,,0.023672,0.021945,0.021093,0.015677,0.015489,0.014838,0.003766,0.0036808,0.0035446,0.0029886,0.0030057,0.0029069,0.00025103,0.0002413,0.00023351
1850.28,,,,0.023235,0.021514,0.020683,0.015493,0.01529,0.014647,0.0036885,0.0036025,0.0034692,0.0029449,0.00296,0.0028625,0.00025691,0.00023743,0.00022987
1863.88,,,,0.022809,0.021093,0.020283,0.015313,0.015094,0.014458,0.0036129,0.0035262,0.0033958,0.0029021,0.0029154,0.0028191,0.00024476,0.00023364,0.0002263
1877.49,,,,0.022391,0.020681,0.019892,0.015135,0.014901,0.014273,0.0035393,0.0034518,0.0033243,0.00286,0.0028716,0.0027765,0.0002228,0.00023003,0.00022281
1891.09,,,,0.021986,0.020282,0.019513,0.014961,0.014712,0.014092,0.0034679,0.0033798,0.003255,0.002819,0.0028288,0.002735,0.00020693,0.00022663,0.0002194
1904.7,,,,0.021588,0.01989,0.019141,0.014789,0.014526,0.013913,0.003398,0.0033093,0.0031873,0.0027787,0.0027868,0.0026941,0.00020663,0.00022332,0.00021605
1918.3,,,,0.021199,0.019508,0.018778,0.01462,0.014343,0.013738,0.00333,0.0032408,0.0031214,0.0027392,0.0027456,0.0026541,0.00021922,0.00022001,0.00021278
1931.91,,,,0.020819,0.019135,0.018424,0.014454,0.014163,0.013565,0.0032638,0.003174,0.0030572,0.0027007,0.0027053,0.0026149,0.00023193,0.00021666,0.00020957
1945.51,,,,0.020448,0.018771,0.018079,0.014291,0.013986,0.013396,0.0031992,0.003109,0.0029948,0.0026631,0.0026658,0.0025766,0.00023137,0.0002133,0.00020644
1959.12,,,,0.020084,0.018415,0.017741,0.014131,0.013812,0.013229,0.0031362,0.0030456,0.0029339,0.0026264,0.0026271,0.002539,0.00021565,0.00021005,0.00020336
1972.72,,,,0.019731,0.018069,0.017414,0.013973,0.013641,0.013065,0.0030751,0.0029841,0.0028748,0.0025905,0.0025892,0.0025023,0.00019593,0.00020698,0.00020036
1986.33,,,,0.019383,0.017729,0.017091,0.013818,0.013473,0.012904,0.0030151,0.0029238,0.0028169,0.0025554,0.002552,0.0024661,0.00018546,0.00020405,0.00019741
1999.93,,,,0.019043,0.017397,0.016777,0.013665,0.013307,0.012745,0.0029567,0.0028651,0.0027606,0.002521,0.0025155,0.0024307,0.00018949,0.00020118,0.00019451
2013.54,,,,0.018711,0.017074,0.01647,0.013514,0.013144,0.012589,0.0028998,0.002808,0.0027057,0.0024872,0.0024797,0.002396,0.00020271,0.00019828,0.00019167
2027.14,,,,0.018386,0.016757,0.016171,0.013366,0.012983,0.012436,0.0028443,0.0027523,0.0026522,0.0024542,0.0024446,0.002362,0.00021269,0.00019534,0.00018889
2040.75,,,,0.018068,0.016448,0.015878,0.013221,0.012826,0.012285,0.0027902,0.0026979,0.0026001,0.0024217,0.0024102,0.0023287,0.0002091,0.00019242,0.00018617
2054.35,,,,0.017757,0.016146,0.015592,0.013077,0.012671,0.012137,0.0027372,0.0026449,0.0025492,0.0023898,0.0023765,0.002296,0.0001931,0.0001896,0.0001835
2067.96,,,,0.017453,0.015852,0.015313,0.012937,0.012518,0.011991,0.0026858,0.0025933,0.0024998,0.0023584,0.0023434,0.0022639,0.00017581,0.00018693,0.00018088
2081.56,,,,0.017155,0.015563,0.01504,0.012798,0.012368,0.011848,0.0026355,0.0025429,0.0024514,0.0023275,0.0023109,0.0022325,0.00016821,0.00018439,0.00017831
2095.17,,,,0.016864,0.015281,0.014773,0.012661,0.01222,0.011707,0.0025863,0.0024937,0.0024042,0.002297,0.002279,0.0022017,0.00017356,0.00018188,0.00017579
2108.77,,,,0.016578,0.015005,0.014512,0.012526,0.012074,0.011568,0.0025383,0.0024457,0.0023582,0.002267,0.0022477,0.0021714,0.00018615,0.00017934,0.00017332
2122.38,,,,0.016299,0.014736,0.014257,0.012394,0.011931,0.011431,0.0024915,0.0023988,0.0023133,0.0022376,0.002217,0.0021417,0.00019471,0.00017676,0.00017089
2135.98,,,,0.016026,0.014472,0.014008,0.012263,0.01179,0.011297,0.0024458,0.0023531,0.0022695,0.0022086,0.0021869,0.0021125,0.00019063,0.00017419,0.00016851
2149.59,,,,0.015758,0.014215,0.013765,0.012135,0.011651,0.011165,0.0024011,0.0023086,0.0022269,0.0021803,0.0021574,0.002084,0.00017559,0.00017173,0.00016618
2163.19,,,,0.015496,0.013963,0.013526,0.012009,0.011515,0.011035,0.0023575,0.002265,0.0021851,0.0021525,0.0021284,0.0020559,0.00015967,0.0001694,0.00016389
2176.8,,,,0.015238,0.013716,0.013293,0.011884,0.01138,0.010907,0.0023148,0.0022224,0.0021443,0.0021253,0.0020999,0.0020284,0.00015253,0.00016718,0.00016165
2190.4,,,,0.014986,0.013475,0.013064,0.011762,0.011248,0.010781,0.0022731,0.0021808,0.0021045,0.0020986,0.0020719,0.0020014,0.00015712,0.00016499,0.00015945
2204.01,,,,0.01474,0.013238,0.012841,0.011641,0.011117,0.010656,0.0022323,0.0021403,0.0020657,0.0020724,0.0020444,0.0019748,0.00016866,0.00016277,0.00015728
2217.61,,,,0.014498,0.013007,0.012623,0.011521,0.010988,0.010534,0.0021925,0.0021006,0.0020277,0.0020468,0.0020174,0.0019487,0.00017729,0.00016051,0.00015516
2231.22,,,,0.014261,0.012781,0.012409,0.011404,0.010861,0.010413,0.0021536,0.0020619,0.0019907,0.0020217,0.0019908,0.0019231,0.00017486,0.00015825,0.00015307
2244.82,,,,0.014029,0.01256,0.0122,0.011289,0.010737,0.010295,0.0021156,0.0020241,0.0019545,0.0019972,0.0019649,0.0018981,0.00016189,0.00015609,0.00015104
