,1s,1s,1s,2p,2p,2p,2s,2s,2s,3s,3s,3s
,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,
13.6,,,,,,,,,,0.27186,0.26814,0.096873
27.21,,,,,,,,,,0.22297,0.22065,0.13972
40.81,,,,,,,,,,0.16611,0.16471,0.12114
54.42,,,,,,,,,,0.12549,0.12448,0.09832
68.02,,,,4.2992,4.3099,4.3512,,,,0.096739,0.096001,0.079083
81.63,,,,3.5175,3.5321,3.5684,,,,0.076192,0.075799,0.064215
95.23,,,,2.893,2.9155,2.9462,0.38476,0.38373,0.34669,0.061575,0.0613,0.052995
108.84,,,,2.4053,2.4313,2.4566,0.35237,0.35187,0.32037,0.051008,0.050681,0.044493
122.44,,,,2.0223,2.0459,2.0665,0.32363,0.3234,0.29637,0.04282,0.042696,0.037943
136.05,,,,1.7162,1.7338,1.7506,0.29783,0.29769,0.27432,0.036704,0.036523,0.032787
149.65,,,,1.467,1.4787,1.4926,0.27452,0.27437,0.25406,0.031736,0.031651,0.02865
163.26,,,,1.2612,1.2692,1.2809,0.2534,0.25326,0.2355,0.02782,0.027727,0.025282
176.86,,,,1.0893,1.0965,1.1064,0.23428,0.2342,0.2186,0.024571,0.02453,0.022503
190.47,,,,0.94509,0.9534,0.96183,0.21698,0.21705,0.20327,0.021937,0.02188,0.020183
204.07,,,,0.82373,0.83398,0.84104,0.20135,0.20163,0.1894,0.019659,0.019662,0.018222
217.68,,,,0.72165,0.73347,0.73926,0.18725,0.18773,0.17681,0.017821,0.017776,0.016543
231.28,,,,0.63579,0.64814,0.65276,0.17449,0.17515,0.16536,0.016115,0.016152,0.015088
244.89,,,,0.56349,0.57519,0.57879,0.16293,0.16371,0.15489,0.014763,0.014739,0.013812
258.49,,,,0.50226,0.5124,0.51515,0.15242,0.15326,0.14529,0.013455,0.013493,0.012683
272.1,,,,0.45,0.45815,0.46022,0.14285,0.1437,0.13646,0.012369,0.012391,0.011677
285.7,,,,0.40485,0.41106,0.4126,0.1341,0.13491,0.12832,0.011396,0.011407,0.010775
299.31,,,,0.36534,0.37003,0.37119,0.12605,0.12683,0.12082,0.010465,0.010526,0.0099644
312.91,,,,0.33041,0.33421,0.33506,0.11868,0.11942,0.11392,0.0097233,0.0097381,0.0092359
326.52,,,,0.29923,0.30277,0.30337,0.11187,0.1126,0.10755,0.0089856,0.0090275,0.0085777
340.12,,,,0.27132,0.2751,0.27549,0.10557,0.10632,0.10168,0.008329,0.0083888,0.0079828
353.73,,,,0.24634,0.25065,0.25083,0.099728,0.10052,0.096243,0.0077903,0.0078108,0.0074438
367.33,,,,0.22404,0.22896,0.22894,0.094309,0.095166,0.091207,0.0072327,0.0072872,0.0069545
380.94,,,,0.20428,0.20967,0.20945,0.08928,0.090205,0.086533,0.0067538,0.0068133,0.0065096
394.54,,,,0.18683,0.19245,0.19203,0.084608,0.085595,0.082181,0.0063531,0.006381,0.0061037
408.15,,,,0.17148,0.17701,0.17642,0.080268,0.081305,0.078122,0.0059293,0.0059866,0.0057328
421.75,,,,0.158,0.16316,0.16242,0.076242,0.077309,0.074334,0.0055634,0.0056272,0.0053934
435.36,,,,0.14611,0.15068,0.14982,0.0725,0.073575,0.070789,0.0052632,0.0052973,0.0050818
448.96,,,,0.13555,0.13941,0.13844,0.069023,0.070086,0.067473,0.0049417,0.0049946,0.0047957
462.57,,,,0.12608,0.12921,0.12818,0.065787,0.066823,0.064366,0.0046493,0.0047171,0.0045324
476.17,,,,0.11747,0.11994,0.11887,0.062765,0.063765,0.061452,0.0044201,0.0044613,0.0042896
489.78,,,,0.10956,0.11151,0.11042,0.059939,0.060901,0.05872,0.0041808,0.0042249,0.0040654
503.38,,,,0.10222,0.10383,0.10273,0.057289,0.058215,0.056156,0.0039397,0.0040071,0.003858
516.99,,,,0.095359,0.096819,0.095708,0.054793,0.055692,0.053745,0.0037524,0.0038054,0.0036656
530.59,,,,0.08893,0.090405,0.089295,0.052437,0.053318,0.051475,0.0035788,0.0036177,0.0034868
544.2,,,,0.082916,0.084533,0.083422,0.05021,0.051087,0.049339,0.0033843,0.0034432,0.0033204
