,1s,1s,1s,2p,2p,2p,2s,2s,2s
,x,y,z,x,y,z,x,y,z
0,,,,,,,,,
27.21,,,,6.71,6.7128,6.7428,,,
40.81,,,,4.4298,4.44,4.4681,0.77064,0.7745,0.72301
54.42,,,,2.9044,2.9059,2.926,0.6642,0.66735,0.62994
68.02,,,,1.9352,1.9391,1.9538,0.56422,0.56683,0.53888
81.63,,,,1.333,1.3383,1.3485,0.4775,0.47973,0.45832
95.23,,,,0.95609,0.95603,0.9636,0.40508,0.40696,0.3902
108.84,,,,0.70156,0.70469,0.71049,0.34554,0.34718,0.33379
122.44,,,,0.5302,0.53367,0.53795,0.29688,0.29833,0.28744
136.05,,,,0.41248,0.413,0.41631,0.25707,0.25835,0.24934
149.65,,,,0.32434,0.32535,0.32804,0.22428,0.22542,0.21786
163.26,,,,0.25773,0.26032,0.26242,0.19703,0.19808,0.19166
176.86,,,,0.20932,0.21106,0.21265,0.1742,0.17516,0.16964
190.47,,,,0.17264,0.17302,0.1743,0.1549,0.15576,0.15098
204.07,,,,0.14259,0.14327,0.14433,0.13841,0.1392,0.13502
217.68,,,,0.11823,0.11981,0.12065,0.1242,0.12495,0.12127
231.28,,,,0.099658,0.10111,0.10174,0.1119,0.1126,0.10934
244.89,,,,0.085411,0.086012,0.086495,0.10119,0.10184,0.098934
258.49,,,,0.073448,0.073699,0.074095,0.09182,0.09242,0.089816
272.1,,,,0.062935,0.063602,0.063922,0.083573,0.084136,0.081793
285.7,,,,0.054181,0.055272,0.055506,0.076292,0.076828,0.07471
299.31,,,,0.047385,0.048333,0.048488,0.06985,0.070359,0.068437
312.91,,,,0.042027,0.042489,0.042589,0.064138,0.064616,0.062866
326.52,,,,0.037332,0.037526,0.037596,0.059055,0.059503,0.057902
340.12,,,,0.032941,0.033294,0.033339,0.054512,0.054936,0.053468
353.73,,,,0.029013,0.029672,0.029687,0.05044,0.050846,0.049495
367.33,,,,0.025811,0.026555,0.026535,0.04678,0.047171,0.045923
380.94,,,,0.023316,0.023849,0.0238,0.043485,0.043859,0.042703
394.54,,,,0.021232,0.02148,0.021416,0.040509,0.040863,0.039791
408.15,,,,0.019257,0.019398,0.019327,0.037811,0.038146,0.037148
421.75,,,,0.017308,0.017568,0.01749,0.035354,0.035674,0.034743
435.36,,,,0.015511,0.015957,0.015868,0.033109,0.033418,0.032548
448.96,,,,0.01402,0.014535,0.014433,0.031054,0.031354,0.030538
462.57,,,,0.012862,0.013271,0.013157,0.029171,0.029459,0.028694
476.17,,,,0.011916,0.01214,0.012021,0.027441,0.027717,0.026997
489.78,,,,0.011023,0.011126,0.011006,0.025848,0.026111,0.025433
503.38,,,,0.010098,0.010216,0.010097,0.024375,0.024627,0.023988
516.99,,,,0.0091723,0.0094011,0.0092809,0.023011,0.023254,0.02265
530.59,,,,0.0083391,0.0086704,0.0085467,0.021745,0.021981,0.02141
544.2,0.098471,0.097229,0.094697,0.0076687,0.0080129,0.0078846,0.020571,0.0208,0.020259
