,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4p,4p,4p,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,7.9786,8.0367,11.662,,,
27.21,,,,,,,,,,,,,,,,1.233,1.2399,1.8014,0.23116,0.22967,0.22754
40.81,,,,,,,,,,,,,,,,0.4019,0.40292,0.51012,0.22965,0.2284,0.22732
54.42,,,,,,,,,,,,,,,,0.23719,0.2369,0.23479,0.2047,0.20371,0.20324
68.02,,,,,,,,,,,,,,,,0.19672,0.1961,0.16518,0.17743,0.17663,0.1765
81.63,,,,,,,6.2168,6.232,6.257,,,,,,,0.18149,0.18082,0.14472,0.15359,0.15294,0.15302
95.23,,,,,,,6.1093,6.1274,6.1687,,,,,,,0.17073,0.1701,0.13591,0.13382,0.13329,0.13347
108.84,,,,,,,5.8357,5.8559,5.9058,,,,,,,0.16062,0.16006,0.1296,0.11741,0.11698,0.11723
122.44,,,,,,,5.4955,5.5172,5.5715,,,,,,,0.1508,0.15032,0.1237,0.10367,0.10332,0.1036
136.05,,,,,,,5.1367,5.1594,5.2153,,,,,,,0.14132,0.14092,0.11782,0.092073,0.091781,0.092079
149.65,,,,,,,4.7735,4.7969,4.8526,,,,,,,0.13228,0.13195,0.11192,0.082239,0.082001,0.082305
163.26,,,,,,,4.413,4.4367,4.4908,,,,,,,0.12375,0.1235,0.1061,0.073898,0.073709,0.074012
176.86,,,,,,,4.061,4.0847,4.1364,,,,,,,0.11582,0.11563,0.10047,0.066821,0.066666,0.066965
190.47,,,,,,,3.7262,3.7497,3.7983,0.62653,0.62802,0.57764,,,,0.10852,0.10838,0.095115,0.060789,0.060664,0.060955
204.07,,,,,,,3.4147,3.4377,3.4831,0.60745,0.60917,0.56238,,,,0.10184,0.10175,0.090083,0.055605,0.055511,0.055794
217.68,,,,,,,3.1301,3.1527,3.1948,0.58861,0.59054,0.54702,,,,0.095751,0.095706,0.085387,0.051115,0.051046,0.051319
231.28,,,,,,,2.872,2.894,2.933,0.57009,0.57223,0.53168,,,,0.090172,0.090167,0.080996,0.047185,0.047133,0.047396
