,1s,1s,1s,2p,2p,2p,2s,2s,2s,3p,3p,3p,3s,3s,3s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,
13.6,,,,,,,,,,3.549,3.5137,2.666,,,
27.21,,,,,,,,,,0.63066,0.63306,0.51513,0.43908,0.43795,0.31161
40.81,,,,,,,,,,0.87065,0.87771,0.8691,0.40679,0.40599,0.31919
54.42,,,,,,,,,,0.96882,0.9769,0.99191,0.35145,0.35091,0.29063
68.02,,,,,,,,,,0.92285,0.93067,0.94878,0.29821,0.29789,0.25478
81.63,,,,,,,,,,0.82298,0.83018,0.84638,0.25361,0.25345,0.2216
95.23,,,,,,,,,,0.7167,0.72334,0.73687,0.21769,0.21764,0.19339
108.84,,,,,,,,,,0.62032,0.62629,0.63739,0.18869,0.18875,0.1698
122.44,,,,,,,,,,0.53668,0.54218,0.55124,0.16499,0.16513,0.15002
136.05,,,,,,,,,,0.4651,0.47007,0.47745,0.1453,0.1455,0.13326
149.65,,,,,,,,,,0.40392,0.40846,0.41447,0.12873,0.12897,0.11893
163.26,,,,,,,,,,0.3519,0.35607,0.36096,0.11469,0.11498,0.10663
176.86,,,,,,,,,,0.30789,0.31165,0.31564,0.10273,0.10305,0.096046
190.47,,,,,,,,,,0.27066,0.27416,0.2774,0.092533,0.092876,0.086938
204.07,,,,,,,,,,0.23927,0.24246,0.2451,0.083789,0.084152,0.079071
217.68,,,,1.0588,1.0786,1.0831,,,,0.21266,0.21558,0.21774,0.076264,0.076644,0.072259
231.28,,,,0.97989,0.99858,1.002,,,,0.1899,0.19264,0.19439,0.069743,0.070136,0.066322
244.89,,,,0.90866,0.92636,0.92888,,,,0.17038,0.1729,0.17432,0.064051,0.064453,0.061112
258.49,,,,0.84398,0.86075,0.86243,,,,0.15344,0.15576,0.15691,0.059038,0.059448,0.056502
272.1,,,,0.78505,0.80094,0.8019,0.15165,0.15452,0.14812,0.13861,0.1408,0.14172,0.054595,0.055011,0.052398
285.7,,,,0.73108,0.74612,0.74644,0.14579,0.14866,0.14265,0.1256,0.12763,0.12836,0.050622,0.051041,0.048713
299.31,,,,0.68166,0.69591,0.69566,0.1402,0.14307,0.13741,0.11414,0.11601,0.11658,0.047054,0.047475,0.045391
312.91,,,,0.63636,0.64985,0.64911,0.13486,0.13774,0.1324,0.10395,0.10572,0.10615,0.043835,0.044257,0.042383
326.52,,,,0.59481,0.60759,0.60641,0.12977,0.13264,0.1276,0.094913,0.096575,0.096887,0.040918,0.04134,0.039648
340.12,,,,0.55677,0.56887,0.56732,0.12493,0.12779,0.12302,0.086909,0.088445,0.08866,0.038274,0.038695,0.03716
353.73,,,,0.5219,0.53336,0.53148,0.12032,0.12318,0.11865,0.079754,0.081196,0.081329,0.03587,0.036289,0.034892
367.33,,,,0.48988,0.50074,0.49858,0.11594,0.11878,0.11449,0.073345,0.074715,0.074778,0.033678,0.034094,0.032818
380.94,,,,0.46051,0.47081,0.46839,0.1118,0.11463,0.11055,0.067634,0.068917,0.06892,0.031682,0.032095,0.030926
394.54,,,,0.43345,0.44322,0.44059,0.10788,0.11068,0.10679,0.062511,0.063704,0.063657,0.029856,0.030266,0.029191
408.15,,,,0.40843,0.41769,0.41488,0.10413,0.10691,0.10321,0.057869,0.058998,0.058908,0.028179,0.028585,0.027593
421.75,,,,0.38538,0.39416,0.39119,0.1006,0.10337,0.099822,0.053682,0.054758,0.054632,0.026647,0.027048,0.02613
435.36,,,,0.36396,0.37229,0.36918,0.097232,0.099973,0.096582,0.0499,0.050908,0.050751,0.025232,0.025629,0.024776
448.96,,,,0.34401,0.35191,0.34868,0.094008,0.096725,0.093476,0.046462,0.047401,0.047219,0.023923,0.024315,0.023522
462.57,,,,0.32552,0.33301,0.32969,0.090949,0.093641,0.090523,0.043327,0.044218,0.044014,0.022716,0.023103,0.022363
476.17,,,,0.30825,0.31536,0.31195,0.088013,0.090678,0.087683,0.040456,0.041306,0.041084,0.021594,0.021976,0.021283
489.78,,,,0.29213,0.29887,0.29539,0.085202,0.087839,0.084958,0.037841,0.038642,0.038404,0.02055,0.020927,0.020277
503.38,,,,0.27712,0.28351,0.27998,0.082514,0.085122,0.082347,0.035459,0.036206,0.035956,0.01958,0.019951,0.01934
516.99,,,,0.26309,0.26913,0.26557,0.079932,0.082511,0.079836,0.033262,0.033969,0.033708,0.018673,0.019039,0.018464
530.59,,,,0.24998,0.2557,0.25211,0.077461,0.080009,0.077427,0.031238,0.031915,0.031646,0.017827,0.018188,0.017645
544.2,,,,0.23773,0.24314,0.23953,0.075095,0.077611,0.075117,0.029383,0.030026,0.029751,0.017037,0.017392,0.016878
557.8,,,,0.22625,0.23138,0.22776,0.072826,0.07531,0.072898,0.027682,0.028284,0.028004,0.016297,0.016647,0.01616
571.41,,,,0.21551,0.22036,0.21674,0.070653,0.073104,0.070769,0.026113,0.026677,0.026394,0.015604,0.015948,0.015486
585.01,,,,0.20545,0.21004,0.20641,0.068574,0.070993,0.06873,0.024653,0.025192,0.024906,0.014955,0.015294,0.014854
598.62,,,,0.196,0.20033,0.19672,0.066583,0.068969,0.066773,0.023299,0.023816,0.023528,0.014346,0.014679,0.01426
612.22,,,,0.18712,0.19121,0.18761,0.064674,0.067026,0.064894,0.022048,0.022538,0.022249,0.013773,0.014101,0.0137
625.83,,,,0.17876,0.18262,0.17904,0.06284,0.065159,0.063087,0.020892,0.02135,0.021061,0.013233,0.013555,0.013172
639.43,,,,0.17089,0.17453,0.17097,0.06109,0.063376,0.06136,0.019812,0.020244,0.019955,0.012726,0.013043,0.012676
653.04,,,,0.16346,0.16689,0.16336,0.059405,0.061658,0.059695,0.018798,0.019211,0.018923,0.012246,0.012558,0.012206
666.64,,,,0.15644,0.15967,0.15617,0.057785,0.060003,0.058091,0.017849,0.018245,0.017959,0.011793,0.0121,0.011762
680.25,,,,0.14981,0.15285,0.14938,0.05623,0.058415,0.05655,0.016968,0.017342,0.017058,0.011365,0.011666,0.011341
693.85,,,,0.14354,0.1464,0.14296,0.054728,0.056879,0.055059,0.016146,0.016496,0.016214,0.010957,0.011253,0.01094
707.46,,,,0.1376,0.14029,0.13689,0.053283,0.055401,0.053624,0.015373,0.015701,0.015422,0.010571,0.010862,0.01056
721.06,,,,0.13198,0.1345,0.13114,0.05189,0.053973,0.052237,0.014642,0.014955,0.014679,0.010204,0.01049,0.010198
734.67,,,,0.12666,0.12902,0.1257,0.050549,0.052599,0.050901,0.013954,0.014255,0.013982,0.0098552,0.010136,0.0098541
748.27,,,,0.12162,0.12382,0.12055,0.049251,0.051267,0.049607,0.013311,0.013596,0.013326,0.0095225,0.009798,0.0095255
761.88,,,,0.11683,0.11889,0.11566,0.048002,0.049984,0.048359,0.012711,0.012975,0.01271,0.0092058,0.0094763,0.0092124
775.48,,,,0.11229,0.11421,0.11102,0.046795,0.048743,0.047152,0.012144,0.012391,0.012129,0.0089037,0.0091692,0.0089134
789.09,,,,0.10799,0.10978,0.10664,0.045632,0.047547,0.045988,0.011606,0.011841,0.011583,0.0086161,0.0088766,0.0086284
802.69,,,,0.1039,0.10556,0.10246,0.044508,0.046389,0.044861,0.011096,0.011322,0.011067,0.0083409,0.0085966,0.0083555
816.3,,,,0.10002,0.10155,0.098501,0.043423,0.045271,0.043773,0.010617,0.010832,0.010582,0.0080784,0.0083292,0.008095
829.9,,,,0.096324,0.097734,0.094733,0.042377,0.044192,0.042722,0.010168,0.010369,0.010123,0.0078278,0.0080738,0.0078459
843.51,,,,0.092814,0.094109,0.091156,0.041368,0.04315,0.041707,0.0097452,0.0099314,0.0096895,0.0075884,0.0078297,0.0076078
857.11,,,,0.089463,0.09065,0.087744,0.040392,0.042141,0.040724,0.0093425,0.0095171,0.0092794,0.0073591,0.0075957,0.0073796
870.72,,,,0.086274,0.087355,0.084497,0.039449,0.041166,0.039773,0.0089583,0.009125,0.0088915,0.0071398,0.0073718,0.0071611
884.32,,,,0.083232,0.084213,0.081403,0.038539,0.040223,0.038855,0.0085936,0.0087537,0.0085243,0.00693,0.0071574,0.0069519
897.93,,,,0.080332,0.081217,0.078454,0.037659,0.039311,0.037966,0.0082506,0.0084019,0.0081766,0.006729,0.006952,0.0067514
911.53,,,,0.077557,0.07835,0.075634,0.036808,0.038428,0.037105,0.0079273,0.0080675,0.0078463,0.0065363,0.0067549,0.0065589
