,1s,1s,1s,2p,2p,2p,2s,2s,2s,3p,3p,3p,3s,3s,3s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,
13.6,,,,,,,,,,1.9994,1.9783,1.3865,,,
27.21,,,,,,,,,,0.55016,0.55174,0.46857,0.45043,0.44811,0.30438
40.81,,,,,,,,,,0.74522,0.74937,0.7434,0.40123,0.39951,0.30475
54.42,,,,,,,,,,0.7678,0.7727,0.78272,0.33568,0.33445,0.27061
68.02,,,,,,,,,,0.69121,0.69609,0.70799,0.27812,0.27725,0.23256
81.63,,,,,,,,,,0.59314,0.5974,0.608,0.23246,0.23185,0.1993
95.23,,,,,,,,,,0.50203,0.50621,0.51507,0.19681,0.1964,0.17188
108.84,,,,,,,,,,0.42508,0.42866,0.43593,0.16862,0.16836,0.14939
122.44,,,,,,,,,,0.36044,0.36391,0.36984,0.14587,0.14573,0.13074
136.05,,,,,,,,,,0.3071,0.31007,0.31489,0.12722,0.12717,0.11513
149.65,,,,,,,,,,0.26259,0.26546,0.26937,0.11177,0.1118,0.10199
163.26,,,,,,,,,,0.22613,0.22865,0.23182,0.09891,0.098997,0.090894
176.86,,,,1.3566,1.3783,1.388,,,,0.19598,0.1983,0.2009,0.088151,0.088285,0.081515
190.47,,,,1.2364,1.2568,1.2648,,,,0.17104,0.17323,0.17535,0.079103,0.079275,0.073556
204.07,,,,1.1301,1.1495,1.156,,,,0.15044,0.15235,0.15408,0.071435,0.071639,0.066758
217.68,,,,1.0358,1.0541,1.0594,,,,0.13294,0.13479,0.13621,0.064876,0.065106,0.060903
231.28,,,,0.95155,0.96882,0.97299,0.17638,0.17867,0.16982,0.11816,0.11986,0.12102,0.059207,0.059457,0.055809
244.89,,,,0.87576,0.8921,0.89528,0.16857,0.17091,0.16269,0.10553,0.10704,0.10799,0.054255,0.054522,0.051334
258.49,,,,0.80732,0.82278,0.82511,0.16119,0.16356,0.15593,0.094473,0.095946,0.096717,0.049892,0.050172,0.047368
272.1,,,,0.74542,0.76004,0.76161,0.1542,0.1566,0.14949,0.084924,0.086292,0.086913,0.046018,0.046309,0.04383
285.7,,,,0.68939,0.70322,0.70413,0.14757,0.14999,0.14335,0.076642,0.077856,0.078352,0.042562,0.04286,0.040658
299.31,,,,0.6387,0.65177,0.65211,0.14129,0.14373,0.13752,0.069289,0.070464,0.070856,0.039465,0.03977,0.037804
312.91,,,,0.59282,0.60519,0.60502,0.13536,0.13781,0.13199,0.062851,0.063973,0.064276,0.036685,0.036994,0.03523
326.52,,,,0.55126,0.56296,0.56236,0.12976,0.13222,0.12676,0.057258,0.058255,0.058483,0.034182,0.034495,0.032906
340.12,,,,0.51354,0.52462,0.52364,0.1245,0.12696,0.12182,0.052264,0.053201,0.053366,0.031924,0.032239,0.030802
353.73,,,,0.47922,0.48972,0.4884,0.11954,0.122,0.11716,0.047797,0.048719,0.048831,0.029882,0.030199,0.028893
367.33,,,,0.4479,0.45784,0.45623,0.11486,0.11732,0.11275,0.043882,0.044729,0.044795,0.02803,0.028347,0.027157
380.94,,,,0.41921,0.42864,0.42678,0.11045,0.11291,0.10858,0.0404,0.041163,0.04119,0.026345,0.026662,0.025573
394.54,,,,0.39287,0.40181,0.39973,0.10628,0.10873,0.10463,0.037223,0.037963,0.037958,0.024806,0.025123,0.024123
408.15,,,,0.36862,0.3771,0.37483,0.10232,0.10476,0.10087,0.034364,0.035086,0.035052,0.023397,0.023713,0.022792
421.75,,,,0.34625,0.3543,0.35187,0.098563,0.10099,0.097293,0.031835,0.03249,0.032432,0.022103,0.022417,0.021566
435.36,,,,0.3256,0.33323,0.33066,0.094986,0.097401,0.093879,0.029546,0.030143,0.030065,0.02091,0.021222,0.020434
448.96,,,,0.30651,0.31375,0.31106,0.091579,0.093978,0.090621,0.027431,0.028016,0.027921,0.019809,0.020119,0.019387
462.57,,,,0.28885,0.29572,0.29293,0.088334,0.090715,0.08751,0.025516,0.026086,0.025976,0.018791,0.019098,0.018416
476.17,,,,0.27251,0.27902,0.27616,0.085241,0.087603,0.084539,0.023812,0.024332,0.024209,0.017847,0.018152,0.017516
489.78,,,,0.25737,0.26355,0.26061,0.082296,0.084637,0.081703,0.02226,0.022733,0.0226,0.016973,0.017274,0.016678
503.38,,,,0.24334,0.24919,0.2462,0.07949,0.08181,0.078997,0.020813,0.021274,0.021133,0.01616,0.016458,0.0159
516.99,,,,0.23031,0.23585,0.23282,0.076819,0.079116,0.076416,0.019484,0.019939,0.01979,0.015404,0.0157,0.015174
530.59,,,,0.21819,0.22344,0.22038,0.074276,0.076549,0.073954,0.018292,0.018715,0.01856,0.014701,0.014993,0.014498
544.2,,,,0.2069,0.21187,0.20879,0.071853,0.074102,0.071604,0.017209,0.017589,0.01743,0.014045,0.014333,0.013866
557.8,,,,0.19637,0.20107,0.19797,0.069543,0.071767,0.069361,0.01619,0.016551,0.016388,0.013432,0.013717,0.013274
571.41,,,,0.18652,0.19098,0.18787,0.067339,0.069538,0.067216,0.015232,0.015593,0.015427,0.012858,0.013139,0.01272
585.01,,,,0.17731,0.18153,0.17842,0.065234,0.067407,0.065164,0.014359,0.014706,0.014537,0.01232,0.012597,0.012199
598.62,,,,0.16868,0.17267,0.16956,0.063221,0.065367,0.063199,0.013569,0.013883,0.013713,0.011814,0.012088,0.011709
612.22,,,,0.16058,0.16435,0.16126,0.061294,0.063413,0.061315,0.012831,0.013118,0.012947,0.011338,0.011608,0.011247
625.83,,,,0.15298,0.15654,0.15346,0.059446,0.061538,0.059506,0.012126,0.012406,0.012235,0.010889,0.011155,0.010811
639.43,,,,0.14584,0.1492,0.14614,0.057675,0.059739,0.057768,0.011465,0.011744,0.011572,0.010465,0.010727,0.010398
653.04,,,,0.13912,0.1423,0.13926,0.055974,0.058011,0.056098,0.010862,0.011126,0.010954,0.010064,0.010322,0.010007
666.64,,,,0.13281,0.13581,0.13279,0.054342,0.05635,0.054493,0.010313,0.010549,0.010378,0.0096843,0.0099387,0.0096363
680.25,,,,0.12686,0.12969,0.1267,0.052774,0.054754,0.052948,0.0097926,0.01001,0.00984,0.0093245,0.0095749,0.0092846
693.85,,,,0.12126,0.12393,0.12097,0.051268,0.053219,0.051463,0.0092919,0.0095055,0.0093371,0.0089832,0.0092296,0.0089506
707.46,,,,0.11599,0.1185,0.11558,0.049821,0.051744,0.050034,0.008821,0.0090338,0.0088669,0.0086594,0.0089017,0.0086333
721.06,,,,0.11102,0.11338,0.11049,0.048432,0.050326,0.04866,0.0083916,0.0085921,0.0084266,0.0083519,0.0085902,0.0083315
734.67,,,,0.10632,0.10854,0.10568,0.047097,0.048962,0.047338,0.0079988,0.0081778,0.0080141,0.0080597,0.0082941,0.0080446
748.27,,,,0.10189,0.10397,0.10115,0.045814,0.04765,0.046066,0.0076257,0.0077888,0.0076271,0.007782,0.0080123,0.0077714
761.88,,,,0.097696,0.099643,0.096861,0.044581,0.046389,0.044841,0.0072636,0.0074233,0.0072639,0.0075178,0.0077442,0.0075113
775.48,,,,0.093727,0.095548,0.092804,0.043395,0.045174,0.043663,0.0069192,0.0070798,0.0069225,0.0072663,0.0074888,0.0072634
789.09,,,,0.089968,0.091667,0.088963,0.042255,0.044005,0.042527,0.006603,0.0067567,0.0066014,0.0070267,0.0072454,0.0070271
802.69,,,,0.086404,0.087986,0.085322,0.041157,0.042879,0.041433,0.0063145,0.0064522,0.0062992,0.0067983,0.0070131,0.0068014
816.3,,,,0.083022,0.084492,0.081868,0.040099,0.041793,0.040378,0.0060425,0.0061651,0.0060144,0.0065803,0.0067914,0.006586
829.9,,,,0.07981,0.081174,0.078591,0.03908,0.040745,0.039359,0.0057772,0.0058941,0.0057459,0.0063722,0.0065795,0.00638
843.51,,,,0.076759,0.07802,0.075478,0.038097,0.039733,0.038376,0.0055203,0.0056384,0.0054927,0.0061734,0.006377,0.006183
857.11,,,,0.073858,0.075021,0.07252,0.037148,0.038756,0.037426,0.0052804,0.0053969,0.0052536,0.0059831,0.0061831,0.0059944
870.72,,,,0.071098,0.072167,0.069709,0.036232,0.037812,0.036507,0.0050619,0.0051687,0.0050277,0.0058011,0.0059974,0.0058138
884.32,,,,0.068472,0.069452,0.067035,0.035347,0.036899,0.035619,0.0048597,0.0049528,0.0048143,0.0056268,0.0058196,0.0056406
