,1s,1s,1s,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,6.4483,6.458,6.2234,,,,,,,0.13223,0.13177,0.15287
27.21,,,,,,,,,,8.7297,8.7467,8.7193,,,,,,,0.14749,0.14716,0.15726
40.81,,,,,,,,,,8.3728,8.3873,8.414,,,,,,,0.12304,0.12291,0.12848
54.42,,,,,,,,,,7.2288,7.2403,7.2816,,,,,,,0.099602,0.099541,0.10298
68.02,,,,,,,,,,6.08,6.0899,6.1336,0.97104,0.98034,0.93242,,,,0.080562,0.080566,0.082838
81.63,,,,,,,,,,5.0307,5.0389,5.0801,0.99558,1.0047,0.95988,,,,0.065746,0.06585,0.067434
95.23,,,,,,,,,,4.1163,4.1237,4.1604,0.98893,0.99774,0.95679,,,,0.054544,0.054621,0.055776
108.84,,,,,,,,,,3.3635,3.3697,3.4016,0.9634,0.97181,0.93475,0.23196,0.23319,0.23677,0.046008,0.046047,0.046915
122.44,,,,,,,,,,2.764,2.7697,2.7972,0.92794,0.93591,0.90243,0.21668,0.21787,0.22096,0.039307,0.039414,0.040089
136.05,,,,,,,,,,2.2901,2.2952,2.319,0.88742,0.89495,0.86465,0.20269,0.20383,0.20653,0.034144,0.034186,0.03472
149.65,,,,,,,,,,1.9113,1.9159,1.9365,0.84416,0.8513,0.82382,0.18975,0.19085,0.19321,0.029891,0.029987,0.030418
163.26,,,,,,,,,,1.605,1.6093,1.6271,0.79975,0.80653,0.78156,0.17777,0.17884,0.1809,0.026513,0.026562,0.026915
176.86,,,,,,,,,,1.3554,1.3593,1.3747,0.75527,0.7617,0.73897,0.16669,0.16772,0.16954,0.023645,0.023734,0.024026
190.47,,,,,,,,,,1.1512,1.1549,1.1682,0.71184,0.71793,0.69719,0.1565,0.15751,0.15911,0.021327,0.021374,0.021619
204.07,,,,,,,,,,0.98358,0.98706,0.99869,0.67015,0.67591,0.65694,0.14717,0.14815,0.14956,0.019297,0.019384,0.019592
217.68,,,,,,,,,,0.84572,0.8489,0.85907,0.63078,0.63624,0.61883,0.13865,0.1396,0.14086,0.017646,0.017691,0.017868
