,1s,1s,1s
5387.58,2.6349e-06,6.6519e-07,1.5197e-06
5401.18,2.6612e-06,6.6772e-07,1.5068e-06
5414.79,2.6875e-06,6.7046e-07,1.4943e-06
5428.39,2.7134e-06,6.7329e-07,1.482e-06
5442.0,2.7389e-06,6.762e-07,1.47e-06
5455.6,2.7637e-06,6.7917e-07,1.4581e-06
5469.21,2.7879e-06,6.8216e-07,1.4463e-06
5482.81,2.8113e-06,6.8517e-07,1.4345e-06
5496.42,2.8337e-06,6.8815e-07,1.4227e-06
5510.02,2.8542e-06,6.9085e-07,1.4104e-06
5523.63,2.8814e-06,6.9537e-07,1.4018e-06
5537.23,2.8997e-06,6.9794e-07,1.3892e-06
5550.84,2.9193e-06,7.0103e-07,1.3778e-06
5564.44,2.9386e-06,7.0424e-07,1.3666e-06
5578.05,2.9574e-06,7.0753e-07,1.3557e-06
5591.65,2.9757e-06,7.1089e-07,1.3449e-06
5605.26,2.9934e-06,7.1432e-07,1.3342e-06
5618.86,3.0104e-06,7.1778e-07,1.3237e-06
5632.47,3.0267e-06,7.2126e-07,1.3132e-06
5646.07,3.0419e-06,7.2468e-07,1.3027e-06
5659.68,3.056e-06,7.2805e-07,1.2921e-06
5673.28,3.0731e-06,7.3232e-07,1.2831e-06
5686.89,3.0855e-06,7.3568e-07,1.2726e-06
5700.49,3.0978e-06,7.392e-07,1.2625e-06
5714.1,3.1095e-06,7.4278e-07,1.2524e-06
5727.7,3.1207e-06,7.4642e-07,1.2425e-06
5741.31,3.1312e-06,7.5012e-07,1.2328e-06
5754.91,3.1413e-06,7.5389e-07,1.2233e-06
5768.52,3.1507e-06,7.577e-07,1.2138e-06
5782.12,3.1595e-06,7.6155e-07,1.2045e-06
5795.73,3.1674e-06,7.6537e-07,1.1951e-06
5809.33,3.174e-06,7.6908e-07,1.1857e-06
5822.94,3.1825e-06,7.7342e-07,1.1772e-06
5836.54,3.1881e-06,7.7725e-07,1.1681e-06
5850.15,3.193e-06,7.811e-07,1.159e-06
5863.75,3.1972e-06,7.8497e-07,1.15e-06
5877.36,3.2008e-06,7.8887e-07,1.1411e-06
5890.96,3.2038e-06,7.928e-07,1.1323e-06
5904.57,3.2062e-06,7.9679e-07,1.1236e-06
5918.17,3.2082e-06,8.0083e-07,1.1151e-06
5931.78,3.2096e-06,8.0493e-07,1.1067e-06
5945.38,3.2105e-06,8.0905e-07,1.0984e-06
5958.99,3.2104e-06,8.1313e-07,1.0901e-06
5972.59,3.2104e-06,8.174e-07,1.0821e-06
5986.2,3.2093e-06,8.2154e-07,1.074e-06
5999.8,3.2073e-06,8.2566e-07,1.0659e-06
6013.41,3.2046e-06,8.2975e-07,1.0578e-06
6027.01,3.2012e-06,8.3384e-07,1.0498e-06
6040.62,3.1972e-06,8.3792e-07,1.0419e-06
6054.22,3.1925e-06,8.4203e-07,1.034e-06
6067.83,3.1874e-06,8.4617e-07,1.0263e-06
6081.43,3.1817e-06,8.5036e-07,1.0186e-06
6095.04,3.1756e-06,8.5458e-07,1.0111e-06
6108.64,3.1693e-06,8.5893e-07,1.0038e-06
6122.25,3.1622e-06,8.6324e-07,9.9645e-07
6135.85,3.1544e-06,8.6754e-07,9.8918e-07
6149.46,3.146e-06,8.7183e-07,9.8196e-07
6163.06,3.1368e-06,8.7609e-07,9.7476e-07
6176.67,3.127e-06,8.8032e-07,9.6758e-07
6190.27,3.1164e-06,8.845e-07,9.6043e-07
6203.88,3.1051e-06,8.8866e-07,9.5331e-07
6217.48,3.0932e-06,8.9281e-07,9.4624e-07
6231.09,3.0808e-06,8.9696e-07,9.3924e-07
6244.69,3.0676e-06,9.0106e-07,9.3224e-07
6258.3,3.0547e-06,9.0542e-07,9.2558e-07
6271.9,3.0425e-06,9.1012e-07,9.1933e-07
6285.51,3.028e-06,9.1434e-07,9.1266e-07
6299.11,3.0134e-06,9.1865e-07,9.0613e-07
6312.72,2.9982e-06,9.2297e-07,8.9967e-07
6326.32,2.9824e-06,9.2726e-07,8.9324e-07
6339.93,2.9659e-06,9.3151e-07,8.8683e-07
6353.53,2.9488e-06,9.3569e-07,8.8043e-07
6367.14,2.931e-06,9.3982e-07,8.7404e-07
6380.74,2.9125e-06,9.4387e-07,8.6764e-07
6394.35,2.8932e-06,9.478e-07,8.612e-07
6407.95,2.8741e-06,9.5197e-07,8.5504e-07
6421.56,2.8582e-06,9.5734e-07,8.5001e-07
6435.16,2.837e-06,9.611e-07,8.4361e-07
6448.77,2.8165e-06,9.6522e-07,8.3759e-07
6462.37,2.7958e-06,9.6943e-07,8.3171e-07
6475.98,2.7747e-06,9.7366e-07,8.2592e-07
6489.58,2.7532e-06,9.7788e-07,8.2017e-07
6503.19,2.7311e-06,9.8205e-07,8.1444e-07
6516.79,2.7084e-06,9.8614e-07,8.0871e-07
6530.4,2.6851e-06,9.9013e-07,8.0296e-07
6544.0,2.6609e-06,9.9396e-07,7.9715e-07
6557.61,2.6349e-06,9.972e-07,7.9093e-07
6571.21,2.6095e-06,1.0008e-06,7.8506e-07
6584.82,2.5906e-06,1.007e-06,7.8133e-07
6598.42,2.5648e-06,1.0107e-06,7.7567e-07
6612.03,2.5392e-06,1.0146e-06,7.7022e-07
6625.63,2.5135e-06,1.0186e-06,7.6491e-07
6639.24,2.4876e-06,1.0226e-06,7.5969e-07
6652.84,2.4615e-06,1.0267e-06,7.5453e-07
6666.45,2.435e-06,1.0307e-06,7.494e-07
6680.05,2.4081e-06,1.0346e-06,7.4428e-07
6693.66,2.3806e-06,1.0384e-06,7.3913e-07
6707.26,2.3523e-06,1.0419e-06,7.3385e-07
6720.87,2.3238e-06,1.0454e-06,7.2866e-07
6734.47,2.3003e-06,1.0513e-06,7.2515e-07
6748.08,2.2702e-06,1.0543e-06,7.1966e-07
6761.68,2.241e-06,1.0577e-06,7.1459e-07
6775.29,2.2119e-06,1.0613e-06,7.0967e-07
6788.89,2.1829e-06,1.065e-06,7.0484e-07
6802.5,2.1538e-06,1.0687e-06,7.0011e-07
6816.1,2.1246e-06,1.0724e-06,6.9545e-07
6829.71,2.0953e-06,1.0761e-06,6.9085e-07
6843.31,2.0658e-06,1.0798e-06,6.8628e-07
6856.92,2.036e-06,1.0833e-06,6.8169e-07
6870.52,2.0055e-06,1.0865e-06,6.7696e-07
6884.13,1.9748e-06,1.0896e-06,6.7222e-07
6897.73,1.9477e-06,1.0948e-06,6.6882e-07
6911.34,1.9167e-06,1.0979e-06,6.6413e-07
6924.94,1.886e-06,1.101e-06,6.596e-07
6938.55,1.8552e-06,1.1042e-06,6.5514e-07
6952.15,1.8246e-06,1.1074e-06,6.5075e-07
6965.76,1.7939e-06,1.1107e-06,6.4644e-07
6979.36,1.7634e-06,1.1139e-06,6.4221e-07
6992.97,1.7329e-06,1.1172e-06,6.3805e-07
7006.57,1.7025e-06,1.1205e-06,6.3394e-07
7020.18,1.6721e-06,1.1238e-06,6.2986e-07
