,1s,1s,1s,2s,2s,2s
,x,y,z,x,y,z
0,,,,,,
13.6,,,,0.56547,0.57013,0.59548
27.21,,,,0.21682,0.2187,0.22589
40.81,,,,0.1057,0.10708,0.10999
54.42,,,,0.060245,0.060958,0.062373
68.02,0.8859,0.89861,0.9061,0.03823,0.038404,0.039165
81.63,0.68349,0.69439,0.69905,0.025789,0.026014,0.026443
95.23,0.53855,0.54797,0.5507,0.018065,0.018577,0.01884
108.84,0.43228,0.44048,0.4419,0.013686,0.013817,0.013984
122.44,0.35259,0.35979,0.3603,0.010453,0.010622,0.010718
136.05,0.29159,0.29795,0.29782,0.0081236,0.0083615,0.0084251
149.65,0.24404,0.24968,0.2491,0.0066847,0.0067278,0.0067595
163.26,0.20636,0.21139,0.2105,0.0052863,0.0054974,0.0055146
176.86,0.17608,0.18058,0.17946,0.0045387,0.0045596,0.0045617
190.47,0.15145,0.15547,0.1542,0.0036621,0.0038217,0.0038178
204.07,0.13117,0.1348,0.13343,0.0032097,0.0032395,0.0032271
217.68,0.11434,0.11761,0.11618,0.0026678,0.0027651,0.0027514
231.28,0.10025,0.1032,0.10174,0.0023191,0.0023829,0.0023636
244.89,0.08837,0.091029,0.08956,0.0020352,0.0020627,0.0020442
258.49,0.078283,0.080684,0.079221,0.0017026,0.0018,0.0017787
272.1,0.069666,0.071838,0.070392,0.0015842,0.0015776,0.0015563
285.7,0.062264,0.06423,0.06281,0.0013146,0.0013893,0.0013685
299.31,0.055873,0.057656,0.056267,0.0011986,0.0012313,0.0012091
312.91,0.05033,0.051948,0.050594,0.0010871,0.0010934,0.0010728
326.52,0.0455,0.046968,0.045652,0.00090866,0.0009766,0.00095583
340.12,0.041276,0.042607,0.041331,0.00087249,0.00087559,0.00085484
353.73,0.037565,0.03877,0.037535,0.00076897,0.0007864,0.00076725
367.33,0.034292,0.035383,0.034189,0.00065938,0.00071031,0.00069096
380.94,0.031395,0.032381,0.031229,0.00064826,0.00064306,0.00062426
394.54,0.02882,0.029711,0.028599,0.00056801,0.00058309,0.00056569
408.15,0.026523,0.027328,0.026256,0.00049119,0.00053146,0.00051407
421.75,0.024468,0.025195,0.024162,0.00049033,0.00048529,0.00046844
435.36,0.022625,0.023278,0.022283,0.00043745,0.00044354,0.00042795
448.96,0.020965,0.021551,0.020593,0.00037292,0.00040728,0.00039191
462.57,0.019468,0.019992,0.01907,0.00037391,0.00037478,0.00035975
476.17,0.018113,0.018578,0.017691,0.00034993,0.00034488,0.00033095
489.78,0.016883,0.017294,0.016441,0.00029245,0.00031855,0.00030509
503.38,0.015764,0.016126,0.015305,0.00028417,0.00029515,0.00028182
516.99,0.014743,0.015059,0.01427,0.00028506,0.00027334,0.00026083
530.59,0.013809,0.014083,0.013324,0.00024232,0.00025362,0.00024184
544.2,0.012953,0.013189,0.012459,0.00021672,0.00023628,0.00022463
557.8,0.012168,0.012367,0.011666,0.00022615,0.00022023,0.00020899
571.41,0.011446,0.011612,0.010937,0.00021098,0.00020522,0.00019476
585.01,0.010781,0.010915,0.010267,0.00017578,0.00019187,0.00018178
598.62,0.010167,0.010272,0.0096493,0.00017114,0.00017988,0.00016992
612.22,0.0096001,0.0096777,0.0090789,0.00017936,0.00016851,0.00015907
625.83,0.0090754,0.0091271,0.0085517,0.00015872,0.00015795,0.00014911
639.43,0.0085888,0.0086166,0.0080636,0.00013461,0.00014859,0.00013997
653.04,0.0081369,0.0081424,0.007611,0.00013783,0.00014,0.00013155
