,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4p,4p,4p,4s,4s,4s,5s,5s,5s
190.47,,,,,,,3.6004,3.6302,3.6806,,,,,,,0.18647,0.18606,0.16216,0.075682,0.075596,0.075483,0.0033105,0.0028767,0.0028513
204.07,,,,,,,3.3458,3.375,3.4223,,,,,,,0.17547,0.17517,0.15404,0.069529,0.069473,0.069419,0.0023921,0.0025493,0.0025643
217.68,,,,,,,3.1053,3.1337,3.1778,,,,,,,0.16512,0.16496,0.14621,0.064092,0.064062,0.064054,0.0022129,0.0023425,0.002324
231.28,,,,,,,2.8804,2.9081,2.949,,,,,,,0.15553,0.15544,0.13874,0.059282,0.059276,0.059303,0.0025643,0.0021075,0.0021204
244.89,,,,,,,2.6712,2.698,2.7359,0.52898,0.53195,0.49493,,,,0.14663,0.14659,0.13167,0.055013,0.055027,0.055082,0.0013615,0.0019513,0.0019465
258.49,,,,,,,2.4787,2.5047,2.5396,0.51306,0.51621,0.48146,,,,0.13838,0.13842,0.12503,0.051215,0.051247,0.051324,0.0025169,0.0017963,0.0017963
272.1,,,,,,,2.3019,2.327,2.3592,0.49753,0.50085,0.4682,,,,0.13072,0.13085,0.11879,0.047805,0.047855,0.047948,0.0012486,0.0016525,0.0016644
285.7,,,,,,,2.14,2.1642,2.1938,0.48247,0.48594,0.45521,,,,0.12367,0.12385,0.11294,0.044738,0.044802,0.044908,0.0015722,0.0015559,0.0015477
299.31,,,,,,,1.992,2.0154,2.0426,0.46791,0.47152,0.44257,,,,0.11716,0.11737,0.10748,0.041963,0.042042,0.042156,0.0018471,0.0014315,0.0014431
312.91,,,,,,,1.8549,1.8775,1.9024,0.45353,0.45727,0.42998,0.096929,0.097931,0.098194,0.11105,0.1113,0.10231,0.039431,0.039522,0.039644,0.00084795,0.0013444,0.0013484
326.52,,,,,,,1.7291,1.7509,1.7737,0.43961,0.44347,0.41772,0.093956,0.094976,0.095242,0.10536,0.10566,0.097468,0.03713,0.037231,0.037358,0.0016276,0.0012657,0.0012626
340.12,,,,,,,1.6131,1.6341,1.655,0.42604,0.43001,0.40569,0.091095,0.092131,0.092399,0.10005,0.10041,0.092913,0.035024,0.035135,0.035265,0.001282,0.0011713,0.0011842
353.73,,,,,,,1.5064,1.5267,1.5458,0.41291,0.41697,0.39399,0.088357,0.089409,0.089678,0.09514,0.09551,0.088643,0.033098,0.033219,0.03335,0.00070388,0.0011115,0.0011128
367.33,,,,,,,1.4083,1.4277,1.4452,0.40023,0.40437,0.38262,0.085748,0.086816,0.087084,0.090567,0.09095,0.08464,0.031336,0.031466,0.031598,0.0014606,0.0010476,0.0010475
380.94,,,,,,,1.3178,1.3366,1.3525,0.38795,0.39217,0.37157,0.083239,0.084321,0.084589,0.086276,0.086687,0.080877,0.029713,0.02985,0.029983,0.0010107,0.00097564,0.00098744
394.54,,,,,,,1.2347,1.2528,1.2673,0.37617,0.38046,0.36092,0.080847,0.081945,0.082211,0.08227,0.08272,0.077356,0.028222,0.028366,0.028498,0.0005723,0.000931,0.00093257
408.15,,,,,,,1.1582,1.1756,1.1888,0.36485,0.3692,0.35066,0.078572,0.079685,0.079948,0.078544,0.07902,0.074057,0.02685,0.027001,0.027131,0.0012254,0.00088235,0.00088232
421.75,,,,,,,1.0875,1.1042,1.1162,0.35389,0.3583,0.34068,0.076363,0.07749,0.07775,0.075059,0.075543,0.070941,0.025571,0.025728,0.025857,0.00093578,0.00082544,0.00083581
435.36,,,,,,,1.0222,1.0383,1.0492,0.34338,0.34783,0.33107,0.074255,0.075397,0.075653,0.071805,0.072292,0.068016,0.024389,0.02455,0.024678,0.00044678,0.00078969,0.00079319
448.96,,,,,,,0.96175,0.97722,0.98711,0.33322,0.33772,0.32176,0.07223,0.073385,0.073637,0.068732,0.069233,0.065254,0.023289,0.023455,0.02358,0.00093449,0.00075492,0.0007539
462.57,,,,,,,0.90562,0.92051,0.92944,0.3234,0.32793,0.31273,0.070271,0.071439,0.071686,0.065824,0.066349,0.062639,0.02226,0.022431,0.022553,0.00097513,0.00070948,0.00071751
476.17,,,,,,,0.85358,0.8679,0.87596,0.31394,0.3185,0.30401,0.068392,0.069572,0.069814,0.063089,0.063635,0.060169,0.0213,0.021475,0.021595,0.00039292,0.00067778,0.00068397
489.78,,,,,,,0.80516,0.81893,0.82619,0.30479,0.30938,0.29554,0.066578,0.067769,0.068006,0.060516,0.061069,0.057826,0.020401,0.02058,0.020697,0.00059462,0.00065404,0.00065289
503.38,,,,,,,0.76013,0.77337,0.77987,0.29595,0.30056,0.28734,0.064832,0.066033,0.066264,0.058093,0.058642,0.055604,0.019559,0.01974,0.019854,0.00098933,0.00061988,0.00062405
516.99,,,,,,,0.71828,0.73102,0.73683,0.28744,0.29207,0.27943,0.063157,0.064366,0.064591,0.055803,0.056352,0.053501,0.01877,0.018954,0.019065,0.00048532,0.00058934,0.00059733
530.59,,,,,,,0.67934,0.6916,0.69677,0.27926,0.2839,0.27181,0.061545,0.062762,0.062982,0.053629,0.054189,0.051509,0.018029,0.018216,0.018324,0.00032885,0.00057125,0.00057249
544.2,,,,,,,0.64301,0.6548,0.65938,0.27134,0.27599,0.26441,0.059991,0.061214,0.061427,0.051561,0.052136,0.049614,0.017331,0.017521,0.017626,0.0007664,0.00054905,0.00054928
557.8,,,,,,,0.60916,0.62049,0.62453,0.26373,0.26839,0.25729,0.058498,0.059727,0.059934,0.049611,0.050196,0.047818,0.016675,0.016868,0.01697,0.00071755,0.00052109,0.00052761
571.41,,,,,,,0.57759,0.58849,0.59202,0.25642,0.26108,0.25043,0.057064,0.058298,0.058498,0.047777,0.048361,0.046116,0.016058,0.016253,0.016352,0.00027866,0.00050214,0.00050736
585.01,,,,,,,0.54802,0.5585,0.56157,0.24934,0.254,0.24378,0.055676,0.056915,0.057108,0.046037,0.046614,0.044493,0.015474,0.015671,0.015767,0.00037828,0.00048868,0.00048829
598.62,,,,,,,0.52038,0.53046,0.53309,0.24254,0.24719,0.23737,0.054342,0.055583,0.05577,0.044387,0.04496,0.042952,0.014923,0.015121,0.015214,0.00076382,0.0004684,0.00047034
612.22,,,,,,,0.49446,0.50415,0.50639,0.23597,0.24061,0.23117,0.053053,0.054296,0.054476,0.042809,0.043386,0.041483,0.014401,0.014601,0.014691,0.0004984,0.00044699,0.00045338
625.83,,,,,,,0.47022,0.47954,0.48141,0.22966,0.2343,0.22521,0.051817,0.053063,0.053236,0.04131,0.041895,0.040089,0.01391,0.01411,0.014197,0.00020817,0.00043414,0.00043743
639.43,,,,,,,0.44732,0.45628,0.4578,0.22348,0.22811,0.21936,0.050602,0.051849,0.052016,0.03987,0.040461,0.038746,0.013437,0.013639,0.013723,0.00039572,0.00042272,0.00042213
653.04,,,,,,,0.42586,0.43448,0.43569,0.21756,0.22217,0.21374,0.049437,0.050684,0.050844,0.038512,0.039101,0.037469,0.012991,0.013194,0.013276,0.00068888,0.00040519,0.00040767
666.64,,,,,,,0.4057,0.41398,0.4149,0.21182,0.21642,0.20829,0.048309,0.049557,0.049711,0.037222,0.037803,0.03625,0.012567,0.012771,0.01285,0.00038949,0.00038827,0.00039392
680.25,,,,,,,0.38668,0.39463,0.39528,0.20626,0.21084,0.20299,0.047213,0.048461,0.048608,0.035987,0.03656,0.03508,0.012163,0.012367,0.012443,0.00017167,0.00037826,0.0003808
693.85,,,,,,,0.36888,0.37653,0.37693,0.20093,0.20549,0.19792,0.046162,0.047411,0.047551,0.034811,0.035382,0.03397,0.01178,0.011985,0.012058,0.00035483,0.00036893,0.00036838
707.46,,,,,,,0.35207,0.35942,0.35959,0.19576,0.2003,0.19298,0.045141,0.04639,0.046524,0.03368,0.034254,0.032906,0.011415,0.01162,0.011691,0.00061489,0.00035438,0.00035649
721.06,,,,,,,0.33624,0.34329,0.34326,0.19077,0.19528,0.1882,0.044153,0.045401,0.045529,0.032597,0.033175,0.031886,0.011066,0.011272,0.01134,0.00035757,0.00034024,0.00034516
734.67,,,,,,,0.32128,0.32806,0.32783,0.18593,0.19042,0.18357,0.043194,0.044443,0.044564,0.031564,0.032143,0.03091,0.010733,0.010939,0.011005,0.00014503,0.00033181,0.00033435
748.27,,,,,,,0.30721,0.31371,0.3133,0.18128,0.18574,0.17911,0.042271,0.043519,0.043634,0.030585,0.031159,0.029977,0.010416,0.010623,0.010686,0.00027197,0.00032455,0.00032406
761.88,,,,,,,0.29389,0.30014,0.29957,0.17677,0.18121,0.17479,0.041375,0.042624,0.042732,0.029651,0.030216,0.029083,0.010114,0.01032,0.010381,0.00054168,0.00031303,0.00031422
775.48,,,,,,,0.2813,0.2873,0.28657,0.17241,0.17682,0.1706,0.040505,0.041754,0.041856,0.028755,0.029312,0.028225,0.0098238,0.010031,0.010089,0.00038166,0.0003007,0.00030482
789.09,,,,,,,0.26938,0.27513,0.27426,0.16819,0.17257,0.16653,0.039662,0.040911,0.041006,0.027891,0.028445,0.0274,0.0095463,0.0097531,0.0098089,0.00013778,0.00029287,0.00029584
802.69,,,,,,,0.2581,0.26363,0.26263,0.16411,0.16846,0.1626,0.038845,0.040094,0.040183,0.02706,0.027614,0.02661,0.0092808,0.0094875,0.0095411,0.00017611,0.0002874,0.00028727
816.3,,,,,,,0.24742,0.25272,0.2516,0.16016,0.16448,0.15878,0.038053,0.039301,0.039385,0.02626,0.026816,0.02585,0.0090263,0.0092329,0.0092844,0.00043295,0.00027896,0.00027908
829.9,,,,,,,0.23728,0.24236,0.24114,0.15633,0.16062,0.15508,0.037282,0.038531,0.038608,0.025494,0.026049,0.025119,0.0087819,0.0089884,0.0090376,0.0004347,0.00026828,0.00027123
843.51,,,,,,,0.22766,0.23253,0.23121,0.15261,0.15686,0.15148,0.036533,0.037781,0.037852,0.024761,0.025311,0.024414,0.008547,0.0087532,0.0088004,0.00017136,0.00026032,0.00026372
857.11,,,,,,,0.21854,0.22321,0.2218,0.14901,0.15323,0.148,0.035806,0.037052,0.037118,0.02406,0.024601,0.023737,0.0083214,0.0085273,0.0085724,0.00010577,0.00025576,0.00025653
870.72,,,,,,,0.20988,0.21435,0.21286,0.14552,0.14971,0.14461,0.0351,0.036346,0.036405,0.023387,0.023919,0.023085,0.0081048,0.0083103,0.0083535,0.0002747,0.00025026,0.00024966
884.32,,,,,,,0.20166,0.20594,0.20437,0.14214,0.14629,0.14133,0.034415,0.035659,0.035713,0.022736,0.023263,0.022457,0.0078966,0.0081017,0.0081429,0.0004477,0.00024178,0.00024307
897.93,,,,,,,0.19383,0.19793,0.1963,0.13885,0.14297,0.13814,0.033746,0.034989,0.035037,0.022105,0.022629,0.02185,0.0076956,0.0079004,0.0079396,0.0002679,0.00023358,0.00023674
911.53,,,,,,,0.1864,0.19032,0.18863,0.13567,0.13975,0.13504,0.033098,0.034339,0.034381,0.021496,0.02202,0.021266,0.0075026,0.0077069,0.0077443,9.394e-05,0.00022868,0.00023068
925.14,,,,,,,0.17933,0.18309,0.18133,0.13259,0.13663,0.13204,0.032469,0.033707,0.033744,0.02091,0.021433,0.020704,0.0073167,0.0075205,0.0075561,0.00012844,0.00022518,0.00022487
938.74,,,,,,,0.17261,0.1762,0.1744,0.12961,0.13361,0.12913,0.031858,0.033094,0.033125,0.020349,0.020868,0.020162,0.0071379,0.0073411,0.007375,0.00033394,0.00021958,0.00021929
952.35,,,,,,,0.16621,0.16963,0.16779,0.12672,0.13069,0.12631,0.031266,0.032499,0.032525,0.019813,0.020325,0.01964,0.006966,0.0071688,0.0072009,0.00038012,0.00021213,0.00021394
965.95,,,,,,,0.16009,0.16337,0.16148,0.12389,0.12782,0.12355,0.030685,0.031914,0.031935,0.019294,0.019798,0.019133,0.006799,0.0070011,0.0070315,0.00016894,0.00020608,0.00020876
979.56,,,,,,,0.15427,0.1574,0.15547,0.12116,0.12505,0.12088,0.030123,0.031349,0.031364,0.018795,0.01929,0.018645,0.0066385,0.0068401,0.0068689,7.0323e-05,0.00020276,0.00020379
993.16,,,,,,,0.14872,0.1517,0.14975,0.11851,0.12237,0.11829,0.029576,0.030798,0.030808,0.018312,0.018801,0.018174,0.0064837,0.0066847,0.0067118,0.00014819,0.00019968,0.00019901
1006.77,,,,,,,0.14343,0.14627,0.14429,0.11595,0.11976,0.11577,0.029045,0.030264,0.030268,0.017843,0.018329,0.01772,0.0063346,0.0065349,0.0065605,0.0003389,0.00019445,0.00019441
1020.37,,,,,,,0.13835,0.14106,0.13906,0.11344,0.11722,0.11331,0.028525,0.029739,0.029738,0.017386,0.017871,0.017279,0.0061897,0.0063894,0.0064134,0.0003169,0.00018812,0.00018993
1033.98,,,,,,,0.13352,0.1361,0.13407,0.11101,0.11475,0.11093,0.028021,0.029231,0.029225,0.016947,0.017431,0.016855,0.0060503,0.0062493,0.0062719,0.00012378,0.00018347,0.00018564
1047.58,,,,,,,0.1289,0.13135,0.1293,0.10865,0.11235,0.10861,0.027529,0.028734,0.028724,0.016525,0.017004,0.016443,0.0059153,0.0061136,0.0061347,5.9258e-05,0.00018093,0.00018147
1061.19,,,,,,,0.12448,0.12681,0.12475,0.10636,0.11002,0.10635,0.02705,0.02825,0.028235,0.016119,0.016591,0.016045,0.0057846,0.0059823,0.006002,0.00014451,0.00017823,0.00017745
1074.79,,,,,,,0.12027,0.12248,0.12041,0.10414,0.10776,0.10417,0.026585,0.027779,0.02776,0.01573,0.016194,0.015661,0.0056586,0.0058556,0.0058739,0.00031565,0.00017366,0.00017356
1088.4,,,,,,,0.1162,0.1183,0.11622,0.10196,0.10554,0.10202,0.026127,0.027316,0.027292,0.01535,0.015806,0.015287,0.0055358,0.0057319,0.0057489,0.00028424,0.00016824,0.00016976
1102.0,,,,,,,0.11233,0.11432,0.11224,0.099851,0.10339,0.099939,0.025683,0.026867,0.026838,0.014983,0.015432,0.014926,0.0054174,0.0056128,0.0056285,0.00010948,0.00016429,0.0001661
1115.61,,,,,,,0.10863,0.11051,0.10842,0.097799,0.1013,0.097913,0.02525,0.026429,0.026395,0.014624,0.01507,0.014576,0.0053025,0.0054972,0.0055116,4.9649e-05,0.00016214,0.00016255
1129.21,,,,,,,0.10508,0.10686,0.10477,0.095803,0.099261,0.095941,0.024826,0.026,0.025962,0.014276,0.01472,0.014238,0.0051913,0.0053852,0.0053983,0.00011861,0.00015994,0.00015911
1142.82,,,,,,,0.10167,0.10334,0.10125,0.093856,0.097274,0.094015,0.024413,0.025581,0.025539,0.013938,0.01438,0.013909,0.0050832,0.0052764,0.0052882,0.00027724,0.00015612,0.00015576
1156.42,,,,,,,0.098416,0.099997,0.097907,0.091972,0.09535,0.09215,0.024011,0.025174,0.025128,0.013614,0.014052,0.013591,0.0049789,0.0051712,0.0051819,0.00027741,0.00015144,0.00015252
1170.03,,,,,,,0.095291,0.096778,0.094691,0.090137,0.093474,0.090332,0.023618,0.024777,0.024726,0.013301,0.013734,0.013283,0.0048777,0.0050692,0.0050787,0.00011745,0.0001478,0.00014938
1183.63,,,,,,,0.092291,0.093688,0.091605,0.088349,0.091647,0.08856,0.023235,0.024388,0.024334,0.013,0.013426,0.012985,0.0047795,0.0049702,0.0049785,4.2586e-05,0.00014581,0.00014633
1197.24,,,,,,,0.089412,0.090721,0.088644,0.086609,0.089866,0.086832,0.02286,0.024008,0.02395,0.012709,0.013126,0.012695,0.0046842,0.0048739,0.0048812,8.0149e-05,0.00014412,0.00014337
1210.84,,,,,,,0.086643,0.087868,0.085798,0.084913,0.088131,0.085148,0.022495,0.023637,0.023575,0.012426,0.012836,0.012414,0.0045917,0.0047805,0.0047866,0.00021962,0.00014121,0.00014049
1224.45,,,,,,,0.083991,0.085133,0.083072,0.083265,0.086442,0.083509,0.022137,0.023275,0.023209,0.01215,0.012555,0.012141,0.0045019,0.0046898,0.0046949,0.00027834,0.00013721,0.0001377
1238.05,,,,,,,0.08144,0.082503,0.080451,0.081659,0.084797,0.081912,0.021789,0.022922,0.022852,0.01188,0.012282,0.011877,0.0044148,0.0046018,0.0046058,0.00014874,0.00013367,0.00013499
1251.66,,,,,,,0.078987,0.079973,0.077932,0.080095,0.083193,0.080355,0.021448,0.022576,0.022503,0.011618,0.012017,0.01162,0.0043301,0.0045163,0.0045192,4.5623e-05,0.0001316,0.00013236
1265.26,,,,,,,0.076627,0.077539,0.075509,0.07857,0.081628,0.078835,0.021115,0.022238,0.022161,0.011363,0.01176,0.01137,0.0042478,0.004433,0.004435,4.5657e-05,0.0001303,0.0001298
1278.87,,,,,,,0.074356,0.075196,0.073178,0.077082,0.080101,0.077352,0.020789,0.021907,0.021826,0.011117,0.01151,0.011127,0.0041677,0.004352,0.004353,0.00014339,0.00012831,0.00012731
1292.47,,,,,,,0.072173,0.072943,0.070939,0.075633,0.078612,0.075905,0.020471,0.021584,0.021499,0.01088,0.011267,0.010891,0.0040899,0.0042732,0.0042733,0.00025784,0.00012512,0.0001249
1306.08,,,,,,,0.070073,0.070775,0.068785,0.07422,0.07716,0.074494,0.020159,0.021267,0.021179,0.010651,0.011031,0.010662,0.0040142,0.0041965,0.0041957,0.00020014,0.00012171,0.00012255
1319.68,,,,,,,0.06805,0.068687,0.066712,0.072843,0.075744,0.073118,0.019855,0.020958,0.020867,0.010429,0.010801,0.01044,0.0039406,0.0041219,0.0041202,7.1042e-05,0.00011934,0.00012028
1333.29,,,,,,,0.066101,0.066675,0.064715,0.0715,0.074362,0.071775,0.019557,0.020655,0.020561,0.010213,0.010578,0.010223,0.003869,0.0040493,0.0040467,2.9023e-05,0.00011809,0.00011806
1346.89,,,,,,,0.064224,0.064736,0.062792,0.070188,0.073011,0.07046,0.019265,0.020358,0.02026,0.01,0.010361,0.010012,0.003799,0.0039784,0.0039749,6.9056e-05,0.00011686,0.00011591
1360.5,,,,,,,0.062415,0.062868,0.060941,0.068909,0.071694,0.06918,0.01898,0.020068,0.019967,0.0097932,0.01015,0.0098069,0.0037311,0.0039095,0.0039051,0.0001878,0.00011466,0.00011381
1374.1,,,,,,,0.060672,0.061068,0.059158,0.067662,0.070408,0.067929,0.018701,0.019783,0.019679,0.0095907,0.0099444,0.0096074,0.0036649,0.0038423,0.0038371,0.00023765,0.00011167,0.00011177
1387.71,,,,,,,0.058993,0.059333,0.05744,0.066445,0.069153,0.066709,0.018428,0.019505,0.019398,0.0093939,0.0097448,0.0094133,0.0036004,0.0037768,0.0037709,0.00013251,0.000109,0.00010979
1401.31,,,,,,,0.057373,0.05766,0.055784,0.06526,0.067929,0.065519,0.018162,0.019233,0.019123,0.0092035,0.0095506,0.0092246,0.0035376,0.0037131,0.0037063,3.9077e-05,0.00010739,0.00010787
1414.92,,,,,,,0.05581,0.056044,0.054187,0.064103,0.066734,0.064357,0.017901,0.018967,0.018854,0.0090197,0.0093618,0.0090409,0.0034765,0.003651,0.0036435,2.77e-05,0.0001065,0.000106
1428.52,,,,,,,0.0543,0.054485,0.052645,0.062969,0.065563,0.063217,0.017645,0.018705,0.018588,0.0088415,0.0091773,0.0088615,0.0034167,0.0035902,0.0035819,8.9211e-05,0.00010527,0.00010417
1442.13,,,,,,,0.052844,0.052979,0.051159,0.061866,0.064422,0.062107,0.017395,0.018449,0.01833,0.0086691,0.008998,0.0086872,0.0033586,0.003531,0.003522,0.0002006,0.00010311,0.00010239
1455.73,,,,,,,0.051438,0.051526,0.049725,0.060789,0.063307,0.061022,0.01715,0.018198,0.018076,0.0085012,0.0088235,0.0085175,0.0033019,0.0034733,0.0034636,0.00020533,0.00010049,0.00010066
1469.34,,,,,,,0.05008,0.050123,0.048341,0.059737,0.062219,0.059963,0.01691,0.017953,0.017828,0.0083369,0.0086535,0.0083522,0.0032466,0.0034171,0.0034067,9.5083e-05,9.8362e-05,9.8976e-05
1482.94,,,,,,,0.048769,0.048768,0.047005,0.058713,0.061158,0.058931,0.016677,0.017713,0.017585,0.008176,0.0084883,0.0081914,0.0031929,0.0033623,0.0033512,2.6787e-05,9.7188e-05,9.7337e-05
1496.55,,,,,,,0.047499,0.047455,0.045712,0.057706,0.060114,0.057915,0.016446,0.017476,0.017346,0.0080175,0.0083264,0.008034,0.0031401,0.0033085,0.0032967,2.7418e-05,9.6462e-05,9.5729e-05
1510.15,,,,,,,0.046272,0.046188,0.044464,0.056727,0.059099,0.056927,0.016222,0.017245,0.017112,0.0078632,0.0081693,0.0078811,0.0030889,0.0032562,0.0032438,9.441e-05,9.5311e-05,9.4169e-05
1523.76,,,,,,,0.045087,0.044962,0.043258,0.055769,0.058105,0.055959,0.016001,0.017018,0.016883,0.0077129,0.008016,0.007732,0.0030388,0.0032052,0.0031921,0.00019377,9.3348e-05,9.2643e-05
1537.36,,,,,,,0.04394,0.043777,0.042093,0.054833,0.057132,0.055013,0.015786,0.016796,0.016658,0.0075674,0.0078666,0.0075865,0.0029899,0.0031552,0.0031416,0.0001833,9.1063e-05,9.1153e-05
1550.97,,,,,,,0.042831,0.042631,0.040967,0.053918,0.056182,0.054088,0.015574,0.016578,0.016438,0.0074267,0.0077209,0.0074448,0.0029422,0.0031065,0.0030922,7.9986e-05,8.9273e-05,8.9699e-05
1564.57,,,,,,,0.041759,0.041523,0.039878,0.053026,0.055255,0.053186,0.015368,0.016365,0.016222,0.0072907,0.0075791,0.0073067,0.0028957,0.003059,0.0030441,2.185e-05,8.8306e-05,8.8281e-05
1578.18,,,,,,,0.040718,0.040448,0.038823,0.052149,0.054342,0.052297,0.015164,0.016154,0.016009,0.0071579,0.0074401,0.0071714,0.0028501,0.0030123,0.0029968,2.3523e-05,8.7701e-05,8.6889e-05
1591.78,,,,,,,0.039713,0.039408,0.037804,0.051295,0.053453,0.051432,0.014965,0.015949,0.015801,0.0070285,0.0073049,0.0070398,0.0028057,0.0029668,0.0029508,8.3948e-05,8.6715e-05,8.5532e-05
1605.39,,,,,,,0.038739,0.038402,0.036817,0.050459,0.052582,0.050584,0.01477,0.015747,0.015597,0.0069016,0.0071729,0.0069114,0.0027622,0.0029223,0.0029058,0.00017705,8.5016e-05,8.4204e-05
1618.99,,,,,,,0.037796,0.037428,0.035863,0.049641,0.05173,0.049754,0.014578,0.015548,0.015397,0.0067767,0.007044,0.006786,0.0027198,0.0028788,0.0028617,0.00017515,8.3002e-05,8.2905e-05
1632.6,,,,,,,0.036883,0.036485,0.03494,0.048842,0.050896,0.048943,0.01439,0.015354,0.0152,0.0066542,0.0069184,0.0066637,0.0026783,0.0028362,0.0028187,8.1178e-05,8.1375e-05,8.1634e-05
1646.2,,,,,,,0.035996,0.035569,0.034044,0.048058,0.050078,0.048147,0.014206,0.015162,0.015006,0.0065339,0.0067955,0.006544,0.0026377,0.0027946,0.0027765,2.1395e-05,8.0465e-05,8.0389e-05
1659.81,,,,,,,0.03514,0.034684,0.033179,0.047294,0.04928,0.047371,0.014025,0.014975,0.014817,0.0064172,0.0066759,0.0064276,0.0025981,0.0027539,0.0027353,1.7131e-05,7.9955e-05,7.9174e-05
1673.41,,,,,,,0.034309,0.033826,0.032341,0.046546,0.048499,0.04661,0.013848,0.014791,0.014631,0.0063038,0.006559,0.0063138,0.0025594,0.0027141,0.002695,6.2205e-05,7.9191e-05,7.7984e-05
1687.02,,,,,,,0.033502,0.032993,0.031528,0.045814,0.047733,0.045865,0.013674,0.01461,0.014448,0.0061941,0.0064449,0.0062027,0.0025215,0.0026751,0.0026556,0.0001508,7.7803e-05,7.6819e-05
1700.62,,,,,,,0.032721,0.032186,0.030741,0.045097,0.046984,0.045136,0.013503,0.014433,0.014269,0.0060877,0.0063334,0.0060942,0.0024845,0.002637,0.002617,0.00017456,7.603e-05,7.5677e-05
1714.23,,,,,,,0.031963,0.031404,0.029978,0.044396,0.04625,0.044421,0.013335,0.014259,0.014093,0.0059844,0.0062245,0.0059882,0.0024483,0.0025997,0.0025792,9.6438e-05,7.4471e-05,7.456e-05
1727.83,,,,,,,0.031226,0.030644,0.029237,0.043709,0.045531,0.043722,0.01317,0.014087,0.01392,0.0058834,0.006118,0.0058846,0.0024129,0.0025632,0.0025423,2.6805e-05,7.3523e-05,7.3466e-05
1741.44,,,,,,,0.030513,0.029907,0.02852,0.043038,0.044827,0.043037,0.013009,0.013919,0.01375,0.0057844,0.0060141,0.0057834,0.0023782,0.0025274,0.0025061,1.1683e-05,7.3048e-05,7.2395e-05
1755.04,,,,,,,0.02982,0.029193,0.027825,0.042381,0.044138,0.042366,0.01285,0.013754,0.013583,0.0056869,0.0059125,0.0056846,0.0023443,0.0024924,0.0024707,3.6221e-05,7.2518e-05,7.1348e-05
1768.65,,,,,,,0.029147,0.028499,0.02715,0.041737,0.043462,0.041709,0.012694,0.013592,0.013419,0.0055908,0.0058133,0.005588,0.0023112,0.0024581,0.002436,0.00011152,7.1488e-05,7.0321e-05
1782.25,,,,,,,0.028493,0.027825,0.026495,0.041107,0.0428,0.041065,0.012541,0.013433,0.013258,0.0054964,0.0057162,0.0054935,0.0022787,0.0024245,0.002402,0.00016814,6.9991e-05,6.9316e-05
1795.86,,,,,,,0.027859,0.027171,0.02586,0.040489,0.042152,0.040434,0.012391,0.013276,0.0131,0.0054041,0.0056213,0.0054012,0.0022469,0.0023916,0.0023687,0.00012344,6.848e-05,6.8331e-05
1809.46,0.081535,0.079001,0.077587,,,,0.027241,0.026535,0.025243,0.039884,0.041516,0.039816,0.012243,0.013122,0.012945,0.0053142,0.0055284,0.0053108,0.0022158,0.0023594,0.0023361,4.3691e-05,6.7418e-05,6.7366e-05
1823.07,0.080651,0.07814,0.07675,,,,0.026642,0.025918,0.024645,0.039292,0.040892,0.03921,0.012098,0.012971,0.012792,0.0052269,0.0054377,0.0052225,0.0021853,0.0023278,0.0023041,1.1103e-05,6.6881e-05,6.6422e-05
