,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4p,4p,4p,4s,4s,4s,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,,,,,,,0.025712,0.030812,0.026249
27.21,,,,,,,,,,,,,,,,1.2362,1.2379,1.736,,,,0.024062,0.020783,0.019172
40.81,,,,,,,,,,,,,,,,0.52343,0.52264,0.60484,0.24807,0.24706,0.24031,0.019128,0.015955,0.015206
54.42,,,,,,,,,,,,,,,,0.36593,0.36437,0.33357,0.22273,0.22189,0.21731,0.014725,0.013156,0.012671
68.02,,,,,,,,,,,,,,,,0.32017,0.31839,0.25864,0.19802,0.19732,0.19412,0.0096589,0.011023,0.010714
81.63,,,,,,,,,,,,,,,,0.29864,0.29695,0.23345,0.17534,0.17477,0.17249,0.0078791,0.0091701,0.0090644
95.23,,,,,,,,,,,,,,,,0.28255,0.28103,0.22165,0.15513,0.15465,0.15303,0.0096022,0.0077498,0.0076599
108.84,,,,,,,,,,,,,,,,0.26752,0.26615,0.2131,0.13768,0.13729,0.13613,0.0058587,0.0066008,0.0064886
122.44,,,,,,,5.0144,5.0447,5.1038,,,,,,,0.25246,0.25133,0.20483,0.12287,0.12256,0.12172,0.0054827,0.005536,0.005528
136.05,,,,,,,4.7406,4.7714,4.8309,,,,,,,0.2378,0.23685,0.19632,0.11037,0.11012,0.10952,0.0053799,0.0048169,0.0047519
149.65,,,,,,,4.4471,4.478,4.5362,,,,,,,0.22383,0.22301,0.18767,0.099757,0.099554,0.099129,0.0034714,0.0041224,0.0041238
163.26,,,,,,,4.1528,4.1835,4.2395,,,,,,,0.21056,0.20993,0.17903,0.090616,0.090458,0.090166,0.0043836,0.0036498,0.0036138
176.86,,,,,,,3.8697,3.9,3.9533,,,,,,,0.19813,0.19764,0.17051,0.082667,0.082548,0.082357,0.0026338,0.0031875,0.0031961
