,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4d,4d,4d,4p,4p,4p,4s,4s,4s,5s,5s,5s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,23.314,23.294,20.748,,,,,,,0.028432,0.028536,0.010957
27.21,,,,,,,,,,,,,,,,37.538,37.461,35.389,,,,,,,0.037217,0.037156,0.027002
40.81,,,,,,,,,,,,,,,,24.258,24.186,22.687,,,,,,,0.032745,0.032701,0.026938
54.42,,,,,,,,,,,,,,,,9.3856,9.3343,8.5208,,,,,,,0.028092,0.02803,0.024385
68.02,,,,,,,,,,,,,,,,3.0247,3.0012,2.5852,0.43499,0.43666,0.35259,,,,0.024036,0.024032,0.021551
81.63,,,,,,,,,,,,,,,,0.888,0.87713,0.6634,0.42736,0.4289,0.34522,,,,0.020534,0.020627,0.01886
95.23,,,,,,,,,,,,,,,,0.30136,0.30124,0.18933,0.42193,0.42342,0.34424,0.18903,0.18973,0.17959,0.017737,0.017744,0.016442
108.84,,,,,,,,,,,,,,,,0.22606,0.23001,0.17149,0.41549,0.417,0.34389,0.1771,0.1778,0.16909,0.015337,0.015331,0.01434
122.44,,,,,,,,,,,,,,,,0.29748,0.30397,0.2748,0.4069,0.40845,0.34186,0.16573,0.16646,0.15892,0.013244,0.013315,0.012548
136.05,,,,,,,,,,,,,,,,0.39547,0.40372,0.3912,0.39644,0.39804,0.3378,0.15523,0.15598,0.14941,0.011672,0.01165,0.011041
149.65,,,,,,,,,,,,,,,,0.48088,0.4909,0.48787,0.38472,0.38638,0.33201,0.14569,0.14646,0.1407,0.010208,0.010276,0.0097852
163.26,,,,,,,,,,,,,,,,0.54558,0.55546,0.55777,0.37216,0.37388,0.3248,0.13696,0.13774,0.13266,0.0091452,0.0091328,0.0087302
176.86,,,,,,,,,,,,,,,,0.5887,0.59796,0.60327,0.35933,0.36111,0.31673,0.12899,0.12979,0.12527,0.0081152,0.0081788,0.0078436
190.47,,,,,,,,,,,,,,,,0.61211,0.62234,0.62922,0.34634,0.34816,0.30796,0.12161,0.12241,0.11838,0.0073778,0.0073711,0.007089
204.07,,,,,,,,,,,,,,,,0.62227,0.63298,0.64052,0.33348,0.33535,0.29884,0.11481,0.1156,0.11199,0.006627,0.0066857,0.0064459
217.68,,,,,,,,,,,,,,,,0.62382,0.63328,0.64098,0.32071,0.32261,0.28939,0.10844,0.10924,0.10599,0.0060918,0.0060969,0.0058904
231.28,,,,,,,,,,,,,,,,0.61737,0.62598,0.6336,0.30818,0.31012,0.27982,0.10254,0.10334,0.10041,0.0055478,0.0055884,0.0054104
244.89,,,,,,,,,,,,,,,,0.60373,0.61301,0.62034,0.29592,0.29789,0.2702,0.09705,0.097853,0.095196,0.005118,0.0051485,0.004992
258.49,,,,,,,,,,,,,,,,0.58647,0.59615,0.60302,0.28405,0.28604,0.26068,0.091961,0.09277,0.090354,0.0047511,0.0047628,0.0046261
272.1,,,,,,,,,,,,,,,,0.56772,0.57638,0.58272,0.27256,0.27458,0.25129,0.087245,0.088058,0.085853,0.0043741,0.0044253,0.0043039
285.7,,,,,,,,,,,,,,,,0.54737,0.55483,0.56067,0.26161,0.26365,0.24222,0.082904,0.083718,0.081699,0.004121,0.004128,0.0040197
299.31,,,,,,,,,,,,,,,,0.52495,0.53242,0.53777,0.25114,0.25319,0.23343,0.078881,0.079693,0.077837,0.0038289,0.0038627,0.0037663
312.91,,,,,,,,,,,,,,,,0.50144,0.50952,0.51435,0.24116,0.24321,0.22495,0.075139,0.075946,0.074235,0.0035882,0.0036258,0.0035383
326.52,,,,,,,,,,,,,,,,0.479,0.48694,0.49126,0.23172,0.23378,0.21685,0.071672,0.072473,0.070891,0.0034049,0.0034116,0.0033328
340.12,,,,,,,,,,,,,,,,0.45784,0.46474,0.46859,0.22271,0.22477,0.20906,0.068429,0.069223,0.067756,0.0031758,0.0032168,0.0031454
353.73,,,,,,,,,,,,,,,,0.43716,0.44318,0.44662,0.21416,0.21622,0.20161,0.065401,0.066189,0.064826,0.0030106,0.0030397,0.0029741
367.33,,,,,,,,,,,,,,,,0.41637,0.42242,0.4255,0.20605,0.20811,0.19448,0.062564,0.063348,0.062078,0.0028665,0.0028762,0.0028165
