,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4p,4p,4p,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,3.637,3.6525,5.2145,,,
27.21,,,,,,,,,,,,,,,,0.5207,0.52236,0.74526,0.21782,0.21631,0.22347
40.81,,,,,,,,,,,,,,,,0.16617,0.16628,0.20467,0.20735,0.20613,0.21099
54.42,,,,,,,6.8283,6.8383,6.79,,,,,,,0.099808,0.099602,0.096644,0.17753,0.17671,0.18011
68.02,,,,,,,7.1424,7.1571,7.1593,,,,,,,0.08342,0.083145,0.070322,0.14928,0.14856,0.15106
81.63,,,,,,,7.064,7.0813,7.1127,,,,,,,0.07645,0.076206,0.062135,0.12612,0.12563,0.12755
95.23,,,,,,,6.7174,6.7363,6.7832,,,,,,,0.071225,0.071012,0.058041,0.10787,0.10744,0.10896
108.84,,,,,,,6.2548,6.2751,6.3296,,,,,,,0.06647,0.066266,0.054882,0.093163,0.09282,0.094064
122.44,,,,,,,5.7667,5.7879,5.8456,,,,,,,0.061976,0.061834,0.051993,0.081208,0.080963,0.081996
136.05,,,,,,,5.2829,5.3044,5.3625,,,,,,,0.057821,0.057685,0.049213,0.071475,0.07123,0.072103
149.65,,,,,,,4.8108,4.832,4.8885,0.70675,0.70724,0.64456,,,,0.053917,0.053827,0.046526,0.063389,0.063212,0.063962
163.26,,,,,,,4.3613,4.3821,4.4359,0.68816,0.6889,0.63114,,,,0.050359,0.050282,0.043969,0.056701,0.056578,0.057228
176.86,,,,,,,3.9428,3.9632,4.0136,0.66787,0.66885,0.61562,,,,0.047093,0.04705,0.041562,0.051174,0.051043,0.051614
190.47,,,,,,,3.5633,3.5834,3.6301,0.64696,0.64816,0.59905,,,,0.044156,0.044118,0.039319,0.046474,0.046372,0.046879
204.07,,,,,,,3.2231,3.2428,3.2859,0.62588,0.62728,0.5819,0.13995,0.14034,0.14199,0.041453,0.041449,0.037227,0.042431,0.042376,0.04283
217.68,,,,,,,2.9209,2.94,2.9796,0.60497,0.60655,0.56454,0.13427,0.13468,0.13624,0.039015,0.039006,0.035271,0.038965,0.038912,0.03932
