,1s,1s,1s,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,,,,,,,,,,0.11452,0.11547,0.14238
27.21,,,,,,,,,,8.7936,8.7891,8.6806,,,,,,,0.13969,0.14037,0.15402
40.81,,,,,,,,,,8.956,8.9559,8.9431,,,,,,,0.11948,0.11994,0.12758
54.42,,,,,,,,,,8.0463,8.0485,8.0708,,,,,,,0.098201,0.098503,0.10325
68.02,,,,,,,,,,6.9866,6.9905,7.0266,,,,,,,0.080352,0.080574,0.083737
81.63,,,,,,,,,,5.9642,5.9687,6.0089,0.92949,0.93612,0.87967,,,,0.066121,0.066344,0.068559
95.23,,,,,,,,,,5.0201,5.0253,5.0647,0.93483,0.94136,0.88938,,,,0.055132,0.055298,0.056916
108.84,,,,,,,,,,4.1971,4.2024,4.2388,0.92048,0.92684,0.87959,0.22783,0.22878,0.23313,0.046651,0.046762,0.047981
122.44,,,,,,,,,,3.5112,3.5166,3.5493,0.89449,0.90061,0.85784,0.21365,0.21458,0.21838,0.039947,0.040093,0.04104
136.05,,,,,,,,,,2.9519,2.9573,2.9863,0.86215,0.86804,0.82932,0.20068,0.20159,0.20492,0.03473,0.034818,0.035569
149.65,,,,,,,,,,2.4971,2.5023,2.5281,0.82647,0.83213,0.79701,0.18869,0.18958,0.19251,0.030459,0.030575,0.031183
163.26,,,,,,,,,,2.1231,2.1282,2.1509,0.78872,0.79416,0.76226,0.17752,0.17839,0.18098,0.027026,0.027104,0.027603
176.86,,,,,,,,,,1.8136,1.8185,1.8385,0.75017,0.7554,0.72637,0.16711,0.16797,0.17026,0.024131,0.024231,0.024646
190.47,,,,,,,,,,1.5556,1.5603,1.578,0.71153,0.71655,0.69009,0.15744,0.15828,0.16032,0.021758,0.021824,0.022173
204.07,,,,,,,,,,1.3406,1.3451,1.3607,0.67379,0.67861,0.65444,0.14852,0.14933,0.15116,0.019702,0.019794,0.02009
217.68,,,,,,,,,,1.1608,1.1651,1.1788,0.63737,0.64199,0.61986,0.14028,0.14108,0.14271,0.018004,0.018062,0.018316
