,1s,1s,1s,2p,2p,2p,2s,2s,2s,3d,3d,3d,3p,3p,3p,3s,3s,3s,4s,4s,4s
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
0,,,,,,,,,,,,,,,,,,,,,
13.6,,,,,,,,,,6.2148,6.1988,6.2157,,,,,,,0.18037,0.18147,0.16892
27.21,,,,,,,,,,6.3201,6.3112,6.3382,,,,,,,0.1638,0.16414,0.1589
40.81,,,,,,,,,,4.8878,4.8836,4.9091,,,,,,,0.12761,0.12786,0.12519
54.42,,,,,,,,,,3.6617,3.659,3.6808,1.1717,1.1865,1.1768,,,,0.098642,0.09877,0.097225
68.02,,,,,,,,,,2.7102,2.709,2.7269,1.2012,1.2154,1.2064,,,,0.077119,0.077305,0.076331
81.63,,,,,,,,,,2.0045,2.0042,2.0186,1.1756,1.189,1.1804,0.28497,0.28633,0.28341,0.061499,0.061862,0.061213
95.23,,,,,,,,,,1.5056,1.5055,1.5171,1.1223,1.135,1.1268,0.2607,0.26203,0.25962,0.05052,0.050699,0.050248
108.84,,,,,,,,,,1.1538,1.154,1.1634,1.058,1.0698,1.062,0.23918,0.24048,0.23846,0.042351,0.04245,0.042112
122.44,,,,,,,,,,0.89944,0.89989,0.90758,0.98952,1.0004,0.9928,0.21978,0.22105,0.21934,0.035898,0.036156,0.035902
136.05,,,,,,,,,,0.71092,0.71119,0.71757,0.91995,0.92996,0.92273,0.20221,0.20344,0.20198,0.031196,0.031249,0.03105
149.65,,,,,,,,,,0.56829,0.56896,0.57427,0.85182,0.86118,0.85426,0.18638,0.18758,0.1863,0.027136,0.027353,0.027192
163.26,,,,,,,,,,0.46024,0.46062,0.46507,0.78706,0.79585,0.78923,0.17218,0.17335,0.17223,0.024151,0.024205,0.024075
176.86,,,,,,,,,,0.37681,0.37728,0.38106,0.72709,0.73528,0.72894,0.15953,0.16067,0.15968,0.021443,0.02163,0.02152
190.47,,,,,,,,,,0.31172,0.31233,0.31554,0.67215,0.67972,0.67366,0.14823,0.14934,0.14845,0.019435,0.01948,0.019387
204.07,,,,,,,,,,0.2606,0.26099,0.26374,0.62203,0.62904,0.62324,0.13809,0.13917,0.13837,0.017488,0.017658,0.017577
217.68,,,,,,,,,,0.21938,0.21983,0.22221,0.57612,0.58265,0.57711,0.12891,0.12996,0.12924,0.016038,0.016085,0.016013
