,1s,1s,1s,2p,2p,2p,2s,2s,2s
476.17,0.090835,0.090901,0.088329,0.0013728,0.0012482,0.0012308,0.012012,0.012162,0.011885
489.78,0.086711,0.086684,0.084196,0.0013387,0.0011323,0.00112,0.011261,0.011372,0.011109
503.38,0.082836,0.082721,0.080315,0.0011029,0.0010298,0.0010215,0.010557,0.010649,0.010399
516.99,0.079197,0.079,0.076673,0.00082822,0.00094302,0.00093372,0.0098885,0.0099876,0.0097493
530.59,0.075774,0.075501,0.073251,0.00067349,0.00086919,0.0008553,0.0092666,0.0093808,0.0091535
544.2,0.072548,0.072203,0.070028,0.00068787,0.00080297,0.00078505,0.0087063,0.0088229,0.0086054
557.8,0.069506,0.069094,0.066991,0.0007926,0.00074027,0.000722,0.0082102,0.008309,0.0081009
571.41,0.066634,0.066159,0.064126,0.00083256,0.00068058,0.00066528,0.0077633,0.0078343,0.0076353
585.01,0.063917,0.063383,0.061419,0.00073254,0.00062604,0.00061416,0.007344,0.0073949,0.0072048
598.62,0.061348,0.060759,0.05886,0.00055979,0.00057877,0.000568,0.0069396,0.006988,0.0068066
612.22,0.058913,0.058273,0.056439,0.00041932,0.00053873,0.00052624,0.0065517,0.0066108,0.0064373
625.83,0.056606,0.055917,0.054145,0.00037201,0.00050375,0.00048838,0.0061917,0.0062608,0.0060945
639.43,0.054415,0.053683,0.051971,0.00042232,0.00047102,0.00045395,0.0058682,0.0059355,0.0057757
653.04,0.052337,0.051563,0.04991,0.00050511,0.00043906,0.0004226,0.0055804,0.0056326,0.0054791
666.64,0.050364,0.04955,0.047954,0.00052571,0.00040815,0.00039398,0.0053176,0.00535,0.0052027
680.25,0.048488,0.047638,0.046097,0.0004544,0.00037971,0.00036781,0.0050669,0.0050859,0.0049449
693.85,0.046705,0.045822,0.044334,0.00034239,0.00035495,0.00034384,0.0048213,0.0048393,0.0047042
707.46,0.04501,0.044095,0.042659,0.00025147,0.00033387,0.00032184,0.0045825,0.0046088,0.0044792
721.06,0.043396,0.042453,0.041067,0.00021616,0.00031536,0.00030159,0.0043579,0.0043932,0.0042686
734.67,0.04186,0.04089,0.039552,0.00024609,0.00029791,0.00028293,0.0041545,0.0041913,0.0040713
748.27,0.040397,0.039402,0.038112,0.000312,0.00028052,0.00026569,0.0039736,0.004002,0.0038863
761.88,0.039004,0.037985,0.03674,0.00035151,0.00026318,0.00024975,0.0038098,0.003824,0.0037127
775.48,0.037674,0.036635,0.035434,0.0003263,0.00024664,0.00023498,0.0036547,0.0036564,0.0035494
789.09,0.036406,0.035347,0.034188,0.00025605,0.00023179,0.00022128,0.0035016,0.0034986,0.0033958
802.69,0.035194,0.034118,0.033001,0.00018394,0.00021903,0.00020855,0.0033493,0.0033499,0.0032511
816.3,0.034037,0.032944,0.031867,0.00013772,0.00020806,0.00019671,0.0032012,0.0032098,0.0031147
829.9,0.032931,0.031823,0.030785,0.00013126,0.00019808,0.00018569,0.003063,0.0030776,0.0029859
843.51,0.031872,0.030751,0.02975,0.00016645,0.00018828,0.00017541,0.0029386,0.0029527,0.0028641
857.11,0.030859,0.029725,0.028761,0.0002178,0.00017827,0.00016581,0.0028276,0.0028344,0.0027489
870.72,0.029888,0.028743,0.027815,0.00024237,0.00016818,0.00015684,0.0027261,0.0027223,0.0026398
884.32,0.028957,0.027803,0.026909,0.00022016,0.00015854,0.00014846,0.0026285,0.0026159,0.0025364
897.93,0.028065,0.026902,0.026041,0.00016956,0.00014986,0.00014061,0.0025306,0.0025147,0.0024383
911.53,0.027209,0.026038,0.025209,0.00011971,0.00014241,0.00013326,0.0024316,0.0024187,0.0023451
925.14,0.026387,0.02521,0.024412,8.6501e-05,0.00013601,0.00012638,0.002334,0.0023275,0.0022566
938.74,0.025597,0.024415,0.023647,7.7886e-05,0.00013023,0.00011992,0.0022417,0.0022409,0.0021724
952.35,0.024839,0.023652,0.022913,9.8915e-05,0.00012455,0.00011385,0.0021579,0.0021585,0.0020923
965.95,0.024109,0.022918,0.022209,0.00013892,0.00011868,0.00010816,0.0020833,0.00208,0.0020159
979.56,0.023409,0.022215,0.021532,0.00016896,0.00011263,0.0001028,0.0020159,0.0020051,0.0019432
993.16,0.022734,0.021538,0.020883,0.00016624,0.00010666,9.7767e-05,0.001952,0.0019336,0.0018739
1006.77,0.022086,0.020888,0.020259,0.00013512,0.00010113,9.3028e-05,0.0018882,0.0018654,0.0018078
1020.37,0.021462,0.020263,0.019659,9.682e-05,9.6286e-05,8.8567e-05,0.0018229,0.0018002,0.0017447
1033.98,0.020861,0.019662,0.019082,6.6517e-05,9.2175e-05,8.4365e-05,0.0017566,0.001738,0.0016844
1047.58,0.020282,0.019084,0.018528,4.9263e-05,8.8607e-05,8.0405e-05,0.0016917,0.0016786,0.0016269
1061.19,0.019725,0.018528,0.017994,4.9839e-05,8.5275e-05,7.6671e-05,0.0016311,0.0016219,0.0015719
1074.79,0.019188,0.017992,0.017481,7.139e-05,8.1895e-05,7.3147e-05,0.0015766,0.0015677,0.0015193
1088.4,0.01867,0.017477,0.016987,0.00010371,7.8328e-05,6.9819e-05,0.0015283,0.0015159,0.0014691
1102.0,0.018171,0.01698,0.016511,0.00012485,7.4621e-05,6.6676e-05,0.0014845,0.0014662,0.0014209
1115.61,0.017689,0.016502,0.016053,0.00012033,7.0964e-05,6.3706e-05,0.0014427,0.0014186,0.0013749
1129.21,0.017224,0.01604,0.015611,9.5782e-05,6.758e-05,6.0898e-05,0.0014004,0.001373,0.0013308
1142.82,0.016776,0.015596,0.015186,6.7402e-05,6.4627e-05,5.8244e-05,0.0013565,0.0013292,0.0012885
1156.42,0.016343,0.015167,0.014775,4.5445e-05,6.2134e-05,5.5733e-05,0.0013113,0.0012872,0.001248
1170.03,0.015924,0.014753,0.014379,3.1975e-05,5.9996e-05,5.3356e-05,0.0012666,0.0012471,0.0012091
1183.63,0.01552,0.014354,0.013997,2.9577e-05,5.8025e-05,5.1105e-05,0.0012244,0.0012085,0.0011719
1197.24,0.015128,0.013968,0.013628,4.2567e-05,5.6032e-05,4.8972e-05,0.0011862,0.0011716,0.0011361
1210.84,0.01475,0.013595,0.013272,6.7654e-05,5.3901e-05,4.695e-05,0.0011525,0.0011361,0.0011018
1224.45,0.014384,0.013236,0.012928,9.0197e-05,5.163e-05,4.5032e-05,0.0011224,0.001102,0.0010688
1238.05,0.01403,0.012888,0.012596,9.5287e-05,4.9316e-05,4.3212e-05,0.0010943,0.0010692,0.0010371
1251.66,0.013687,0.012551,0.012274,8.1234e-05,4.7103e-05,4.1484e-05,0.0010663,0.0010376,0.0010066
1265.26,0.013355,0.012226,0.011963,5.8969e-05,4.5123e-05,3.9843e-05,0.0010371,0.0010072,0.00097728
1278.87,0.013033,0.011912,0.011663,3.9555e-05,4.3439e-05,3.8284e-05,0.0010064,0.00097796,0.0009491
1292.47,0.012721,0.011607,0.011372,2.6263e-05,4.2031e-05,3.6802e-05,0.00097501,0.00094984,0.00092198
1306.08,0.012419,0.011313,0.01109,1.8822e-05,4.0807e-05,3.5392e-05,0.0009442,0.0009228,0.00089588
1319.68,0.012126,0.011027,0.010818,1.9993e-05,3.9639e-05,3.405e-05,0.00091548,0.0008968,0.00087075
1333.29,0.011842,0.010751,0.010554,3.3186e-05,3.8411e-05,3.2771e-05,0.00088979,0.00087177,0.00084655
1346.89,0.011567,0.010484,0.010299,5.4539e-05,3.7066e-05,3.1553e-05,0.00086728,0.00084766,0.00082324
1360.5,0.011299,0.010225,0.010051,7.1961e-05,3.5617e-05,3.039e-05,0.00084722,0.00082438,0.00080077
1374.1,0.01104,0.009974,0.0098115,7.4634e-05,3.4133e-05,2.9281e-05,0.00082838,0.00080192,0.00077911
1387.71,0.010788,0.0097309,0.0095793,6.241e-05,3.2713e-05,2.8222e-05,0.00080942,0.00078023,0.00075823
1401.31,0.010544,0.0094953,0.0093542,4.4375e-05,3.1442e-05,2.721e-05,0.00078941,0.00075928,0.00073808
1414.92,0.010306,0.0092668,0.0091359,2.9212e-05,3.0364e-05,2.6244e-05,0.00076809,0.00073907,0.00071864
1428.52,0.010076,0.0090456,0.0089246,1.9101e-05,2.9471e-05,2.5319e-05,0.00074595,0.00071959,0.0006999
1442.13,0.0098523,0.0088309,0.0087195,1.2863e-05,2.8707e-05,2.4435e-05,0.00072395,0.0007008,0.0006818
1455.73,0.0096349,0.0086227,0.0085205,1.1878e-05,2.7989e-05,2.3588e-05,0.0007032,0.00068269,0.00066431
1469.34,0.0094237,0.0084207,0.0083276,1.9769e-05,2.7237e-05,2.2777e-05,0.00068453,0.0006652,0.00064743
1482.94,0.0092183,0.0082247,0.0081403,3.6187e-05,2.64e-05,2.1999e-05,0.00066822,0.0006483,0.00063111
1496.55,0.0090188,0.0080346,0.0079587,5.3422e-05,2.5474e-05,2.1254e-05,0.00065398,0.00063197,0.00061535
1510.15,0.0088247,0.00785,0.0077822,6.1346e-05,2.4492e-05,2.0539e-05,0.00064098,0.00061614,0.00060009
1523.76,0.0086359,0.0076708,0.0076109,5.5902e-05,2.3519e-05,1.9852e-05,0.00062824,0.00060081,0.00058534
1537.36,0.0084523,0.0074967,0.0074446,4.194e-05,2.2616e-05,1.9193e-05,0.00061489,0.00058596,0.00057107
1550.97,0.0082736,0.0073277,0.007283,2.7748e-05,2.1832e-05,1.856e-05,0.00060046,0.00057157,0.00055726
1564.57,0.0080997,0.0071635,0.0071259,1.7829e-05,2.1179e-05,1.7952e-05,0.00058498,0.00055765,0.00054388
1578.18,0.0079305,0.007004,0.0069734,1.1561e-05,2.0641e-05,1.7368e-05,0.00056901,0.00054419,0.00053094
1591.78,0.0077656,0.0068489,0.006825,7.7485e-06,2.0171e-05,1.6807e-05,0.00055332,0.00053116,0.00051838
1605.39,0.0076051,0.0066981,0.0066808,8.345e-06,1.9712e-05,1.6267e-05,0.00053871,0.00051855,0.00050622
1618.99,0.0074487,0.0065516,0.0065405,1.642e-05,1.9214e-05,1.5747e-05,0.00052572,0.00050634,0.00049443
1632.6,0.0072963,0.0064091,0.0064041,3.0954e-05,1.8649e-05,1.5247e-05,0.00051449,0.0004945,0.000483
1646.2,0.0071479,0.0062705,0.0062714,4.5163e-05,1.8019e-05,1.4766e-05,0.00050473,0.000483,0.00047192
1659.81,0.0070032,0.0061356,0.0061423,5.1056e-05,1.735e-05,1.4302e-05,0.00049581,0.00047183,0.00046116
1673.41,0.0068621,0.0060043,0.0060166,4.5876e-05,1.6685e-05,1.3856e-05,0.000487,0.00046097,0.00045071
1687.02,0.0067244,0.0058766,0.0058942,3.3871e-05,1.6069e-05,1.3426e-05,0.00047765,0.00045041,0.00044058
1700.62,0.0065903,0.0057523,0.005775,2.1919e-05,1.5532e-05,1.3013e-05,0.00046738,0.00044015,0.00043073
1714.23,0.0064594,0.0056313,0.005659,1.3826e-05,1.5087e-05,1.2614e-05,0.00045622,0.0004302,0.00042117
1727.83,0.0063318,0.0055135,0.0055461,8.9542e-06,1.4724e-05,1.223e-05,0.00044451,0.00042054,0.00041189
1741.44,0.0062072,0.0053988,0.005436,5.6431e-06,1.4414e-05,1.1859e-05,0.00043284,0.00041117,0.00040287
1755.04,0.0060857,0.0052871,0.0053288,4.8104e-06,1.412e-05,1.1502e-05,0.00042182,0.00040207,0.0003941
1768.65,0.005967,0.0051783,0.0052243,9.3769e-06,1.3804e-05,1.1158e-05,0.00041194,0.00039324,0.00038557
1782.25,0.0058512,0.0050722,0.0051225,2.0234e-05,1.3443e-05,1.0826e-05,0.0004034,0.00038466,0.00037728
1795.86,0.0057381,0.0049689,0.0050232,3.3459e-05,1.3031e-05,1.0506e-05,0.0003961,0.00037631,0.00036922
1809.46,0.0056278,0.0048684,0.0049266,4.2229e-05,1.2581e-05,1.0198e-05,0.00038966,0.00036819,0.00036139
1823.07,0.0055201,0.0047704,0.0048323,4.1927e-05,1.2118e-05,9.8994e-06,0.00038353,0.00036027,0.00035377
1836.67,0.0054149,0.0046748,0.0047404,3.3602e-05,1.1673e-05,9.6118e-06,0.00037718,0.00035256,0.00034636
1850.28,0.0053121,0.0045817,0.0046507,2.2588e-05,1.1273e-05,9.3343e-06,0.0003702,0.00034504,0.00033914
1863.88,0.0052116,0.0044908,0.0045633,1.3886e-05,1.0934e-05,9.0666e-06,0.00036242,0.00033772,0.00033212
1877.49,0.0051134,0.0044022,0.0044779,8.8082e-06,1.0658e-05,8.8082e-06,0.00035396,0.0003306,0.00032527
1891.09,0.0050178,0.0043161,0.0043949,5.717e-06,1.0434e-05,8.559e-06,0.0003452,0.0003237,0.00031864
1904.7,0.0049241,0.0042318,0.0043137,3.4284e-06,1.024e-05,8.3182e-06,0.00033656,0.00031698,0.00031216
1918.3,0.0048325,0.0041498,0.0042345,3.3547e-06,1.0049e-05,8.0857e-06,0.00032852,0.00031045,0.00030585
1931.91,0.0047431,0.0040697,0.0041573,8.0865e-06,9.8372e-06,7.8611e-06,0.00032141,0.0003041,0.00029971
1945.51,0.0046556,0.0039915,0.0040818,1.7974e-05,9.5907e-06,7.6441e-06,0.00031534,0.00029791,0.00029373
1959.12,0.00457,0.0039152,0.0040081,2.9374e-05,9.3072e-06,7.4346e-06,0.00031019,0.00029188,0.00028789
1972.72,0.0044867,0.0038411,0.0039365,3.6609e-05,8.9964e-06,7.2321e-06,0.00030571,0.00028602,0.00028224
1986.33,0.0044047,0.0037684,0.0038661,3.6048e-05,8.6765e-06,7.0364e-06,0.00030141,0.00028026,0.00027669
1999.93,0.0043247,0.0036975,0.0037975,2.8692e-05,8.3685e-06,6.8473e-06,0.00029693,0.00027466,0.0002713
2013.54,0.0042464,0.0036283,0.0037305,1.9031e-05,8.0907e-06,6.6645e-06,0.00029193,0.00026919,0.00026605
2027.14,0.0041699,0.0035608,0.0036651,1.1397e-05,7.855e-06,6.4878e-06,0.00028629,0.00026386,0.00026093
2040.75,0.0040949,0.0034948,0.0036011,7.1099e-06,7.6643e-06,6.317e-06,0.00028004,0.00025866,0.00025593
2054.35,0.0040213,0.0034302,0.0035384,4.7466e-06,7.5121e-06,6.1519e-06,0.00027344,0.00025359,0.00025104
2067.96,0.0039499,0.0033676,0.0034776,2.7955e-06,7.3848e-06,5.9924e-06,0.00026688,0.00024869,0.00024632
2081.56,0.0038796,0.003306,0.0034179,1.8648e-06,7.2641e-06,5.838e-06,0.00026066,0.0002439,0.00024168
2095.17,0.0038108,0.003246,0.0033595,4.2487e-06,7.1328e-06,5.6886e-06,0.0002551,0.00023923,0.00023716
2108.77,0.0037434,0.0031873,0.0033025,1.1325e-05,6.9781e-06,5.5439e-06,0.00025034,0.00023468,0.00023276
2122.38,0.0036775,0.00313,0.0032467,2.1358e-05,6.7953e-06,5.4038e-06,0.00024637,0.00023024,0.00022845
2135.98,0.0036128,0.0030739,0.003192,2.9926e-05,6.5881e-06,5.2681e-06,0.00024299,0.0002259,0.00022425
2149.59,0.0035498,0.0030193,0.0031389,3.2798e-05,6.3676e-06,5.1371e-06,0.00023996,0.00022167,0.00022017
2163.19,0.0034877,0.0029657,0.0030865,2.8871e-05,6.147e-06,5.0098e-06,0.00023689,0.00021752,0.00021617
2176.8,0.0034269,0.0029133,0.0030354,2.0771e-05,5.9408e-06,4.8867e-06,0.00023353,0.00021346,0.00021226
2190.4,0.0033674,0.0028621,0.0029854,1.2687e-05,5.7599e-06,4.7673e-06,0.00022967,0.0002095,0.00020845
2204.01,0.0033092,0.0028121,0.0029365,7.3833e-06,5.6102e-06,4.6517e-06,0.00022527,0.00020563,0.00020473
2217.61,0.0032521,0.0027631,0.0028886,4.8217e-06,5.4913e-06,4.5395e-06,0.00022044,0.00020186,0.00020109
2231.22,0.0031961,0.0027152,0.0028417,3.2938e-06,5.3972e-06,4.4306e-06,0.00021538,0.00019819,0.00019754
2244.82,0.0031413,0.0026685,0.002796,1.7704e-06,5.318e-06,4.3255e-06,0.00021039,0.00019461,0.00019408
2258.43,0.0030875,0.0026227,0.002751,1.2272e-06,5.2398e-06,4.2232e-06,0.00020573,0.00019112,0.0001907
2272.03,0.0030347,0.0025779,0.002707,3.7636e-06,5.1516e-06,4.124e-06,0.00020162,0.00018771,0.00018738
2285.64,0.002983,0.002534,0.002664,1.0352e-05,5.0452e-06,4.0276e-06,0.00019815,0.00018438,0.00018415
2299.24,0.0029324,0.0024911,0.0026218,1.9272e-05,4.9179e-06,3.934e-06,0.00019529,0.00018113,0.00018099
2312.85,0.0028827,0.0024492,0.0025806,2.6709e-05,4.7727e-06,3.843e-06,0.0001929,0.00017795,0.00017791
2326.45,0.002834,0.0024081,0.0025401,2.9136e-05,4.6168e-06,3.7542e-06,0.00019076,0.00017484,0.00017489
2340.06,0.0027863,0.002368,0.0025006,2.5663e-05,4.4616e-06,3.669e-06,0.0001886,0.00017179,0.00017194
2353.66,0.0027395,0.0023286,0.0024618,1.8469e-05,4.3149e-06,3.5855e-06,0.0001862,0.0001688,0.00016906
2367.27,0.0026935,0.0022901,0.0024238,1.1155e-05,4.1854e-06,3.5044e-06,0.0001834,0.00016588,0.00016624
2380.87,0.0026484,0.0022524,0.0023865,6.2814e-06,4.0777e-06,3.4255e-06,0.00018014,0.00016302,0.00016348
2394.48,0.0026042,0.0022155,0.00235,4.0489e-06,3.9923e-06,3.3489e-06,0.0001765,0.00016023,0.00016078
2408.08,0.0025609,0.0021794,0.0023143,2.9681e-06,3.9257e-06,3.2742e-06,0.00017263,0.0001575,0.00015814
2421.69,0.0025184,0.002144,0.0022793,1.7506e-06,3.8711e-06,3.2015e-06,0.00016875,0.00015485,0.00015557
2435.29,0.0024767,0.0021094,0.0022449,7.399e-07,3.8207e-06,3.1312e-06,0.00016507,0.00015225,0.00015304
2448.9,0.0024358,0.0020755,0.0022113,1.6808e-06,3.7648e-06,3.0623e-06,0.00016177,0.00014972,0.00015057
2462.5,0.0023956,0.0020423,0.0021783,6.0591e-06,3.6972e-06,2.9953e-06,0.00015897,0.00014724,0.00014816
2476.11,0.0023562,0.0020097,0.0021459,1.3421e-05,3.6146e-06,2.9301e-06,0.00015668,0.00014482,0.00014579
2489.71,0.0023174,0.0019778,0.0021141,2.111e-05,3.5174e-06,2.8666e-06,0.00015483,0.00014244,0.00014347
2503.32,0.0022794,0.0019465,0.002083,2.571e-05,3.4096e-06,2.8047e-06,0.00015326,0.0001401,0.0001412
2516.92,0.0022422,0.0019159,0.0020525,2.5184e-05,3.2972e-06,2.7441e-06,0.00015178,0.00013782,0.00013898
2530.53,0.0022056,0.001886,0.0020226,2.0119e-05,3.188e-06,2.6856e-06,0.0001502,0.00013558,0.00013681
2544.13,0.0021697,0.0018567,0.0019933,1.3203e-05,3.0874e-06,2.6282e-06,0.00014835,0.00013338,0.00013468
2557.74,0.0021345,0.0018279,0.0019645,7.4077e-06,3.0004e-06,2.5723e-06,0.00014614,0.00013123,0.00013259
2571.34,0.0020999,0.0017997,0.0019363,4.1933e-06,2.9292e-06,2.5179e-06,0.00014356,0.00012912,0.00013055
2584.95,0.0020658,0.001772,0.0019085,3.0165e-06,2.8735e-06,2.4648e-06,0.00014069,0.00012705,0.00012854
2598.55,0.0020324,0.0017448,0.0018812,2.3483e-06,2.8303e-06,2.4131e-06,0.00013765,0.00012503,0.00012657
2612.16,0.0019995,0.0017181,0.0018544,1.281e-06,2.7945e-06,2.3626e-06,0.00013464,0.00012305,0.00012464
2625.76,0.0019675,0.0016922,0.0018284,4.2985e-07,2.7602e-06,2.3135e-06,0.00013184,0.00012113,0.00012277
2639.37,0.0019359,0.0016666,0.0018027,1.4408e-06,2.7213e-06,2.2654e-06,0.00012935,0.00011924,0.00012092
2652.97,0.0019048,0.0016416,0.0017774,5.5186e-06,2.6736e-06,2.2186e-06,0.00012727,0.00011739,0.0001191
2666.58,0.0018743,0.001617,0.0017527,1.2136e-05,2.6148e-06,2.1728e-06,0.00012559,0.00011558,0.00011732
2680.18,0.0018443,0.0015929,0.0017283,1.895e-05,2.5457e-06,2.1282e-06,0.00012426,0.0001138,0.00011558
2693.79,0.0018148,0.0015692,0.0017044,2.3045e-05,2.4689e-06,2.0846e-06,0.00012315,0.00011205,0.00011387
2707.39,0.0017857,0.0015459,0.0016807,2.2667e-05,2.3887e-06,2.0421e-06,0.0001221,0.00011032,0.00011218
2721.0,0.0017577,0.0015234,0.001658,1.8248e-05,2.3101e-06,2.0007e-06,0.000121,0.00010866,0.00011055
2734.6,0.0017296,0.001501,0.0016353,1.2045e-05,2.2372e-06,1.9603e-06,0.00011966,0.00010699,0.00010893
2748.21,0.0017021,0.0014791,0.001613,6.6838e-06,2.1734e-06,1.9208e-06,0.00011802,0.00010536,0.00010734
2761.81,0.0016752,0.0014576,0.0015912,3.6366e-06,2.1206e-06,1.8822e-06,0.00011608,0.00010376,0.00010579
2775.42,0.0016487,0.0014365,0.0015698,2.6314e-06,2.0789e-06,1.8446e-06,0.00011387,0.0001022,0.00010426
2789.02,0.0016227,0.0014159,0.0015487,2.3115e-06,2.0467e-06,1.8078e-06,0.00011151,0.00010067,0.00010277
2802.63,0.001597,0.0013955,0.0015279,1.5629e-06,2.0211e-06,1.772e-06,0.0001091,9.9162e-05,0.00010129
2816.23,0.0015718,0.0013755,0.0015075,5.0335e-07,1.9981e-06,1.7371e-06,0.00010681,9.7687e-05,9.9844e-05
2829.84,0.0015473,0.0013561,0.0014877,4.2116e-07,1.9735e-06,1.703e-06,0.00010477,9.6263e-05,9.8442e-05
2843.44,0.001523,0.0013369,0.001468,2.7321e-06,1.9437e-06,1.6696e-06,0.00010302,9.4849e-05,9.7047e-05
2857.05,0.0014991,0.001318,0.0014487,7.7286e-06,1.9065e-06,1.6371e-06,0.0001016,9.3464e-05,9.568e-05
2870.65,0.0014756,0.0012995,0.0014297,1.4037e-05,1.8615e-06,1.6053e-06,0.0001005,9.2105e-05,9.4339e-05
2884.26,0.0014525,0.0012814,0.0014111,1.9202e-05,1.8098e-06,1.5742e-06,9.9634e-05,9.077e-05,9.3024e-05
2897.86,0.0014299,0.0012636,0.0013928,2.1039e-05,1.754e-06,1.5438e-06,9.8889e-05,8.9456e-05,9.1732e-05
2911.47,0.0014075,0.001246,0.0013747,1.8881e-05,1.6972e-06,1.5141e-06,9.8135e-05,8.8159e-05,9.0458e-05
2925.07,0.0013858,0.001229,0.0013572,1.3913e-05,1.6429e-06,1.4854e-06,9.7282e-05,8.6901e-05,8.9225e-05
2938.68,0.0013642,0.0012121,0.0013397,8.3993e-06,1.5931e-06,1.4571e-06,9.6196e-05,8.5644e-05,8.7995e-05
2952.28,0.001343,0.0011955,0.0013226,4.3703e-06,1.5503e-06,1.4296e-06,9.4856e-05,8.4413e-05,8.6789e-05
2965.89,0.0013221,0.0011792,0.0013057,2.5539e-06,1.5152e-06,1.4027e-06,9.3263e-05,8.3205e-05,8.5605e-05
2979.49,0.0013017,0.0011632,0.0012891,2.256e-06,1.4878e-06,1.3764e-06,9.147e-05,8.2022e-05,8.4444e-05
2993.1,0.0012815,0.0011475,0.0012729,2.1552e-06,1.4667e-06,1.3507e-06,8.9566e-05,8.0864e-05,8.3304e-05
3006.7,0.0012618,0.0011321,0.0012569,1.4214e-06,1.4498e-06,1.3256e-06,8.7661e-05,7.973e-05,8.2185e-05
3020.31,0.0012423,0.001117,0.0012411,3.8101e-07,1.4343e-06,1.301e-06,8.5862e-05,7.8617e-05,8.1083e-05
3033.91,0.0012233,0.0011022,0.0012257,2.8649e-07,1.4179e-06,1.2773e-06,8.4268e-05,7.7532e-05,8.0007e-05
3047.52,0.0012044,0.0010876,0.0012105,2.3691e-06,1.3975e-06,1.2538e-06,8.2923e-05,7.6461e-05,7.8943e-05
3061.12,0.0011859,0.0010732,0.0011955,6.8262e-06,1.372e-06,1.231e-06,8.1854e-05,7.5409e-05,7.7896e-05
3074.73,0.0011677,0.0010591,0.0011807,1.2436e-05,1.3411e-06,1.2087e-06,8.1035e-05,7.4374e-05,7.6867e-05
3088.33,0.0011497,0.0010452,0.0011662,1.7078e-05,1.3055e-06,1.1869e-06,8.0408e-05,7.3357e-05,7.5857e-05
3101.94,0.0011321,0.0010316,0.0011519,1.8851e-05,1.2668e-06,1.1656e-06,7.9885e-05,7.2355e-05,7.4865e-05
3115.54,0.0011148,0.0010182,0.0011379,1.7108e-05,1.2271e-06,1.1447e-06,7.9367e-05,7.1371e-05,7.3891e-05
3129.15,0.0010978,0.0010051,0.0011241,1.2775e-05,1.1884e-06,1.1242e-06,7.8758e-05,7.0401e-05,7.2934e-05
3142.75,0.0010811,0.00099215,0.0011106,7.7889e-06,1.1531e-06,1.1046e-06,7.7981e-05,6.9448e-05,7.1993e-05
3156.36,0.0010647,0.00097945,0.0010972,3.9954e-06,1.1219e-06,1.0851e-06,7.6991e-05,6.8509e-05,7.1068e-05
