,1s,1s,1s,2p,2p,2p,2s,2s,2s
,x,y,z,x,y,z,x,y,z
0,,,,,,,,,
13.6,,,,5.5761,5.5955,5.6324,,,
27.21,,,,2.4647,2.4428,2.4591,1.095,1.1017,1.099
40.81,,,,1.1673,1.1729,1.1797,0.83782,0.84393,0.84067
54.42,,,,0.62545,0.62334,0.62861,0.6388,0.6431,0.63999
68.02,,,,0.36183,0.36596,0.36835,0.49015,0.49412,0.49129
81.63,,,,0.23561,0.23053,0.23256,0.38252,0.38529,0.38277
95.23,,,,0.14928,0.154,0.15537,0.30307,0.3057,0.30349
108.84,,,,0.10888,0.10758,0.10833,0.24467,0.24685,0.24487
122.44,,,,0.078965,0.077271,0.078078,0.20087,0.20251,0.20075
136.05,,,,0.054703,0.05729,0.057837,0.16681,0.16845,0.16687
149.65,,,,0.043609,0.04356,0.043856,0.14035,0.1418,0.14037
163.26,,,,0.035251,0.033617,0.033943,0.11947,0.12057,0.11927
176.86,,,,0.02565,0.026466,0.026762,0.10238,0.10341,0.10223
190.47,,,,0.020064,0.021298,0.021453,0.088349,0.089391,0.088315
204.07,,,,0.017957,0.017347,0.017453,0.076969,0.077834,0.076844
217.68,,,,0.015056,0.014246,0.014384,0.067542,0.068216,0.067309
231.28,,,,0.011313,0.01187,0.011993,0.059509,0.060164,0.059331
244.89,,,,0.0092057,0.01004,0.010099,0.052701,0.05338,0.052609
258.49,,,,0.0087149,0.0085489,0.0085787,0.047033,0.047625,0.046906
272.1,,,,0.0079431,0.0072955,0.0073421,0.042246,0.042705,0.042037
285.7,,,,0.0062776,0.0062703,0.0063258,0.038061,0.038471,0.03785
299.31,0.17981,0.18185,0.17798,0.0048584,0.005451,0.0054828,0.034369,0.034806,0.034226
312.91,0.16963,0.17145,0.16769,0.004421,0.0047734,0.0047771,0.031176,0.03161,0.031066
326.52,0.16022,0.16184,0.15818,0.0044491,0.0041827,0.0041824,0.028446,0.028808,0.028296
340.12,0.15149,0.15291,0.14937,0.0040625,0.0036656,0.0036779,0.026051,0.026333,0.025852
353.73,0.14338,0.14462,0.14118,0.0032024,0.0032309,0.0032477,0.023879,0.024138,0.023687
367.33,0.13582,0.1369,0.13356,0.002485,0.0028741,0.002879,0.021901,0.022182,0.021757
380.94,0.12878,0.1297,0.12646,0.0022817,0.0025716,0.0025614,0.020146,0.020435,0.020033
394.54,0.1222,0.12298,0.11984,0.0023966,0.0023008,0.0022866,0.018616,0.018866,0.018485
408.15,0.11606,0.1167,0.11366,0.0023515,0.0020551,0.0020478,0.017261,0.017453,0.017093
421.75,0.11032,0.11083,0.10789,0.0019629,0.0018403,0.0018394,0.016016,0.016177,0.015837
435.36,0.10496,0.10534,0.1025,0.0014892,0.00166,0.0016571,0.014855,0.015023,0.014701
448.96,0.099937,0.10021,0.09746,0.0012296,0.0015083,0.0014969,0.013791,0.013977,0.013671
462.57,0.095236,0.095401,0.092742,0.0012517,0.0013735,0.0013557,0.012844,0.013027,0.012736
